date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,12.5875,8.266666666666667,77.90283450442355,NA,143.37,0,-1
2020-02-16,0,15.747777777777777,12.729027777777778,84.40969457685313,NA,108.81,-3,0
2020-02-17,0,16.517500000000002,15.859861111111112,96.17499151856526,NA,107.82,-16,3
2020-02-18,0,19.725069444444443,17.021597222222223,86.87255228501498,NA,107.65,2,0
2020-02-19,0,21.07263888888889,18.424722222222222,86.28785013695877,NA,110.22,1,0
2020-02-20,0,18.855555555555554,16.63923611111111,87.4252737168172,NA,116.62,2,0
2020-02-21,0,7.852083333333334,5.555555555555555,86.45596152958645,NA,140.65,0,1
2020-02-22,0,7.272916666666666,1.4000000000000001,67.52685385483699,NA,135.36,0,0
2020-02-23,0,11.55,6.545833333333333,75.311722129099,NA,102.54,1,0
2020-02-24,0,16.31458333333333,11.183333333333334,75.35610458260446,NA,100.9,2,0
2020-02-25,0,18.508531746031746,15.750496031746032,84.95812735986385,NA,103.86,0,2
2020-02-26,0,17.099305555555556,16.402083333333334,96.1229227985356,NA,119.22,1,1
2020-02-27,0,10.313541666666666,3.932986111111111,67.33525705274924,NA,124.22,1,-1
2020-02-28,0,7.15,-0.6625,65.44503379163626,NA,157.9,-1,-1
2020-02-29,0,10.670833333333334,1.0333333333333334,58.14976224729135,NA,117.31,0,-2
2020-03-01,0,9.9625,0.6041666666666666,61.936501955622994,NA,86.23,-3,-1
2020-03-02,0,14.9875,7.4375,63.60676890644327,NA,89.77,-4,0
2020-03-03,0,20.1125,14.008333333333333,69.1032706300193,NA,89.19,-5,0
2020-03-04,0,22.143055555555556,18.25138888888889,80.80135763511026,NA,91.26,-5,0
2020-03-05,0,23.147569444444443,20.663541666666667,86.8554576181582,NA,94.83,-5,2
2020-03-06,0,17.73576388888889,10.584722222222222,69.08265523356268,NA,114.68,-4,0
2020-03-07,0,11.06875,-1.9083333333333334,41.79814874196411,NA,119.74,0,-2
2020-03-08,0,10.887500000000001,4.970833333333333,69.55590519047081,NA,99.42,-2,-2
2020-03-09,0,16.245833333333334,10.445833333333333,72.72354262563755,NA,108.03,0,0
2020-03-10,0,18.791666666666668,13.266666666666667,72.75765968933801,NA,110.97,0,0
2020-03-11,1,19.316666666666666,13.116666666666667,71.17293795957075,NA,113.35,-1,0
2020-03-12,0,18.604166666666668,12.710416666666667,72.03482753859322,NA,119.84,-1,1
2020-03-13,1,19.4,12.066666666666666,68.0967125879778,NA,140,-4,2
2020-03-14,-1,20.625,14.247916666666667,70.68130377132731,NA,119.29,-3,2
2020-03-15,0,21.804166666666667,14.908333333333333,69.51468660525599,NA,86.35,-7,3
2020-03-16,0,21.929166666666667,17.252083333333335,76.2207142900697,NA,91.64,-19,8
2020-03-17,3,21.49513888888889,17.272222222222222,80.06869093267865,NA,85.15,-23,10
2020-03-18,3,22.5375,16.858333333333334,74.4762910604625,NA,79.61,-28,13
2020-03-19,4,22.537916666666668,16.71291666666667,73.5554877715128,NA,76.55,-31,14
2020-03-20,4,22.901041666666668,17.455208333333335,74.40923961223812,NA,81.44,-33,16
2020-03-21,10,22.170833333333334,16.4125,73.58915308976887,NA,67.81,-20,10
2020-03-22,10,21.995059523809523,16.732559523809524,75.65918263345486,NA,50.88,-29,10
2020-03-23,1,23.416666666666668,18.425,76.86270356849705,NA,55.82,-41,16
2020-03-24,1,21.350555555555555,16.1028125,75.64179486429042,NA,50.67,-46,20
2020-03-25,8,23.44097222222222,19.27916666666667,79.6950054377628,NA,52.95,-48,21
2020-03-26,4,23.364384920634922,18.975496031746033,79.97629290835454,NA,52.62,-48,21
2020-03-27,8,23.060853174603174,18.06501984126984,77.38739492797828,NA,57.6,-48,22
2020-03-28,10,23.354166666666668,16.041666666666668,68.8767232148902,NA,52.28,-32,13
2020-03-29,4,23.94236111111111,18.731944444444444,75.84314359148559,NA,41.1,-37,12
2020-03-30,8,23.113541666666666,18.211458333333333,77.42231920352633,NA,49.14,-46,19
2020-03-31,8,22.23702380952381,18.428214285714287,80.9935454357448,NA,49.81,-48,20
2020-04-01,3,16.175,10.070833333333333,70.71753277658779,1.0498959121505318,51.99,-47,20
2020-04-02,5,14.866666666666667,8.1,69.32193688925884,1.0210079888822856,51.9,-47,21
2020-04-03,15,16.24375,8.216666666666667,66.01673429822388,0.9924580650389514,53.91,-49,23
2020-04-04,6,19.09166666666667,9.8375,61.76255756975152,0.964730242917463,45.36,-35,15
2020-04-05,7,18.483333333333334,14.639583333333334,79.280753440893,0.9383178349894977,34.7,-40,14
2020-04-06,8,19.80138888888889,15.284722222222223,78.55582519898995,0.9136981043635025,46.15,-49,20
2020-04-07,8,21.2625,15.129166666666666,72.13628384980838,0.8913100639905824,47.72,-50,21
2020-04-08,5,22.90548611111111,18.889791666666667,79.74494576974892,0.8715368285216226,47.88,-51,22
2020-04-09,6,26.079166666666666,20.884722222222223,75.0055954296506,0.8546931233074586,50.62,-49,22
2020-04-10,17,21.746875,15.075486111111111,69.2671295277138,0.8410177839940799,56.55,-51,23
2020-04-11,7,17.277083333333334,7.383333333333334,55.64892962130198,0.830670532724623,50.89,-32,14
2020-04-12,41,24.127083333333335,18.856597222222224,75.23802258676805,0.8237320227781546,33.68,-45,13
2020-04-13,-28,26.470277777777778,22.545416666666668,79.41305714296153,0.8202060747767302,50.68,-50,21
2020-04-14,8,23.705416666666668,23.079027777777778,96.39643518597762,0.8200231243343885,48.61,-52,23
2020-04-15,-1,20.934166666666666,20.284861111111113,96.44153730294707,0.8230440936634655,51.46,-50,23
2020-04-16,6,17.177777777777777,12.786111111111111,79.20989524078938,0.8290641271404152,56.66,-48,21
2020-04-17,2,18.277083333333334,12.8875,72.376370953787,0.837815853701775,63.26,-48,22
2020-04-18,3,21.42159722222222,20.442569444444445,94.36534164815193,0.84897204607737,54.34,-33,15
2020-04-19,5,24.257638888888888,20.311805555555555,81.92815880759204,0.8621477533918762,47.48,-35,12
2020-04-20,8,25.322291666666665,20.37125,76.5292902311828,0.8769022190595069,54.18,-49,20
2020-04-21,6,21.783333333333335,13.845833333333333,67.70760666863396,0.8927411850973827,57.14,-48,20
2020-04-22,3,21.141666666666666,11.991666666666667,62.449176033677176,0.9091205269630693,59.33,-49,21
2020-04-23,4,22.779166666666665,15.674999999999999,66.53279519256168,0.9254525183490169,61.13,-48,20
2020-04-24,13,20.916294642857142,19.47844742063492,91.91140405934621,0.9411163013300246,64.23,-49,24
2020-04-25,1,23.16701388888889,20.493541666666665,86.65720324934237,0.9554741938802745,62.9,-31,13
2020-04-26,6,23.432291666666668,18.137847222222224,76.31812376508537,0.9678951357187188,49.31,-36,11
2020-04-27,3,18.025,9.3,59.40043601295162,0.9777857066302847,60.22,-46,19
2020-04-28,1,18.120833333333334,11.191666666666666,69.03384025793531,0.9846277029783566,62.65,-47,14
2020-04-29,7,22.1625,15.291666666666666,67.5464286579453,0.9880193805038296,65.62,-47,20
2020-04-30,5,21.69002976190476,15.798511904761904,73.15842278750206,0.9877155728505099,66.78,-47,20
2020-05-01,6,18.645833333333332,9.608333333333333,62.018128165880746,0.9836605897472938,85.6,-45,19
2020-05-02,2,19.433333333333334,10.464583333333334,62.92701998714011,0.9760077149050533,72.56,-28,11
2020-05-03,11,21.658333333333335,14.591666666666667,67.38036664048104,0.9651206200601737,59.45,-30,10
2020-05-04,3,22.166666666666668,16.104166666666668,72.02402458805481,0.9515549375384073,68.54,-44,17
2020-05-05,0,22.43986111111111,18.013472222222223,79.06603591706441,0.9360218891227091,73.79,-43,17
2020-05-06,6,23.579166666666666,17.914583333333333,74.12128611605712,0.9193392272676308,73.6,-44,18
2020-05-07,5,17.6125,6,48.84843811679733,0.9023768492786765,76.47,-43,17
2020-05-08,6,16.777083333333334,7.827083333333333,62.08414080823531,0.886004780577843,86.91,-43,18
2020-05-09,2,21.231944444444444,15.441666666666666,71.79070121048976,0.8710498760122621,76.87,-24,9
2020-05-10,4,18.141319444444445,14.935069444444444,82.26357373039198,0.8582651388303688,55.54,-28,8
2020-05-11,8,20.42152777777778,13.794444444444444,73.33590625868985,0.8483127929658756,NA,-41,15
2020-05-12,4,19.379166666666666,8.725,53.41496580061414,0.8417598552521087,NA,-41,16
2020-05-13,2,20.358796296296298,14.846296296296297,73.90104986608385,0.8390833411232018,80.97,-41,17
2020-05-14,4,21.975,16.22361111111111,72.74808985102874,0.8406814795665453,85.03,-41,17
2020-05-15,0,22.122222222222224,17.18611111111111,76.8349298801903,0.8468872546454477,98.57,-41,17
2020-05-16,-1,23.71527777777778,19.590972222222224,79.20998397286236,0.8579809729035994,91.66,-21,9
2020-05-17,3,24.30625,20.320833333333333,81.24309246899962,0.8741991317440415,76.43,-24,8
2020-05-18,5,24.533333333333335,19.50625,76.28350967317694,0.8957374670087471,79.95,-39,15
2020-05-19,2,24.801944444444445,18.535555555555554,70.8477785461302,0.9227466227621941,86.47,-39,16
2020-05-20,5,24.8375,17.972916666666666,68.4267937619507,0.9553194361515491,88.27,-39,16
2020-05-21,2,25.589305555555555,18.93513888888889,71.68522346705812,0.9934694505638397,97.84,-39,15
2020-05-22,8,26.272222222222222,18.26388888888889,64.68568129614825,1.037101075013657,110.89,-38,15
2020-05-23,1,26.18298611111111,19.645833333333332,69.89865821776874,1.0859729007839498,100.32,-18,7
2020-05-24,6,25.291666666666668,20.2,75.9188131032498,1.1396571156941984,81.67,-24,6
2020-05-25,4,23.87,21.757916666666667,88.33297142162277,1.1974996591930023,75.8,-70,21
2020-05-26,5,23.607430555555556,21.96527777777778,90.75215753315818,1.258587510688743,88.85,-38,15
2020-05-27,0,24.740694444444443,23.091666666666665,91.31790761442078,1.3217308787422812,91.17,-37,16
2020-05-28,2,24.773055555555555,22.570416666666667,88.81572739162158,1.3854684775274344,94.49,-37,16
2020-05-29,6,23.93422619047619,22.087400793650794,90.3865072875474,1.4481029207413707,111.02,-36,16
2020-05-30,1,24.962847222222223,22.11284722222222,86.02222436914445,1.507770104407996,106.77,-10,7
2020-05-31,1,26.82951388888889,22.138368055555556,78.7167558642472,1.5625413312312828,86.88,-15,7
2020-06-01,2,25.81423611111111,22.301041666666666,82.14588829547145,1.6105505766263264,92.84,-35,12
2020-06-02,0,24.675,19.979166666666668,76.78062483477854,1.6501331182748353,92.63,-35,13
2020-06-03,1,23.483333333333334,19.225,79.29744262515096,1.6799575158296634,92.19,-36,14
2020-06-04,4,22.851041666666667,21.90763888888889,94.7995434829945,1.6991321670351716,96.9,-35,15
2020-06-05,5,24.2375,22.656944444444445,91.5116814492936,1.7072710245847071,117.39,-36,15
2020-06-06,4,23.67152777777778,23.12013888888889,96.80497660888807,1.704509908523445,106.39,-15,9
2020-06-07,3,23.58219246031746,23.439484126984127,99.19096332109483,1.6914734257487563,79.76,-22,10
2020-06-08,0,25.761805555555554,24.177083333333332,91.6183538705081,1.6692005327830886,95.01,-35,13
2020-06-09,5,26.354791666666667,24.674583333333334,90.98190691962698,1.6390422991867883,99.14,-35,13
2020-06-10,8,25.598313492063493,23.13859126984127,88.03218089172871,1.602547471363886,101.95,-35,14
2020-06-11,31,24.78125,23.248958333333334,91.85021955320319,1.5613501813157955,103.45,-34,13
2020-06-12,63,25.954166666666666,22.1,81.67229301526287,1.5170706347371568,123.29,-35,13
2020-06-13,25,24.06486111111111,21.1975,85.5655810266323,1.471235206141214,123.28,-10,6
2020-06-14,10,24.955972222222222,21.53902777777778,82.87503527050892,1.4252182341225028,95.84,-16,5
2020-06-15,10,24.5125,18.85,74.881929733053,1.3802046507220587,101.77,-34,11
2020-06-16,13,23.4,18.191666666666666,75.18771041014094,1.3371706136629984,102.8,-34,12
2020-06-17,16,22.676388888888887,18.57638888888889,78.98269846524643,1.2968784168015668,104.84,-35,13
2020-06-18,20,24.65138888888889,19.884722222222223,78.44439983292932,1.2598818548795387,109.38,-34,12
2020-06-19,33,24.72142857142857,21.29295634920635,83.06014837827423,1.2265386220836143,130.16,-36,12
2020-06-20,40,25.489037698412698,21.571378968253967,82.29993689485366,1.1970269950376808,121.64,-10,4
2020-06-21,43,26.941666666666666,21.029166666666665,73.17369677651347,1.171364823961058,87.92,-16,4
2020-06-22,22,26.020833333333332,20.808333333333334,75.51725112936457,1.149429617692301,105.58,-36,11
2020-06-23,22,26.877083333333335,22.953125,80.48434296696125,1.1309791764886266,104.22,-36,13
2020-06-24,47,28.308333333333334,23.120833333333334,76.37017135940859,1.1156727346676338,107.49,-35,12
2020-06-25,56,27.254166666666666,22.754166666666666,79.08622761135722,1.1030928707977385,115.48,-35,12
2020-06-26,82,28.490277777777777,22.530555555555555,72.34494452586183,1.092768494900958,127.04,-36,13
2020-06-27,88,27.17534722222222,23.403125,80.46232776552773,1.0841990317368497,122.16,-14,7
2020-06-28,91,27.397916666666667,22.804166666666667,78.65642646485614,1.076879531748533,95.71,-16,6
2020-06-29,35,27.93888888888889,23.4625,78.4945840393863,1.070325946881778,104.81,-37,12
2020-06-30,38,27.072916666666668,24.328125,86.0822598886896,1.0640993311904012,108.45,-36,13
2020-07-01,48,25.691666666666666,22.916666666666668,85.43254758068593,1.0578273983254098,111.34,-37,13
2020-07-02,87,25.878333333333334,22.750138888888888,84.63098411638862,1.051221796505478,125.22,-38,12
2020-07-03,91,26.675694444444446,23.359027777777776,83.10130117315407,1.0440896952568706,116.64,-57,18
2020-07-04,83,24.461458333333333,22.827083333333334,91.31311613575525,1.0363387895785259,84.32,-25,9
2020-07-05,72,25.018055555555556,23.428472222222222,91.6163959298447,1.0279755167335503,89,-22,6
2020-07-06,58,25.00124007936508,23.675049603174603,92.6576806938511,1.0190970048469723,102.82,-38,12
2020-07-07,65,25.24623015873016,23.33938492063492,89.92048265850876,1.0098778846248673,101.94,-38,13
2020-07-08,91,26.9125,24.28204365079365,86.28923179930582,1.0005534870813475,103.08,-36,13
2020-07-09,79,27.870833333333334,23.816666666666666,80.49334182877382,0.9914010740164403,110.05,-36,13
2020-07-10,107,28.682142857142857,24.85456349206349,81.74289725851415,0.9827206201792242,124.88,-38,14
2020-07-11,65,28.12875,24.26770833333333,82.27400616318872,0.9748163491424204,115.23,-14,7
2020-07-12,55,28.2375,21.616666666666667,70.96873560989343,0.9679798037180222,93.54,-19,6
2020-07-13,75,28.079166666666666,22.9875,75.05173695329944,0.962474792097349,104.61,-37,12
2020-07-14,85,28.819444444444443,24.09583333333333,77.49390589007348,0.9585241669097881,103.47,-37,13
2020-07-15,64,27.757291666666667,23.67013888888889,80.6950271221907,0.9562981235498904,104.87,-36,13
2020-07-16,75,26.237916666666667,22.521180555555556,82.6380626848201,0.9559035865116954,112.32,-36,13
2020-07-17,68,26.58215277777778,23.746666666666666,85.71120833980483,0.9573743105502275,124.46,-38,14
2020-07-18,66,26.875694444444445,23.64236111111111,84.21683855428459,0.960661560638324,121.28,-15,7
2020-07-19,88,27.489583333333332,23.260416666666668,80.16266261341568,0.9656256321865575,94.93,-19,7
