date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-15.466666666666667,-21.595833333333335,61.927546212179244,NA,138.03,-4,0
2020-02-16,0,-3.354166666666667,-9.966666666666667,61.00070444911568,NA,108.52,3,-2
2020-02-17,0,-4.6,-10.208333333333334,70.0473172743372,NA,121.78,-29,6
2020-02-18,0,-8.659345238095238,-13.571388888888889,69.28786557188322,NA,108.54,-13,5
2020-02-19,0,-3.201388888888889,-8.450694444444444,72.5027181666317,NA,122.25,-12,3
2020-02-20,0,-8.678260869565218,-17.68695652173913,49.511786214892545,NA,129.01,-9,2
2020-02-21,0,-12.629166666666666,-21.016666666666666,53.33073968090686,NA,144.43,-11,3
2020-02-22,0,-6.3875,-14.370833333333334,56.955937830202075,NA,132.47,0,-1
2020-02-23,0,-2.9291666666666667,-8.191666666666666,71.10362398759231,NA,109.98,7,-2
2020-02-24,0,0.06527777777777771,-6.204166666666667,69.65042651114304,NA,113.42,1,0
2020-02-25,0,3.4333333333333336,-2.033333333333333,69.516234971769,NA,116.52,3,0
2020-02-26,0,3.245833333333333,-0.7416666666666667,77.365181878634,NA,114.21,1,0
2020-02-27,0,3.040625,0.08715277777777773,82.2729703526019,NA,107.84,-2,3
2020-02-28,0,-1.7208333333333332,-10.495833333333334,51.99264000197305,NA,149.34,2,-1
2020-02-29,0,-4.029166666666667,-10.7375,60.67797880401235,NA,143.64,2,-1
2020-03-01,0,-6.8,-13.458333333333334,60.45952671676315,NA,105.76,5,-2
2020-03-02,0,-4.347916666666666,-8.58125,73.8847567185603,NA,110.56,2,0
2020-03-03,0,4.184722222222223,0.8118055555555556,81.24587022212924,NA,132.29,2,-2
2020-03-04,0,5.72703373015873,-0.10004960317460311,70.7896195856304,NA,121.13,1,1
2020-03-05,0,4.1375,-6.75,47.019265230346306,NA,125.08,2,-1
2020-03-06,0,0.275,-5.166666666666667,69.15768021209503,NA,140.73,1,1
2020-03-07,0,-0.6125,-13.870833333333334,38.43125286699077,NA,140.08,1,0
2020-03-08,0,1.2791666666666668,-12.570833333333333,36.20822796910639,NA,112.56,4,-1
2020-03-09,0,5.591666666666667,-3.8583333333333334,57.48443890474296,NA,114.04,2,0
2020-03-10,0,4.5875,-1.2166666666666666,67.07832853267516,NA,114.12,2,0
2020-03-11,0,4.777083333333334,-2.9875000000000003,60.74464055419598,NA,112.97,1,1
2020-03-12,1,0.4875,-7.658333333333333,55.91525427475469,NA,108.72,2,0
2020-03-13,0,3.542013888888889,2.020138888888889,90.1619154947336,NA,117.02,-3,4
2020-03-14,0,4.904166666666667,-6.041666666666667,46.95593311486426,NA,113.06,-1,2
2020-03-15,0,0.9458333333333333,-11.3875,40.72182317085536,NA,87.05,-1,2
2020-03-16,0,-4.325,-14.641666666666667,46.770184661913355,NA,91.28,-14,6
2020-03-17,1,-0.5506944444444445,-2.7135416666666665,85.71980457837225,NA,76.56,-21,10
2020-03-18,1,2.350347222222222,-3.326736111111111,71.30526647982974,NA,82.98,-26,11
2020-03-19,0,2.1393055555555556,0.6202083333333333,89.94935216169806,NA,74.25,-29,13
