date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,NA,NA,NA,NA,166.24,-1,NA
2020-02-16,0,NA,NA,NA,NA,131.82,-7,NA
2020-02-17,0,NA,NA,NA,NA,127.52,-25,NA
2020-02-18,0,NA,NA,NA,NA,114.72,0,NA
2020-02-19,0,NA,NA,NA,NA,117.29,0,NA
2020-02-20,0,NA,NA,NA,NA,126.34,0,NA
2020-02-21,0,NA,NA,NA,NA,156.53,-3,NA
2020-02-22,0,NA,NA,NA,NA,155.38,-5,NA
2020-02-23,0,NA,NA,NA,NA,120.43,-4,NA
2020-02-24,0,NA,NA,NA,NA,114.72,0,NA
2020-02-25,0,NA,NA,NA,NA,111.98,0,NA
2020-02-26,0,NA,NA,NA,NA,111.02,0,NA
2020-02-27,0,NA,NA,NA,NA,156.8,0,NA
2020-02-28,0,NA,NA,NA,NA,166.07,-1,NA
2020-02-29,0,NA,NA,NA,NA,160.59,2,NA
2020-03-01,0,NA,NA,NA,NA,132.54,0,NA
2020-03-02,0,NA,NA,NA,NA,116.3,4,NA
2020-03-03,0,NA,NA,NA,NA,113.6,4,NA
2020-03-04,0,NA,NA,NA,NA,115.38,4,-3
2020-03-05,0,NA,NA,NA,NA,133.93,0,NA
2020-03-06,0,NA,NA,NA,NA,178.05,-1,NA
2020-03-07,0,NA,NA,NA,NA,172.94,2,NA
2020-03-08,0,NA,NA,NA,NA,139.74,1,NA
2020-03-09,0,NA,NA,NA,NA,129.83,1,NA
2020-03-10,0,NA,NA,NA,NA,126.47,0,NA
2020-03-11,0,NA,NA,NA,NA,132.34,0,NA
2020-03-12,0,NA,NA,NA,NA,154.75,0,NA
2020-03-13,0,NA,NA,NA,NA,197.72,-14,NA
2020-03-14,0,NA,NA,NA,NA,176.77,-3,NA
2020-03-15,0,NA,NA,NA,NA,140.2,-3,NA
2020-03-16,0,NA,NA,NA,NA,132.57,-14,NA
2020-03-17,0,NA,NA,NA,NA,109.57,-16,NA
2020-03-18,0,28.211111111111112,-1.9777777777777776,13.955673408195098,NA,114.98,-20,NA
2020-03-19,0,22.55902777777778,-3.105208333333333,18.12945205107981,NA,117.49,-20,NA
2020-03-20,0,23.075,-1.0869565217391304,20.912318936424256,NA,128.91,-23,NA
2020-03-21,1,22.47083333333333,-1.2913043478260868,21.633638764567145,NA,114.88,-1,NA
2020-03-22,1,21.41875,-0.53125,23.969169666727943,NA,97.23,-16,NA
2020-03-23,1,22.5875,-0.36086956521739133,22.741469465939474,NA,92.57,-27,NA
2020-03-24,1,21.916666666666668,-0.3614583333333333,23.669955352198066,NA,86.37,-25,NA
2020-03-25,1,24.74791666666667,-0.3680555555555556,19.539875109367443,NA,88.88,-29,NA
2020-03-26,0,23.58861111111111,-0.6741666666666667,20.279701203356,NA,91.75,-29,NA
2020-03-27,2,21.527450980392157,-1.964705882352941,20.823931520057403,NA,108.25,-30,NA
2020-03-28,0,20.78235294117647,-2.5823529411764707,21.095969828377257,NA,99.6,-15,NA
2020-03-29,0,23.143055555555556,-0.26666666666666666,22.33134911992789,NA,79.83,-27,NA
2020-03-30,1,24.274444444444445,-0.049722222222222216,21.017622424735084,NA,98.91,-29,NA
2020-03-31,1,23.155072463768114,-0.4673913043478261,21.263719190242877,NA,83.86,-30,NA
2020-04-01,0,16.802083333333332,-1.2625,29.9455243319645,NA,76.3,-31,NA
2020-04-02,2,14.6875,-1.0916666666666668,37.57780775913747,0.6913183126232288,90.56,-32,NA
2020-04-03,0,15.966666666666667,-4.954166666666667,24.479589255084413,0.6977385176044629,87.62,-34,NA
2020-04-04,0,19.378260869565217,-0.8956521739130435,28.002636746632863,0.7063044919152697,65.68,-20,NA
2020-04-05,1,18.54861111111111,-0.9336805555555556,27.208604231340008,0.7167314728356942,57.95,-30,NA
2020-04-06,1,19.290972222222223,-1.3128472222222223,25.970578905089347,0.7286883169346654,76.53,-35,NA
2020-04-07,2,21.483333333333334,-1.4041666666666668,22.508075803182553,0.7418212419718819,74.52,-35,NA
2020-04-08,0,23.739583333333332,3.634027777777778,30.148638240313097,0.7557828103550724,68.45,-36,NA
2020-04-09,1,25.834375,2.0844202898550726,25.1165151732949,0.7702625105531352,79.5,-35,NA
2020-04-10,0,21.704166666666666,-0.5125,23.060517446335925,0.7850137730559064,89.21,-41,NA
2020-04-11,1,15.341666666666667,-1.1083333333333334,37.03555048716007,0.7998720021101381,86.17,-20,NA
2020-04-12,0,22.78333333333333,0.33958333333333335,23.342368406178398,0.8147595755019376,58.02,-30,NA
2020-04-13,0,25.119791666666668,-0.275,18.857550116848213,0.8296764327314565,73.89,-36,NA
2020-04-14,0,23.16847222222222,-0.25375,21.231933499297078,0.8446779491184284,69.8,-35,NA
2020-04-15,0,19.756805555555555,-0.3922222222222222,26.740274284414344,0.859844277710486,73.76,-37,NA
2020-04-16,0,17.245833333333334,-1.4569444444444444,28.524116895336952,0.8752465917085107,88.84,-33,NA
2020-04-17,0,16.9,-3.5208333333333335,25.548667224714922,0.8909156186155852,97.26,-37,NA
2020-04-18,0,22.2125,-0.96875,21.548511286304056,0.9068169208365904,89.74,-19,NA
2020-04-19,0,23.878125,-0.5826388888888889,20.102935313041584,0.922836065115891,78.98,-23,NA
2020-04-20,0,24.14097222222222,-0.1625,20.29995353485974,0.9387754663659349,84.32,-35,NA
2020-04-21,0,21.041666666666668,-0.775,24.346343344833098,0.9543633212678487,88.68,-32,NA
