date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.9416666666666664,-4.866666666666666,54.087317556161125,NA,136.76,3,0
2020-02-16,0,8.022916666666667,1.8916666666666668,66.14631409576612,NA,99.04,3,0
2020-02-17,0,13.054166666666667,9.974305555555555,82.06004306844659,NA,111.78,-13,4
2020-02-18,0,8.096527777777778,3.8006944444444444,74.9957803540246,NA,107.6,2,0
2020-02-19,0,3.066666666666667,-4.520833333333333,61.77795911462906,NA,110.89,6,-1
2020-02-20,0,3.2402777777777776,-4.088888888888889,61.413235177793794,NA,115.77,2,0
2020-02-21,0,-1.8666666666666667,-11.622916666666667,53.56952367839495,NA,133.68,5,-2
2020-02-22,0,3.470833333333333,-7.554166666666666,46.855680761240826,NA,130.57,3,-1
2020-02-23,0,7.719444444444445,1.111111111111111,65.67585001426167,NA,89.33,0,1
2020-02-24,0,9.47888888888889,8.392291666666667,93.32795495547533,NA,100.85,3,1
2020-02-25,0,5.000694444444444,3.547222222222222,90.67884589291988,NA,111.71,2,0
2020-02-26,0,1.0940972222222223,-1.8029166666666665,82.18245649559749,NA,108.58,5,0
2020-02-27,0,0.8291666666666668,-5.233333333333333,67.71885090153957,NA,119.89,3,-1
2020-02-28,0,6.868484848484848,-0.8286363636363636,62.53345195930155,NA,143.83,6,-4
2020-02-29,0,8.704166666666666,-2.1083333333333334,51.80949719381307,NA,143.64,4,-3
2020-03-01,0,13.83125,5.927083333333333,60.26553072214148,NA,92.87,3,-1
2020-03-02,0,15.451736111111112,11.922916666666666,80.33099566192134,NA,109.12,4,0
2020-03-03,0,9.917361111111111,2.120833333333333,66.22126574321847,NA,116.45,3,-1
2020-03-04,0,9.140277777777778,-0.7083333333333333,54.165187693234884,NA,114.61,6,-1
2020-03-05,0,8.720833333333333,-1.0666666666666667,56.560400937534794,NA,123.15,2,-2
2020-03-06,0,8.070833333333333,-7.758333333333334,35.1166235818341,NA,144.16,6,-3
2020-03-07,0,9.370833333333334,-5.433333333333334,38.180412930569005,NA,146.42,2,-2
2020-03-08,0,11.754166666666666,-2.745833333333333,38.42147520148991,NA,97.85,0,-1
2020-03-09,0,13.888194444444444,7.315277777777778,69.92149729266022,NA,103.7,2,2
2020-03-10,0,9.100694444444445,5.482638888888888,80.6941634803247,NA,116.83,2,0
2020-03-11,0,15.169791666666667,9.54375,70.5374553409522,NA,116.87,5,-1
2020-03-12,0,19.354166666666668,13.952083333333334,73.55133130833799,NA,111.63,1,-1
2020-03-13,0,10.233333333333334,3.7125,64.69908111114297,NA,115.16,1,0
2020-03-14,0,6.014236111111111,3.9993055555555554,87.62814474749571,NA,100.81,-4,5
2020-03-15,0,5.707638888888889,4.204861111111111,90.28631075119077,NA,75.38,-7,4
2020-03-16,0,6.16375,5.507152777777778,95.67418454647859,NA,81.93,-30,12
2020-03-17,0,10.094513888888889,8.757013888888888,92.14575303090957,NA,80.58,-35,13
2020-03-18,0,15.360694444444444,13.137083333333333,87.27513224695876,NA,77.37,-36,13
2020-03-19,0,17.477083333333333,16.152083333333334,92.124321524145,NA,70.18,-42,17
2020-03-20,0,10.463194444444444,7.855902777777778,84.43943479113351,NA,83.19,-41,15
2020-03-21,0,3.7041666666666666,-1.5958333333333332,72.2297284970441,NA,69.34,-19,9
2020-03-22,1,8.333333333333334,4.897222222222222,80.52988011157744,NA,46.5,-31,11
2020-03-23,0,11.40125,9.0825,87.1961065884945,NA,68.96,-46,17
2020-03-24,0,14.540277777777778,11.426388888888889,82.91251194332985,NA,69.68,-49,19
2020-03-25,0,13.325972222222223,8.929444444444444,78.93943514021275,NA,79.75,-47,16
2020-03-26,17,20.991666666666667,14.429166666666667,68.39957019799365,NA,80.69,-50,17
2020-03-27,5,22.897916666666667,17.289583333333333,71.36351954468462,NA,80.33,-49,17
2020-03-28,5,20.963958333333334,13.645902777777778,67.90222214917577,NA,70.3,-26,11
2020-03-29,3,13.404166666666667,2.845833333333333,52.49206875242456,NA,62.62,-34,9
2020-03-30,4,12.6375,4.433333333333334,59.94066977023696,NA,69.81,-48,19
2020-03-31,3,11.57125,7.994861111111112,81.50313154415022,NA,70.33,-50,19
2020-04-01,1,13.2,6.745833333333334,68.3646171540309,1.4344870290005869,74.45,-49,18
2020-04-02,1,17.408333333333335,7.108333333333333,51.499266498113606,1.4292565621498126,72.77,-50,18
2020-04-03,2,11.867430555555556,8.84763888888889,84.32383611470082,1.42206193435279,72.19,-50,21
2020-04-04,0,3.5864583333333333,3.0572916666666665,96.45744555251525,1.4124961081749483,61.63,-32,13
2020-04-05,1,9.33986111111111,8.587777777777777,95.43784464958506,1.4002062876412207,51.94,-35,11
2020-04-06,-1,15.395138888888889,13.002777777777778,86.86184590392463,1.3849158413933522,68.69,-50,19
2020-04-07,0,20.6,16.83125,80.0367465239124,1.3664463062038914,74.21,-51,19
2020-04-08,3,22.53763888888889,17.054305555555555,75.67086468450047,1.3447376188881437,80.69,-49,17
2020-04-09,2,16.270833333333332,4.7625,48.659233268895996,1.3198641030431661,79.64,-51,19
2020-04-10,0,9.375,-4.475,39.20545292713602,1.2920435746809542,89.71,-53,19
2020-04-11,0,12.9,2.71875,50.84530385738133,1.2616373908956378,71.65,-32,12
2020-04-12,1,14.340277777777779,12.049652777777778,86.90466159165496,1.2291403372191112,42.88,-44,12
2020-04-13,2,3.14375,-2.6020833333333333,69.35010759682672,1.1951607264531072,69.9,-50,20
2020-04-14,10,4.29875,-2.0925,67.10168948750164,1.160392616366856,75.49,-50,21
