date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-7.297916666666667,-11.722916666666666,71.21105906200457,NA,142.1,3,NA
2020-02-16,0,-3.2715972222222223,-7.065138888888889,77.48817245018202,NA,121.8,2,NA
2020-02-17,0,0.16666666666666669,-3.746111111111111,75.669287216379,NA,109.37,-23,6
2020-02-18,0,0.8305555555555556,-2.4055555555555554,80.04449429901693,NA,104.11,-1,1
2020-02-19,0,-7.175,-13.1375,64.02775835386755,NA,100.93,-1,1
2020-02-20,0,-10.241666666666667,-18.395833333333332,52.04288433962177,NA,108.25,2,0
2020-02-21,0,-7.3187500000000005,-14.022916666666667,60.50071167989828,NA,143.01,2,0
2020-02-22,0,1.8125,-6.275,55.79583530686267,NA,148.43,5,NA
2020-02-23,0,4.497916666666667,-1.9916666666666667,64.05063651058538,NA,116.8,4,NA
2020-02-24,0,2.6333333333333333,-2.20625,71.34839830490992,NA,102.32,5,-1
2020-02-25,0,1.867361111111111,-2.8048611111111112,71.6003947760155,NA,98.65,4,1
2020-02-26,0,-1.4409722222222223,-7.0368055555555555,66.35230368522664,NA,100.61,2,0
2020-02-27,0,-2.9875,-9.8,60.61798085470109,NA,123.46,5,-1
2020-02-28,0,-5.148611111111111,-11.6875,61.64322208624577,NA,139.31,7,-1
2020-02-29,0,-4.654166666666667,-13.950000000000001,50.247264402721655,NA,144.73,11,-5
2020-03-01,0,5.252083333333333,-1.63125,63.14926349888369,NA,118.82,4,NA
2020-03-02,0,3.052777777777778,-1.2645833333333334,74.05581861607413,NA,104.96,5,-1
2020-03-03,0,2.549166666666667,-1.7728472222222222,75.27183449546912,NA,110.53,4,-1
2020-03-04,0,3.374375,-2.2720833333333332,68.8486882291311,NA,107.03,4,-1
2020-03-05,0,3.6750000000000003,-2.747916666666667,64.12199181100479,NA,108.44,5,-1
2020-03-06,0,1.8930555555555557,-5.6506944444444445,59.075510097194574,NA,148.98,7,-2
2020-03-07,0,1.5458333333333334,-5.285416666666666,63.916432712503756,NA,152.88,7,NA
2020-03-08,0,8.016666666666667,-1.6708333333333332,53.57871572622757,NA,115.85,4,NA
2020-03-09,0,9.885416666666666,4.9222222222222225,73.96061789289051,NA,108.29,1,1
2020-03-10,0,6.158472222222223,2.8244444444444445,80.77141150214237,NA,107.74,1,0
2020-03-11,0,4.9125,2.6065972222222222,85.67237951964931,NA,112.05,1,0
2020-03-12,0,5.652777777777778,4.115277777777778,90.20342650287658,NA,107.15,3,-1
2020-03-13,0,5.159027777777778,-3.4027777777777777,56.98436263397754,NA,138.38,6,-1
2020-03-14,0,2.2203472222222222,-4.964791666666667,60.871521344128126,NA,117.92,4,NA
2020-03-15,0,1.2083333333333333,-3.6645833333333333,71.16161225974729,NA,92.74,-1,NA
2020-03-16,0,1.3520833333333333,-1.778125,80.37356733462235,NA,95.13,-19,8
2020-03-17,0,3.5125,-3.3541666666666665,64.36154471056365,NA,97.57,-25,9
2020-03-18,0,4.402083333333333,-0.5375,71.2952924000632,NA,85.5,-29,13
2020-03-19,0,7.005902777777778,6.054166666666666,93.75375618169151,NA,85.25,-30,14
2020-03-20,0,5.506111111111111,2.0685416666666665,79.7855738123285,NA,93.94,-30,15
2020-03-21,0,-0.03680555555555557,-7.871527777777778,57.19223971047991,NA,70.59,-18,NA
2020-03-22,0,-1.0854166666666667,-5.834027777777778,71.03939072436447,NA,50.24,-36,NA
2020-03-23,0,-0.18016865079365083,-1.4259623015873015,91.62854626492087,NA,64,-43,18
2020-03-24,0,4.283194444444445,1.2922222222222224,82.51475061298092,NA,67.67,-44,19
2020-03-25,0,5.132361111111111,2.1478472222222225,82.50681352231659,NA,71.64,-45,18
2020-03-26,0,8.88638888888889,6.491388888888889,85.30092190427008,NA,71.03,-45,20
2020-03-27,0,6.401041666666666,4.225,86.6915094492031,NA,79.26,-44,21
2020-03-28,0,9.78263888888889,8.686527777777778,93.013751165547,NA,67.76,-30,NA
2020-03-29,0,9.80861111111111,5.346319444444444,74.74202705547476,NA,52.37,-38,NA
2020-03-30,0,7.795833333333333,1.1083333333333334,64.72144832296397,NA,74.57,-44,17
2020-03-31,0,4.896527777777778,0.26180555555555557,72.79302098205609,NA,70.37,-45,19
2020-04-01,0,6.9375,0.9083333333333333,67.97991971214938,NA,71.74,-45,18
2020-04-02,0,9.189583333333333,2.9458333333333333,67.76885132510512,NA,78.35,-44,18
2020-04-03,0,13.408333333333333,5.785416666666666,61.0722436519197,NA,87.44,-42,20
2020-04-04,0,6.327638888888889,1.0409722222222222,72.49380953194724,NA,73.35,-29,NA
2020-04-05,3,7.870833333333334,-0.33125,59.96901814837546,1.5497512654970393,61.3,-35,NA
2020-04-06,1,8.213541666666666,0.38333333333333347,58.7794114923626,1.5414637681639234,71.11,-44,18
2020-04-07,2,16.893402777777776,13.24236111111111,81.15171975579875,1.5322724345871124,75.59,-46,18
