date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-4.615972222222222,-10.106944444444444,65.80635024048061,NA,195.13,2,NA
2020-02-16,0,-4.07375,-7.439583333333333,78.96460612993499,NA,137.52,-3,NA
2020-02-17,0,-0.2215277777777778,-2.754166666666667,83.3878159546742,NA,122.26,-8,3
2020-02-18,0,-2.7456597222222223,-6.225446428571429,77.60440286687366,NA,119.95,-3,1
2020-02-19,0,-10.156521739130435,-15.830434782608696,63.99033195762344,NA,111.74,-2,-1
2020-02-20,0,-14.445833333333333,-20.03125,64.05403651126342,NA,125.66,-1,0
2020-02-21,0,-5.80625,-12.3125,61.430251940464686,NA,160.68,-11,NA
2020-02-22,0,1.2229166666666667,-4.83125,64.5798988328167,NA,165.43,16,NA
2020-02-23,0,3.7760416666666665,-1.7854166666666667,68.74741649698885,NA,118.28,9,NA
2020-02-24,0,0.6520833333333332,-3.1875,76.23383259304373,NA,116.93,1,-1
2020-02-25,0,0.9041666666666667,-4.266666666666667,68.80485469403321,NA,123.8,0,0
2020-02-26,0,-1.6777777777777778,-6.733680555555556,69.02571107167246,NA,114.62,1,-3
2020-02-27,0,-3.5236111111111112,-9.216666666666667,65.37052778388325,NA,141.05,0,0
2020-02-28,0,-4.197916666666667,-8.728125,71.48405597946471,NA,171.65,-3,-2
2020-02-29,0,-3.5208333333333335,-7.66875,74.02560840500514,NA,191.4,-6,NA
2020-03-01,0,5.364583333333333,-0.4333333333333334,67.03793923237396,NA,122.58,-17,NA
2020-03-02,0,1.55625,-2.8562499999999997,72.95101581761824,NA,110.71,0,-1
2020-03-03,0,3.5229166666666667,-2.1645833333333333,68.249317914364525,NA,135.98,-3,-1
2020-03-04,0,3.9562500000000003,-1.5625,69.35208665696697,NA,115.07,-4,-2
2020-03-05,0,5.283333333333333,-1.1812500000000001,63.57701321057358,NA,119.37,-4,1
2020-03-06,0,2.0034722222222223,-6.3,57.17244840371119,NA,168.44,-1,-1
2020-03-07,0,5.920833333333333,-6.025,44.47308638514674,NA,187.62,6,NA
2020-03-08,0,12.20625,-0.85,41.840491071082255,NA,133.03,0,NA
2020-03-09,0,8.205555555555556,2.794791666666667,72.84775078595929,NA,124.57,0,1
2020-03-10,0,3.4166666666666665,-2.1104166666666666,70.0774610486855,NA,132.78,2,-2
2020-03-11,0,6.066666666666666,2.09375,76.69499222502023,NA,111.61,1,-3
2020-03-12,0,8.090972222222222,4.603472222222222,79.32324832656012,NA,114.3,-1,0
2020-03-13,0,3.5277777777777777,-5.118055555555555,55.377511972321415,NA,143.62,-5,-1
2020-03-14,0,0.5119246031746032,-4.282767857142857,71.38034104749437,NA,123.03,2,NA
2020-03-15,0,-2.0034722222222223,-5.923263888888889,75.94035864340988,NA,105.2,-10,NA
2020-03-16,0,2.611666666666667,-1.97875,72.35750410680924,NA,111.48,-16,NA
2020-03-17,0,3.1430555555555557,-3.053472222222222,66.11892862835448,NA,101.73,-22,NA
2020-03-18,0,5.448958333333334,2.5197916666666664,82.68885009792677,NA,99.17,-26,NA
2020-03-19,0,7.3336805555555555,6.0993055555555555,91.9956688938158,NA,88.84,-29,NA
2020-03-20,0,1.5003472222222223,-2.700486111111111,74.69569399033793,NA,95.57,-33,NA
2020-03-21,0,0.058333333333333355,-6.589583333333334,62.31383969573352,NA,77.04,-17,NA
2020-03-22,0,1.73125,-4.514583333333333,63.832634393143444,NA,63.69,-31,NA
2020-03-23,0,3.2145833333333336,0.25,81.64523939047427,NA,74.6,-35,NA
2020-03-24,0,5.509722222222222,1.9277777777777778,78.29298407857695,NA,75.63,-36,NA
2020-03-25,0,6.148263888888889,3.848611111111111,85.56617904741117,NA,78.9,-37,NA
2020-03-26,0,8.038194444444445,5.415694444444444,84.41677695134167,NA,84.73,-39,NA
