date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-0.8250000000000001,-8.625,55.98597527151535,NA,136.98,7,NA
2020-02-16,0,3.129166666666667,-1.8875,72.35200250400352,NA,119.83,-4,NA
2020-02-17,0,6.379166666666666,2.8958333333333335,79.46803307417619,NA,122.22,-28,7
2020-02-18,0,4.307638888888889,0.525,77.8813548404703,NA,103.92,1,0
2020-02-19,0,0.21458333333333335,-4.247916666666667,73.10295923020574,NA,106.53,3,-2
2020-02-20,0,-2.457638888888889,-8.824305555555556,63.263107443399,NA,121.34,2,1
2020-02-21,0,-3.841666666666667,-12.5375,54.94443175574511,NA,161.56,22,0
2020-02-22,0,2.2583333333333333,-9.13125,44.03734567828529,NA,147.45,6,NA
2020-02-23,0,8.302083333333334,-2.4208333333333334,47.308671997733164,NA,131.65,4,NA
2020-02-24,0,7.74375,5.326388888888888,86.11165092176832,NA,100.66,2,2
2020-02-25,0,2.705208333333333,1.5145833333333334,91.99958586979295,NA,101.63,3,0
2020-02-26,0,0.8399801587301587,-2.3439087301587302,80.519204664052907,NA,104.17,3,-4
2020-02-27,0,0.012499999999999905,-5.433333333333334,68.12583594916941,NA,117.74,5,0
2020-02-28,0,2.6458333333333335,-2.4916666666666667,70.27888671175619,NA,162.41,21,-2
2020-02-29,0,3.0791666666666666,-2.99375,67.37270191900305,NA,150.31,8,NA
2020-03-01,0,11.660416666666666,3.0875000000000004,56.475042075490144,NA,120.87,7,NA
2020-03-02,0,9.95138888888889,3.5399305555555554,66.31952555296319,NA,101.06,6,-1
2020-03-03,0,8.6,-1.7083333333333333,52.493678527465754,NA,107.69,3,-1
2020-03-04,0,9.4125,-1.7604166666666665,46.81933254404096,NA,116.72,6,-4
2020-03-05,0,8.620833333333334,-2.3895833333333334,51.03992773201619,NA,121.39,5,-1
2020-03-06,0,5.891666666666667,-5.520833333333333,47.5434037645034,NA,166.77,20,-2
2020-03-07,0,7.941666666666666,-7.758333333333333,34.223344063022935,NA,156.11,6,NA
2020-03-08,0,13.0125,-3.9854166666666666,33.54575953322268,NA,139.36,5,NA
2020-03-09,0,12.9625,5.689583333333333,70.64501054779652,NA,107.48,3,2
2020-03-10,0,5.537013888888889,3.572986111111111,87.37524599325545,NA,114.72,3,-1
2020-03-11,0,7.975694444444445,4.367361111111111,80.24595719881565,NA,118.56,5,-3
2020-03-12,0,11.052430555555556,8.844236111111112,86.90219726637916,NA,117.45,4,1
2020-03-13,0,6.60625,-0.5625,61.62011374642496,NA,151.77,20,-1
2020-03-14,0,4.3875,0.3145833333333334,76.56356598636654,NA,142.83,7,NA
2020-03-15,0,2.4229166666666666,-0.8666666666666667,79.39540671352229,NA,111.11,1,NA
2020-03-16,0,3.665277777777778,1.6006944444444444,87.01250288133197,NA,107.41,1,2
2020-03-17,0,6.525,4.075833333333334,84.98749850188396,NA,103.8,0,2
2020-03-18,0,9.738888888888889,7.554166666666667,86.66211097674822,NA,105,-12,5
2020-03-19,0,15.82175925925926,14.022175925925925,89.69953634622449,NA,92.9,-20,10
2020-03-20,0,9.354861111111111,5.635416666666667,77.96981387530185,NA,107.48,-11,12
2020-03-21,0,2.107638888888889,-4.08125,65.98940409803028,NA,97.22,-8,NA
2020-03-22,0,2.5255555555555556,-0.5429861111111111,81.91940220810919,NA,72.19,-20,NA
2020-03-23,1,5.150347222222222,3.7246527777777776,91.4537297623285,NA,72.29,-30,14
2020-03-24,1,5.8069444444444445,4.004513888888889,88.4175713217292,NA,68.63,-33,16
2020-03-25,0,8.639791666666667,6.426805555555555,87.20970820361526,NA,72.43,-35,13
2020-03-26,0,15.454166666666667,10.68125,75.08127085631581,NA,80.68,-35,15
2020-03-27,1,16.223690476190477,13.189503968253968,83.62243971973646,NA,79.76,-27,18
2020-03-28,3,20.237103174603174,15.642261904761904,77.80533616272005,NA,69.6,-13,NA
2020-03-29,2,13.670833333333333,1.9458333333333333,47.84781757959733,NA,65.68,-20,NA
2020-03-30,5,13.641666666666667,0.03125000000000005,40.13923783275749,NA,70.66,-35,14
2020-03-31,1,13.43125,0.5833333333333334,42.894451960244496,NA,74.46,-36,14
2020-04-01,3,11.5125,3.408333333333333,60.25961651110948,0.8629069760890018,79.86,-36,11
2020-04-02,1,15.741666666666667,4.664583333333333,50.415413880753675,0.8642111318190111,81.75,-36,15
2020-04-03,0,12.697916666666666,6.520138888888889,67.65488422025513,0.8657078009825675,84.6,-26,17
2020-04-04,0,2.55625,0.7381944444444445,88.15381120005911,0.8674268143520797,73.8,-14,NA
2020-04-05,0,6.81875,3.682638888888889,80.86889701570412,0.8693991634762519,62.31,-22,NA
2020-04-06,1,13.685416666666667,9.538194444444445,77.15508833171361,0.871655007410976,66.32,-37,16
2020-04-07,0,21.045833333333334,14.970833333333333,69.30216249989044,0.8742216275889243,76.91,-38,14
2020-04-08,0,22.31423611111111,15.128819444444444,68.70555833986631,0.8771216132968815,83.89,-37,12
2020-04-09,1,11.8375,-0.7979166666666666,45.52936061110867,0.8803715098672354,81.56,-37,16
2020-04-10,1,5.635416666666667,-6.064583333333333,45.112742338912355,0.8839810687138104,85.09,-33,18
2020-04-11,0,11.563888888888888,2.020138888888889,53.39049522236367,0.8879531293531667,65.07,-18,NA
2020-04-12,-1,15.407638888888888,9.829166666666666,70.24711130208422,0.8922840640781516,45.78,-34,NA
2020-04-13,0,3.551736111111111,-3.6479166666666667,62.52237331453456,0.8969646436373785,75.83,-35,16
2020-04-14,0,4.872916666666667,-7.2,44.75295651476053,0.9019811447372396,73.8,-36,15
2020-04-15,0,5.654166666666667,-5.383333333333334,47.77483890873983,0.9073165165818736,80.09,-36,11
2020-04-16,0,7.325,-4.004166666666666,45.432137717068144,0.9129514478962542,92.9,-36,15
2020-04-17,1,5.008333333333334,1.1229166666666666,77.77396192762703,0.9188652195573253,91.63,-23,18
2020-04-18,0,6.066666666666666,-1.5125,64.40636931138195,0.9250362823887738,94.53,-15,NA
2020-04-19,0,13.754166666666666,2.129166666666667,46.82923966838988,0.9314425567789196,73.37,-25,NA
2020-04-20,0,13.460416666666667,2.810416666666667,49.70434688784165,0.9380615033885863,90.71,-37,13
2020-04-21,0,14.210416666666667,2.0833333333333335,46.93339084464087,0.9448700560435478,99.1,-37,12
2020-04-22,0,14.369444444444444,2.9916666666666667,48.10775245981981,0.9518445334712636,90.66,-35,12
2020-04-23,0,14.560416666666667,11.565972222222221,83.96999173607762,0.9589606512433804,91.06,-37,15
2020-04-24,0,14.727083333333333,11.192708333333334,80.238279241656,0.966193735938471,103.35,-26,17
2020-04-25,0,12.61111111111111,10.11875,85.73526232570133,0.9735191995716505,93.25,-16,NA
2020-04-26,0,12.104166666666666,4.404166666666667,64.178455344972,0.9809132675298845,90.8,-22,NA
2020-04-27,-1,15.729166666666668,7.26875,58.56185696453089,0.9883538773189763,92.59,-33,13
2020-04-28,2,18.77638888888889,12.629861111111111,68.89324585658834,0.995821594220869,84.69,-35,8
2020-04-29,0,12.681597222222223,9.189772727272727,81.01319265828593,1.003300343067925,91.42,-35,13
2020-04-30,0,14.016666666666667,5.46875,59.80389436378467,1.010777750772166,110.8,-34,12
2020-05-01,0,17.158333333333335,6.402083333333334,51.74103740011577,1.0182449414953065,125.85,-22,11
2020-05-02,1,22.433333333333334,12.752083333333333,55.68534491782214,1.0256957207260342,114.74,-15,NA
2020-05-03,0,20.439583333333335,8.6625,48.11457330916463,1.0331252060001528,101.75,-18,NA
2020-05-04,0,14.821626984126985,6.191071428571429,58.05509131207539,1.0405280800638126,95.52,-26,11
2020-05-05,0,14.347321428571428,8.551190476190476,73.31891599300052,1.0478967256740626,109.95,-29,10
2020-05-06,0,12.08611111111111,4.634722222222222,62.2456336507374,1.0552195284158807,108.14,-30,8
2020-05-07,0,13.335416666666667,5.179166666666666,61.167761338966564,1.0624795998934304,109.36,-29,11
2020-05-08,0,12.524375,5.114861111111112,66.2534816924223,1.0696540904634129,143.11,-25,12
2020-05-09,0,10.9125,0.2625,51.11930393983886,1.0767141520449466,126.51,-9,NA
2020-05-10,0,11.847916666666666,1.6354166666666667,51.645257701792005,1.083625504600934,103.49,-15,NA
2020-05-11,0,8.997916666666667,-0.9770833333333333,52.37967198031772,1.0903494774678102,NA,-26,10
2020-05-12,0,9.733333333333333,3.2729166666666667,64.83598167108008,1.0968443524909453,NA,-28,10
2020-05-13,0,11.352083333333333,9.199305555555556,86.92082767773721,1.103066833044104,110.42,-26,8
2020-05-14,0,20.403125,16.314583333333335,78.9200523794278,1.1089734954186683,123.96,-28,11
2020-05-15,0,19.747708333333335,16.658560606060608,81.54785637924257,1.1145221343717173,153.89,-15,10
2020-05-16,0,19.135416666666668,17.315277777777776,89.507353150655,1.11967297742908,136.34,-3,NA
2020-05-17,0,19.446011904761903,16.579632936507934,84.9985321755353,1.1243897975564185,130,-15,NA
