date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,2.4,-6.844444444444444,54.303363318397494,NA,147.65,-1,NA
2020-02-16,0,10.717948717948719,0.48717948717948717,49.80729663254339,NA,101.7,0,NA
2020-02-17,0,11.933333333333334,7.122222222222223,75.1845318517687,NA,109.92,-6,2
2020-02-18,0,8.256410256410257,7.9743589743589745,98.19200436723034,NA,100.46,0,2
2020-02-19,0,4.756410256410256,-3.1794871794871793,60.89929901989709,NA,117,-1,1
2020-02-20,0,3.1574074074074074,-4.5,58.102868833463646,NA,120.09,0,0
2020-02-21,0,-1.6333333333333333,-10.244444444444444,56.34034320891374,NA,133.75,0,0
2020-02-22,0,2.176470588235294,-8.22549019607843,51.451095447881784,NA,142.4,3,NA
2020-02-23,0,5.7,-3.2333333333333334,53.51891013465247,NA,88.23,1,NA
2020-02-24,0,6.9855072463768115,6.9855072463768115,100,NA,101.82,1,3
2020-02-25,0,8.547619047619047,8.547619047619047,100,NA,117,4,0
2020-02-26,0,2.9166666666666665,2.2777777777777777,95.85319482144179,NA,112.55,0,0
2020-02-27,0,1.3680555555555556,-4.305555555555555,69.86800563736227,NA,118.17,1,-1
2020-02-28,0,4.694444444444445,-1.3611111111111112,66.89585714810497,NA,142.49,-1,-1
2020-02-29,0,2.7777777777777777,-2.1180555555555554,76.6866535725433,NA,154.76,3,NA
2020-03-01,0,8.784722222222221,-0.9166666666666666,52.54328856682803,NA,101.61,-3,NA
2020-03-02,0,13.458333333333334,10.5,85.05272912749078,NA,109.49,1,2
2020-03-03,0,14.26388888888889,10.625,82.44987917213342,NA,121.11,3,0
2020-03-04,0,11.222222222222221,4.097222222222222,68.0704563341154,NA,126.82,4,-1
2020-03-05,0,10.368055555555555,0.3888888888888889,52.36592218811403,NA,133.78,3,-1
2020-03-06,0,8.194444444444445,-4.166666666666667,42.59069588225094,NA,149.72,-1,-1
2020-03-07,0,4.513888888888889,-4.944444444444445,57.114667944894315,NA,152.94,0,NA
2020-03-08,0,8.791666666666666,-4.305555555555555,43.3290090530434,NA,113.69,1,NA
2020-03-09,0,13.930555555555555,3.8194444444444446,52.605516133182846,NA,111.37,3,0
