date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,12.651041666666666,NA,NA,NA,169.79,-6,-1
2020-02-16,0,15.675694444444444,NA,NA,NA,135.4,-5,NA
2020-02-17,0,14.327777777777778,NA,NA,NA,145.29,-36,7
2020-02-18,0,16.444444444444443,NA,NA,NA,109.5,-13,3
2020-02-19,0,19.427777777777777,NA,NA,NA,107.59,-1,0
2020-02-20,0,14.072916666666666,NA,NA,NA,117.73,0,1
2020-02-21,0,7.052083333333333,NA,NA,NA,158.54,-1,2
2020-02-22,0,7.263888888888889,NA,NA,NA,149.49,1,-1
2020-02-23,0,9.459722222222222,NA,NA,NA,123.76,-2,NA
2020-02-24,0,15.125,NA,NA,NA,106.43,2,0
2020-02-25,0,16.518402777777776,NA,NA,NA,99.33,0,2
2020-02-26,0,17.26423611111111,NA,NA,NA,109.59,1,1
2020-02-27,0,10.823611111111111,NA,NA,NA,127.71,3,-1
2020-02-28,0,7.703125,NA,NA,NA,156.17,3,-2
2020-02-29,0,11.242708333333333,NA,NA,NA,169.6,2,-3
2020-03-01,0,8.42013888888889,NA,NA,NA,136.72,2,-1
2020-03-02,0,14.075694444444444,NA,NA,NA,120.59,3,0
2020-03-03,0,20.631944444444446,NA,NA,NA,111.39,3,-1
2020-03-04,0,19.205902777777776,NA,NA,NA,115.48,1,1
2020-03-05,0,16.463194444444444,NA,NA,NA,136.94,2,1
2020-03-06,0,15.05625,NA,NA,NA,179.7,1,0
2020-03-07,0,10.4375,NA,NA,NA,189.66,0,-3
2020-03-08,0,11.806944444444444,NA,NA,NA,151.42,1,NA
2020-03-09,0,15.598958333333334,NA,NA,NA,130.96,1,-1
2020-03-10,0,17.28611111111111,NA,NA,NA,120.17,1,0
2020-03-11,0,18.19375,NA,NA,NA,130.21,0,0
2020-03-12,0,18.514583333333334,NA,NA,NA,143.41,0,0
2020-03-13,1,18.815277777777776,NA,NA,NA,185.64,0,0
2020-03-14,-1,18.824305555555554,NA,NA,NA,187.3,2,0
2020-03-15,0,21.240277777777777,NA,NA,NA,166.58,-5,NA
2020-03-16,0,18.200347222222224,NA,NA,NA,132.51,-3,2
2020-03-17,0,19.273611111111112,NA,NA,NA,122.97,-12,6
2020-03-18,0,20.3375,NA,NA,NA,152.38,-18,8
2020-03-19,0,20.5625,NA,NA,NA,114.51,-20,9
2020-03-20,0,21.836111111111112,NA,NA,NA,124.13,-22,11
2020-03-21,0,21.649652777777778,NA,NA,NA,114.36,-15,NA
