date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-1.5375,-11.089583333333334,49.64827513489309,NA,122.88,-6,NA
2020-02-16,0,2.7729166666666667,-4.795833333333333,59.25992454779084,NA,95.06,-3,NA
2020-02-17,0,6.483333333333333,-0.64375,63.38655873987282,NA,107.36,-9,3
2020-02-18,0,6.477083333333334,2.5277777777777777,76.83974559840553,NA,99.83,1,0
2020-02-19,0,9.802083333333334,0.3736111111111112,58.68389925914308,NA,108.92,3,-1
2020-02-20,0,3.04375,-6.135416666666667,52.11335136624375,NA,106.65,1,1
2020-02-21,0,1.2770833333333333,-10.625,44.723330858894556,NA,129.99,0,-1
2020-02-22,0,2.1666666666666665,-13.329166666666666,38.170267879095675,NA,132.83,0,NA
2020-02-23,0,5.329166666666667,-9.264583333333334,41.823072571693594,NA,102.12,2,NA
2020-02-24,0,7.029166666666667,-1.5604166666666668,55.9269616439679,NA,100.04,0,2
2020-02-25,0,9.917361111111111,7.638888888888888,86.58668092504162,NA,105.68,0,-1
2020-02-26,0,9.998020833333333,8.434895833333334,90.48915501427825,NA,108.05,1,-1
2020-02-27,0,5.15625,-4.590277777777778,52.03219259734073,NA,106.86,0,0
2020-02-28,0,2.46875,-7.385416666666667,49.22125707136087,NA,141.35,2,-1
2020-02-29,0,1.7375,-8.152083333333334,51.69507815606275,NA,142.63,-1,NA
2020-03-01,0,4.14375,-11.235416666666666,34.078111692677844,NA,109.55,3,NA
2020-03-02,0,8.8,-3.5541666666666667,43.24624700777959,NA,107.78,1,0
2020-03-03,0,11.796666666666667,6.755486111111111,72.94330543882626,NA,108.48,0,-2
2020-03-04,0,13.141666666666667,-2.341666666666667,36.12477279684043,NA,107.89,3,-2
2020-03-05,0,10.166666666666666,-0.725,48.05175703397782,NA,117.37,0,-1
2020-03-06,0,6.2125,-1.5416666666666667,61.816979571192526,NA,146.16,0,0
2020-03-07,0,7.164583333333333,-6.485416666666667,39.21216781764817,NA,133.71,1,NA
2020-03-08,0,5.5,-7.0687500000000005,47.0116088857701,NA,104.65,3,NA
2020-03-09,0,11.595833333333333,-3.127083333333333,39.48775810174173,NA,111.5,-1,0
2020-03-10,0,16.058333333333334,7.897916666666666,59.563231544709936,NA,115.56,-2,-1
2020-03-11,0,16.16845238095238,9.611607142857142,68.99454407312012,NA,112.3,-1,-1
2020-03-12,0,13.4,6.967361111111111,66.29950321499129,NA,117.31,-4,-1
2020-03-13,0,18.466666666666665,10.611805555555556,65.83855063542633,NA,136.59,-5,0
2020-03-14,0,12.727083333333333,-5.264583333333333,28.908289636849467,NA,107.87,-6,NA
2020-03-15,0,7.110416666666667,3.7541666666666664,79.78303082491989,NA,81.81,-11,NA
2020-03-16,0,8.138194444444444,1.7319444444444445,65.35392252442033,NA,95.06,-13,5
2020-03-17,0,12.020833333333334,5.945833333333334,67.41086098049088,NA,89.21,-16,5
2020-03-18,0,11.4,5.441666666666666,68.01446405263218,NA,89.42,-20,8
2020-03-19,0,16.037083333333335,11.685555555555556,77.84925130484204,NA,84.9,-22,8
2020-03-20,0,21.214583333333334,14.479166666666668,67.8117324427306,NA,98.55,-25,10
2020-03-21,0,16.179861111111112,12.299444444444445,78.79109868835515,NA,86.58,-16,NA
2020-03-22,0,9.245833333333334,-0.3541666666666667,51.857840177156646,NA,63.51,-27,NA
2020-03-23,0,7.264930555555556,3.8027777777777776,80.13513218596225,NA,72.37,-26,12
2020-03-24,0,8.78817791005291,6.002554563492064,83.77588611117464,NA,76.74,-28,11
2020-03-25,0,9.732222222222223,7.041805555555555,84.12447385090476,NA,70.79,-30,14
2020-03-26,0,10.341319444444444,6.019791666666666,75.66603234778535,NA,75.58,-31,12
2020-03-27,0,16.6875,10.547916666666667,69.47089852750281,NA,86.94,-31,13
2020-03-28,0,19.58125,12.85625,66.5043138019651,NA,78.15,-26,NA
2020-03-29,0,20.69097222222222,11.983333333333333,65.03449777665755,NA,64.52,-33,NA
2020-03-30,0,20.575,-0.65625,25.409923574851604,NA,75.9,-31,11
2020-03-31,1,11.544097222222222,2.13125,58.27602724759571,NA,67.3,-34,15
2020-04-01,1,8.640277777777778,3.8763888888888887,74.5657388848432,0.809527043842055,68.6,-34,14
2020-04-02,0,11.058333333333334,-0.10208333333333333,50.92929418885187,0.8085960626645017,75.29,-36,14
2020-04-03,0,13.9125,-4.833333333333333,30.460746733161965,0.8077461334052235,82.06,-35,15
2020-04-04,0,13.797916666666667,-0.22083333333333333,41.25018494643587,0.8070255947171894,75.02,-27,NA
2020-04-05,0,14.377083333333333,5.7375,60.08057148366658,0.8064857937904686,56.91,-37,NA
2020-04-06,0,16.86875,8.8125,61.46094384690397,0.806179258341055,80.86,-34,14
2020-04-07,1,17.82576388888889,10.899722222222222,68.23279627328932,0.8061581100899755,80.32,-35,13
2020-04-08,1,19.979166666666668,11.2875,58.86428795357344,0.8064727871146546,84.9,-36,14
2020-04-09,0,17.310416666666665,6.278472222222223,54.614145695204584,0.8071710818131866,81.05,-37,14
2020-04-10,3,9.752083333333333,-6.139583333333333,33.326897238530066,0.8082974547932291,89.51,-43,18
2020-04-11,2,9.30625,-4.441666666666666,41.346887264615816,0.8098925573703659,80.84,-32,NA
2020-04-12,0,14.2,5.191666666666666,55.88054960413822,0.8119928858580548,50.18,-44,NA
2020-04-13,1,19.77315972222222,14.12923611111111,73.38486127889314,0.814630495649261,79.75,-45,18
2020-04-14,1,12.9,2.970833333333333,51.76963709841599,0.8178327175597273,82.36,-33,13
2020-04-15,0,7.613194444444444,-0.6204861111111111,61.92090127834298,0.8216218390225762,93.21,-33,14
2020-04-16,-2,8.279166666666667,-3.6979166666666665,48.449877006776966,0.8260147356777687,92.34,-33,13
2020-04-17,0,10.775,-0.86875,48.763905894760335,0.8310224627537177,101.07,-33,14
2020-04-18,0,14.783333333333333,2.535416666666667,46.084066998855285,0.836649838651036,82.65,-24,NA
2020-04-19,0,9,0.90625,60.68756523230485,0.8428950731509764,73.25,-29,NA
2020-04-20,0,12.825694444444444,7.786111111111111,72.90058061708558,0.8497495068966561,85.91,-33,15
2020-04-21,1,14.262500000000001,5.36875,61.74832000248425,0.857197534124638,95.16,-32,12
2020-04-22,0,13.308333333333334,-5.839583333333334,26.79602019335811,0.8652167743626145,90.89,-32,12
2020-04-23,0,11.854166666666668,7.41625,75.44346627890786,0.8737785396133295,87.3,-33,16
2020-04-24,0,17.193333333333335,12.389444444444445,76.84710787013337,0.8828486122752764,107.15,-33,14
2020-04-25,0,13.83236111111111,10.324722222222222,79.90329100985618,0.8923883092349779,86.46,-25,NA
2020-04-26,1,13.303670634920636,10.100694444444445,82.50373036453328,0.9023557652375482,67.91,-31,NA
2020-04-27,0,14.341666666666667,2.50625,46.842756803721045,0.9127073314189922,92.2,-31,13
2020-04-28,0,12.872916666666667,4.010416666666667,57.56066455915433,0.923398960349922,100.74,-31,5
2020-04-29,1,16.735416666666666,10.191666666666666,67.57520367903783,0.934387442684701,94.43,-31,12
2020-04-30,0,16.159027777777776,11.764930555555555,76.81973712930608,0.9456313744294335,93.94,-34,14
2020-05-01,0,14.266666666666667,6.089583333333334,59.294987972795816,0.9570917654135843,110.58,-31,12
2020-05-02,1,15.51875,5.020833333333333,53.960840824728024,0.9687322425180975,107.55,-23,NA
2020-05-03,0,20.825,11,55.59550815467138,0.9805188475744356,86.65,-30,NA
2020-05-04,0,21.94375,9.03125,48.70511816789754,0.9924194723744361,109.84,-31,11
2020-05-05,0,12.425,5.51875,64.77083988982358,1.004403007430973,101.7,-30,12
2020-05-06,0,12.92951388888889,6.804166666666667,69.99471322698093,1.016438305796645,118.72,-30,11
2020-05-07,0,12.077083333333333,-0.9395833333333333,45.53926350528874,1.0284930794129108,119.2,-30,11
2020-05-08,0,12.929166666666667,3.4875,55.74597002542898,1.0405328544216765,127.4,-30,13
2020-05-09,0,8.758333333333333,-3.03125,47.07100619719104,1.0525201134047784,117.79,-21,NA
2020-05-10,0,9.122916666666667,-1.2958333333333334,53.60995744091657,1.0644137442816857,80.42,-25,NA
2020-05-11,0,12.272916666666667,1.2541666666666667,48.23656298842782,1.0761688940640766,NA,-29,11
2020-05-12,0,11.108333333333333,-0.5958333333333333,46.513343757793976,1.0877372882063676,NA,-29,9
2020-05-13,0,11.577083333333334,1.8916666666666666,55.182475758714645,1.099068023475036,119.66,-28,10
2020-05-14,0,17.95,10.2625,61.88341979003098,1.1101087793594788,125.74,-29,7
2020-05-15,0,21.4625,14.09375,67.1986155542433,1.1208073299795682,145.49,-30,9
2020-05-16,0,22.96875,14.364583333333334,60.894440937783166,1.1311131879212757,127.97,-17,NA
2020-05-17,0,21.260416666666668,16.98402777777778,77.1457239725686,1.140979185680093,103.83,-20,NA
2020-05-18,0,17.89375,15.436111111111112,85.73872317386044,1.1503628073608254,122.1,-28,11
2020-05-19,0,13.482996031746032,11.490674603174604,87.88219585443754,1.1592271235904426,112.28,-29,12
2020-05-20,0,9.858333333333334,6.595833333333333,80.54592357246113,1.167541248493671,117.25,-30,12
2020-05-21,0,12,10.52125,90.7815896445308,1.1752803146240622,115.71,-30,12
2020-05-22,0,18.923472222222223,15.56388888888889,82.49573003855255,1.1824250329810972,139.73,-31,11
2020-05-23,0,20.944414682539684,16.41882275132275,77.71712451258833,1.1889609564394066,134.01,-18,NA
2020-05-24,0,20.915208333333332,17.336944444444445,80.95636516716,1.1948775888116363,106.83,-24,NA
2020-05-25,0,19.00625,16.075694444444444,83.73373921479683,1.2001674795729114,118.51,-71,NA
2020-05-26,2,21.72083333333333,17.0625,76.50300107091995,1.204825423801519,130.41,-27,7
2020-05-27,1,21.175,17.805555555555557,81.54987818995534,1.2088478583133533,136.15,-27,10
2020-05-28,0,23.67534722222222,19.91736111111111,80.5301428432025,1.2122325163411396,133.63,-25,9
2020-05-29,1,24.35472222222222,20.895,81.60901645711827,1.2149783777210033,147.8,-26,9
2020-05-30,1,24.500694444444445,16.447222222222223,65.3618980994845,1.2170859281238249,139.43,-14,NA
2020-05-31,0,21.1375,9.65625,49.300703809102544,1.218557716104742,109.7,-17,NA
2020-06-01,0,18.075,6.197916666666667,47.84889760668216,1.2193991685593493,129.23,-26,7
2020-06-02,0,20.04375,11.88125,62.30808359120789,1.2196195949133701,135.52,-25,8
2020-06-03,0,27.485416666666666,16.522916666666667,53.83112773645977,1.2192332829555355,139.79,-26,8
2020-06-04,0,26.520833333333332,18.066666666666666,60.94991840408523,1.218260571348295,142.52,-28,8
2020-06-05,2,25.614583333333332,19.26111111111111,68.60192278652751,1.2167287811983905,155.46,-25,8
2020-06-06,0,25.93296957671958,20.21580687830688,73.65479405896586,1.2146729037906285,158.23,-11,NA
2020-06-07,0,25.710416666666667,15.702083333333333,55.897544245594084,1.2121359710923767,113.94,-15,NA
2020-06-08,0,23.43541666666667,15.252083333333333,61.44294442989864,1.2091690731279687,138.51,-24,7
2020-06-09,0,25.007638888888888,20.609027777777776,77.56053972960541,1.2058310228985054,140.99,-24,6
2020-06-10,2,26.514583333333334,22.03333333333333,77.52536690896656,1.2021876971034844,145.91,-25,8
2020-06-11,0,26.193749999999998,20.366666666666667,72.76434483701922,1.1983110949857791,145.66,-26,7
2020-06-12,0,24.316666666666666,12.691666666666666,51.08153356417561,1.1942781587448317,164.21,-26,7
2020-06-13,1,21.95,11.814583333333333,54.12121200316009,1.1901693925094563,158.17,-9,NA
2020-06-14,2,19.85,14.568055555555556,73.37082831201003,1.1860673108408253,128.83,-15,NA
2020-06-15,0,16.021527777777777,13.336805555555555,84.35638203310083,1.1820547495097273,129.63,-27,11
2020-06-16,3,15.669444444444444,12.688194444444445,83.01137178805327,1.1782130843286307,130.85,-26,9
2020-06-17,0,16.66559523809524,14.967063492063492,89.80736642189927,1.174620425769079,130.73,-28,12
2020-06-18,0,20.521527777777777,17.41638888888889,83.2661392893872,1.171349880048953,142.57,-26,8
2020-06-19,2,20.92779761904762,18.273878968253968,85.56562851256574,1.168467980382902,166.56,-29,8
2020-06-20,2,22.433095238095238,18.710252976190475,80.97977329379573,1.1660333851587243,147.87,-11,NA
2020-06-21,0,23.3125,18.751041666666666,77.4840553082906,1.1640959079675257,119.89,-12,NA
2020-06-22,0,25.020833333333332,20.177083333333332,77.08835878867484,1.1626958904014393,145.4,-27,7
2020-06-23,1,24.533333333333335,20.23576388888889,78.28183108271912,1.161863862971973,145.76,-28,7
2020-06-24,-1,24.232291666666665,17.067708333333332,67.64558761354385,1.1616203784989294,150.14,-26,6
2020-06-25,2,23.90813492063492,17.301190476190477,69.58737513502989,1.1619758630441488,156.89,-28,6
2020-06-26,7,23.49375,15.95,65.21949426847499,1.1629303251123542,178.51,-28,7
2020-06-27,0,25.245833333333334,17.704166666666666,65.33873388386925,1.164472799540195,173.29,-9,NA
2020-06-28,2,25.19375,19.439583333333335,71.08174960007469,1.166580473468203,129.3,-16,NA
2020-06-29,1,26.29375,18.641666666666666,64.9183696954334,1.1692175344004578,146.04,-28,7
2020-06-30,1,26.333333333333332,19.952083333333334,69.81782275670851,1.1723338756718142,151.8,-30,6
2020-07-01,0,25.891666666666666,20.1375,72.6333461653582,1.1758638733170954,154.03,-29,6
