date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-3.0833333333333335,-9.408333333333333,62.55710216794743,NA,114.49,2,NA
2020-02-16,0,-0.8958333333333334,-7.4750000000000005,61.69894961259761,NA,96.98,-5,NA
2020-02-17,0,-1.6049404761904762,-4.476914682539682,81.72736740203403,NA,107.26,-22,7
2020-02-18,0,-6.590277777777778,-8.929861111111112,83.89422324206492,NA,106.92,1,0
2020-02-19,0,-8.396180555555556,-10.542708333333334,84.95335799233222,NA,112.49,-1,0
2020-02-20,0,-7.416666666666667,-13.670833333333334,62.451511688554575,NA,124.81,1,0
2020-02-21,0,-1.2291666666666667,-11.304166666666667,46.91485226665425,NA,135.47,1,-1
2020-02-22,0,1.7375,-7.891666666666667,49.64935167730448,NA,133.37,-1,NA
2020-02-23,0,0.5333333333333333,-5.233333333333333,67.18144970467321,NA,89.31,4,NA
2020-02-24,0,-0.2861904761904762,-4.013809523809524,76.83513578782234,NA,96.71,2,5
2020-02-25,0,-5.827638888888889,-9.159236111111111,78.40958409491826,NA,116.12,-20,12
2020-02-26,0,-7.0125,-12.008333333333333,68.47840840115518,NA,121.45,3,0
2020-02-27,0,0.7236507936507937,-3.9902579365079363,72.37484076021002,NA,121.89,3,-1
2020-02-28,0,1.5416666666666667,-5.2125,61.82052362447903,NA,140.94,4,-3
2020-02-29,0,4.6625,-3.441666666666667,56.67938083103267,NA,116.63,1,NA
2020-03-01,0,0.5069444444444444,-4.975694444444445,67.7167607891051,NA,93.92,4,NA
2020-03-02,0,-1.291666666666667,-7.729166666666667,64.3516266618567,NA,120.6,5,0
2020-03-03,0,0.5213768115942029,-2.759782608695652,79.97677824612697,NA,121.62,6,-1
2020-03-04,0,4.783333333333333,-3.6458333333333335,56.97389475769562,NA,125.19,4,0
2020-03-05,0,-0.2934027777777778,-6.573958333333334,65.90252954495854,NA,128.55,3,-1
2020-03-06,0,7.241666666666666,-2.2625,53.17750205905847,NA,157.37,5,-2
2020-03-07,0,11.25,-2.7666666666666666,39.07246950420347,NA,132.21,1,NA
