date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-6.535416666666666,-16.95,44.856598719006755,NA,230.56,3,1
2020-02-16,0,0.21458333333333332,-8.385416666666666,53.86480128246946,NA,218.84,-2,NA
2020-02-17,0,4.60625,-4.760416666666667,54.02133834519442,NA,168.6,-17,4
2020-02-18,0,5.809375,-1.1604166666666667,61.74128417969688,NA,108.63,3,1
2020-02-19,0,6.5945833333333335,-2.9030555555555555,54.89423339618249,NA,110.43,1,0
2020-02-20,0,-0.5229166666666667,-10.952083333333333,46.32890166948501,NA,116.2,1,1
2020-02-21,0,-2.986111111111111,-13.924305555555556,45.4272933438471,NA,174.39,2,0
2020-02-22,0,1.4541666666666666,-13.477083333333333,36.50846992449123,NA,222.03,8,-1
2020-02-23,0,4.104166666666667,-11.408333333333333,36.47274674049674,NA,177.95,4,NA
2020-02-24,0,5.545833333333333,-7.741666666666667,43.22720762015418,NA,96.78,3,0
2020-02-25,0,8.591180555555555,1.835625,65.16481489014076,NA,96.34,3,1
2020-02-26,0,8.629513888888889,6.089930555555555,84.38654127200196,NA,95.57,3,-1
2020-02-27,0,4.492847222222222,-2.1484027777777777,64.61520183842268,NA,105.09,3,0
2020-02-28,0,0.5229166666666666,-12.008333333333333,40.03264569459933,NA,151.89,1,1
2020-02-29,0,-0.9260416666666667,-12.608333333333334,41.717782999656194,NA,191.83,6,-1
2020-03-01,0,1.0541666666666667,-10.720833333333333,42.47472332968224,NA,161.99,3,NA
2020-03-02,0,5.6125,-4.9875,49.95245763381156,NA,96.61,3,-1
2020-03-03,0,11.69125,6.475833333333333,72.38949234474002,NA,96.39,4,0
2020-03-04,0,9.516666666666667,-0.21847826086956512,52.84399132563605,NA,96.09,3,-1
2020-03-05,0,7.591666666666667,-4.204166666666667,44.56243381859123,NA,125.77,5,-1
2020-03-06,0,3.4506944444444443,-2.283333333333333,67.25485127978915,NA,200.05,0,2
2020-03-07,0,4.225,-5.192361111111111,54.48914103656704,NA,200.94,2,-1
2020-03-08,0,5.01875,-7.666666666666667,42.63969761640499,NA,159.08,4,NA
2020-03-09,0,9.831249999999999,-4.391666666666667,42.769140641961414,NA,106.84,3,-1
2020-03-10,0,12.508333333333333,2.791666666666667,53.18528350830462,NA,97.31,2,1
2020-03-11,0,10.10763888888889,-0.3298611111111111,50.77636451353552,NA,100.35,-2,0
2020-03-12,0,7.413888888888889,-0.8020833333333333,56.991989961673,NA,93.62,0,0
2020-03-13,0,12.860069444444445,5.3902777777777775,68.8662575393731,NA,118.68,-2,2
2020-03-14,0,9.508695652173913,-6.769565217391304,32.19590463362246,NA,135.17,0,2
2020-03-15,0,8.389583333333334,-4.329166666666667,43.21101507153694,NA,114.8,-7,NA
2020-03-16,0,4.391666666666667,-8.885416666666666,38.618180056706485,NA,91.86,-12,4
2020-03-17,0,7.125,1.6645833333333333,69.07590304621124,NA,73.32,-22,10
2020-03-18,0,8.191666666666666,-2.3291666666666666,51.068266127331206,NA,77.77,-26,9
2020-03-19,0,7.7875,3.6069444444444443,76.21374449225598,NA,66.18,-26,13
2020-03-20,0,13.520833333333334,9.396527777777777,78.10312628639223,NA,73.9,-32,15
2020-03-21,0,10.583333333333334,-1.1875,45.14787725170945,NA,79.48,-24,NA
2020-03-22,0,3.81875,-9.010416666666666,39.55979711668173,NA,64.22,-29,NA
2020-03-23,0,3.667777777777778,-0.92875,73.14709212546275,NA,43.81,-41,17
2020-03-24,1,8.094444444444445,0.9798611111111112,62.65355424951685,NA,54.7,-41,17
2020-03-25,0,6.145138888888889,0.3125,66.6381738793547,NA,47.88,-42,17
2020-03-26,1,6.283333333333333,0.8395833333333333,70.15964132175084,NA,57.17,-42,17
2020-03-27,0,13.722916666666666,3.345833333333333,55.51618603810304,NA,59.95,-43,19
2020-03-28,1,9.530694444444444,1.3430555555555554,60.42725457295825,NA,46.83,-36,NA
2020-03-29,6,8.94548611111111,6.6658333333333335,85.80054337184701,NA,45.38,-35,NA
2020-03-30,4,10.97638888888889,6.529305555555555,75.89588326761054,NA,51.74,-41,16
2020-03-31,4,8.4475,3.655,72.51350513489508,NA,48.65,-44,19
2020-04-01,6,8.547916666666666,0.315625,58.658067742747846,0.8435538858651128,53.17,-45,18
2020-04-02,3,8.41423611111111,-3.9930555555555554,42.30987372237307,0.8439510290634339,49.8,-46,20
2020-04-03,8,10.129166666666666,-0.8666666666666667,47.501062796151615,0.8445207059082215,53.54,-47,22
2020-04-04,12,11.611805555555556,4.933333333333334,64.52511045833164,0.8452684007886049,57.18,-36,NA
2020-04-05,4,14.989583333333334,6.425,58.03859287288027,0.8461969527787729,54.75,-41,NA
2020-04-06,9,13.820833333333333,1.5479166666666668,48.39838516363635,0.8473065771324607,59.21,-46,17
2020-04-07,8,12.789583333333333,-0.14583333333333337,43.68823342458676,0.8485948455714594,54.26,-47,19
2020-04-08,9,16.828819444444445,9.157291666666667,62.74845787714401,0.850056645258295,54.89,-48,18
