date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,7.05,3.688888888888889,79.6279103596323,NA,136.08,-4,0
2020-02-16,0,6.678634259259259,3.7582175925925925,83.07944235434182,NA,114.3,-1,-1
2020-02-17,0,6.558333333333334,1.1125,69.85142315962838,NA,117.04,-27,4
2020-02-18,0,4.008055555555556,-1.2982638888888889,72.91183239567101,NA,119.17,1,-1
2020-02-19,0,7.0125,-4.704166666666667,46.6962807804634,NA,116.96,2,-1
2020-02-20,0,7.620833333333334,-5.120833333333334,42.79465289419556,NA,119.86,2,-1
2020-02-21,0,4.091666666666667,-2.9166666666666665,63.83326934711018,NA,133.61,3,-1
2020-02-22,0,5.843055555555556,0.6847222222222222,71.88787748564694,NA,130,1,-2
2020-02-23,0,8.546875,3.134375,69.91244339891149,NA,93.37,0,0
2020-02-24,0,6.716666666666667,1.3097222222222222,69.44724404384137,NA,108.01,4,-1
2020-02-25,0,5.1875,1.2229166666666667,77.91153933805627,NA,113.48,2,-1
2020-02-26,0,9.381875,4.580104166666667,73.17698375519366,NA,114.44,3,-1
2020-02-27,0,5.967013888888889,1.1893055555555556,73.99663684181895,NA,121.41,2,-1
2020-02-28,0,7.0311111111111115,2.2510416666666666,74.16372908694287,NA,133.46,3,-1
2020-02-29,0,7.319930555555556,3.077847222222222,75.08295236848527,NA,131.26,1,-1
2020-03-01,0,4.19125,1.5152777777777777,83.83319878149068,NA,97.74,2,-1
2020-03-02,0,6.897916666666666,1.7833333333333334,70.46913829327231,NA,104.96,4,0
2020-03-03,0,10.735416666666667,5.279166666666667,70.06712251175513,NA,108.68,2,0
2020-03-04,0,10.458333333333334,2.75625,61.21061073175657,NA,113.71,2,0
2020-03-05,0,7.791666666666667,0.9750000000000001,64.50960277640885,NA,118.72,1,0
2020-03-06,0,8.749305555555555,4.061458333333333,73.83086606681428,NA,135.49,2,0
2020-03-07,1,6.130902777777778,3.270833333333333,82.4257571737752,NA,122.49,1,0
2020-03-08,0,5.824652777777778,1.9097222222222223,77.5628088649593,NA,90.59,0,0
2020-03-09,0,4.088888888888889,-0.3444444444444444,75.51846163863435,NA,106.05,2,0
2020-03-10,0,5.99375,-0.9479166666666666,64.7917300546201,NA,118.6,1,0
2020-03-11,0,8.945833333333333,1.6541666666666666,63.63122627757116,NA,107.85,1,0
2020-03-12,0,6.566666666666666,-1.1333333333333333,61.19191459903436,NA,105.54,-1,1
2020-03-13,2,5.68125,-0.19895833333333335,67.65062467102538,NA,107.26,-3,3
2020-03-14,0,3.35625,-0.18732638888888886,78.63414332205407,NA,80.32,-12,7
2020-03-15,0,3.654166666666667,-6.116666666666666,49.74572056586095,NA,71.97,-11,5
2020-03-16,1,7.583333333333333,-4.354166666666667,44.72080757711179,NA,86.46,-21,6
2020-03-17,0,6.875,-2.45,56.227970641386435,NA,80.65,-28,10
2020-03-18,0,8.983333333333333,1.2708333333333333,61.93612590363357,NA,78.8,-31,12
2020-03-19,0,8.383333333333333,1.4833333333333334,64.79621487725105,NA,78.75,-34,12
2020-03-20,2,10.883333333333333,2.6375,60.399443387942334,NA,84.3,-35,13
2020-03-21,3,10.904166666666667,2.0569444444444445,56.618434104891,NA,69.98,-26,9
2020-03-22,1,8.620833333333334,2.333333333333333,68.05565276602302,NA,55.92,-31,9
2020-03-23,3,9.765972222222222,3.0625,64.8779991252575,NA,62.95,-38,14
2020-03-24,0,7.73125,2.6868055555555554,71.1331273962018,NA,56.27,-44,18
2020-03-25,3,6.30625,2.173611111111111,76.35452274128592,NA,55.3,-45,19
2020-03-26,32,5.772222222222222,1.7041666666666666,76.69355278680231,NA,52.65,-48,20
2020-03-27,28,7.483333333333333,3.147222222222222,74.62231920042422,NA,55.03,-48,22
2020-03-28,6,9.525,6.2,80.23151494362676,NA,48.02,-38,15
2020-03-29,8,10.911111111111111,6.675,75.9433591085642,NA,42.2,-41,13
2020-03-30,0,10.233333333333334,4.555555555555555,68.66444458334102,NA,52.11,-50,19
2020-03-31,26,7.835416666666667,3.270138888888889,73.79443761334367,NA,54.77,-52,20
2020-04-01,14,6.878472222222222,1.9041666666666668,71.54455432857046,0.9131203524398545,55.04,-51,20
2020-04-02,1,7.086111111111111,2.6177083333333333,74.83890526120845,0.9121992384414899,55.33,-52,21
2020-04-03,6,6.268055555555556,2.1347222222222224,76.38969675560836,0.911252432765114,60.53,-51,21
2020-04-04,0,7.4319444444444445,1.273611111111111,66.54917910023792,0.9102853592311899,55.57,-39,14
2020-04-05,0,9.558333333333334,4.408333333333333,72.98092497781917,0.9093129361759266,47.88,-41,12
2020-04-06,31,9.654166666666667,3.1916666666666664,66.59072275178588,0.9083594283589163,56.3,-50,18
2020-04-07,17,10.670833333333333,2.0416666666666665,57.0458336675803,0.9074576856960666,60.44,-51,19
2020-04-08,5,11.8,3.0416666666666665,58.81875658330696,0.9066478406659771,61.72,-51,19
2020-04-09,16,14.791666666666666,1.8833333333333333,45.44703263559414,0.9059755845394721,64.68,-51,19
2020-04-10,0,14.7,4.370833333333334,53.47777072182748,0.9054901761624431,70.67,-52,20
2020-04-11,14,11.585416666666667,4.0125,62.17439342520784,0.9052423508024655,63.35,-38,13
2020-04-12,0,11.204166666666667,-0.9166666666666667,48.5627796592214,0.9052822884361689,45.78,-42,11
2020-04-13,19,11.195833333333333,-5.995833333333334,33.935296213581005,0.9056577726137723,63.61,-48,17
2020-04-14,11,12.754166666666666,-3.3833333333333333,36.890264164105176,0.906412628592331,66.85,-49,18
2020-04-15,8,12.972916666666666,5.748958333333333,63.8747497911832,0.9075854818076394,67.43,-49,18
2020-04-16,7,13.566666666666666,1.5416666666666665,51.91320302122297,0.9092088349840347,72.5,-49,18
2020-04-17,12,12.879166666666666,-3.1708333333333334,39.99876895175366,0.9113084325083015,81.62,-47,18
2020-04-18,0,13.345833333333333,3.58125,57.957155134681415,0.9139028680714314,67.95,-35,13
2020-04-19,0,11.83125,6.518055555555556,71.647744617434,0.9170033944456849,60.8,-37,11
2020-04-20,19,11.648958333333333,5.113541666666666,67.85914903635016,0.9206139062420312,71.88,-47,16
2020-04-21,10,12.575,6.060416666666667,66.44256015812273,0.9247310789268972,69.68,-49,18
2020-04-22,7,12.398958333333333,7.889583333333333,75.5344940340475,0.9293446527248197,66.4,-49,20
2020-04-23,-22,13.204444444444444,8.1125,72.27594944610902,0.9344378447710275,72.52,-48,19
2020-04-24,2,12.389166666666666,8.029166666666667,75.7265663050551,0.9399878587180756,79.21,-48,19
2020-04-25,3,14.551388888888889,10.086805555555555,76.54485683404252,0.9459664439831411,75.61,-33,12
2020-04-26,1,12.2375,4.5784722222222225,63.12470867518521,0.9523404447507059,65.86,-35,10
2020-04-27,11,14.836805555555555,7.175347222222222,62.38839812647778,0.959072278188607,71.84,-46,16
2020-04-28,5,14.704166666666666,7.320833333333334,63.46861481047219,0.966120294819375,79.18,-48,8
2020-04-29,4,16.9875,9.208333333333334,61.49029784006335,0.9734389996834005,77.09,-47,17
2020-04-30,4,15.0375,6.825,59.38658114048074,0.9809791449954297,80.71,-48,17
2020-05-01,6,11.925,3.7041666666666666,59.713063505376375,0.9886877356514756,91.56,-45,17
2020-05-02,1,13.020833333333334,8.214583333333334,73.82652595377795,0.9965080109140926,76.82,-34,12
2020-05-03,0,10.60625,4.879861111111111,68.65743133608365,1.0043794742590324,67.55,-33,10
2020-05-04,8,10.854166666666666,3.5360416666666667,65.23882238196566,1.0122380379707967,81,-44,15
2020-05-05,1,14.5375,8.760416666666668,71.08231702539162,1.0200163328606886,88.21,-45,15
2020-05-06,4,13.847916666666666,5.59375,59.4908192364996,1.0276442125509488,83.93,-45,16
2020-05-07,1,13.541666666666666,2.3375,52.14867961584035,1.0350494631240572,93.06,-45,15
2020-05-08,5,20.4625,0.6999999999999998,29.061911779779408,1.0421587181577217,105.58,-44,15
2020-05-09,-1,23.1875,4.241666666666666,31.86760185543107,1.0488985784070008,100.97,-29,7
2020-05-10,5,22.075,7.358333333333333,43.73366140379964,1.0551969423544572,80.67,-29,5
2020-05-11,1,19.5375,8.620833333333334,53.17052337805333,1.060984562188055,NA,-43,14
2020-05-12,10,13.452083333333333,9.514583333333334,78.24465766422395,1.0661968410382014,NA,-44,16
2020-05-13,15,13.480555555555556,7.363888888888889,67.38747546825373,1.0707758739507012,92.07,-44,16
2020-05-14,3,12.760416666666666,7.8381944444444445,72.41874976987188,1.074672703543084,95.34,-45,17
2020-05-15,2,13.536180555555555,8.889375,75.19170212526282,1.0778497141359809,112.88,-44,15
2020-05-16,4,15.3375,9.291666666666666,68.66335503573772,1.0802830341031409,99.9,-29,10
2020-05-17,2,14.936607142857143,9.873611111111112,73.91136921837861,1.0819647679754425,88.97,-28,8
