date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,0.3768115942028985,-5.144927536231884,67.05163920075418,NA,124.44,7,-1
2020-02-16,0,0.9166666666666666,-2.375,81.93493066966376,NA,90.73,4,-1
2020-02-17,0,6.3768115942028984,1.9130434782608696,74.53018966914429,NA,99.46,-16,4
2020-02-18,0,2.986111111111111,-3.0694444444444446,66.2595450026132,NA,94.7,1,0
2020-02-19,0,-1.527777777777778,-4.847222222222222,79.70562087009884,NA,96.86,3,-1
2020-02-20,0,-3.0555555555555554,-10.840277777777779,58.32955458802534,NA,102.03,2,1
2020-02-21,0,-3.9782608695652173,-11.789855072463768,61.744854106246535,NA,118.38,25,-4
2020-02-22,0,3.4097222222222223,-6.527777777777778,49.19458981301371,NA,122.87,12,-2
2020-02-23,0,8.833333333333334,1.125,59.841021320987096,NA,87.23,8,-1
2020-02-24,0,6.180555555555555,3.513888888888889,84.12114154119614,NA,92.82,6,0
2020-02-25,0,3.3333333333333335,-0.4861111111111111,77.21933061399486,NA,94.99,2,1
2020-02-26,0,1.3194444444444444,-5.402777777777778,63.03352165464437,NA,99.69,4,-1
2020-02-27,0,-0.5069444444444445,-6.458333333333333,66.69856618356805,NA,106.6,3,0
2020-02-28,0,2.536231884057971,-2.710144927536232,71.58628925283787,NA,128,26,-5
2020-02-29,0,3.875,-1.9027777777777777,71.785346942989,NA,135.74,10,-3
2020-03-01,0,13.041666666666666,2.486111111111111,49.1664964041708,NA,91.14,8,-3
2020-03-02,0,7.027777777777778,0.5833333333333334,65.32204639230494,NA,100.38,7,-2
2020-03-03,0,6.791666666666667,-2.1875,61.020386019931344,NA,103.62,2,-1
2020-03-04,0,9.625,-1.5694444444444444,47.43092156825972,NA,105.04,4,-2
2020-03-05,0,8.895833333333334,-3.5902777777777777,46.04983211834663,NA,112.21,3,0
2020-03-06,0,5.611111111111111,-5.777777777777778,48.38205836385073,NA,130.7,26,-5
2020-03-07,0,8,-6.097222222222222,42.49890400288474,NA,141.37,12,-3
2020-03-08,0,14.125,-1.7916666666666667,34.64308320144662,NA,94.11,7,-2
2020-03-09,0,11.80952380952381,8.087301587301587,81.76795328250599,NA,98.95,4,1
2020-03-10,0,4.180555555555555,0.8888888888888888,80.47945026204464,NA,109.68,2,-1
2020-03-11,0,8.818840579710145,4.942028985507246,79.25519176186519,NA,110.49,3,-2
2020-03-12,0,12.181159420289855,7.86231884057971,76.64534204382187,NA,103.57,0,0
2020-03-13,0,5.777777777777778,-2.3194444444444446,58.41325317090926,NA,113.27,14,-1
2020-03-14,0,3.4583333333333335,-0.20833333333333331,79.43352569465065,NA,96.77,2,3
2020-03-15,0,2,-0.7569444444444444,82.3325945426079,NA,71.5,-3,3
2020-03-16,0,3.1666666666666665,1.2222222222222223,87.4376579366855,NA,85.32,-20,7
2020-03-17,0,6.0144927536231885,3.130434782608696,82.32606714911542,NA,77.91,-28,10
2020-03-18,0,9.680555555555555,7.993055555555555,89.78606721724346,NA,71.62,-33,13
2020-03-19,0,17.322916666666668,14.291666666666666,83.60042169182262,NA,70.5,-37,16
2020-03-20,0,6.659722222222222,1.0347222222222223,69.17076062719083,NA,75.31,-27,14
2020-03-21,0,1.1944444444444444,-5.305555555555555,63.69477045414279,NA,66.68,-21,11
2020-03-22,0,3.6944444444444446,0.611111111111111,81.56678095474822,NA,46.27,-28,10
2020-03-23,3,5.783333333333333,4.2,90.09388804197232,NA,67.01,-40,16
2020-03-24,0,8.208333333333334,5.423611111111111,83.21006306975647,NA,50.29,-51,23
2020-03-25,-1,9.666666666666666,7.152777777777778,86.3165761522519,NA,56.53,-51,21
2020-03-26,3,14.041666666666666,9.375,74.03746974607759,NA,57.34,-52,23
2020-03-27,4,12.427536231884059,10.652173913043478,89.22063704441433,NA,62.73,-42,20
2020-03-28,1,15.63888888888889,9.180555555555555,74.41170944875313,NA,59.73,-34,13
2020-03-29,1,12.391304347826088,0.2753623188405797,47.057135908800845,NA,48.29,-38,10
2020-03-30,2,10.722222222222221,1.1388888888888888,60.07774226802058,NA,59.4,-51,19
2020-03-31,3,13.083333333333334,0.638888888888889,46.60662460842104,NA,62.41,-54,21
2020-04-01,5,13.38888888888889,3.805555555555556,55.3986707886528,0.9569757515511552,64.19,-53,20
2020-04-02,2,16.36111111111111,6.583333333333333,53.565625899650676,0.9575802017468895,62.4,-54,24
2020-04-03,0,5.034722222222222,1.0069444444444444,78.48351507475711,0.9585374444158655,60.01,-45,22
2020-04-04,9,1.7826086956521738,-1.181159420289855,81.92815732212419,0.959890062180023,55.89,-37,15
2020-04-05,0,5.992753623188406,2.0942028985507246,77.94153945363443,0.9616748716904754,49.15,-40,11
2020-04-06,5,13.395833333333334,10.0625,80.79197925574194,0.963921537078034,61.3,-53,21
2020-04-07,0,20.020833333333332,14.458333333333334,72.21479066719185,0.9666514514021272,66.03,-55,21
2020-04-08,0,18.95138888888889,10.145833333333334,67.06616208154801,0.969876909181709,63.62,-55,20
2020-04-09,0,10.569444444444445,-2.5277777777777777,44.63162705121648,0.9736005771294092,68.39,-55,23
2020-04-10,5,4.944444444444445,-6.375,47.249933596325036,0.9778152588977892,75.28,-49,21
2020-04-11,4,12.876811594202898,2.0434782608695654,48.55913315395423,0.9825039408975429,66.04,-37,13
2020-04-12,2,13.555555555555555,9.468253968253968,77.46679147740929,0.9876400981290868,38.09,-46,13
2020-04-13,3,1.8333333333333333,-6.260869565217392,58.6901208859227,0.993188230874725,64.12,-52,21
