date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.654166666666667,-2.5541666666666667,65.38995732858439,NA,147.04,1,1
2020-02-16,0,10.305208333333333,4.921875,69.73562751946208,NA,116.33,7,NA
2020-02-17,0,15.3,12.295833333333333,83.01629715554975,NA,112.53,-19,4
2020-02-18,0,13.327777777777778,8.832986111111111,75.54905422558294,NA,113.49,1,0
2020-02-19,0,6.45,-1.0833333333333333,62.67769412346054,NA,112.2,1,-2
2020-02-20,0,7.371527777777778,-1.0097222222222222,57.074774485423134,NA,122.11,1,-1
2020-02-21,0,1.7083333333333335,-6.735416666666667,56.62418664344692,NA,162.67,1,0
2020-02-22,0,4.260416666666667,-4.316666666666666,57.84726671789647,NA,160.65,3,-1
2020-02-23,0,8.445833333333333,3.073611111111111,71.15490207070486,NA,117.74,3,NA
2020-02-24,0,10.417222222222222,8.804027777777778,90.84365967025458,NA,112.44,2,0
2020-02-25,0,8.991388888888888,5.4840277777777775,79.30133778054515,NA,120.15,2,0
2020-02-26,0,5.130902777777778,0.16562499999999997,71.52305645075667,NA,117.74,1,-1
2020-02-27,0,3.05,-3.9520833333333334,65.02600494519614,NA,127.79,3,-2
2020-02-28,0,8.547916666666667,0.23541666666666664,58.547043217771524,NA,171.66,2,-3
2020-02-29,0,10.127083333333333,1.1833333333333333,59.85661939799185,NA,161.2,4,-4
2020-03-01,0,15.239583333333334,8.375,65.08831895445284,NA,134.72,4,NA
2020-03-02,0,16.45625,12.902083333333334,82.49633703803467,NA,122.33,2,-2
2020-03-03,0,12.829166666666667,6.764583333333333,71.09885839584415,NA,129.48,3,-3
2020-03-04,0,12.635416666666666,5.414583333333334,63.23196640899032,NA,137.94,1,-2
2020-03-05,0,12.122916666666667,2.9541666666666666,60.44251344952518,NA,150.71,3,-3
2020-03-06,0,12.527083333333334,-5.85625,29.204155211189708,NA,187.82,0,-2
2020-03-07,0,10.364583333333334,-1.2333333333333334,48.57614345098607,NA,174.52,1,-2
2020-03-08,0,12.710416666666667,-0.23124999999999996,45.51702244126553,NA,130.53,3,NA
2020-03-09,0,16.462152777777778,10.103472222222223,69.13160582762966,NA,122.8,1,1
2020-03-10,0,12.968055555555555,8.652083333333334,76.43926104014581,NA,138.33,2,-1
2020-03-11,0,15.17361111111111,12.074652777777779,82.8771507310728,NA,124.01,1,-1
2020-03-12,0,20.480555555555554,16.12291666666667,80.1369914330773,NA,137.03,3,-3
2020-03-13,0,15.047916666666667,8.758333333333333,67.64569091857462,NA,152.47,1,1
2020-03-14,0,7.849131944444444,7.394270833333334,97.03262679078648,NA,135.14,-1,4
2020-03-15,0,10.088888888888889,8.8625,92.63878429261011,NA,113.08,3,NA
2020-03-16,0,8.1875,6.874305555555556,91.70465374941848,NA,110.48,-11,4
2020-03-17,0,10.35625,10.124305555555555,98.5441778115643,NA,105.01,-18,7
2020-03-18,0,15.148472222222221,13.410972222222222,90.7159105334919,NA,107.13,-20,7
2020-03-19,0,20.79017857142857,18.739285714285714,89.00749895004817,NA,102.37,-22,9
2020-03-20,0,14.333333333333334,11.2,81.67142651684303,NA,117.74,-26,11
2020-03-21,0,8.136805555555556,1.64375,65.46457165967611,NA,103.74,-11,NA
2020-03-22,0,9.369861111111112,6.739305555555556,84.9834013831338,NA,74.3,-21,NA
2020-03-23,1,11.655555555555555,10.4375,92.7260488275738,NA,89.89,-31,11
