date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-5.1886363636363635,-8.876515151515152,75.7521783811175,NA,113.11,1,-1
2020-02-16,0,-6.816666666666666,-10.161111111111111,78.5227701847018,NA,86.89,1,-1
2020-02-17,0,-3.115079365079365,-5.605555555555555,83.49401872127551,NA,98.27,-25,6
2020-02-18,0,-5.677777777777778,-8.896969696969697,82.34715826799876,NA,110.88,0,1
2020-02-19,0,-14.31875,-18.62013888888889,70.91109833801742,NA,95.13,2,0
2020-02-20,0,-17.516666666666666,-21.956818181818182,70.27249933580491,NA,99.24,1,0
2020-02-21,0,-5.809027777777778,-9.652777777777779,75.2932957382597,NA,118.73,5,-1
2020-02-22,0,-2.4229166666666666,-4.0630434782608695,89.10260180290804,NA,127.78,4,-1
2020-02-23,0,1.8076388888888888,-1.5597222222222222,79.7948501406503,NA,89.83,5,-2
2020-02-24,0,-0.9125000000000001,-3.5041666666666664,84.38971748777875,NA,91.02,3,-1
2020-02-25,0,0.6498015873015873,-5.3125,65.35185256245215,NA,94.76,2,0
2020-02-26,0,-2.9625,-7.592361111111111,71.46223798140204,NA,94.71,2,-1
2020-02-27,0,-6.886111111111111,-10.13125,79.22128354556843,NA,100.45,1,0
2020-02-28,0,-6.209722222222222,-10.880555555555556,72.01872919208571,NA,118.24,5,0
2020-02-29,0,-5.253623188405797,-7.148550724637682,87.54396444012406,NA,121.21,7,-1
2020-03-01,0,3.7506944444444446,0.71875,81.25994528143781,NA,88.19,5,-2
2020-03-02,0,0.9027777777777778,-2.2430555555555554,79.86707962415072,NA,90.08,3,0
2020-03-03,0,1.6680555555555556,-0.8854166666666666,83.73959562719782,NA,97.48,2,0
2020-03-04,0,-0.006249999999999971,-3.7743055555555554,76.87619887334623,NA,96.23,2,-1
2020-03-05,0,3.376388888888889,0.5243055555555556,82.23090052353953,NA,103.61,2,0
2020-03-06,0,-0.6513888888888889,-5.78125,69.43948244643302,NA,123.6,-3,1
2020-03-07,0,2.7402777777777776,-2.6125,69.0718031368379,NA,128.15,3,-1
2020-03-08,0,9.210416666666667,2.611111111111111,64.06639713787895,NA,90.93,2,-2
2020-03-09,0,3.941666666666667,1.4791666666666667,84.77839842458957,NA,92.73,0,1
2020-03-10,0,0.3770833333333333,-3.9916666666666667,73.7510252171994,NA,96.01,0,1
2020-03-11,0,2.060416666666667,1.988888888888889,88.51475560707674,NA,97.74,-1,1
2020-03-12,1,4.8069444444444445,3.7180555555555554,92.99588277057863,NA,93.55,-2,2
2020-03-13,0,0.6902777777777778,-4.915972222222222,66.78760527151766,NA,103.38,-1,3
2020-03-14,1,-1.9583333333333333,-7.550694444444445,66.3452413503969,NA,91.19,-2,4
2020-03-15,0,-1.4638888888888888,-5.197222222222222,77.03348096652414,NA,65.94,-6,4
2020-03-16,3,1.9722222222222223,-0.4375,84.5457192559867,NA,72.74,-19,9
2020-03-17,1,1.7027777777777777,-3.8534722222222224,68.02887047831885,NA,67.95,-30,13
2020-03-18,2,4.259027777777778,2.158333333333333,86.08112806087708,NA,60.7,-37,18
2020-03-19,0,4.028472222222222,3.8533333333333335,98.03714328716477,NA,57.36,-41,21
2020-03-20,-1,-0.6826388888888889,-5.749305555555556,70.61051948694288,NA,64.94,-40,21
2020-03-21,0,-2.720138888888889,-7.708333333333333,70.51463601816407,NA,53.9,-28,15
2020-03-22,4,1.9569444444444444,-1.5104166666666667,78.7910635032556,NA,41.84,-33,12
2020-03-23,7,3.236111111111111,1.3507936507936509,87.48851920208024,NA,54.03,-46,20
2020-03-24,3,5.261111111111111,3.568888888888889,84.28525261133662,NA,53.24,-48,22
2020-03-25,0,6.768055555555556,5.490833333333334,92.27103308163028,NA,53.85,-50,23
2020-03-26,4,4.4847222222222225,2.1348484848484848,86.31701017217445,NA,60.71,-49,22
2020-03-27,3,7.029861111111111,4.3956140350877195,77.96215201912852,NA,65.43,-48,23
2020-03-28,5,8.32638888888889,6.475,87.34564415159656,NA,38.44,-41,20
2020-03-29,6,4.761805555555555,4.156060606060606,85.84675910829354,NA,34.42,-41,15
2020-03-30,7,7.522916666666666,-2.0145833333333334,54.272921651718,NA,51.22,-54,23
2020-03-31,1,6.460416666666666,-0.9041666666666667,61.83361302296914,NA,53.23,-55,24
2020-04-01,1,6.835416666666666,1.6,70.77821418868905,0.9409425801114322,53.26,-55,25
2020-04-02,4,10.965277777777779,4.961805555555555,67.20303257587152,0.937566471603743,53.21,-56,26
2020-04-03,2,1.6965277777777779,0.15416666666666662,91.06949826175915,0.9354698693183362,54.48,-55,29
2020-04-04,2,-0.78125,-5.394444444444445,74.59004847433755,0.9350649417438918,54.96,-39,17
2020-04-05,7,3.8944444444444444,-1.8979166666666667,71.85447865346039,0.9367710456375535,48.07,-42,12
2020-04-06,4,9,4.034027777777778,71.90425744604879,0.9410047106687033,54.38,-55,24
2020-04-07,4,14.327083333333333,10.051851851851852,75.68507735800101,0.9481712636062734,58.96,-56,24
2020-04-08,4,11.11111111111111,2.183333333333333,57.666090961794424,0.9586575240810155,57.57,-57,25
2020-04-09,4,3.064583333333333,-2.8666666666666667,66.97518794184373,0.9728245529687336,56.77,-57,27
