date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-0.41666666666666663,-7.983333333333333,59.199340168229774,NA,155.15,2,-1
2020-02-16,0,3.7666666666666666,-4.316666666666666,60.08724326193574,NA,112.84,3,-1
2020-02-17,0,5.527777777777778,0.5138888888888888,71.52565396223088,NA,110.24,-18,5
2020-02-18,0,0.16666666666666666,-5.85,66.52605631026432,NA,107.45,2,0
2020-02-19,0,-3.109722222222222,-7.247222222222223,73.88742013397133,NA,103.96,2,1
2020-02-20,0,-8.172222222222222,-14.275,63.445748240656044,NA,120.41,2,0
2020-02-21,0,-0.3847222222222222,-7.8069444444444445,60.231934232506504,NA,150.09,4,-2
2020-02-22,0,4.9625,-2.743055555555556,60.13902536870019,NA,152.84,3,-2
2020-02-23,0,5.847569444444444,-1.801388888888889,64.26748187662515,NA,100.64,4,-2
2020-02-24,0,5.8277777777777775,-3.6083333333333334,52.446531968840944,NA,102.92,3,-1
2020-02-25,0,3.323611111111111,-3.8944444444444444,60.26264643541252,NA,107.16,2,0
2020-02-26,0,-0.09166666666666662,-8.863888888888889,54.93981955160158,NA,111.69,2,-1
2020-02-27,0,0.24444444444444455,-7.897222222222222,56.61475273283473,NA,116.7,2,0
2020-02-28,0,3.4930555555555554,-2.8305555555555557,64.46989864365885,NA,145.15,4,-3
2020-02-29,0,4.840277777777778,-2.4069444444444446,67.01749019796189,NA,158.23,3,-3
2020-03-01,0,9.906944444444445,-0.7513888888888889,49.975218360614754,NA,104.06,5,-2
2020-03-02,0,4.690277777777777,-2.3375,62.71803994049367,NA,106.46,3,-1
2020-03-03,0,7.604166666666667,-3.088888888888889,50.48685206404756,NA,114.9,2,-1
2020-03-04,0,9.6875,-2.6666666666666665,48.70470896696064,NA,115.46,3,-2
2020-03-05,0,10.306944444444444,-4.004166666666666,38.37661524686832,NA,122.11,1,-1
2020-03-06,1,4.444444444444445,-5.731944444444444,53.554476744175325,NA,145.12,3,-3
2020-03-07,0,11.230555555555556,-6.163888888888889,31.004665339703397,NA,149.68,3,-2
2020-03-08,0,15.405555555555555,-0.43333333333333335,35.47665082457154,NA,102.45,2,-2
2020-03-09,2,7.301388888888889,3.536111111111111,78.9483511286324,NA,103.03,-6,3
2020-03-10,0,1.7361111111111112,-1.5333333333333334,79.67269278533509,NA,109.32,-7,2
2020-03-11,1,7.645833333333333,3.584722222222222,77.92255135048289,NA,111.04,-6,1
2020-03-12,5,13.766666666666666,5.348611111111111,57.87437125109554,NA,110.85,-7,2
2020-03-13,3,4.388888888888888,-5.208333333333333,52.89466623107959,NA,118.37,-12,3
2020-03-14,4,2.165277777777778,-0.8180555555555555,81.72783532016803,NA,98.57,-6,6
2020-03-15,-1,1.386111111111111,-2.6458333333333335,74.85485807487584,NA,71.7,-5,4
2020-03-16,1,3.1694444444444443,0.7569444444444445,84.6127479363104,NA,84.67,-21,8
2020-03-17,3,4.830555555555556,-0.29444444444444445,71.25287258094296,NA,80.01,-28,12
2020-03-18,0,8.597222222222221,5.795833333333333,83.22686382244342,NA,72.6,-32,14
2020-03-19,4,11.63888888888889,9.752777777777778,88.4923598723274,NA,67.54,-35,18
2020-03-20,-1,-1.4430555555555555,-7.3125,65.74759719090879,NA,77.84,-35,17
2020-03-21,3,-0.14027777777777786,-9.073611111111111,52.85466513486636,NA,67.78,-20,11
2020-03-22,9,4.3069444444444445,-0.7444444444444445,70.63159969578926,NA,48.39,-27,10
2020-03-23,0,6.45,4.509722222222222,87.74156803882495,NA,65.6,-39,16
2020-03-24,5,9.470833333333333,5.805555555555555,78.50738044547934,NA,68.42,-41,18
2020-03-25,4,11.384722222222223,8.354166666666666,82.58098463855532,NA,71.29,-42,18
2020-03-26,1,9.834722222222222,5.733333333333333,76.78944328870769,NA,70.35,-42,19
2020-03-27,0,9.726388888888888,6.2652777777777775,79.43242830288447,NA,80.15,-41,19
2020-03-28,7,10.329166666666666,8.175,86.96221706535722,NA,65.26,-27,13
2020-03-29,6,9.23611111111111,0.425,57.81905509738094,NA,56.84,-30,9
