date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,2.6708333333333334,-2.6416666666666666,69.52379546435198,NA,157.54,-4,NA
2020-02-16,0,4.2125,-3.3,63.39006492603209,NA,129.84,-5,NA
2020-02-17,0,4.727083333333334,-6.06875,47.174480126208984,NA,139.37,-36,5
2020-02-18,0,2.3125,-7.475,51.09981547097229,NA,117.99,-1,-1
2020-02-19,0,0.7416666666666667,-8.1125,53.738267631124515,NA,106.58,-1,0
2020-02-20,0,0.29583333333333334,-6.6000000000000005,61.96031810531924,NA,123.31,-2,-1
2020-02-21,0,0.3958333333333334,-6.3125,63.7246384393677,NA,146.89,0,0
2020-02-22,0,1.9666666666666666,-3.675,68.33874343278242,NA,167.25,-3,NA
2020-02-23,0,5.338541666666667,-2.0979166666666664,61.058458641776056,NA,130.51,2,NA
2020-02-24,0,4.966666666666667,-5.025,50.83370771562963,NA,106.76,-1,0
2020-02-25,0,2.6166666666666667,-5.841666666666667,55.66966374092095,NA,96.82,2,-1
2020-02-26,0,4.008333333333333,-3.0083333333333333,62.04491199986465,NA,111.63,-1,-1
2020-02-27,0,5.179166666666666,-0.9916666666666667,66.88751355835258,NA,114.77,-2,-1
2020-02-28,0,5.454166666666667,0.06250000000000003,70.85716481958112,NA,151.63,0,-1
2020-02-29,0,7.033333333333333,-3.6791666666666667,49.24842919629903,NA,176.2,2,NA
2020-03-01,0,4.908333333333333,-7.558333333333334,41.81969950827997,NA,117.99,-5,NA
2020-03-02,0,6.229166666666667,-3.870833333333333,51.440357104757894,NA,111.23,-1,-2
2020-03-03,0,9.975,-0.7083333333333333,50.72786757956043,NA,105.06,-2,-1
2020-03-04,0,8.979166666666666,-4.554166666666667,40.11496434001597,NA,111.01,1,-1
2020-03-05,0,4.1375,-5.720833333333333,50.018680681074215,NA,112.21,-2,-1
2020-03-06,0,4.966666666666667,-2.1125,61.84319357329685,NA,136.15,-2,1
2020-03-07,0,6.804166666666667,2.68125,77.5049496063177,NA,134.81,-4,NA
2020-03-08,0,2.841666666666667,-3.316666666666667,68.69590042852664,NA,117.14,-8,NA
2020-03-09,0,4.266666666666667,-5.854166666666667,50.33200831483914,NA,125.73,0,-1
2020-03-10,0,2.9416666666666664,-5.091666666666667,58.24623237906881,NA,108.01,-1,0
2020-03-11,0,8.520833333333334,-2.529166666666667,49.49046110882623,NA,100.76,0,0
2020-03-12,0,5.65,-7.958333333333334,38.32442020102759,NA,109.22,-5,-1
2020-03-13,0,2.6005555555555557,-4.2588888888888885,63.27232136066838,NA,119.91,-15,6
2020-03-14,0,-1.7465277777777777,-4.957638888888889,79.80281517554484,NA,106.4,-7,NA
2020-03-15,0,-1.7916666666666667,-9.608333333333333,56.46121666811421,NA,83.94,-13,NA
2020-03-16,0,2.720833333333333,-8.225,45.70181580644342,NA,91.32,-5,1
2020-03-17,0,4.416666666666667,-5.7375,50.25033018546139,NA,100.27,-21,6
2020-03-18,0,7.8625,-4.1,43.901899579408195,NA,93.87,-26,9
2020-03-19,0,6.3875,-2.375,57.07394052958971,NA,99.51,-28,8
2020-03-20,0,8.933333333333334,-1.2666666666666666,52.41735487430046,NA,121.48,-30,11
2020-03-21,0,10.575,-2.1291666666666664,43.78349087523167,NA,96.87,-26,NA
2020-03-22,0,8.541666666666666,-4.933333333333334,40.19208660233675,NA,78.57,-32,NA
2020-03-23,1,9.166666666666666,-1.14375,50.33308827251381,NA,90.92,-32,9
2020-03-24,0,4.570833333333333,-4.083333333333333,57.235883483983166,NA,75.79,-39,12
2020-03-25,1,5.372916666666667,-2.154166666666667,60.1762750922824,NA,74.72,-42,14
2020-03-26,3,3.5416666666666665,-4.420833333333333,60.25910499688727,NA,67.34,-44,15
2020-03-27,0,6.245833333333334,-2.7041666666666666,54.87097301048545,NA,83,-43,17
2020-03-28,0,6.829166666666667,-0.4416666666666667,63.667326334050415,NA,72.98,-38,NA
2020-03-29,0,10.604166666666666,1.9041666666666666,57.74568144426132,NA,62.73,-40,NA
2020-03-30,0,9.381944444444445,-1.007638888888889,52.83975569405887,NA,78.12,-45,14
2020-03-31,0,5.779166666666667,-4.595833333333333,52.51070326640678,NA,78.34,-45,14
2020-04-01,0,5.0969444444444445,-4.85875,52.95146809145881,NA,81.74,-45,16
2020-04-02,1,3.8833333333333333,-8.65,40.3769159342382,1.6296169514303942,78.66,-48,16
2020-04-03,0,4.858333333333333,-6.383333333333334,47.436650977279726,1.6045888846181964,86.67,-47,18
2020-04-04,3,4.4375,-6.3625,48.34445978494489,1.5768625830286611,79.33,-40,NA
2020-04-05,1,7.108333333333333,-2.475,52.99701575619218,1.5465315575391043,65.32,-44,NA
2020-04-06,0,7.925,-0.8625,57.646261215799825,1.5137774078231472,84.43,-44,13
2020-04-07,0,11.504166666666666,-3.5875,37.92151846250717,1.478868409359605,82.46,-46,15
2020-04-08,0,13.470833333333333,-5.9375,27.057226790234704,1.4421524207925818,92.75,-44,15
2020-04-09,2,12.883333333333333,-3.5458333333333334,33.994346035211706,1.404044116001074,102.77,-46,14
2020-04-10,1,14.8625,-0.3458333333333334,37.89695897498104,1.3650075867845821,108.59,-49,17
2020-04-11,3,13.645833333333334,-3.4791666666666665,32.774507442054954,1.3255361702213557,96.73,-39,NA
2020-04-12,0,6.875,-11.416666666666666,28.025120880531347,1.2861317042720903,66.76,-44,NA
2020-04-13,2,8.441666666666666,-14.020833333333334,20.45236510811332,1.2472852611798568,93.65,-40,11
2020-04-14,8,12.9875,-7.2875000000000005,24.416569921668852,1.209460871444345,98.7,-42,14
2020-04-15,3,14.020833333333334,0.24166666666666664,40.417035623120135,1.1730830388764955,101.12,-41,14
2020-04-16,5,9.65,-5.0375000000000005,38.79103555898967,1.1385281609363755,106.13,-41,13
2020-04-17,0,9.208333333333334,-5.183333333333334,40.769233570365685,1.1061194417525222,116.24,-39,14
2020-04-18,0,16.0125,0.8791666666666667,37.492825852691134,1.0761245669127515,114.41,-34,NA
2020-04-19,0,12.9875,3.6458333333333335,57.22558017779206,1.0487552828219093,95.62,-32,NA
2020-04-20,-2,14.9375,2.908333333333333,47.790903060658906,1.0241680408866907,108.81,-37,10
2020-04-21,27,16.208333333333332,-0.045833333333333295,35.50867988860807,1.0024649779900927,101.7,-40,12
2020-04-22,2,11.83125,1.7895833333333335,54.338082011519845,0.9836946747545895,98.12,-39,14
2020-04-23,2,12.966666666666667,4.658333333333333,63.4346507255579,0.9678523449232393,104.74,-40,13
2020-04-24,6,12.725,0.058333333333333355,43.62883914525283,0.9548793561247314,117.67,-40,15
2020-04-25,1,12.683333333333334,3.8625,58.36620237163064,0.9446622559200543,112.62,-30,NA
2020-04-26,2,13.4,-2.9875,34.4051098982949,0.937031756437855,99.51,-33,NA
2020-04-27,3,15.558333333333334,0.275,37.99976675604287,0.9317623783527749,105.55,-37,11
2020-04-28,0,13.025,-0.5375,41.727257302059265,0.9285736211577647,107.65,-38,4
2020-04-29,2,16.795833333333334,1.6333333333333333,37.0607451857322,0.9271335647112695,115.21,-37,12
2020-04-30,1,17.516666666666666,2.3125,38.199167370411104,0.9270656886707559,116.69,-39,12
2020-05-01,1,11.55,-1.6208333333333333,44.80389649489779,0.9279594213956491,148.99,-39,13
2020-05-02,3,14.716666666666667,-0.6833333333333333,36.613535195243486,0.9293845221168989,121.88,-27,NA
2020-05-03,0,11.295833333333333,1.4333333333333333,56.86188329527934,0.9309088951382057,108.41,-27,NA
2020-05-04,2,10.339583333333334,-3.1666666666666665,42.41248671675333,0.9321188730573681,113.96,-35,8
2020-05-05,0,15.941666666666666,-1.8333333333333333,31.236372411556694,0.9326404450474176,118.79,-37,10
2020-05-06,11,15.6,2.8916666666666666,48.62992530645961,0.9321594450893379,124.92,-35,12
2020-05-07,3,12.9625,-1.9875,37.02665704718079,0.9304385008120386,139.82,-36,10
2020-05-08,4,14.904166666666667,3.1041666666666665,48.21287233807049,0.9273287292643526,157.99,-36,10
2020-05-09,5,18.25,3.8541666666666665,41.645980358418555,0.9227748220010185,143.67,-27,NA
2020-05-10,5,20.120833333333334,0.8375,28.489758536028756,0.9168131937269378,133.47,-23,NA
