date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.35,-14.941666666666666,61.141639021431864,NA,154.77,-1,0
2020-02-16,0,1.6177777777777778,-3.8429166666666665,68.91928905522931,NA,115.94,2,-1
2020-02-17,0,-0.898611111111111,-4.226388888888889,79.09578356316733,NA,116.17,-13,4
2020-02-18,0,4.48125,0.38680555555555557,75.56494565657232,NA,107.98,1,1
2020-02-19,0,-0.4788194444444444,-6.613888888888889,64.24796611354074,NA,107.52,1,0
2020-02-20,0,-4.0413194444444445,-10.711597222222222,60.49004717424266,NA,113.38,2,1
2020-02-21,0,-3.71875,-11.729166666666666,54.54452044804731,NA,144.17,3,0
2020-02-22,0,0.9791666666666666,-10.708333333333332,42.06169856682971,NA,152.7,2,-1
2020-02-23,0,5.4625,-9.660416666666666,34.74403211662777,NA,112.38,5,-2
2020-02-24,0,6.76875,-4.220833333333333,47.21818512554026,NA,102.9,5,0
2020-02-25,0,3.8104166666666663,0.9305555555555556,82.1587871337264,NA,105.15,2,0
2020-02-26,0,2.2465277777777777,0.6246527777777778,89.19327587249705,NA,110.43,2,-1
2020-02-27,0,-2.6888888888888887,-6.928769841269841,74.04648235842274,NA,97.07,-4,3
2020-02-28,0,-4.308531746031746,-10.79032738095238,61.51152559582073,NA,144.25,1,1
2020-02-29,0,-4.059518849206349,-9.030664682539683,69.29414628179137,NA,133.34,-3,1
2020-03-01,0,-0.9972222222222222,-9.277083333333334,56.15441274414205,NA,104.53,3,-2
2020-03-02,0,8.847916666666666,0.18472222222222212,58.17418846452463,NA,108.74,4,0
2020-03-03,0,8.696378968253969,6.384325396825397,85.7650116401075,NA,109.84,1,-1
2020-03-04,0,3.6254166666666667,-1.0866666666666667,72.26849624788245,NA,110.05,0,0
2020-03-05,0,1.0375,-3.3604166666666666,73.94199022143269,NA,114.83,1,-1
2020-03-06,0,2.0995138888888887,-1.4689583333333334,78.03558238810521,NA,139.08,2,0
2020-03-07,0,-0.03472222222222222,-5.342708333333333,68.20974910730038,NA,138.09,-1,-1
2020-03-08,0,6.829166666666667,-6.229166666666666,43.53173506892166,NA,113.65,1,-3
2020-03-09,0,14.71875,-3.0125,29.80300315181266,NA,112.07,2,-1
2020-03-10,0,10.530208333333333,4.232589285714286,69.86818214007381,NA,107.16,-1,1
2020-03-11,0,2.082638888888889,-1.7354166666666666,76.46778144297548,NA,110,-3,0
2020-03-12,0,6.491666666666667,2.0229166666666667,73.75436614847487,NA,109.12,-1,0
2020-03-13,0,9.152083333333334,2.51875,64.3415970424876,NA,129.91,-1,1
2020-03-14,0,2.2729166666666667,-3.6847222222222222,65.29677292169522,NA,124.98,-2,2
2020-03-15,0,2.1447916666666664,-4.21875,64.2022968436998,NA,90.76,-2,1
2020-03-16,0,2.36875,-7.577083333333333,48.969402844716996,NA,98.95,-14,4
2020-03-17,0,5.145625,1.7510416666666666,79.50183916919394,NA,86.02,-24,10
2020-03-18,1,4.6625,-1.1145833333333335,67.71254019050255,NA,81.2,-28,11
2020-03-19,0,5.7150694444444445,3.6106944444444444,86.75659980619898,NA,76.34,-30,12
2020-03-20,0,14.484027777777778,10.555555555555555,77.65451099451192,NA,75.67,-35,17
2020-03-21,0,-0.85,-6.398611111111111,66.6100149928056,NA,61.77,-33,12
2020-03-22,1,-1.1916666666666667,-9.379166666666666,55.09659476270018,NA,51.31,-30,8
2020-03-23,1,4.742569444444444,1.359722222222222,79.60323058201692,NA,51.23,-42,18
2020-03-24,2,3.1010416666666667,0.6986111111111111,84.64382530790319,NA,55,-45,18
