date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-4.545833333333333,-13.529166666666667,53.04453721260603,NA,127.33,0,0
2020-02-16,0,5.870833333333334,-6.4375,41.70373836024239,NA,98.66,0,-1
2020-02-17,0,3.7523809523809524,-2.6804464285714285,68.75551639642448,NA,108.24,-11,3
2020-02-18,0,10.239583333333334,1.6805555555555558,58.966700879663726,NA,108.05,3,1
2020-02-19,0,3.301388888888889,-3.1704861111111113,65.36184451132623,NA,110.02,2,0
2020-02-20,0,-1.2,-9.35138888888889,54.89968863338867,NA,108.31,0,0
2020-02-21,0,-4.71875,-13.227777777777778,54.13745296268875,NA,133.23,3,1
2020-02-22,0,0.3375,-13.441666666666666,37.70387282295663,NA,135.98,3,-1
2020-02-23,0,3.708333333333333,-11.395833333333334,35.37729544503632,NA,106.45,1,-1
2020-02-24,0,8.679166666666667,-5.816666666666666,35.86912787236597,NA,104.7,4,0
2020-02-25,0,8.31,4.961111111111111,81.70106375478268,NA,105.75,3,0
2020-02-26,0,10.271979166666666,7.514027777777778,84.20111051183328,NA,109.77,2,-1
2020-02-27,0,-1.3552777777777778,-5.650069444444444,73.32616267487396,NA,108.97,0,1
2020-02-28,0,-1.7050892857142856,-7.620416666666666,67.1155920681742,NA,131.69,0,0
2020-02-29,0,-3.5166666666666666,-11.78125,54.05899706745785,NA,128.17,2,-1
2020-03-01,0,0.3000000000000001,-10.549999999999999,47.98448813916728,NA,106.35,4,-2
2020-03-02,0,10.117708333333333,-1.503125,47.630309410354684,NA,102.78,3,0
2020-03-03,0,10.266527777777778,7.958472222222222,86.22214410391858,NA,108.82,3,-1
2020-03-04,0,7.814583333333333,-1.4854166666666666,54.50951371214624,NA,113.45,1,-1
2020-03-05,0,6.220833333333333,-2.8930555555555557,57.75919284623737,NA,114.05,3,-1
2020-03-06,0,4.079166666666667,-1.7791666666666668,67.62762028465322,NA,131.59,3,0
2020-03-07,0,1.6979166666666667,-4.008333333333334,68.035302384958,NA,134.36,3,-1
2020-03-08,0,5.329166666666667,-8.875,46.748498558588146,NA,117.93,3,-2
2020-03-09,0,13.329166666666667,-6.5625,24.881338297362714,NA,113.76,2,0
2020-03-10,0,13.375793650793652,4.43,60.3671446737262,NA,108.98,1,0
2020-03-11,0,6.76875,4.488263888888889,85.7221670855787,NA,115.21,1,0
2020-03-12,0,11.618402777777778,5.745555555555556,73.01929344476514,NA,109.39,0,-1
2020-03-13,0,14.4375,4.307638888888889,56.22109957886266,NA,115.28,1,0
2020-03-14,0,4.625694444444444,-5.397916666666667,52.66980320560929,NA,105.22,-4,2
2020-03-15,0,2.7225694444444444,-0.0675,83.34331887913879,NA,80.26,-3,2
2020-03-16,0,4.883333333333334,-0.5541666666666667,69.7175744185354,NA,86.26,-12,5
2020-03-17,0,8.202013888888889,5.262569444444445,82.83275576837762,NA,79.93,-21,8
2020-03-18,0,8.758779761904762,4.539087301587302,77.38231253229897,NA,79.84,-25,9
2020-03-19,0,15.35138888888889,11.995833333333334,81.04280342756215,NA,78.82,-26,10
2020-03-20,0,20.135416666666668,13.395833333333334,65.80538375247511,NA,79.91,-32,15
2020-03-21,0,4.222916666666666,-1.0520833333333335,69.04022944675319,NA,64.58,-30,11
2020-03-22,1,4.375,-4.883333333333334,54.00508022688991,NA,62.38,-29,8
2020-03-23,0,8.278819444444444,2.5133680555555555,69.84411867491399,NA,58.99,-37,16
2020-03-24,1,7.175,2.78875,74.60435644083542,NA,60.44,-38,15
2020-03-25,2,8.554166666666667,3.86875,73.07635550692291,NA,66.32,-40,16
2020-03-26,4,10.522222222222222,2.575,65.78625981482125,NA,74.07,-40,15
2020-03-27,1,12.741666666666667,9.152083333333334,80.35338388778361,NA,71.48,-40,17
