date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,1.8125,-5.916666666666667,62.953373579597404,NA,123.79,4,NA
2020-02-16,0,10.5,1.8472222222222223,56.64654481160106,NA,103.94,-1,NA
2020-02-17,0,7.694444444444445,6.680555555555555,93.7749149662229,NA,117.72,-20,5
2020-02-18,0,13.166666666666666,12.23611111111111,94.18074366262172,NA,105.14,-3,2
2020-02-19,0,6.444444444444445,1.2916666666666667,72.87588107580268,NA,114.86,2,0
2020-02-20,0,5.486111111111111,-1.125,65.27295189699052,NA,106.58,-2,2
2020-02-21,0,0.513888888888889,-7.902777777777778,55.3974056577801,NA,142.75,3,0
2020-02-22,0,1.0277777777777777,-6.597222222222222,66.16205721208101,NA,140.94,7,NA
2020-02-23,0,7.194444444444445,0.2777777777777778,62.95214573581425,NA,103.54,2,NA
2020-02-24,0,8.98611111111111,8.13888888888889,94.53125376205188,NA,102.18,-1,3
2020-02-25,0,10.416666666666666,7.916666666666667,84.80681584833222,NA,110.34,1,-1
2020-02-26,0,5.597222222222222,3.0069444444444446,84.03800019374843,NA,112.26,0,0
2020-02-27,0,2.8680555555555554,-3.951388888888889,64.29544956980078,NA,117.53,1,-1
2020-02-28,0,6.5,-2.236111111111111,55.37845864657981,NA,147,2,-2
2020-02-29,0,7.368055555555555,-0.4861111111111111,62.38032554271605,NA,147.07,7,NA
2020-03-01,0,11.01388888888889,1.5277777777777777,56.66479640583308,NA,106.31,5,NA
2020-03-02,0,15.041666666666666,11.305555555555555,80.22088976365256,NA,106.85,1,1
2020-03-03,0,17.22222222222222,12.291666666666666,74.29390060857351,NA,114.88,-6,-1
2020-03-04,0,12,8.069444444444445,78.70162423541528,NA,115.72,3,0
2020-03-05,0,12.118055555555555,3.3333333333333335,58.653682157998894,NA,128.22,1,0
2020-03-06,0,10.11111111111111,-2.5416666666666665,42.23985684054661,NA,154.88,2,-1
2020-03-07,0,5.805555555555555,-4.736111111111111,54.76865726787951,NA,156.46,0,NA
2020-03-08,0,8.88888888888889,-1.8472222222222223,54.902748264249105,NA,109.79,2,NA
2020-03-09,0,15.51388888888889,6.041666666666667,55.17203691684455,NA,116.16,-3,1
2020-03-10,0,16.65277777777778,13.88888888888889,84.57256102962822,NA,119.48,-3,0
2020-03-11,0,11.105263157894736,9.43859649122807,90.35466498319501,NA,113.52,-1,2
2020-03-12,0,18.541666666666668,15.652777777777779,84.7481842731806,NA,119.98,-2,-1
2020-03-13,0,16.348484848484848,10.340909090909092,68.93532367255584,NA,135.35,-5,1
2020-03-14,0,12.907407407407408,7.787037037037037,72.9940657766854,NA,127.28,-1,NA
2020-03-15,0,7.833333333333333,6.388888888888889,90.8719566415992,NA,93.75,-8,NA
2020-03-16,0,7.208333333333333,5.444444444444445,88.74638368650618,NA,112.29,-16,6
2020-03-17,0,11.277777777777779,9.930555555555555,91.86315140284299,NA,102.83,-17,7
