date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.2,-3.2916666666666665,67.80720967244727,NA,130.83,3,NA
2020-02-16,0,1.8666666666666667,-3.8041666666666667,68.59730580253706,NA,94.86,4,NA
2020-02-17,0,6.263144841269841,-0.9401190476190476,68.73392532981325,NA,119.23,-25,5
2020-02-18,0,2.1791666666666667,-5.020833333333333,61.6174951598597,NA,114.15,7,-1
2020-02-19,0,-0.3375,-5.289583333333334,71.06316499846672,NA,108.05,2,0
2020-02-20,0,-6.612202380952381,-8.634424603174603,85.92290924202715,NA,100.07,-14,8
2020-02-21,0,-4.279166666666667,-7.129166666666666,82.35646446040167,NA,129.9,3,0
2020-02-22,0,3.7041666666666666,-0.2791666666666666,77.64206782093093,NA,133.98,4,NA
2020-02-23,0,5.05,2.6,84.9236992151279,NA,93.08,0,NA
2020-02-24,0,4.4675,1.9897222222222222,85.13892147166045,NA,100.71,7,0
2020-02-25,0,-0.6693716931216932,-3.1492261904761905,83.7088503298127,NA,92.37,5,2
2020-02-26,0,-3.884375,-7.966666666666667,75.48822595568993,NA,112.42,3,-2
2020-02-27,0,1.3208333333333333,-5.2875,64.54812046932057,NA,118.3,-6,0
2020-02-28,0,3.5791666666666666,-4.383333333333333,64.56817246548486,NA,123.2,1,0
2020-02-29,0,8.0375,-4.820833333333334,46.66950545589882,NA,121.04,41,NA
2020-03-01,0,8.541666666666666,-4.041666666666667,45.12382708588539,NA,99.22,7,NA
2020-03-02,0,4.375,-2.9833333333333334,61.85696383277634,NA,105.64,-6,-1
2020-03-03,0,5.345833333333333,-5.025,53.15026672835995,NA,116.32,-4,0
2020-03-04,0,6.158333333333333,-5.6,49.63010486682013,NA,120.18,3,-1
2020-03-05,0,6.695833333333334,-5.991666666666666,44.138849228599206,NA,121.57,3,-2
2020-03-06,0,7.820833333333334,-6.766666666666667,39.19720988303126,NA,133.24,16,-3
2020-03-07,0,12.533333333333333,-0.9958333333333333,42.45632136324056,NA,144.2,43,NA
2020-03-08,0,12.658333333333333,3.958333333333333,58.18126567706165,NA,105.46,4,NA
2020-03-09,0,9.356944444444444,5.895138888888889,81.31826743164567,NA,108.94,4,-2
2020-03-10,0,9.078888888888889,1.8583333333333334,68.64794059918376,NA,123.55,6,-3
2020-03-11,0,11.697916666666668,3.620833333333333,63.867248267384745,NA,125.43,3,-2
2020-03-12,0,12.429166666666667,1.8375,50.03932951528426,NA,125.51,3,-1
2020-03-13,0,3.3425,-2.462013888888889,67.33321200005464,NA,126,9,0
2020-03-14,0,0.8902777777777777,-0.2592361111111111,92.21233769810019,NA,118.91,20,NA
2020-03-15,0,1.0229166666666667,0.15361111111111111,94.05838400414102,NA,90.95,-6,NA
2020-03-16,0,4.432638888888889,3.5749999999999997,94.34300060444502,NA,106.56,-15,4
2020-03-17,0,4.13375,3.371111111111111,94.91699755402371,NA,95,-15,6
2020-03-18,0,10.141944444444444,7.6369444444444445,87.58232464041592,NA,101.28,-20,7
2020-03-19,0,15.2625,5.158333333333333,58.66036520272883,NA,89.11,-19,9
2020-03-20,0,0.15625000000000006,-7.279166666666667,62.766937133203456,NA,97.16,-14,10
2020-03-21,0,0.65,-7.0375,58.6623772486104,NA,77.33,32,NA
2020-03-22,0,6.757638888888889,2.1909722222222223,76.32661478886536,NA,61.23,-11,NA
2020-03-23,0,7.465625,4.411458333333333,83.19750793552828,NA,71.76,-18,8
2020-03-24,0,11.314394841269841,5.949940476190476,77.2458674148057,NA,77.23,-18,10
2020-03-25,0,15.4875,1.6375,52.380768788289615,NA,81.2,-22,11
2020-03-26,0,12.452777777777778,2.2465277777777777,56.50424186519459,NA,87.23,-20,12
2020-03-27,0,8.07451388888889,6.3209027777777775,89.26927410066862,NA,89.78,-11,12
2020-03-28,0,7.1653472222222225,4.068819444444444,82.24493439197084,NA,69.32,29,NA
2020-03-29,0,6.666666666666667,-3.8875,56.473120183666204,NA,58.35,-15,NA
2020-03-30,1,9.31875,1.88125,62.74064567582749,NA,62.36,-24,14
2020-03-31,0,10.885416666666666,6.070486111111111,76.93379720459218,NA,63.18,-26,13
2020-04-01,0,12.829166666666667,6.095833333333333,68.04877135213837,NA,72.37,-27,14
2020-04-02,2,6.88125,3.502083333333333,80.90550121400013,1.7176671725590258,63.68,-27,17
2020-04-03,1,-0.6354166666666666,-8.470833333333333,60.09174119876311,1.7365746708045138,72.9,-20,17
2020-04-04,5,2.2083333333333335,-7.129166666666666,55.26669135378985,1.7614488492661349,59.84,-15,NA
2020-04-05,1,6.2995833333333335,1.4401388888888889,75.50136363479687,1.7917216086550594,52,-24,NA
2020-04-06,0,16.358333333333334,5.1312500000000005,62.51182122519491,1.8265374858182728,69.17,-28,13
2020-04-07,1,18.608333333333334,-0.7583333333333333,32.4114649506768,1.86473938227155,72.97,-31,16
2020-04-08,0,17.475,0.3375,38.10401897912306,1.9048660763638734,72.19,-33,16
2020-04-09,1,10.3625,-0.5666666666666667,50.36185492243696,1.945167716398136,70.73,-31,17
2020-04-10,0,9.775,-3.5583333333333336,40.63827672201635,1.9836446109926416,74.85,-30,19
2020-04-11,3,17.116666666666667,2.8958333333333335,49.38230702233583,2.0181127179361886,73.08,11,NA
2020-04-12,0,6.079166666666667,-2.230208333333333,61.449020622594226,2.0462965033192066,50.59,-34,NA
2020-04-13,2,-1.5791666666666666,-11.066666666666666,50.58578962909254,2.0659465938351333,70.95,-28,15
2020-04-14,0,1.1166666666666667,-7.325,59.57437922532678,2.0749761739930057,76.69,-26,16
2020-04-15,1,4.6000000000000005,-6.05,51.61928994384034,2.0716066384258447,84.21,-29,14
2020-04-16,3,7.3875,-1.2041666666666666,57.72029905485892,2.0545098490802025,82.41,-29,16
2020-04-17,6,2.7416666666666667,-4.229861111111111,66.60551157823934,2.0229318722717613,95.03,-21,16
2020-04-18,4,9.686458333333333,-0.7552083333333334,51.73990651936609,1.9767819894658132,83.43,15,NA
2020-04-19,4,12.541666666666666,4.189583333333333,63.52962637585932,1.9166720422969143,75.7,-19,NA
2020-04-20,6,12.9625,1.5041666666666667,53.75572589731563,1.843895590009891,84.25,-28,12
2020-04-21,1,13.683333333333334,2.9875,50.20625256642225,1.7603439702882047,85.31,-29,15
2020-04-22,14,13.000694444444445,8.891319444444445,78.34786143161487,1.6683660124747381,86.06,-31,16
2020-04-23,71,14.417708333333334,4.570833333333334,62.55950462084386,1.5705876367672544,88.12,-30,16
2020-04-24,35,13.497222222222222,5.753472222222222,60.765971720950496,1.469714343738593,99.29,-25,19
2020-04-25,0,10.716666666666667,2.1,62.217658080166665,1.3683417980805406,94.43,1,NA
2020-04-26,40,15.058333333333334,2.466666666666667,46.90889212358765,1.2687968759881443,80.77,-21,NA
2020-04-27,36,18.816666666666666,5.166666666666667,47.855662935992626,1.1730246816019227,94.54,-31,14
2020-04-28,32,19.754166666666666,5.341666666666667,46.08217721560413,1.0825281122420287,92.09,-34,10
2020-04-29,0,14.1125,-2.791666666666667,35.18910376532059,0.9983577597262367,98.86,-36,18
2020-04-30,134,17.058333333333334,-0.8583333333333333,32.917598346534646,0.9211430690067838,99.22,-33,17
2020-05-01,99,21.8,5.1,37.84143378127382,0.8511517635844797,116.64,-26,15
2020-05-02,47,19.785416666666666,8.7875,51.62122396464995,0.7883637570129427,97.16,9,NA
2020-05-03,0,17.875,7.033333333333333,51.421016468217836,0.7325475326878292,79.21,-18,NA
2020-05-04,36,18.96666666666667,12.39375,70.52185114518201,0.6833302722009464,91.84,-32,13
2020-05-05,73,15.270833333333334,2.2291666666666665,49.10712422261027,0.6402567388612923,103.69,-31,14
2020-05-06,81,14.9375,0.05416666666666669,38.62969916272253,0.6028351946528024,111.07,-32,16
2020-05-07,51,16.316666666666666,4.75,48.58812035658257,0.5705709544616241,107.52,-32,16
2020-05-08,70,12.53125,-3.01875,39.27451433155054,0.542989458929888,113.94,-26,15
2020-05-09,41,11.241666666666667,-2.0375,43.414774832451315,0.5196511467460911,103.16,-17,NA
2020-05-10,0,11.4125,-2.0833333333333335,42.45426267938671,0.5001602210278686,80.67,-19,NA
2020-05-11,90,6.921180555555556,1.4961805555555554,71.58146053033404,0.48416893013255297,NA,-32,14
2020-05-12,2,4.5375,3.68125,94.31279996950394,0.47137845991695787,NA,-32,16
2020-05-13,107,10.765972222222222,9.514583333333333,92.62069584666212,0.46153712392845625,109.72,-31,14
2020-05-14,74,17.43375,13.353402777777777,79.91821850920094,0.45443632733968564,112.34,-31,13
2020-05-15,59,18.334375,12.625,72.14598928335467,0.44990478861137434,133.31,-25,14
2020-05-16,0,17.68125,12.39375,74.35339442353298,0.44780168411753785,119.76,15,NA
2020-05-17,0,16.920833333333334,8.3375,59.73087583227945,0.44800962879972167,102.06,-16,NA
2020-05-18,82,17.204166666666666,9.075,62.27173190859126,0.450428568419762,127.7,-28,11
2020-05-19,15,18.975,12.025,67.08103691764958,0.4549715768724097,128.8,-26,11
2020-05-20,32,17.847916666666666,12.051388888888889,71.57460724849777,0.461563122681014,134.91,-28,12
2020-05-21,35,20.066666666666666,14.435416666666667,71.28614781161934,0.4701396213476102,136.86,-28,11
2020-05-22,20,18.051875,12.12375,62.77222833551772,0.4806512342372466,161.37,-20,10
2020-05-23,0,19.96875,11.565151515151515,68.01762072860575,0.4930632734378863,144.63,19,NA
2020-05-24,0,22.158333333333335,12.733333333333333,56.67378146543648,0.5073556083448149,112.63,-17,NA
2020-05-25,0,15.151041666666666,10.130555555555556,73.35731346513373,0.5235193258393036,113.05,-73,NA
2020-05-26,33,14.85,6.020833333333333,64.08048844673827,0.5415513449737561,126.11,-23,9
2020-05-27,7,17.241666666666667,8.258333333333333,59.35280423678731,0.5614490483496285,128.98,-25,11
2020-05-28,8,18.3625,9.154166666666667,58.70351913371848,0.5832073772892655,150.76,-24,10
2020-05-29,15,20.429166666666667,11.325,59.48532294104517,0.6068196605274435,164.46,-15,9
2020-05-30,0,24.025,10.725,48.62209943380502,0.6322809369498067,141.08,32,NA
2020-05-31,0,25.170833333333334,11.416666666666666,46.06620179983545,0.6595898534891861,115.86,-11,NA
2020-06-01,21,25.079166666666666,10.55,44.17713866369833,0.6887439417892912,130.86,-23,7
2020-06-02,2,25.508333333333333,12.558333333333334,51.275071103836936,0.7197242560548175,149.27,-22,8
2020-06-03,14,27.379166666666666,12.241666666666667,41.85611429846804,0.7524688198587264,139.84,-22,9
2020-06-04,4,27.09375,9.670833333333333,36.905982168328094,0.7868387409567155,155.37,-23,9
2020-06-05,4,26.17361111111111,14.25625,51.742328329978335,0.8225844650827665,172.08,-14,7
2020-06-06,0,28.666666666666668,15.454166666666666,49.30875784306832,0.8593211855599622,157.54,-2,NA
2020-06-07,0,28.095833333333335,15.2,48.43002120937316,0.8965215273881093,126.39,-8,NA
2020-06-08,10,28.079166666666666,14.533333333333333,50.60464112114463,0.9335306389956546,147.78,-21,6
2020-06-09,0,18.089583333333334,12.09375,70.54802920104927,0.9696044844945305,123.34,-22,10
2020-06-10,1,15.8875,6.15,59.91503190584144,1.0039673344451612,159.31,-22,7
2020-06-11,0,22.804166666666667,6.7625,40.276288399933954,1.0358802333896973,163.6,-20,8
2020-06-12,1,25.205,10.013680555555556,41.27764618279629,1.0647096328707109,168.22,-17,6
2020-06-13,0,26.041666666666668,5.854166666666667,33.64701110351683,1.0899851859210055,167.79,34,NA
2020-06-14,0,26.691666666666666,6.920833333333333,31.864990624351865,1.1114380026343573,125.75,-4,NA
2020-06-15,2,26.625,8.979166666666666,35.789175044932534,1.129014763441585,147.5,-22,5
2020-06-16,3,26.358333333333334,11.316666666666666,42.58617285485486,1.1428677408203185,164.38,-20,6
2020-06-17,2,27.825,13.891666666666667,44.94526530000248,1.153324747659533,159.56,-21,7
2020-06-18,0,26.433333333333334,13.777083333333334,47.04958716524706,1.1608455172446261,165.2,-20,6
2020-06-19,1,19.728125,14.29861111111111,72.40395644923117,1.1659718374294654,190.67,-16,5
2020-06-20,0,21.820833333333333,15.420833333333333,72.92284593969731,1.1692781905329817,184.53,-6,NA
2020-06-21,0,23.38125,16.764583333333334,69.43780482020087,1.171328182131506,140.9,-1,NA
2020-06-22,8,21.53333333333333,14.137500000000001,67.70338229005075,1.1726401651116987,160.8,-24,5
2020-06-23,4,22.4125,13.6375,62.30174040996405,1.173663562196362,173.47,-20,5
2020-06-24,0,25.4125,13.329166666666667,51.064152170158096,1.1747657178471285,168.64,-23,7
2020-06-25,4,27.507291666666667,13.008750000000001,45.76504936303615,1.1762278221691653,170.91,-23,7
2020-06-26,1,27.57777777777778,14.880555555555556,50.03567761307281,1.1782476210375399,196.81,-17,4
2020-06-27,0,27.39375,13.94375,46.84924761961591,1.1809462751976645,223.55,29,NA
2020-06-28,0,27.92969696969697,14.66909090909091,49.628108807366736,1.184376823624317,163.78,-1,NA
2020-06-29,0,29.191666666666666,15.983333333333334,52.847269720534534,1.1885321643812061,155.69,-21,4
2020-06-30,7,29.216666666666665,12.104166666666666,42.00337144733213,1.1933511740277578,155.87,-19,5
2020-07-01,4,26.179166666666667,15.733333333333333,54.124014038687385,1.1987224105896348,166.48,-22,5
2020-07-02,1,27.65625,19.71875,67.79060117153392,1.2044856600662155,183.93,-22,5
2020-07-03,0,24.469791666666666,16.00347222222222,64.17846910021187,1.2104322981320286,187.02,-34,8
2020-07-04,0,26.027083333333334,16.277083333333334,58.71561117031592,1.2163059873266002,155.91,-27,NA
2020-07-05,0,24.4375,16.66875,63.67750757148769,1.2218055689731915,138.81,-14,NA
2020-07-06,9,24.845833333333335,15.741666666666667,61.391162886190536,1.226592070796305,163.82,-25,4
2020-07-07,0,26.454166666666666,16.97083333333333,60.72027347899904,1.2303014313397884,163.75,-22,5
2020-07-08,2,28.8875,16.154166666666665,52.335588442661646,1.2325637347283422,170.88,-23,6
2020-07-09,9,28.13,18.33625,58.35976291932023,1.2330284390104802,170.31,-22,5
2020-07-10,9,26.61388888888889,19.209722222222222,65.2673813533827,1.2313934511401077,200.85,-17,4
2020-07-11,0,28.175,19.479166666666664,62.46130294402667,1.2274343694330836,196.31,-4,NA
2020-07-12,0,26.206944444444446,19.558333333333334,70.4487775444783,1.2210293291042131,150.48,-11,NA
2020-07-13,1,25.702777777777776,18.429166666666667,66.84539785307531,1.2121750945133498,154.03,-21,3
2020-07-14,0,26.790416666666665,21.7275,75.53481179918026,1.2009914379655013,158.57,-20,4
2020-07-15,8,22.521825396825395,19.243809523809524,83.02585016140813,1.1877130685177177,165.56,-22,6
2020-07-16,7,24.445833333333333,19.066666666666666,74.874324440165,1.172670735813914,167.36,-22,6
2020-07-17,4,27.046111111111113,19.376666666666665,67.53192295725799,1.156264915256592,196.17,-17,5
2020-07-18,0,28.77916666666667,17.683333333333334,53.03522878589293,1.138936237043072,202.94,22,NA
2020-07-19,0,25.372222222222224,18.630555555555556,68.04298098433344,1.1211365237644904,150.83,-5,NA
2020-07-20,4,24.970833333333335,17.804166666666667,66.61415728063989,1.1033032692372968,153.92,-25,5
2020-07-21,18,23.583333333333332,17.133333333333333,69.13922740349082,1.0858390928480732,157.75,-24,5
2020-07-22,6,25.25,18.583333333333332,69.79188095397926,1.069096547733509,158.78,-24,5
2020-07-23,14,26.604166666666668,19.066666666666666,66.33890044018787,1.0533678776482618,172.51,-25,6
2020-07-24,6,26.754166666666666,20.166666666666668,70.19552179395086,1.0388789461035952,195.18,-17,5
2020-07-25,0,27.045833333333334,19.25,65.28747189447361,1.0257865123694456,202.09,22,NA
2020-07-26,0,26.570138888888888,19.446527777777778,67.52869689297684,1.0141781635641083,148.1,-10,NA
2020-07-27,16,22.238078703703703,20.555902777777778,90.8169970637004,1.0040744059853712,160.84,-24,5
2020-07-28,3,22.289930555555557,20.35625,89.40527090812938,0.9954325928996891,164.24,-22,7
2020-07-29,17,24.127083333333335,20.646875,82.75882538603906,0.9881524883260255,158.67,-24,6
2020-07-30,8,20.816220238095237,17.046412037037037,80.31753675676002,0.9820833378155657,173.11,-24,7
2020-07-31,21,20.430555555555557,15.558333333333334,77.93792199959444,0.9770323535548538,199.11,-22,4
2020-08-01,0,22.3725,15.510833333333334,68.4170756088341,0.9727745410276395,190.56,22,NA
2020-08-02,0,21.570833333333333,16.925,76.73793927039245,0.9690638156547576,148.78,-11,NA
2020-08-03,3,19.395833333333332,14.663541666666667,75.37565068892661,0.9656453931191974,173.32,-24,4
2020-08-04,15,20.658333333333335,15.354166666666666,73.12465167997651,0.9622694798206127,158.21,-23,4
