date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,4.085416666666666,-5.66875,51.82612770357161,NA,124.09,4,-1
2020-02-16,0,7.2375,1.8041666666666667,69.4026238538509,NA,88.53,0,0
2020-02-17,0,8.761805555555556,5.9783333333333335,83.61329392810455,NA,109.76,-14,3
2020-02-18,0,13.180208333333333,11.305034722222222,88.66250900559137,NA,100.66,0,3
2020-02-19,0,11.274583333333334,7.608194444444445,78.78339789416336,NA,105.45,1,0
2020-02-20,0,7.192013888888889,3.9020833333333336,80.18693645582212,NA,106.11,0,3
2020-02-21,0,3.410416666666667,-4.1625,59.624172155758686,NA,126.4,-11,5
2020-02-22,0,3.5083333333333333,-4.966666666666667,58.584443404329924,NA,135.22,6,-1
2020-02-23,0,5.054166666666666,-1.16875,67.87222686607898,NA,95.18,4,0
2020-02-24,0,8.154444444444445,5.458194444444445,83.77822424343017,NA,98.34,2,2
2020-02-25,0,12.027777777777779,8.950694444444444,82.5568580240646,NA,108.55,3,0
2020-02-26,0,7.917212301587302,4.887797619047619,82.0054656521255,NA,111.19,1,-1
2020-02-27,0,4.808333333333334,-5.235416666666667,49.676256752182844,NA,117.82,5,-1
2020-02-28,0,4.039583333333334,-2.847916666666667,63.045540053625814,NA,143.69,3,-1
2020-02-29,0,6.784375,-3.38125,55.608730624252495,NA,157.68,8,-2
2020-03-01,0,6.7437499999999995,-3.2291666666666665,54.670920242453626,NA,96.72,3,-2
2020-03-02,0,10.331904761904761,5.888055555555556,75.8297352190686,NA,105.99,2,1
2020-03-03,0,15.932222222222222,12.747609126984127,83.15234434905933,NA,111.98,2,-1
2020-03-04,0,14.0875,9.9125,77.02504949902166,NA,110.58,2,0
2020-03-05,0,11.079166666666666,8.944097222222222,86.96680636705597,NA,116.4,2,1
2020-03-06,0,8.46701388888889,1.0024305555555555,66.28220718183756,NA,141.4,2,0
2020-03-07,0,7.20625,-4.445833333333334,45.65763826274793,NA,144.28,6,-1
2020-03-08,0,7.754166666666666,-1.875,57.32304871975546,NA,90.85,1,-1
2020-03-09,0,11.424999999999999,2.7604166666666665,57.48728851680032,NA,110.43,2,-1
2020-03-10,1,14.91359126984127,10.663194444444445,76.89941629648976,NA,111.31,0,1
2020-03-11,0,16.00701884920635,13.012574404761905,83.79870749695962,NA,107.79,0,-1
2020-03-12,1,17.85472222222222,14.19875,80.50440142846354,NA,106.4,-6,2
2020-03-13,1,19.154166666666665,14.40798611111111,74.82655161544402,NA,105.52,-13,5
2020-03-14,0,14.979166666666666,8.247916666666667,64.85342708332016,NA,93.98,2,3
2020-03-15,0,14.797916666666667,12.717708333333334,87.59214924569005,NA,67.04,-9,5
2020-03-16,1,12.175,9.077777777777778,81.67677198319393,NA,82.81,-18,6
2020-03-17,2,13.854930555555555,10.944791666666667,83.50985521397762,NA,71.7,-19,8
2020-03-18,0,16.780347222222222,13.603263888888888,82.62827581399364,NA,72.47,-22,8
2020-03-19,0,19.78125,14.988194444444444,75.99000909158484,NA,76.54,-22,9
2020-03-20,1,19.675694444444446,15.024305555555555,76.45842020559026,NA,78.59,-25,13
2020-03-21,1,17.05013888888889,13.448611111111111,80.7923001680583,NA,67.27,-10,8
2020-03-22,1,11.664583333333333,6.7875,72.71618644454357,NA,51.93,-22,8
2020-03-23,1,13.224305555555556,10.746527777777779,85.26691644767422,NA,60.49,-31,14
2020-03-24,1,16.138194444444444,14.025,87.7861219315855,NA,59.1,-33,14
2020-03-25,3,17.331944444444446,12.5725,75.49798613639895,NA,73.82,-35,13
2020-03-26,2,15.977083333333333,9.539583333333333,70.40767315889676,NA,74.02,-33,14
2020-03-27,4,20.585416666666667,12.933333333333334,65.36312441155047,NA,78.11,-34,15
2020-03-28,7,22.021527777777777,15.686111111111112,69.53730725933626,NA,71.7,-22,9
2020-03-29,0,22.103472222222223,12.749305555555555,60.829015757052765,NA,53.67,-28,9
2020-03-30,1,19.116666666666667,4.620833333333334,40.56095142522105,NA,66.7,-35,13
2020-03-31,7,13.559027777777779,7.594791666666667,69.32194085394262,NA,64.36,-37,16
2020-04-01,25,10.622916666666667,2.3625,58.45724949644109,0.7661527425037841,71.16,-38,13
2020-04-02,11,11.370833333333334,2.45,58.96842058823082,0.7668239065869674,76.15,-38,15
2020-04-03,6,14.366666666666667,3.1333333333333333,55.67990632939059,0.7682178943032237,74.67,-39,18
2020-04-04,2,17.922916666666666,7.302083333333333,55.27422358654157,0.7704284650234248,59.79,-27,13
2020-04-05,1,18.8875,8.485416666666667,56.63032088641116,0.7735460665279215,49.49,-35,10
2020-04-06,4,19.37708333333333,9.766666666666667,59.455198413364435,0.7776567752410484,66.84,-41,15
2020-04-07,5,19.6375,13.339583333333334,68.45641955517733,0.7828413642892068,64.11,-42,17
2020-04-08,4,20.410416666666666,16.084722222222222,77.30225730572846,0.7891744179523457,74.79,-43,16
2020-04-09,6,20.589880952380952,13.23655753968254,68.22103037700923,0.7967234042448602,78.36,-43,17
2020-04-10,0,14.410416666666666,-2.01875,33.11387236873533,0.8055476209117932,83.22,-46,20
2020-04-11,6,10.989583333333334,0.16666666666666666,54.78270341224414,0.8156969409756141,72.84,-29,10
2020-04-12,3,13.97764880952381,9.45202380952381,75.61076477980973,0.8272102997074319,43.91,-43,12
2020-04-13,3,18.92125,13.870734126984127,73.53676204819462,0.8401138845397192,77.32,-38,14
2020-04-14,9,13.16875,4.264583333333333,56.88038969200346,0.8544190134257376,77.35,-37,15
2020-04-15,0,10.557638888888889,-3.6173611111111112,39.7212713241598,0.8701197167390768,84.69,-36,13
2020-04-16,1,10.2125,0.725,58.04604513275757,0.887190074093468,90.17,-37,15
2020-04-17,0,13.18125,5.316666666666666,64.12147160503774,0.9055814003487834,93.4,-38,16
2020-04-18,0,16.008055555555554,7.7278472222222225,61.288597741395314,0.925219422464769,88.38,-23,9
2020-04-19,1,10.608333333333334,7.417708333333334,81.64580955416248,0.9460016364458396,59.9,-34,11
2020-04-20,4,16.140208333333334,9.7175,71.0615653498724,0.9677950752994153,87.67,-35,14
2020-04-21,1,16.610416666666666,7.395833333333333,60.54160078037739,0.9904347479540951,86.52,-36,13
2020-04-22,1,14.945833333333333,4.147916666666667,52.67990904824759,1.0137230194073932,92.28,-37,13
