date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.775,-5.5125,51.6477885817369,NA,116.47,0,-1
2020-02-16,0,5.229166666666667,0.3729166666666667,71.49193549759244,NA,84.4,-2,0
2020-02-17,0,7.579166666666667,4.832291666666666,84.72894625796891,NA,116.39,-27,3
2020-02-18,0,10.637777777777778,10.374444444444444,98.37864628444014,NA,109.71,-14,5
2020-02-19,0,11.155654761904762,10.559126984126983,96.33168144285294,NA,111.51,1,0
2020-02-20,0,5.446666666666666,2.6891666666666665,83.89811182790865,NA,104.94,-2,3
2020-02-21,0,3.8156944444444445,-0.8975,74.35084817373064,NA,131.68,-2,0
2020-02-22,0,4.258333333333333,-2.2916666666666665,67.70127341831021,NA,128.77,6,-2
2020-02-23,0,6.745833333333334,-1.3833333333333333,60.88484448206663,NA,88.93,2,0
2020-02-24,0,7.317777777777778,3.9344444444444444,81.3510884839026,NA,101.86,1,1
2020-02-25,0,9.683680555555556,8.78923611111111,94.8776309259567,NA,114.74,2,0
2020-02-26,0,9.902777777777779,7.054166666666667,83.87921728107499,NA,118.65,1,0
2020-02-27,0,3.4180555555555556,-4.444444444444445,59.00382368767875,NA,123.8,0,0
2020-02-28,0,4.075,-3.5666666666666664,58.13655625706238,NA,134.93,2,-2
2020-02-29,0,5.315277777777777,-4.020833333333333,58.77481016085953,NA,129.91,5,-1
2020-03-01,0,6.9625,-5.295833333333333,43.86883493279773,NA,93.05,3,-1
2020-03-02,0,9.351934523809524,3.488045634920635,69.76425643760834,NA,102.83,1,0
2020-03-03,0,12.477604166666667,11.8921875,96.62257070929725,NA,106.64,0,1
2020-03-04,0,13.15,11.029166666666667,87.570560869746,NA,106.52,-1,1
2020-03-05,0,9.631845238095238,9.287460317460317,97.76726028564846,NA,112.25,-2,2
2020-03-06,0,8.174583333333333,2.3981944444444445,71.804526594777,NA,136.77,0,-1
2020-03-07,0,5.825,-4.233333333333333,52.08445621810207,NA,134.21,8,-2
2020-03-08,0,8.2,-2.4,49.749218671521156,NA,93.36,2,0
2020-03-09,0,10.51875,2.4854166666666666,59.13967712007337,NA,111.88,1,0
2020-03-10,0,14.170833333333334,10.515972222222222,80.19050255372747,NA,107.7,-4,3
2020-03-11,0,16.07604166666667,12.611458333333333,82.23029040225397,NA,114.67,-5,1
2020-03-12,0,15.953253968253968,14.377628968253969,91.15601178655558,NA,114.29,-7,2
2020-03-13,0,17.91513888888889,16.08888888888889,89.54282613923993,NA,112.93,-22,6
2020-03-14,0,15.075000000000001,11.158333333333333,78.16246164171376,NA,94.78,-3,4
2020-03-15,0,14.102777777777778,11.5375,84.92359565044582,NA,62.9,-15,7
2020-03-16,1,11.102361111111112,9.66625,91.19496039472142,NA,82.48,-37,13
2020-03-17,0,11.207708333333334,10.01013888888889,92.96392530683809,NA,78.63,-44,17
2020-03-18,1,14.4571875,13.530104166666668,94.42766867169605,NA,76.95,-47,18
2020-03-19,1,18.09402777777778,15.340694444444445,86.4114690359337,NA,83.12,-49,19
2020-03-20,0,20.822916666666668,15.489583333333334,73.30513032880148,NA,82.85,-48,19
2020-03-21,1,18.296527777777776,13.4875,75.2421400575812,NA,73.12,-22,11
2020-03-22,0,12.404166666666667,8.529166666666667,77.73071137586662,NA,46.22,-36,12
2020-03-23,3,9.643402777777778,9.498958333333334,99.08475718678126,NA,57.04,-55,22
2020-03-24,1,11.659206349206348,11.659206349206348,100,NA,57.58,-58,25
2020-03-25,1,15.417708333333334,12.311458333333333,84.26117738976575,NA,70.63,-57,22
2020-03-26,6,15.667361111111111,10.445833333333333,73.28549789611355,NA,69.85,-58,24
2020-03-27,4,19.704166666666666,12.225,66.80597292454176,NA,79.61,-56,22
2020-03-28,2,21.679861111111112,15.572222222222223,70.77740509266377,NA,68.9,-32,14
2020-03-29,4,22.152083333333334,13.960416666666667,63.4822323214261,NA,50.99,-42,13
2020-03-30,8,19.141666666666666,3.1645833333333333,36.38706831095134,NA,68.34,-60,21
2020-03-31,14,13.6575,6.385833333333333,63.587352275283195,NA,59.48,-62,25
2020-04-01,1,9.229166666666666,2.248611111111111,63.3937282892126,1.0950005622566827,67.99,-61,23
2020-04-02,3,10.341666666666667,2.4833333333333334,62.107451012751575,1.09145617152801,72.88,-61,24
2020-04-03,9,15.2625,2.5875,47.57060332518158,1.0875549737691224,70.41,-61,24
2020-04-04,3,17.820833333333333,4.120833333333334,42.35144133406069,1.0832903459003036,52.59,-41,17
2020-04-05,9,18.933333333333334,6.7,46.92228486392213,1.0786576245071586,44.52,-49,15
2020-04-06,8,20.079166666666666,10.416666666666666,58.49746148652931,1.0736547245970982,64.11,-65,24
2020-04-07,14,19.945833333333333,13.058333333333334,65.29136260895739,1.0682831422057737,63.44,-66,26
2020-04-08,5,19.79375,15.696875,78.38912757085971,1.0625492876765326,66,-66,26
2020-04-09,5,20.677083333333332,12.770833333333334,66.3066368866113,1.0564660232008924,69.54,-66,26
2020-04-10,9,14.002083333333333,-5.0125,27.826521850975027,1.0500542176978735,75.1,-65,25
2020-04-11,8,11.4125,-3.754166666666667,37.87286087349925,1.043344096779692,67.15,-38,15
2020-04-12,9,11.888730158730159,4.427573696145124,64.6508664568489,1.0363761644659772,31.86,-58,17
2020-04-13,8,18.723375721500723,10.4,58.197876033374605,1.029201509654299,66,-64,24
2020-04-14,15,14.05625,7.208333333333333,67.17762572349838,1.021881379846923,72.67,-62,25
2020-04-15,0,11.3625,-2.4125,43.233012566790514,1.0144859956789025,73.62,-62,25
2020-04-16,9,12.166666666666666,-4.929166666666666,32.32733057821666,1.0070926757884773,77.7,-62,25
2020-04-17,22,13.704166666666667,3.1416666666666666,52.25568061048553,0.9997834248887828,86.36,-60,23
2020-04-18,4,16.68777777777778,5.773333333333333,52.76973744887084,0.9926421943022258,77.81,-36,14
2020-04-19,12,10.254861111111111,3.9875000000000003,66.37180544340941,0.9857520461790368,47.85,-46,15
2020-04-20,11,14.53765873015873,8.887023809523809,74.07678145007604,0.9791924404495929,74.17,-62,23
2020-04-21,2,16.320833333333333,6.325,55.03580599688498,0.9730368241658893,79.66,-62,24
2020-04-22,14,15.904166666666667,0.6291666666666667,36.85014943981277,0.9673506469552597,82.31,-62,24
2020-04-23,8,13.385243055555556,10.440451388888889,84.03588720524303,0.9621898651371206,68.89,-63,28
2020-04-24,6,17.22083333333333,12.807430555555555,77.22480149006144,0.9575999401559654,95.01,-58,22
2020-04-25,8,16.777083333333334,10.972916666666666,71.22337473494647,0.9536152909611598,86.85,-31,13
2020-04-26,3,14.675,6.583333333333333,59.1304636574967,0.9502591284826354,66.95,-39,12
2020-04-27,19,13.979166666666666,2.625,51.96037752465492,0.947543584701684,86.18,-59,21
2020-04-28,13,16.529166666666665,4.375,47.984960682260514,0.9454700485100062,91.32,-60,17
2020-04-29,6,17.307886904761904,10.91359126984127,68.09614912302814,0.9440296336873454,80.49,-61,25
2020-04-30,8,13.300694444444444,9.487152777777778,79.15853853199164,0.9432037277623351,89.17,-59,24
2020-05-01,10,15.045833333333333,4.620833333333334,55.280573169092186,0.9429646000382834,107.43,-56,21
2020-05-02,23,17.691666666666666,4.995833333333334,48.00931208640069,0.9432760777562861,103.69,-25,11
2020-05-03,1,20.7875,9.954166666666666,53.077856712643516,0.9440943262329444,86.43,-35,10
2020-05-04,9,22.554166666666667,13.608333333333334,58.324185493050926,0.945368787467617,96.11,-56,20
2020-05-05,6,22.205833333333334,16.23625,69.76787315516896,0.9470433390077588,100.43,-57,21
2020-05-06,9,15.77361111111111,7.959027777777778,62.1335310660533,0.9490577292012506,102.44,-57,22
2020-05-07,5,11.833333333333334,0.7666666666666666,52.46632249175359,0.9513493263690317,106.63,-57,21
2020-05-08,3,11.737361111111111,6.545,72.31031257367174,0.9538551893486995,104.76,-53,21
