date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-1.5125,-8.475,62.75837090266133,NA,143.36,0,NA
2020-02-16,0,6,-0.75,63.872424156347925,NA,126.98,-2,NA
2020-02-17,0,7.706944444444445,3.5375,75.38407134451586,NA,120.54,-23,5
2020-02-18,0,7.8125,5.479166666666667,85.67229748993333,NA,105.55,0,1
2020-02-19,0,1.1555555555555554,-3.720833333333333,73.35241039755955,NA,115.79,-1,0
2020-02-20,0,1.2027777777777777,-5.322222222222222,63.26848066668718,NA,129.75,-1,1
2020-02-21,0,-2.825,-12.269444444444444,55.672426104727506,NA,142.95,3,0
2020-02-22,0,0.2305555555555556,-8.597222222222221,55.24066560735966,NA,138.52,5,NA
2020-02-23,0,6.020833333333333,-1.0611111111111111,61.33418384512223,NA,115.97,-2,NA
2020-02-24,0,7.195833333333333,6.4527777777777775,95.22447208109205,NA,113.06,-1,2
2020-02-25,0,6.591666666666667,6.341666666666667,98.33180262538664,NA,110.87,2,0
2020-02-26,0,1.0769230769230769,-1.5384615384615385,83.30497286924245,NA,120.22,0,1
2020-02-27,0,1.1347222222222222,-6.033333333333333,60.81837487679124,NA,145.15,3,-1
2020-02-28,0,3.8625,-3.095833333333333,61.606542321288295,NA,157.32,4,-1
2020-02-29,0,1.9680555555555554,-5.35,62.53923548280056,NA,145.32,2,NA
2020-03-01,0,8.473611111111111,0.7986111111111112,58.881247229162085,NA,133.78,3,NA
2020-03-02,0,12.430555555555555,9.866666666666667,85.38405669638462,NA,124.25,-1,1
2020-03-03,0,11.463888888888889,5.704166666666667,74.62448117389053,NA,123.67,2,-2
2020-03-04,0,8.401388888888889,0.6236111111111111,60.852683042522926,NA,132.89,2,-2
2020-03-05,0,6.411111111111111,-0.012499999999999997,70.29504224336856,NA,151.41,2,-2
2020-03-06,0,7.563888888888889,-3.738888888888889,46.09783629205771,NA,188.46,4,0
2020-03-07,0,3.698611111111111,-3.9402777777777778,63.59958715264201,NA,179.87,4,NA
2020-03-08,0,9.186458333333333,-3.4871527777777778,43.18317032601791,NA,137.94,1,NA
