date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-3.0434782608695654,-10.304347826086957,60.44009716280196,NA,124.47,1,-1
2020-02-16,0,1.8402777777777777,-4.611111111111111,63.35981556750059,NA,96.8,2,-1
2020-02-17,0,4.923913043478261,-2.0760869565217392,66.5871481733157,NA,113.56,-35,8
2020-02-18,0,8.293478260869565,1.9782608695652173,65.89375726051118,NA,101.86,2,0
2020-02-19,0,7.982638888888889,-2.111111111111111,52.713184258548736,NA,101.45,3,-1
2020-02-20,0,2.289855072463768,-8.054347826086957,48.00948881132529,NA,111.63,3,0
2020-02-21,0,-0.782608695652174,-11.326086956521738,46.770766644075444,NA,127.39,2,0
2020-02-22,0,3.489130434782609,-12.090579710144928,36.56417704386061,NA,128.44,4,-2
2020-02-23,0,3.391304347826087,-8.847222222222221,52.747389957923886,NA,99.79,2,-1
2020-02-24,0,5.282608695652174,-4.268115942028985,58.334624982515315,NA,99.06,3,0
2020-02-25,0,9.572916666666666,5.854166666666667,80.00091561967635,NA,102.82,2,0
2020-02-26,0,9.304347826086957,8.73913043478261,96.4280759793594,NA,103.16,3,0
2020-02-27,0,4.55,-2.2333333333333334,64.4266643568668,NA,105.32,2,1
2020-02-28,0,2.550724637681159,-6.9601449275362315,50.71090299721029,NA,126.59,1,0
2020-02-29,0,0.8020833333333334,-9.666666666666666,46.413125134880545,NA,123.61,4,-1
2020-03-01,0,2.8090277777777777,-9.54513888888889,42.81070467359382,NA,99.2,4,-1
2020-03-02,0,6.798611111111111,-2.1527777777777777,58.27048209660819,NA,102.43,3,0
2020-03-03,0,10.386111111111111,7.966666666666667,86.01232768476666,NA,102.25,3,0
2020-03-04,0,11.479166666666666,0.2951388888888889,49.99726745795529,NA,112.17,3,-1
2020-03-05,0,8.26388888888889,-2.0833333333333335,51.0749328700352,NA,111.38,3,0
2020-03-06,0,4.170138888888889,0.2743055555555556,77.34899783527166,NA,129.91,1,1
2020-03-07,0,6.666666666666667,-4.61231884057971,48.40952577518527,NA,126.96,4,-1
2020-03-08,0,8.145833333333334,-8.083333333333334,38.174779145340345,NA,101.56,2,-1
2020-03-09,0,12.878472222222221,-4.25,37.48773066573539,NA,106.24,3,0
2020-03-10,0,16,5.491666666666666,53.34420511506253,NA,102.48,2,0
2020-03-11,0,9.180555555555555,4.708333333333333,74.71332833765365,NA,103.44,2,0
2020-03-12,0,9.743055555555555,5.277777777777778,76.39118534277857,NA,104.55,1,0
2020-03-13,0,14.541666666666666,6.381944444444445,67.3133281862225,NA,118.52,-3,3
2020-03-14,0,10.277777777777779,-4.666666666666667,36.76392992704297,NA,104.76,-1,3
2020-03-15,0,6.572916666666667,2.295138888888889,77.0533924203908,NA,72.94,-11,5
2020-03-16,1,5.743055555555555,-2.0277777777777777,61.20075626576361,NA,80.83,-25,10
2020-03-17,0,10.215277777777779,4.5625,69.02088793816324,NA,75.01,-34,14
2020-03-18,0,9.395833333333334,1.6041666666666667,61.14132353571855,NA,70.31,-38,16
2020-03-19,0,12.708333333333334,10.277777777777779,86.03258021954728,NA,71.53,-40,18
2020-03-20,0,17.03472222222222,12.666666666666666,79.52391835042032,NA,75.7,-41,19
2020-03-21,0,12.648550724637682,3.739130434782609,55.17051198695023,NA,63.04,-25,12
2020-03-22,0,6.083333333333333,-3.280701754385965,52.50579910986418,NA,51.6,-32,11
2020-03-23,3,5.729166666666667,3.375,85.58273099710267,NA,52.1,-47,22
2020-03-24,0,8.36231884057971,4.27536231884058,76.85262331712676,NA,55.15,-51,22
2020-03-25,3,7.291666666666667,5.458333333333333,87.68052547636628,NA,50.5,-53,25
2020-03-26,7,9.895833333333334,6.104166666666667,79.36016792865392,NA,60.33,-52,23
2020-03-27,1,13.123188405797102,8.68840579710145,75.9500827332509,NA,66.04,-51,23
2020-03-28,7,13.478260869565217,11.626811594202898,89.21921447026105,NA,51.37,-35,16
2020-03-29,2,12.229166666666666,11.166666666666666,93.66312055134203,NA,46.5,-38,13
2020-03-30,2,14.125,8.70138888888889,76.30455230387365,NA,57.53,-52,21
2020-03-31,7,10.631944444444445,3.8055555555555554,63.92999336875942,NA,43.19,-58,26
2020-04-01,2,8.373015873015873,4.468253968253968,77.59184762863549,1.0858680326201287,45.7,-58,26
2020-04-02,10,9.76388888888889,-0.7708333333333334,53.67836142888118,1.0773963898508496,48.24,-58,27
2020-04-03,9,12.442028985507246,-1.5072463768115942,38.79125706558973,1.0688216508189274,56.38,-57,27
2020-04-04,19,12.10763888888889,5.819444444444445,66.00891091993823,1.060229521113446,47.42,-39,17
2020-04-05,47,13.572463768115941,7.355072463768116,69.61482439180514,1.0517046846802132,44.1,-41,14
2020-04-06,18,15.847222222222221,5.423611111111111,54.058432373078276,1.0433286871149485,51.38,-57,24
2020-04-07,13,13.384057971014492,7.492753623188406,68.84727591258066,1.0351783302538073,50.17,-59,25
2020-04-08,48,17.97222222222222,12.166666666666666,71.56747061372322,1.0273246859580407,53.78,-59,25
2020-04-09,34,12.82638888888889,6.9375,71.41664160281333,1.019832740084507,53.45,-59,27
2020-04-10,56,7.229166666666667,-3.475694444444444,47.43699395139208,1.0127615778846077,58.48,-61,29
2020-04-11,52,8.711805555555555,-2.642361111111111,48.45709515002486,1.0061649413803386,57.57,-38,15
2020-04-12,27,10.569444444444445,3.6458333333333335,66.2933808812238,1.000091943940831,35.71,-48,15
2020-04-13,49,18.322916666666668,14.222222222222221,79.38625773582288,0.9945877241595148,50.63,-59,27
2020-04-14,24,10.9375,0.4652777777777778,49.22170977484781,0.9896938568768965,57.57,-57,25
2020-04-15,1,6.9855072463768115,-1.9565217391304348,59.22229184239106,0.9854484023533523,59.65,-57,25
2020-04-16,55,7.159722222222222,-3.5416666666666665,49.447153383617405,0.9818855492484836,62.44,-57,26
2020-04-17,28,6.173611111111111,-0.6944444444444444,65.79155148575201,0.9790348769007358,69.59,-55,27
2020-04-18,32,9.479166666666666,4.270833333333333,73.69517517030638,0.9769203143491236,62.2,-35,16
2020-04-19,34,8.82638888888889,0.3402777777777778,61.66468494126157,0.9755589003137078,55.34,-39,13
2020-04-20,25,11.791666666666666,5.590277777777778,68.54739678703258,0.9749594495619991,61.3,-56,24
2020-04-21,16,10.76388888888889,4.166666666666667,69.68203422078183,0.9751212127126679,58.83,-57,25
2020-04-22,26,8.458333333333334,-6.236111111111111,37.23631912446738,0.9760325888897123,65.5,-56,24
2020-04-23,32,10.402777777777779,2.5208333333333335,61.371253534900276,0.9776699253861073,64.13,-57,26
2020-04-24,75,10.930555555555555,9.819444444444445,93.1846088059967,0.9799964253651688,68.54,-56,28
2020-04-25,49,12.30072463768116,8.66304347826087,81.22503667644153,0.9829611888875374,73.93,-33,14
2020-04-26,20,10.520833333333334,8.98611111111111,90.9681275326668,0.9864984337757279,51.15,-40,15
2020-04-27,31,9.369565217391305,4.763888888888889,76.15605231971945,0.9905269752823876,63.59,-54,24
2020-04-28,5,8.458333333333334,5.076388888888889,80.52435350296582,0.9949500779279199,67.1,-56,19
2020-04-29,23,13.527777777777779,9.381944444444445,79.03368796450657,0.9996558188695688,72.05,-56,23
2020-04-30,25,16.791666666666668,14.145833333333334,84.8195239642274,1.0045181107571997,63.57,-58,28
2020-05-01,24,14.5,9.243055555555555,73.7687029335419,1.0093985172539015,82.96,-53,25
2020-05-02,34,15.819444444444445,5.552083333333333,54.968381163429314,1.0141489540296351,86.77,-30,12
2020-05-03,28,19.61111111111111,11.25,59.44636781281769,1.0186153035386019,62.46,-33,12
2020-05-04,34,18.854166666666668,9.631944444444445,60.61841295019389,1.0226418880515362,75.94,-52,22
2020-05-05,33,11.666666666666666,2.238095238095238,53.74717559913673,1.0260766500222525,71.82,-54,22
2020-05-06,37,10.208333333333334,7.506944444444445,84.47747938242728,1.028776792439978,69.18,-54,25
2020-05-07,43,11.659722222222221,2.2222222222222223,60.617695003166055,1.030614546986265,83.66,-53,23
2020-05-08,31,11.333333333333334,5.892361111111111,73.19586053398957,1.031482677947084,82.41,-52,25
2020-05-09,31,5.847222222222222,-3.5972222222222223,53.093336065364,1.031299306822576,86.01,-30,13
2020-05-10,38,9.61111111111111,-2.513888888888889,46.0551920377536,1.0300116642728536,76.46,-29,9
2020-05-11,16,10.86111111111111,3.111111111111111,61.4942102594411,1.027598444108304,NA,-51,23
2020-05-12,15,10.493055555555555,-0.25,50.146410663698596,1.0240705430297452,NA,-52,22
2020-05-13,20,12.101449275362318,0.4782608695652174,51.72096284046935,1.019470107687727,90.36,-52,21
2020-05-14,23,13.36111111111111,7.340579710144928,70.83063987583125,1.0138679604331875,88.23,-53,22
2020-05-15,39,25,15.466666666666667,60.36227475327181,1.0073596176319028,110.73,-51,21
2020-05-16,38,23.866666666666667,12.333333333333334,49.70478436000798,1.0000602310253404,112.92,-27,9
2020-05-17,21,18.857142857142858,13.571428571428571,71.91358994797717,0.9920988584544174,86.37,-27,10
2020-05-18,37,18.533333333333335,13.266666666666667,72.07369098375734,0.9836124968314436,91.83,-50,20
2020-05-19,31,18.866666666666667,4,40.37578923486198,0.9747402871904992,94.8,-51,21
2020-05-20,42,16.357142857142858,2.7142857142857144,40.82574368613387,0.9656182368749114,97.49,-51,21
2020-05-21,35,17.466666666666665,10.266666666666667,63.84718180397958,0.956374711844106,101.65,-51,21
2020-05-22,57,18.4,16.866666666666667,91.46565483980768,0.9471268502828537,110.6,-51,23
2020-05-23,36,23.666666666666668,17,69.28157238981639,0.9379779539486581,120.14,-22,8
2020-05-24,35,18.733333333333334,15.733333333333333,83.18336262217908,0.9290158385323563,95.89,-25,8
2020-05-25,35,21.23076923076923,16.076923076923077,73.47589297026184,0.9203120750838626,96.57,-78,25
2020-05-26,15,24.3,16.6,65.03612842743286,0.9119220313167599,104.85,-49,18
2020-05-27,40,24.46153846153846,18,68.29327498291221,0.9038856194556185,102.33,-48,19
2020-05-28,38,25.23076923076923,21.692307692307693,81.49862794691613,0.8962286684531675,102.23,-48,21
2020-05-29,32,27.75,21.25,68.98747210509752,0.8889648542020828,120.51,-45,20
2020-05-30,34,25.2,11.733333333333333,45.46464318559104,0.8820981336491094,129.5,-13,7
2020-05-31,21,20.6,5.266666666666667,38.21667643676091,0.8756256307833685,111.52,-16,6
2020-06-01,17,19.6,4.333333333333333,39.57652670006386,0.8695409098085584,108.29,-45,17
2020-06-02,33,21.2,9.133333333333333,49.2009175001488,0.863837542020812,105.28,-46,18
2020-06-03,44,29.5,16.333333333333332,45.349829105610915,0.85851283071854545,115.98,-46,18
2020-06-04,36,28.305555555555557,17.59722222222222,54.093680692730025,0.8535715102591325,114.11,-46,19
2020-06-05,28,23.439393939393938,20.924242424242426,86.57560177145363,0.8490291925421315,135.41,-46,19
2020-06-06,31,25.47222222222222,19.256944444444443,73.68751532108239,0.8449153097816361,137.67,-13,6
2020-06-07,14,22.243055555555557,12.493055555555555,58.19298501235934,0.8412753074346984,118.71,-15,5
2020-06-08,21,20.694444444444443,11,59.20312678653569,0.8381718807164701,115.76,-44,16
2020-06-09,17,23.32638888888889,16.4375,68.39227425066213,0.8356851191160535,121.28,-46,17
2020-06-10,26,27.59027777777778,22.09722222222222,73.0109600596422,0.8339115144524923,115,-45,17
2020-06-11,24,26.13888888888889,19.76388888888889,70.87993764201434,0.8329618826533067,121.42,-45,17
2020-06-12,23,23.28472222222222,13.4375,60.029562733734636,0.8329583300645637,149.58,-43,15
2020-06-13,26,20.791666666666668,9.125,48.66843357449088,0.8340304477472401,157.14,-8,4
2020-06-14,22,17.6875,9.631944444444445,59.97461176165713,0.8363109345576855,120.97,-11,5
2020-06-15,25,18.73611111111111,11.590277777777779,67.19185294496398,0.8399308321373617,120.36,-43,15
2020-06-16,10,20.21527777777778,11.569444444444445,59.86369368990277,0.8450145091934981,123.4,-44,15
2020-06-17,28,19.791666666666668,14.11111111111111,70.550907825873,0.8516744701676134,119.54,-44,16
2020-06-18,6,22.13888888888889,18.256944444444443,80.08637998667415,0.8600059984109587,127.78,-44,17
2020-06-19,19,22.395833333333332,18.96527777777778,81.69800607731037,0.8700815906727911,146.09,-44,15
2020-06-20,19,21.895833333333332,18.645833333333332,83.2241156132844,0.8819451117751347,141.68,-9,4
2020-06-21,13,23.5625,18.819444444444443,77.88757645299026,0.8956056081509306,118.43,-9,3
2020-06-22,14,24.256944444444443,20.22463768115942,81.40805291480766,0.9110307766860073,120.58,-45,16
2020-06-23,12,23.458333333333332,20.53472222222222,85.35634280439368,0.9281401977684371,124.6,-45,15
2020-06-24,6,24.27777777777778,16.75,66.13952283414845,0.9467986095319488,133.73,-43,14
2020-06-25,16,22.256944444444443,16.6875,72.91478527981671,0.9668097157371709,135.55,-44,15
2020-06-26,7,23.3125,16.17361111111111,69.89858401267065,0.9879112613184577,157.57,-44,14
2020-06-27,17,26.444444444444443,18.493055555555557,62.79742524378502,1.009772340002455,161.05,-12,3
2020-06-28,6,27.02173913043478,19.82608695652174,65.66307890917963,1.031994063756499,130.56,-10,4
2020-06-29,15,26.34722222222222,18.104166666666668,65.44766963557156,1.0541147583981194,131.66,-43,14
2020-06-30,4,25.305555555555557,16.96527777777778,64.14700806600148,1.0756206871636145,132.2,-43,14
2020-07-01,3,24.484126984126984,18.515873015873016,72.11267636236009,1.0959628958305474,137.04,-43,13
2020-07-02,8,25.208333333333332,17.3125,67.1063189135812,1.1145801108645572,160.16,-45,13
2020-07-03,19,27.506944444444443,18.67361111111111,63.71569551902472,1.1309267584176883,165.94,-63,17
2020-07-04,26,26.86111111111111,19.53472222222222,67.6574525502784,1.144504228880261,127.11,-24,4
2020-07-05,6,26.75,20.944444444444443,73.59689440841774,1.154892669525103,127.28,-12,3
2020-07-06,2,27.45138888888889,20.42361111111111,68.50723695127171,1.1617800501381779,129.53,-47,14
2020-07-07,-3,25.631944444444443,21,76.71262494340945,1.1649851860628653,127.52,-46,15
2020-07-08,2,27.208333333333332,21.131944444444443,72.51604908962301,1.1644719042979979,133.05,-44,14
2020-07-09,14,27.17361111111111,19.86111111111111,67.7315461772482,1.1603525582187781,139.29,-44,15
2020-07-10,10,26.256944444444443,20.868055555555557,74.31408078167334,1.152880461539236,159.26,-43,14
2020-07-11,9,26.80952380952381,20.158730158730158,69.72210990919197,1.1424322570336363,163.79,-9,4
2020-07-12,12,24.761363636363637,17.958333333333332,68.89399640635344,1.129482473725865,135.22,-14,4
2020-07-13,7,24.3125,18.645833333333332,74.89783949558921,1.114573327722936,125.29,-44,14
2020-07-14,14,25.36111111111111,16.23611111111111,63.6274470269646,1.0982830711396239,130.99,-44,14
2020-07-15,16,24.905797101449274,16.18840579710145,64.42403698607723,1.0811959091551069,134.34,-44,14
2020-07-16,20,26.77777777777778,20.430555555555557,69.83383121946918,1.0638758177619,137.15,-44,15
2020-07-17,6,28.34027777777778,20.5625,66.02450967688476,1.0468456964247304,161.21,-43,14
2020-07-18,40,27.92361111111111,18.319444444444443,62.7851241422865,1.0305723765181598,166.2,-9,3
2020-07-19,21,28.644927536231883,20.61111111111111,65.46556046694944,1.0154572316690602,131.15,-13,4
2020-07-20,17,31,20.375,56.87889617786712,1.0018315884026738,130.02,-44,14
2020-07-21,46,28.47222222222222,19.71527777777778,64.05907736006716,0.9899558382133955,129.23,-45,15
2020-07-22,12,25.541666666666668,21.895833333333332,82.73088535828443,0.980021079867854,128.58,-44,15
2020-07-23,23,25.604166666666668,21.57638888888889,81.0441640100391,0.972152220961368,134.3,-44,15
2020-07-24,13,25.659420289855074,22.043478260869566,82.24689726827464,0.9664116808163794,158.04,-43,14
2020-07-25,37,26.666666666666668,21.34027777777778,75.24912098539599,0.9628031088931914,169.24,-10,3
2020-07-26,9,28.847826086956523,19.905797101449274,63.781151292014364,0.9612748216480684,135.51,-13,3
2020-07-27,30,28.15277777777778,20.26388888888889,66.55835039039809,0.9617229352974623,131.05,-44,14
2020-07-28,22,28.5625,20.770833333333332,63.978683812388404,0.9639944094100872,127.82,-44,14
2020-07-29,16,26.446969696969695,18.083333333333332,65.85789282478751,0.9678903979820974,135.21,-44,14
2020-07-30,17,27.555555555555557,18.75,63.509610230312305,0.9731704135495971,138.71,-45,15
2020-07-31,22,24.282608695652176,22,87.82588505378217,0.9795578304263396,143.94,-45,15
2020-08-01,3,25.333333333333332,21.979166666666668,83.40077271973004,0.9867471742481841,157.55,-11,4
2020-08-02,9,27.891304347826086,22.528985507246375,75.18864379447314,0.9944134649818513,130.42,-12,4
2020-08-03,12,25.895833333333332,18.09722222222222,63.53540563205576,1.0022236123129273,125.78,-44,14
2020-08-04,6,23.993055555555557,20.833333333333332,84.66738946933248,1.0098495363888986,118.18,-48,17
2020-08-05,4,24.60144927536232,17.60144927536232,67.47450448696557,1.0169823502140853,135.83,-44,13
2020-08-06,12,23.694444444444443,19.916666666666668,80.49516323326904,1.0233466496455903,132.89,-45,15
2020-08-07,18,24.618055555555557,21.631944444444443,84.57815421865965,1.0287137695268542,157.25,-44,14
2020-08-08,5,24.125,19.805555555555557,78.00505186056552,1.0329128238186172,165.17,-11,3
2020-08-09,12,25.67391304347826,19.97826086956522,74.59032342839065,1.0358384738552615,139.05,-13,3
2020-08-10,15,26.4375,20.27777777777778,73.38304319136438,1.0374546524401003,133.22,-44,13
2020-08-11,11,26.875,21.72463768115942,75.3622487540511,1.0377938730391554,133.86,-44,14
2020-08-12,25,27.930555555555557,22.34027777777778,73.35950950544141,1.036952210487178,136.57,-45,14
2020-08-13,36,24.98611111111111,22.041666666666668,85.30948978469698,1.035080479179643,146.93,-45,15
2020-08-14,19,25.098484848484848,21.384057971014492,81.49273255604913,1.032372487691696,160.09,-44,13
2020-08-15,23,23.608695652173914,19.67391304347826,80.03641966200878,1.0290514648442897,159.65,-10,3
2020-08-16,20,22.020833333333332,19.118055555555557,84.61136097022614,1.025355810019521,127.13,-13,4
