date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-1.836111111111111,NA,NA,NA,155.1,2,NA
2020-02-16,0,8.252430555555556,NA,NA,NA,110.6,-2,NA
2020-02-17,0,8.839236111111111,NA,NA,NA,111.45,-8,NA
2020-02-18,0,11.527083333333334,NA,NA,NA,99.89,-3,NA
2020-02-19,0,3.669791666666667,NA,NA,NA,105.44,-2,NA
2020-02-20,0,3.0381944444444446,NA,NA,NA,115.98,-1,NA
2020-02-21,0,-2.1815972222222224,NA,NA,NA,148.63,-3,NA
2020-02-22,0,1.3642361111111112,NA,NA,NA,145.99,3,NA
2020-02-23,0,6.543402777777778,NA,NA,NA,103.95,-5,NA
2020-02-24,0,7.285416666666666,NA,NA,NA,102.58,-1,NA
2020-02-25,0,10.207986111111111,NA,NA,NA,111,3,NA
2020-02-26,0,4.465972222222222,NA,NA,NA,107.85,0,NA
2020-02-27,0,0.546875,NA,NA,NA,127.61,2,NA
2020-02-28,0,3.2892361111111112,NA,NA,NA,150.86,1,NA
2020-02-29,0,1.2458333333333333,NA,NA,NA,160.88,2,NA
2020-03-01,0,7.485069444444444,NA,NA,NA,105.27,3,NA
2020-03-02,0,12.389930555555555,NA,NA,NA,109.22,1,NA
2020-03-03,0,13.31875,NA,NA,NA,113.23,3,NA
2020-03-04,0,11.359027777777778,NA,NA,NA,123.08,2,NA
2020-03-05,0,10.045833333333334,NA,NA,NA,126.46,3,NA
2020-03-06,0,6.778819444444444,NA,NA,NA,139.58,-1,NA
2020-03-07,0,2.8010416666666664,NA,NA,NA,146.05,3,NA
2020-03-08,0,9.728472222222223,NA,NA,NA,109.74,-5,NA
2020-03-09,0,13.858333333333334,NA,NA,NA,117.98,5,NA
2020-03-10,0,13.953472222222222,NA,NA,NA,111.68,2,NA
2020-03-11,0,9.147316919191919,NA,NA,NA,104.7,-1,NA
2020-03-12,0,13.405208333333333,NA,NA,NA,98.91,0,NA
2020-03-13,0,12.728472222222223,NA,NA,NA,125.77,-3,NA
2020-03-14,0,6.677777777777778,NA,NA,NA,99.14,0,NA
2020-03-15,0,3.860763888888889,NA,NA,NA,86.77,-11,NA
2020-03-16,0,4.877777777777777,NA,NA,NA,96.74,-10,NA
2020-03-17,0,8.104861111111111,NA,NA,NA,94.85,-15,NA
2020-03-18,0,11.348263888888889,NA,NA,NA,87.97,-20,NA
2020-03-19,0,18.04895833333333,NA,NA,NA,91.12,-21,NA
2020-03-20,0,19.653819444444444,NA,NA,NA,102.18,-23,NA
2020-03-21,0,6.561458333333333,NA,NA,NA,95.76,-22,NA
2020-03-22,0,4.202083333333333,NA,NA,NA,69.42,-30,NA
2020-03-23,0,9.19513888888889,NA,NA,NA,82.99,-33,NA
2020-03-24,0,9.116666666666667,NA,NA,NA,67.87,-37,NA
2020-03-25,0,11.156944444444445,NA,NA,NA,89.46,-38,NA
2020-03-26,0,15.690972222222221,NA,NA,NA,88.72,-38,NA
2020-03-27,0,22.100694444444443,NA,NA,NA,104.41,-41,NA
2020-03-28,0,22.80798611111111,NA,NA,NA,85.62,-32,NA
2020-03-29,2,19.422222222222224,NA,NA,NA,76.46,-36,NA
2020-03-30,0,13.836111111111112,NA,NA,NA,87.74,-39,NA
2020-03-31,0,9.721874999999999,NA,NA,NA,79.27,-44,NA
2020-04-01,0,7.128125,NA,NA,NA,81.67,-45,NA
2020-04-02,0,10.03125,NA,NA,NA,83.96,-43,NA
2020-04-03,0,14.411458333333334,NA,NA,NA,111.34,-44,NA
2020-04-04,0,17.227083333333333,NA,NA,NA,103.67,-28,NA
2020-04-05,0,15.409375,NA,NA,NA,83.79,-33,NA
2020-04-06,0,17.346875,NA,NA,NA,89,-41,NA
2020-04-07,0,20.73090277777778,NA,NA,NA,97.48,-42,NA
2020-04-08,0,21.870833333333334,NA,NA,NA,100.23,-46,NA
2020-04-09,0,15.918750000000001,NA,NA,NA,91.98,-45,NA
2020-04-10,0,7.595138888888889,NA,NA,NA,96.33,-52,NA
2020-04-11,0,9.402430555555556,NA,NA,NA,97.71,-32,NA
2020-04-12,2,13.824305555555556,NA,NA,1.5549207380597636,61.45,-42,NA
2020-04-13,0,10.191666666666666,NA,NA,1.5080348242243917,85.74,-41,NA
2020-04-14,1,5.511111111111111,NA,NA,1.4602842137008618,91.47,-38,NA
2020-04-15,0,5.607986111111111,NA,NA,1.4117219441072233,107.9,-42,NA
2020-04-16,1,7.392361111111111,NA,NA,1.362556671761921,114.72,-41,NA
2020-04-17,2,13.837152777777778,NA,NA,1.3131350411993798,122.74,-42,NA
2020-04-18,0,7.908680555555556,NA,NA,1.263907536252241,118.21,-27,NA
2020-04-19,6,10.098263888888889,NA,NA,1.215383610658839,89,-36,NA
2020-04-20,2,13.245138888888889,NA,NA,1.1680836331162987,108.53,-37,NA
2020-04-21,0,15.118055555555555,NA,NA,1.1224951832165107,102.98,-40,NA
2020-04-22,7,12.200694444444444,NA,NA,1.0790395216855169,112.37,-43,NA
2020-04-23,2,13.943055555555556,NA,NA,1.0380512717909496,105.9,-44,NA
2020-04-24,12,15.059027777777779,NA,NA,0.9997714163468832,123.14,-43,NA
2020-04-25,5,13.687152777777778,NA,NA,0.9643514310563749,113.8,-22,NA
2020-04-26,18,9.664930555555555,NA,NA,0.9318651323629187,84.99,-32,NA
2020-04-27,0,10.959722222222222,NA,NA,0.9023245813342404,112.89,-37,NA
2020-04-28,0,16.436805555555555,NA,NA,0.8756968460638956,102.86,-40,NA
2020-04-29,2,16.914930555555557,NA,NA,0.8519192063112667,98.51,-41,NA
2020-04-30,3,11.128125,NA,NA,0.8309111913393172,115.81,-39,NA
2020-05-01,4,13.394097222222223,NA,NA,0.812582527645764,151.09,-43,NA
2020-05-02,0,19.71701388888889,NA,NA,0.7968366256431142,160.48,-21,NA
2020-05-03,10,22.027083333333334,NA,NA,0.7835697227915074,115.81,-33,NA
2020-05-04,5,17.915277777777778,NA,NA,0.7726663065420353,125.14,-36,NA
2020-05-05,7,14.87165404040404,NA,NA,0.763991991894889,100.97,-39,NA
2020-05-06,-1,10.396527777777777,NA,NA,0.757385557826833,119.82,-40,NA
