date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,6.666666666666667,0.3,65.25096459185309,NA,129.35,1,0
2020-02-16,0,14.572916666666668,10.50625,77.26761421066068,NA,86.68,0,-1
2020-02-17,0,16.956944444444446,13.591666666666667,81.24097955546529,NA,112.96,-11,3
2020-02-18,0,18.177291666666665,15.88,86.7160989068793,NA,106.55,0,1
2020-02-19,0,7.372222222222223,4.666666666666666,83.23170470924796,NA,100.42,-1,2
2020-02-20,0,6.434722222222222,3.001388888888889,79.51861862044159,NA,112.98,-1,1
2020-02-21,0,5.179166666666667,-2.370833333333333,60.576282995177756,NA,140.21,0,0
2020-02-22,0,5.095833333333333,-2.475,61.28082399545611,NA,126.94,1,0
2020-02-23,0,8.535416666666666,4.5784722222222225,77.12447250623904,NA,80.46,-3,1
2020-02-24,0,16.276736111111113,9.97673611111111,70.48268779350006,NA,110.06,1,0
2020-02-25,0,10.741666666666667,3.6708333333333334,64.21689983229852,NA,118.65,2,-1
2020-02-26,0,7.983333333333333,-1.2270833333333333,53.83458496188502,NA,113.45,2,-1
2020-02-27,0,4.058333333333334,-6.1875,52.39723467488452,NA,124.79,1,-2
2020-02-28,0,9.2125,-3.5666666666666664,44.67801868345112,NA,148.41,-1,-1
2020-02-29,0,11.866666666666667,-1.1875,21.36850392785187,NA,142.4,3,-3
2020-03-01,0,16.727083333333333,9.25,62.85617294509539,NA,94.23,3,-2
2020-03-02,0,19.588541666666668,15.08125,75.63869127556806,NA,111.39,1,-1
2020-03-03,0,19.183333333333334,16.399305555555557,84.20796059553354,NA,115.25,2,-2
2020-03-04,0,14.197718253968254,11.726190476190476,85.29496120319484,NA,107.98,0,2
2020-03-05,0,14.145833333333334,6.2703125,65.9827010268426,NA,126.94,2,-2
2020-03-06,0,13.197916666666666,-3.160416666666667,36.14465642482921,NA,153.23,1,-2
2020-03-07,0,9.858333333333334,-2.125,48.65939191645917,NA,139.92,1,-2
2020-03-08,0,12.200000000000001,0.9083333333333333,49.808712969162634,NA,92.82,1,-2
2020-03-09,0,16.65625,13.846666666666666,80.39617589524465,NA,109.09,-16,3
2020-03-10,1,19.80034722222222,15.036111111111111,76.19288277179413,NA,119.3,-15,1
2020-03-11,0,20.8125,15.429166666666667,73.41229428029753,NA,123.24,-16,1
2020-03-12,0,21.68888888888889,16.156944444444445,72.02459262479609,NA,122.3,-17,0
2020-03-13,0,20.778125,16.525,77.42363896882392,NA,122.56,-19,4
2020-03-14,3,18.490277777777777,14.945833333333335,80.77331743048225,NA,108.03,-4,2
2020-03-15,-3,15.979166666666666,12.866666666666667,82.14517571856067,NA,75.87,-8,2
2020-03-16,0,11.303472222222222,9.497222222222222,88.82263640136904,NA,94.98,-15,5
2020-03-17,0,16.111597222222223,13.222013888888888,84.0219973774366,NA,95.04,-16,6
2020-03-18,0,21.12847222222222,17.65763888888889,81.30873205169995,NA,92.81,-18,8
2020-03-19,0,22.729166666666668,18.1625,76.2830176130259,NA,87.69,-19,8
2020-03-20,0,17.473958333333332,15.028472222222222,85.83511437504401,NA,92.04,-24,13
2020-03-21,0,9.536111111111111,6.625,82.35665383394057,NA,72.33,-19,9
2020-03-22,0,12.39236111111111,10.583333333333334,88.95064845434182,NA,50.69,-25,9
2020-03-23,0,16.025,14.506944444444445,90.86021914825142,NA,73.44,-24,12
2020-03-24,0,21.578125,16.535069444444446,76.30227496819631,NA,77.02,-26,11
2020-03-25,2,19.420833333333334,10.766666666666667,62.732409400172905,NA,75.13,-28,11
2020-03-26,1,22.87986111111111,15.335416666666667,65.67596573269431,NA,77.55,-28,11
2020-03-27,0,24.464583333333334,17.75,68.41084684307239,NA,75.56,-35,17
2020-03-28,0,21.03298611111111,15.99236111111111,74.32860500517944,NA,52.91,-30,15
2020-03-29,0,14.075347222222222,8.159375,72.12775825434308,NA,47.77,-31,11
2020-03-30,1,15.631944444444445,10.125,70.50644617353441,NA,62.62,-34,16
2020-03-31,0,14.20138888888889,10.336805555555555,79.0685309263771,NA,70.47,-34,15
2020-04-01,3,14.070833333333333,7.916666666666667,70.57363075482287,0.9930789721966266,72.51,-34,13
2020-04-02,0,16.3375,10.50625,69.43097459944921,0.9951280969636022,72.27,-36,14
2020-04-03,5,18.122222222222224,14.55625,80.13087781693635,0.9980674458047011,75.14,-36,18
2020-04-04,3,10.609027777777778,8.669444444444444,88.0100775016366,1.0018626437188585,55.38,-30,14
2020-04-05,0,13.895833333333334,11.24375,85.09696205694475,1.0064692871557286,44.38,-34,11
2020-04-06,0,18.6625,15.0625,80.6950268093336,1.0118328023314354,66.05,-34,15
2020-04-07,7,23.416666666666668,19.170833333333334,78.8334522060678,1.017887419865557,69.01,-36,15
2020-04-08,9,24.925,20.616666666666667,78.23927997770615,1.024554443552199,73.16,-36,15
2020-04-09,3,23.89097222222222,19.133695652173913,75.38296575389464,1.031740130464431,75.74,-37,15
2020-04-10,2,17.4875,3.408333333333333,37.912122085482395,1.039333577686078,80.39,-48,20
2020-04-11,3,15.308333333333334,8.70138888888889,65.85173891991175,1.0472050383456273,58.88,-32,14
2020-04-12,0,21.6975,16.985833333333332,75.89007444720035,1.05520509205985,44.14,-37,9
2020-04-13,0,11.417708333333334,4.125,62.0870682794683,1.0631650952162595,81.89,-39,9
2020-04-14,5,10.783333333333333,2.975,60.85256584474253,1.0708993357976524,84.44,-35,12
2020-04-15,2,11.1875,2.9166666666666665,60.446189660003206,1.0782092852543808,89.77,-34,12
2020-04-16,2,13.629166666666666,3.9,56.15249011313699,1.0848902215697183,92.23,-34,13
2020-04-17,1,16.566666666666666,11.541666666666666,73.27960265091322,1.0907402398890282,93.81,-35,17
2020-04-18,1,12.723611111111111,12.225,66.76880746256134,1.0955712545754803,75.61,-23,10
2020-04-19,1,17.105486111111112,15.073194444444445,88.03077078515679,1.0992210827277404,50.1,-30,11
2020-04-20,0,18.41604166666667,14.892777777777779,81.71371840074079,1.1015652118552488,87.03,-33,12
2020-04-21,0,19.52013888888889,14.51388888888889,75.75024170524325,1.1025265642836979,86.67,-32,12
2020-04-22,1,20.222916666666666,16.52236111111111,80.03899557904059,1.1020816284684274,78.58,-35,16
2020-04-23,6,20.678472222222222,15.985069444444445,76.58458836467926,1.1002617931979848,93.44,-32,12
2020-04-24,0,19.639583333333334,13.71875,71.74413002097252,1.0971495228541566,98.72,-35,14
2020-04-25,0,19.302777777777777,11.740972222222222,63.98502043769983,1.0928699564755384,88.87,-23,8
2020-04-26,3,18.558333333333334,9.008333333333333,58.81513615579779,1.0875793464965475,65.28,-26,7
2020-04-27,4,19.770833333333332,11.85,61.942776528024694,1.0814522489816127,91.43,-31,12
2020-04-28,3,21.738194444444446,16.665277777777778,73.79072203542687,1.0746694140569286,88.59,-34,8
2020-04-29,0,20.289444444444445,12.515416666666667,67.56881163938645,1.067407919315766,98.73,-32,11
2020-04-30,4,17.895833333333332,8.104166666666666,56.54041125395246,1.059834379953684,103.41,-30,10
2020-05-01,7,19.8875,11.8125,63.59646452570419,1.0521012690532898,118.81,-30,12
2020-05-02,7,22.416666666666668,15.414583333333333,66.57788273784986,1.0443457068968038,99.28,-17,6
2020-05-03,0,24.697916666666668,17.5125,65.69418623958207,1.0366896902598746,76.01,-21,5
2020-05-04,0,24.579166666666666,18.19236111111111,69.2045196896526,1.029240694788454,105.16,-28,10
2020-05-05,10,23.56388888888889,17.255555555555556,69.6663328091052,1.022091851515408,108.81,-27,10
2020-05-06,10,19.8125,8.995833333333334,53.02645293896813,1.0153213438744484,108.63,-28,10
2020-05-07,2,19.09583333333333,10.6125,60.767590765996175,1.0089911315588287,114.52,-27,9
2020-05-08,8,21.335337301587302,14.60077380952381,67.00208936211845,1.0031454432471212,126.48,-30,13
2020-05-09,0,16.389583333333334,8.950000000000001,63.84404758072308,0.9978096188512486,122.08,-14,5
2020-05-10,1,16.204166666666666,8.675,65.25852572345235,0.9929898285773383,78.82,-18,2
2020-05-11,0,18.391666666666666,10.104166666666666,61.67323679285762,0.9886740136455618,NA,-27,9
2020-05-12,14,20.383333333333333,14.254166666666666,68.68878456327809,0.984834165746466,NA,-26,10
