date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-3.3958333333333335,-10.570833333333333,62.84258883549048,NA,127.29,0,-1
2020-02-16,0,4.55,-2.9,60.277994673915316,NA,89.05,0,-1
2020-02-17,0,2.817361111111111,-1.2069444444444444,78.3233467394527,NA,98.47,-19,5
2020-02-18,0,9.573263888888889,5.803472222222222,78.0870362237975,NA,105.52,1,1
2020-02-19,0,2.279861111111111,-3.769212962962963,68.42996861551725,NA,109.29,1,0
2020-02-20,0,-0.37083333333333335,-7.258333333333333,61.53818586271619,NA,113.53,1,0
2020-02-21,0,-3.3708333333333336,-11.479166666666666,57.4612363961872,NA,134.86,2,0
2020-02-22,0,-0.06666666666666665,-8.929166666666667,58.97506513612367,NA,132.46,4,-2
2020-02-23,0,1.9749999999999999,-5.383333333333333,63.718162582564275,NA,88.06,2,-1
2020-02-24,0,3.6125,0.9409722222222222,83.59020146416381,NA,99.6,5,0
2020-02-25,0,7.154166666666667,6.45,95.36400305325053,NA,111.18,1,0
2020-02-26,0,4.260416666666667,3.2645833333333334,93.38972477839108,NA,112.12,1,0
2020-02-27,0,-0.6833333333333333,-7.196527777777778,62.44900339324029,NA,113.12,1,0
2020-02-28,0,0.5072222222222222,-5.220277777777778,67.04972553900996,NA,144.91,1,-1
2020-02-29,0,-1.55,-9.29375,58.694496739216554,NA,136.41,1,-3
2020-03-01,0,2.5375,-5.008333333333334,64.05212209565748,NA,93.7,3,-2
2020-03-02,0,12.240625,6.0062500000000005,69.08050361694035,NA,103.5,5,0
2020-03-03,0,11.743194444444445,7.947638888888889,81.8326090650239,NA,111.32,2,-1
2020-03-04,0,8.804166666666667,-1.2083333333333333,54.788949740887915,NA,115.19,1,-1
2020-03-05,0,6.091666666666667,-3.1041666666666665,58.789660107785764,NA,119.99,2,-1
2020-03-06,0,5.477083333333333,-1.6791666666666667,62.20230412324177,NA,136.51,1,0
2020-03-07,0,4.195833333333334,-5.404166666666667,52.440755333428655,NA,134.6,4,-3
2020-03-08,0,6.083333333333333,-3.5541666666666667,59.592896263210555,NA,95.21,1,-2
2020-03-09,0,11,0.6041666666666666,52.127021044846735,NA,113.53,4,-1
2020-03-10,0,13.78888888888889,9.138194444444444,75.02590336166851,NA,110.46,0,1
2020-03-11,0,8.79861111111111,5.698958333333334,81.57595775633595,NA,108.05,0,0
2020-03-12,0,10.269375,7.039375,82.40298749169686,NA,101.62,-1,1
2020-03-13,0,12.230555555555556,4.553125,63.38612805824972,NA,110.39,-7,3
2020-03-14,0,4.252083333333333,-0.41041666666666665,74.2244136477611,NA,86.8,-6,5
2020-03-15,0,3.729861111111111,-0.1875,76.60629012232316,NA,62.03,-9,4
2020-03-16,0,6.233333333333333,0.7999999999999999,68.600585233108,NA,72.28,-21,9
2020-03-17,0,7.95,3.252083333333333,73.81304895269922,NA,68.38,-30,12
2020-03-18,0,5.862896825396826,4.626686507936508,92.04879422842566,NA,65.49,-34,15
2020-03-19,1,15.556597222222223,14.45486111111111,93.25900609648527,NA,64.2,-37,17
2020-03-20,6,18.56458333333333,14.672916666666666,78.914728019213,NA,72.22,-38,17
2020-03-21,1,3.564583333333333,-2.029166666666667,67.28044172009285,NA,58.68,-27,12
2020-03-22,11,2.754166666666667,-2.404166666666667,69.87762143954915,NA,44.61,-31,9
2020-03-23,7,8.169444444444444,4.1097222222222225,77.00757987666219,NA,56.94,-41,16
2020-03-24,12,6.9383333333333335,3.2020833333333334,78.73360875086613,NA,48.45,-51,22
2020-03-25,10,10.25,4.430555555555555,70.98686539570384,NA,54.65,-51,21
