date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.415277777777778,-5.281944444444444,55.84314384959932,NA,136.33,10,NA
2020-02-16,0,5.933333333333334,2.9805555555555556,82.06722506695174,NA,95.79,-1,NA
2020-02-17,0,7.776388888888889,7.080555555555556,95.51735322261568,NA,107.39,-9,2
2020-02-18,0,11.654166666666667,11.609722222222222,99.71326683192969,NA,106.4,-7,4
2020-02-19,0,10.9875,9.647222222222222,91.724379877901,NA,98.58,-5,2
2020-02-20,0,5.965277777777778,5.1194444444444445,94.40246684361317,NA,108.47,-4,3
2020-02-21,0,2.0527777777777776,-2.6375,73.59052915198191,NA,129.04,-13,3
2020-02-22,0,2.7375,-4.441666666666666,64.31287053214749,NA,201.95,14,NA
2020-02-23,0,4.270833333333333,-2.088888888888889,68.37264762284315,NA,97.4,1,NA
2020-02-24,0,6.833333333333333,5.15,89.69855632993072,NA,99.54,-3,2
2020-02-25,0,11.802777777777777,9.416666666666666,87.33008422335003,NA,99.54,1,-1
2020-02-26,0,8.056944444444444,5.726388888888889,86.12577990844896,NA,105.23,3,0
2020-02-27,0,3.0208333333333335,-4.851388888888889,58.606053675813826,NA,110.54,3,-1
2020-02-28,0,2.9250000000000003,-3.952777777777778,63.82467494185087,NA,145.15,0,-2
2020-02-29,0,5.631944444444445,-3.158333333333333,58.25032057523315,NA,140.94,3,NA
2020-03-01,0,5.833333333333333,-2.6666666666666665,59.731002666187344,NA,108.01,2,NA
2020-03-02,0,8.823611111111111,4.6375,77.57836203247173,NA,99.54,1,1
2020-03-03,0,15.544444444444444,14.065277777777778,91.67622404365723,NA,108.84,0,-1
2020-03-04,0,13.055555555555555,11.856944444444444,92.949050117867,NA,104.05,-1,3
2020-03-05,0,9.652777777777779,8.994444444444444,95.77318892554555,NA,107.42,0,2
2020-03-06,0,8.068055555555555,2.0027777777777778,71.33120104227908,NA,150.12,0,-1
2020-03-07,0,5.6305555555555555,-4.55,51.47669851211589,NA,153.74,1,NA
2020-03-08,0,6.565277777777777,-2.073611111111111,60.75642018733397,NA,127.71,1,NA
2020-03-09,0,10.248611111111112,3.4208333333333334,65.2692493158804,NA,110.54,2,-2
2020-03-10,0,13.3875,9.956944444444444,80.7404381371981,NA,105.44,-1,1
2020-03-11,0,14.756944444444445,13.241666666666667,91.5226247697881,NA,112.86,-3,-1
2020-03-12,0,16.647222222222222,14.140277777777778,87.56544454851414,NA,117.93,0,-2
2020-03-13,0,18.09861111111111,14.941666666666666,82.50968716808242,NA,125.94,-2,0
2020-03-14,0,17.480555555555554,12.118055555555555,73.24185752369904,NA,117.5,3,NA
2020-03-15,0,16.306944444444444,13.593055555555555,84.56153362814399,NA,91.31,-12,NA
2020-03-16,0,12.33611111111111,10.970833333333333,91.54778286460002,NA,96.54,-10,3
2020-03-17,0,13.511111111111111,12.205555555555556,92.45362171267641,NA,91.93,-19,6
2020-03-18,0,16.15,13.89861111111111,88.62936395054044,NA,91.96,-23,8
2020-03-19,0,17.595833333333335,13.92361111111111,81.18186567794605,NA,97.16,-22,8
2020-03-20,0,19.9125,15.515277777777778,77.49246319230485,NA,95.18,-23,NA
2020-03-21,0,16.238888888888887,13.7625,86.26093903990163,NA,87.51,-10,NA
2020-03-22,0,10.918055555555556,8.172222222222222,83.64161628640234,NA,61.22,-22,NA
2020-03-23,0,12.790277777777778,12.51388888888889,98.26178657601167,NA,80.58,-28,NA
2020-03-24,0,18.27638888888889,16.22361111111111,89.75883453148091,NA,76.72,-36,NA
2020-03-25,0,18.59166666666667,13.781944444444445,76.09767794664177,NA,77.43,-35,NA
2020-03-26,0,15.741666666666667,9.691666666666666,72.11602011748468,NA,75.63,-37,NA
2020-03-27,1,20.065277777777776,13.544444444444444,69.15464229812356,NA,85.31,-40,NA
2020-03-28,0,21.6,16.21527777777778,73.52545239424813,NA,77.49,-25,NA
2020-03-29,1,21.51388888888889,12.7125,62.121904947461324,NA,60.36,-33,NA
2020-03-30,1,17.445833333333333,4.519444444444445,44.60814972143509,NA,78.11,-35,NA
2020-03-31,1,13.540277777777778,6.334722222222222,63.9194030430635,NA,68.95,-43,NA
2020-04-01,1,9.166666666666666,2.1486111111111112,63.6830017785684,0.8850614414041985,78.05,-42,NA
2020-04-02,1,10.440277777777778,1.8583333333333334,59.419401323201924,0.8857323269101921,78.54,-43,NA
2020-04-03,1,13.684722222222222,3.1069444444444443,55.67248160393536,0.8865465366372006,87.48,-45,NA
2020-04-04,3,16.8125,5.361111111111111,52.538217874368065,0.8874948862379932,66.73,-26,NA
2020-04-05,0,17.808333333333334,8.175,57.8477489539654,0.8885688036721441,56.31,-37,NA
2020-04-06,0,18.00138888888889,10.675,66.20224682717367,0.88976084935844435,73.44,-39,NA
2020-04-07,5,17.52916666666667,13.5375,78.87420616895999,0.8910651867576428,70.62,-44,NA
2020-04-08,2,18.891666666666666,16.95,89.43794123951196,0.8924779806775855,75.91,-47,NA
2020-04-09,-2,19.647222222222222,14.219444444444445,75.88517080585594,0.8939977054048635,78.08,-46,NA
