date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,7.583333333333333,2.013888888888889,69.2964599081468,NA,135.91,2,-1
2020-02-16,0,15.791666666666666,11.38888888888889,77.24462057950947,NA,104.72,3,-1
2020-02-17,0,17.11111111111111,15.027777777777779,88.25616749555486,NA,119.77,-16,2
2020-02-18,0,16.930555555555557,15.430555555555555,91.0769429809342,NA,101.09,0,1
2020-02-19,0,7.666666666666667,5.763888888888889,88.15797840030973,NA,95.75,1,2
2020-02-20,0,6.361111111111111,4.027777777777778,87.19463358858036,NA,108.43,-1,0
2020-02-21,0,4.833333333333333,-1.4444444444444444,66.45121757314013,NA,142.54,4,0
2020-02-22,0,5.930555555555555,-0.09722222222222222,68.4696396331403,NA,136.24,1,-1
2020-02-23,0,9.51388888888889,6.111111111111111,80.53491178154103,NA,96.92,0,0
2020-02-24,0,16.166666666666668,10.041666666666666,71.28565052593996,NA,110.93,4,-1
2020-02-25,0,11.104166666666666,4.208333333333333,64.91352587645164,NA,118.05,4,-1
2020-02-26,0,7.840277777777778,-1.7361111111111112,52.4069598258627,NA,110.83,5,-1
2020-02-27,0,4.138888888888889,-4.069444444444445,61.32038394307812,NA,118.13,3,-2
2020-02-28,0,8.291666666666666,-1.4861111111111112,55.44387156274885,NA,157.17,4,-2
2020-02-29,0,11.11111111111111,0.2916666666666667,55.84536679302144,NA,144.79,4,-2
2020-03-01,0,16.97222222222222,10.402777777777779,67.13286549586196,NA,110.72,6,-1
2020-03-02,0,19.180555555555557,16.15277777777778,83.15910891239855,NA,107.62,1,-1
2020-03-03,0,18.34722222222222,16.625,90.17096789306655,NA,112.18,3,-1
2020-03-04,0,15.416666666666666,12.819444444444445,85.39202279383056,NA,102.95,1,1
2020-03-05,0,13.63888888888889,6.180555555555555,68.44732826521867,NA,116.56,3,-3
2020-03-06,0,13.083333333333334,-1.5,41.92204719728333,NA,157.47,4,-2
2020-03-07,0,9.666666666666666,-0.3055555555555555,54.186752837895774,NA,162.98,0,-2
2020-03-08,0,11.333333333333334,4.972222222222222,67.60516052167085,NA,113.51,1,-1
2020-03-09,0,16.73611111111111,13.61111111111111,82.83701476958205,NA,127.06,-2,1
2020-03-10,0,19.73611111111111,16.61111111111111,84.23944588387141,NA,130.51,-3,0
2020-03-11,0,21.026315789473685,16.684210526315788,77.496322659909,NA,127.83,-2,-1
2020-03-12,0,21.768115942028984,16.73913043478261,74.66160125395905,NA,128.9,-3,-2
2020-03-13,0,22.492424242424242,16.560606060606062,70.70753387963096,NA,132.99,-7,2
2020-03-14,0,21.90740740740741,18.09259259259259,79.61145565218418,NA,135.85,0,1
2020-03-15,0,15.26388888888889,13.319444444444445,88.62112568124289,NA,106.45,-6,2
2020-03-16,0,13.13888888888889,11.430555555555555,89.7483804510522,NA,106,-17,4
2020-03-17,0,18.09722222222222,15.708333333333334,86.83018269903185,NA,100,-16,6
2020-03-18,0,21.5,18.59722222222222,84.24635047530083,NA,101.01,-18,6
2020-03-19,0,22.38888888888889,18.791666666666668,80.98777231592241,NA,95.67,-21,8
2020-03-20,0,16.47222222222222,14.75,90.05714272238937,NA,94.53,-22,12
2020-03-21,0,9.166666666666666,6.097222222222222,81.60463304769827,NA,86.67,-15,9
2020-03-22,0,12.5,12.01388888888889,96.97164312875034,NA,67.18,-27,9
2020-03-23,0,17.01388888888889,16.51388888888889,97.15724390252028,NA,80.13,-22,10
2020-03-24,0,22.333333333333332,16.77777777777778,75.7370170732424,NA,91.45,-25,11
2020-03-25,0,18.59722222222222,10.63888888888889,65.31785953164228,NA,87.45,-27,9
2020-03-26,0,22.09722222222222,17.069444444444443,74.8863479031688,NA,91.79,-29,10
2020-03-27,0,24.069444444444443,18.708333333333332,73.3907830681664,NA,96.35,-28,13
2020-03-28,0,20.583333333333332,16.63888888888889,79.1748336586783,NA,79.7,-25,11
2020-03-29,1,14.055555555555555,9.13888888888889,77.11564458336544,NA,68.14,-28,9
2020-03-30,0,15.51388888888889,10.722222222222221,74.1044947994038,NA,67.52,-32,14
