date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-5.194444444444445,-10.775,65.40995986530636,NA,121.23,2,0
2020-02-16,0,-7.0249999999999995,-13.645833333333334,60.6770889308052,NA,88.29,1,-1
2020-02-17,0,-2.7204166666666665,-8.934722222222222,63.26396711029587,NA,99.71,-24,6
2020-02-18,0,-6.499007936507937,-11.230505952380952,69.99977787707155,NA,113.43,-2,1
2020-02-19,0,-14.558333333333334,-20.941666666666666,59.1690326911245,NA,100.01,1,0
2020-02-20,0,-16.695833333333333,-22.933333333333334,60.58211464623625,NA,105.3,1,0
2020-02-21,0,-6.395833333333333,-11.833333333333334,66.19009419712523,NA,124.25,2,-1
2020-02-22,0,-2.11625,-6.367708333333333,74.63603804338517,NA,120.88,3,-1
2020-02-23,0,1.3458333333333332,-3.583333333333333,71.3825495168467,NA,86.51,4,-2
2020-02-24,0,-0.3124999999999999,-5.716666666666667,69.24288332911797,NA,94.95,3,-1
2020-02-25,0,-0.7541666666666667,-7.7250000000000005,60.38355204192721,NA,98.79,1,0
2020-02-26,0,-3.9043478260869566,-10.252173913043478,62.30065997063911,NA,102.65,1,-1
2020-02-27,0,-6.8625,-12.233333333333334,66.9631978396236,NA,106.58,1,0
2020-02-28,0,-6.533333333333333,-14.608333333333334,54.47968092224333,NA,124.8,2,-1
2020-02-29,0,-4.722569444444445,-8.895486111111111,74.21536609290179,NA,122.73,5,-1
2020-03-01,0,3.0083333333333333,-1.7458333333333333,72.17706205300941,NA,88.22,5,-2
2020-03-02,0,0.7607638888888889,-4.536458333333333,68.12079971366603,NA,94.84,3,-1
2020-03-03,0,1.4805555555555556,-3.1055555555555556,72.5196763457254,NA,103.22,1,-1
2020-03-04,0,-0.029166666666666705,-6.370833333333334,63.74333931352508,NA,101.39,1,0
2020-03-05,0,2.947222222222222,-1.5055555555555555,73.17229621703376,NA,105.9,1,0
2020-03-06,0,-0.7833333333333333,-8.425,58.38281404647272,NA,125.87,0,0
2020-03-07,0,4.0625,-5.116666666666667,52.517684084610735,NA,122.79,4,-1
2020-03-08,0,10.670833333333334,0.10833333333333335,48.59536558496849,NA,89.88,3,-2
2020-03-09,0,4.185416666666667,-1.1708333333333334,69.01629488505525,NA,91.43,-2,1
2020-03-10,0,-0.25416666666666665,-7.845833333333333,58.56034900827104,NA,97.34,-1,1
2020-03-11,0,2.3024305555555555,-1.0273611111111112,79.77691697614674,NA,99.19,-2,1
2020-03-12,1,4.747569444444444,1.4618055555555556,80.01643602011478,NA,94.18,-4,2
2020-03-13,0,-0.12361111111111112,-8.525,54.27118929323602,NA,100.94,-8,4
2020-03-14,5,-3.1041666666666665,-11.116666666666667,54.99219581618934,NA,85.92,-2,5
2020-03-15,0,-1.6875,-8.420833333333334,62.03062939216653,NA,60.68,-6,4
2020-03-16,16,1.6868055555555554,-2.55625,74.43915851546292,NA,65.6,-23,11
2020-03-17,2,1.0416666666666665,-7.716666666666667,53.59350259305151,NA,60.24,-35,15
2020-03-18,4,4.5055555555555555,-0.05833333333333329,73.27455116541628,NA,52.91,-43,20
2020-03-19,4,4.4598611111111115,2.575625,87.91673728472279,NA,49.42,-47,23
2020-03-20,13,-1.5958333333333332,-9.5875,56.47793349477317,NA,56.18,-48,22
2020-03-21,7,-2.9375,-11.925,51.347353057468624,NA,46.14,-33,15
2020-03-22,5,1.8583333333333332,-3.7416666666666667,67.53889394847616,NA,36.56,-35,12
2020-03-23,32,3.421527777777778,-0.5277777777777778,77.12379113448425,NA,45.54,-51,22
2020-03-24,14,4.759027777777778,1.31875,79.643205524145,NA,46.07,-54,24
2020-03-25,8,6.132708333333333,2.79125,79.60120231054839,NA,44.84,-55,25
2020-03-26,17,3.933333333333333,-1.80625,69.37697515329123,NA,50.95,-55,24
2020-03-27,13,7.516666666666667,0.45,63.655745105925064,NA,55.81,-55,24
2020-03-28,11,8.020535714285714,4.3967261904761905,79.15653327114876,NA,31.97,-45,21
2020-03-29,19,4.206944444444445,0.6902777777777779,79.95622501791901,NA,29.01,-44,16
2020-03-30,19,6.920833333333333,-6.3875,42.862156080704985,NA,42.99,-60,24
2020-03-31,14,6.716666666666667,-4.066666666666666,49.08913738630721,NA,45.5,-61,26
2020-04-01,14,7.4,-0.8416666666666667,57.142017658608786,1.306257023359931,44.6,-61,26
2020-04-02,17,11.495833333333334,2.6125,54.86079322504434,1.2977401957261787,43.93,-61,28
2020-04-03,7,2.167708333333333,-2.1218749999999997,74.82649930603118,1.2892156875114855,46.76,-61,30
2020-04-04,10,-1.2291666666666667,-8.972916666666666,60.153867320135284,1.2808754561572009,46.38,-43,18
2020-04-05,15,4.454166666666667,-5.741666666666666,52.43278407693749,1.2729100772333801,40.48,-44,13
2020-04-06,13,10.141666666666667,0.7395833333333334,52.751858444524075,1.2655026360637447,44.56,-61,25
2020-04-07,30,13.444166666666666,8.280555555555555,74.86659899338619,1.2588230651555468,49.06,-62,26
2020-04-08,34,10.75,-1.4958333333333333,45.261973278940985,1.2530228581876048,47.1,-62,27
2020-04-09,31,2.5996527777777776,-5.788541666666667,55.388922064970544,1.2482300615120392,46.76,-62,28
2020-04-10,40,2.6833333333333336,-6.279166666666667,54.468010304664645,1.244544470076958,55.92,-63,28
