date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-0.94375,-9.9375,51.72493327308628,NA,126.03,-1,0
2020-02-16,0,3.5541666666666667,-3.1645833333333333,63.64638481202919,NA,91.57,0,0
2020-02-17,0,8.322916666666666,0.5437500000000001,60.675667832329154,NA,107.3,-20,5
2020-02-18,0,7.7226388888888895,3.6870833333333333,77.50347530193281,NA,106.63,2,-1
2020-02-19,0,10.010069444444445,2.5256944444444445,65.04350403386879,NA,107.75,1,0
2020-02-20,0,2.2736111111111112,-3.6746527777777778,66.04711359587778,NA,104.44,1,1
2020-02-21,0,-0.10208333333333332,-7.785416666666666,60.80441837825011,NA,125.96,0,1
2020-02-22,0,1.1854166666666666,-8.879166666666666,52.012746705432136,NA,125.51,1,0
2020-02-23,0,5.714583333333334,-4.358333333333333,55.57040931556469,NA,90.55,1,0
2020-02-24,0,8.410416666666666,0.3729166666666667,58.04421877939859,NA,100.18,5,0
2020-02-25,0,10.275277777777777,9.399444444444445,94.63127135596187,NA,106.83,3,0
2020-02-26,0,10.840972222222222,10.76388888888889,99.50896608948025,NA,113.96,2,0
2020-02-27,0,8.083333333333334,-1.3138888888888889,56.7410921538707,NA,118.04,2,-1
2020-02-28,0,4.239583333333333,-7.63125,43.15064995800321,NA,138.56,1,-1
2020-02-29,0,3.7604166666666665,-6.377083333333333,51.482751863644594,NA,141.67,0,-1
2020-03-01,0,3.125,-10.235416666666666,40.75700625377388,NA,98.53,2,-1
2020-03-02,0,9.714583333333334,-2.5166666666666666,45.01639938749769,NA,109.99,4,-1
2020-03-03,0,13.875,8.283333333333333,70.52972732870653,NA,116.68,-6,0
2020-03-04,0,13.533333333333333,0.03958333333333329,43.36255743547292,NA,114.09,2,-1
2020-03-05,0,10.25,-1.2208333333333332,45.85521576731532,NA,118.68,1,0
2020-03-06,0,7.875,0.5958333333333333,63.29958482840694,NA,135.93,0,0
2020-03-07,0,7.79375,-4.529166666666667,43.268703379365526,NA,136.13,1,-1
2020-03-08,0,7.0875,-6.722916666666666,40.97935266633009,NA,99.57,1,-1
2020-03-09,0,12.43125,-2.127083333333333,39.222153999688935,NA,107.97,-1,0
2020-03-10,0,16.485416666666666,9.112499999999999,62.51408369491791,NA,112.79,1,-1
2020-03-11,0,15.95,8.997916666666667,64.25321121194524,NA,110.2,-1,0
2020-03-12,0,12.49375,8.670833333333334,78.32443680142157,NA,106.52,-5,1
2020-03-13,0,18.494444444444444,12.016666666666667,71.31409556659078,NA,117.89,-7,3
2020-03-14,0,13.984722222222222,-4.486805555555556,28.183321625824725,NA,101.42,-3,3
2020-03-15,0,9.141666666666667,2.597916666666667,65.90710555914676,NA,71.46,-10,5
2020-03-16,1,9.145833333333334,2.0770833333333334,63.58608252585911,NA,85.69,-23,9
2020-03-17,1,11.233333333333333,6.195833333333334,73.12823847833266,NA,78.11,-30,11
2020-03-18,0,12.608333333333334,5.289583333333333,61.72713660811833,NA,71.43,-36,15
2020-03-19,1,16.820833333333333,11.946527777777778,76.15385206055409,NA,75.63,-38,15
2020-03-20,0,24.31875,15.583333333333334,61.60723017887892,NA,83.12,-40,16
2020-03-21,4,15.497916666666667,10.677777777777779,75.19336780661733,NA,62.24,-26,12
2020-03-22,1,9.710416666666667,1.2583333333333333,56.60347420697491,NA,50.25,-34,11
2020-03-23,3,7.445833333333334,5.351388888888889,87.18892388365653,NA,57.68,-45,19
2020-03-24,3,10.0325,6.414166666666667,79.80073124845445,NA,60.62,-46,18
2020-03-25,6,8.678125,7.461805555555555,92.26523924174586,NA,55.34,-50,22
2020-03-26,1,8.888541666666667,6.143055555555556,84.08522289843782,NA,62.5,-48,20
2020-03-27,7,15.633333333333333,10.11875,71.01388131009652,NA,70.94,-48,21
2020-03-28,3,17.516666666666666,12.61875,73.8073173893981,NA,60.73,-32,13
2020-03-29,9,18.494791666666668,14.240277777777777,79.87726508487394,NA,50.39,-36,11
2020-03-30,4,20.131944444444443,4.680555555555555,40.8310704519444,NA,60.27,-49,18
2020-03-31,18,11.582638888888889,5.303472222222222,68.33752505747478,NA,56.5,-52,21
2020-04-01,16,8.061319444444445,3.4452083333333334,74.97290843905863,1.05298516078352,58.49,-52,22
2020-04-02,9,11.847916666666666,-0.29374999999999996,47.165312342314024,1.0467684256723861,61.82,-52,22
