date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.192708333333334,-15.702916666666667,56.60236282248316,NA,205.13,9,NA
2020-02-16,0,-9.570644841269841,-14.589404761904762,67.31474251735615,NA,172.58,4,NA
2020-02-17,0,-10.283333333333333,-14.308333333333334,73.30826664692783,NA,134.66,-2,1
2020-02-18,0,-4.553085317460318,-8.112073412698413,76.83425208567597,NA,124.49,1,0
2020-02-19,0,-11.824722222222222,-16.182708333333334,70.45187321855354,NA,120.1,0,1
2020-02-20,0,-11.266666666666667,-16.611458333333335,65.76519182669588,NA,150.28,8,0
2020-02-21,0,-4.329166666666667,-12.95,52.52676459297646,NA,179.25,-6,1
2020-02-22,0,1.4125,-7.245833333333334,54.97546357466265,NA,191.54,8,NA
2020-02-23,0,1.5833333333333333,-5.508333333333334,61.21184450152994,NA,136.78,4,NA
2020-02-24,0,0.8972222222222223,-4.006944444444445,70.43657009076048,NA,122.78,5,0
2020-02-25,0,-3.053819444444444,-7.394444444444445,72.47078157436556,NA,113.43,4,-1
2020-02-26,0,-6.894027777777778,-11.309166666666666,71.25168677113379,NA,125.22,6,0
2020-02-27,0,-9.714345238095238,-13.812738095238096,72.50926097015707,NA,141.74,11,0
2020-02-28,0,-8.797916666666667,-15.4,59.34760011161817,NA,201.38,0,-1
2020-02-29,0,-7.675,-15.945833333333333,53.685431484505436,NA,204.64,2,NA
2020-03-01,0,0.15416666666666667,-6.479166666666667,61.9718909736557,NA,161.11,4,NA
2020-03-02,0,0.17500000000000002,-5.6375,65.49212607380896,NA,121.48,4,1
2020-03-03,0,-2.222916666666667,-7.607638888888889,67.10570590217749,NA,121.64,2,0
2020-03-04,0,-1.9733333333333334,-7.538611111111112,66.15682294574162,NA,130.51,4,-2
2020-03-05,0,-2.722916666666667,-5.421875,82.0248995409335,NA,140.44,4,1
2020-03-06,0,-4.8069444444444445,-9.999652777777778,67.96506533477552,NA,210.66,-8,-2
2020-03-07,0,-0.7958333333333333,-9.141666666666666,56.34818606930568,NA,160.13,1,NA
2020-03-08,0,3.9333333333333336,-4.308333333333334,56.81397338278969,NA,130.51,-9,NA
2020-03-09,0,-1.7236111111111112,-5.103472222222222,78.3389659387547,NA,111.15,-14,3
2020-03-10,0,-4.725,-10.633333333333333,65.47094365490332,NA,112.69,-12,0
2020-03-11,0,-0.7875,-6.041666666666667,69.78742419796521,NA,99.76,-13,1
2020-03-12,0,1.7502777777777778,-1.3050694444444444,80.65512199263009,NA,90.64,-8,3
2020-03-13,0,-1.5585416666666665,-5.034583333333333,77.70657923405273,NA,106.67,-25,NA
2020-03-14,0,-4.756944444444445,-9.660416666666666,68.99937843495047,NA,120.75,-3,NA
2020-03-15,0,-6.408333333333333,-10.75,72.44516363393107,NA,107,-10,NA
2020-03-16,0,-1.8559027777777777,-5.346388888888889,77.54683300678577,NA,73.56,-21,NA
2020-03-17,0,-1.9606944444444443,-7.262539682539683,67.81398101031135,NA,82.91,-27,NA
2020-03-18,0,-1.3916666666666666,-7.541666666666667,63.77985334598518,NA,76.89,-30,NA
2020-03-19,0,1.3245833333333332,-1.4959027777777778,82.23012157876867,NA,79.25,-31,NA
2020-03-20,0,-4.7971924603174605,-9.400287698412699,71.81926663291819,NA,88.04,-40,NA
2020-03-21,0,-8.9125,-16.854166666666668,56.20550786552468,NA,86.33,-22,NA
2020-03-22,0,-4.095833333333333,-11.179166666666667,58.89627400302049,NA,76.08,-30,NA
2020-03-23,0,0.6364583333333333,-3.7836805555555557,72.9675810052525,NA,70.46,-36,NA
2020-03-24,0,-0.6958333333333333,-4.795833333333333,75.16924853825188,NA,49.15,-54,NA
2020-03-25,0,3.55,-0.3854166666666667,75.87238327070018,NA,47.6,-53,NA
2020-03-26,0,0.16736111111111107,-5.175,68.20635272045419,NA,46.38,-52,NA
2020-03-27,0,0.4250000000000001,-4.504166666666666,72.08250274677428,NA,73.15,-54,NA
2020-03-28,0,3.7541666666666664,-2.3208333333333333,65.23054538987286,NA,59.07,-38,NA
2020-03-29,0,2.609722222222222,0.11173611111111112,83.98544469124302,NA,45.89,-44,NA
2020-03-30,1,1.0895833333333333,-3.572222222222222,71.89962859381265,NA,46.87,-56,NA
2020-03-31,0,0.8937499999999999,-3.9291666666666667,70.8912475876764,NA,58.26,-59,NA
2020-04-01,0,2.2996527777777778,-1.3753472222222223,77.45812361420025,NA,66.07,-57,NA
2020-04-02,0,3.5166666666666666,-2.6875,67.54464431006313,NA,59.32,-55,NA
2020-04-03,0,5.397916666666667,-3.859375,52.57786337894997,NA,64.69,-55,NA
2020-04-04,1,-0.828125,-4.779305555555555,75.26756842003152,0.7138530329323443,54.76,-38,NA
2020-04-05,-1,0.004166666666666744,-6.083333333333333,65.83705215662135,0.715126108432146,47.76,-44,NA
2020-04-06,0,3.6125,-1.0583333333333333,72.30396460999057,0.7174594560328951,48.41,-56,NA
2020-04-07,0,3.734027777777778,0.35256944444444444,79.3737399705615,0.7208159875610246,48.9,-57,NA
2020-04-08,0,5.075347222222223,-0.6375,70.57777226975612,0.7251780176216147,68.76,-55,NA
2020-04-09,0,1.8693055555555556,-4.124305555555556,65.37389832881429,0.7305433115428474,54.35,-54,NA
2020-04-10,0,0.14375,-6.5375,61.556515786816746,0.7369189970410837,70.22,-60,NA
2020-04-11,0,3.7625,-6.766666666666667,48.2753805465889,0.7443150299872229,66.56,-39,NA
2020-04-12,0,2.319097222222222,-4.564583333333333,61.654689414008445,0.7527387462087621,34.5,-46,NA
2020-04-13,0,-1.331438492063492,-5.418462301587302,75.25592591292568,0.762191697471856,42.8,-62,NA
2020-04-14,1,-4.019566798941799,-11.562678571428572,56.996543578749254,0.7726694789017945,45.81,-56,NA
2020-04-15,0,-4.498115079365079,-11.047718253968254,62.16550840999079,0.7841646419059224,57.69,-55,NA
2020-04-16,0,-1.5541666666666667,-11.0375,49.2920044263028,0.7966721263180455,60.54,-53,NA
2020-04-17,0,0.0708333333333333,-9.391666666666667,50.90599628411391,0.8101960569256078,66.56,-53,NA
2020-04-18,0,4.8375,-5.825,48.34756669696688,0.8247563698382091,65.09,-39,NA
2020-04-19,0,0.3017361111111111,-4.712152777777778,70.77693877586277,0.8403936710742503,64.93,-42,NA
2020-04-20,0,2.6625,-6.0249999999999995,54.03518715428259,0.8571710140242719,57.04,-54,NA
2020-04-21,0,-2.2041666666666666,-12.383333333333333,46.38378865959775,0.8751718446723578,57.36,-54,NA
2020-04-22,0,-1.8958333333333333,-9.695833333333333,56.34053234601561,0.8944940497102138,62.33,-54,NA
2020-04-23,0,1.2958333333333334,-5.858333333333333,59.949953967373304,0.9152406644952749,76.24,-52,NA
2020-04-24,0,4.058333333333334,-1.8166666666666667,67.70509324440876,0.9375081959854156,74.45,-54,NA
2020-04-25,0,5.15,-2.575,59.910144082545536,0.9613736134253522,79.33,-35,NA
2020-04-26,0,6.3875,-4.895833333333333,45.411340792886556,0.9868808867760752,72.9,-38,NA
2020-04-27,0,5.2600694444444445,-1.748611111111111,62.52164406598684,1.0140276374585402,66.07,-50,NA
2020-04-28,0,4.673263888888889,3.306388888888889,91.00267954125184,1.0427521934988437,82.99,-55,NA
2020-04-29,0,7.320138888888889,3.433333333333333,77.63083674410117,1.0729212929646559,70.63,-53,NA
2020-04-30,0,8.679166666666667,-0.8333333333333334,53.30096274522532,1.104318961007275,93.41,-51,NA
2020-05-01,0,12.395833333333334,-3.1625,37.09039417414911,1.1366376631841346,106.83,-51,NA
2020-05-02,0,12.729166666666666,4.606944444444444,61.902198285648645,1.1694735101957652,118.63,-28,NA
2020-05-03,0,6.40625,-0.5201388888888889,62.024733088083025,1.2023277233891465,75.26,-36,NA
2020-05-04,0,2.08125,-4.4375,63.37000247249868,1.2346164122234222,88.61,-48,NA
2020-05-05,0,3.3333333333333335,-4.870833333333334,58.80995972828446,1.265689758189532,80.47,-50,NA
2020-05-06,0,5.429166666666666,-4.6625,49.53086865462653,1.294860045579813,86.98,-49,NA
2020-05-07,0,2.575,-7.370833333333334,49.52932016956212,1.3214360890764374,95.69,-48,NA
