date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,7.475,4.324999999999999,81.22603361189472,NA,144.61,-2,-1
2020-02-16,0,9.875,7.075,83.39517742735752,NA,122.32,-4,0
2020-02-17,0,8.9,7.225,89.44961755589141,NA,120.78,-29,6
2020-02-18,0,7.225,3.175,77.30774903280707,NA,112.16,-9,1
2020-02-19,0,7.225,3.725,79.62940617823635,NA,110.64,-8,1
2020-02-20,0,7.225,4.3,82.4436737020284,NA,114.91,-8,2
2020-02-21,1,7.7749999999999995,4.425000000000001,80.42386866453049,NA,120.78,-4,2
2020-02-22,0,9.025,6.1,82.34195349223292,NA,122.71,-1,0
2020-02-23,0,9.66,6.4399999999999995,80.86568070223117,NA,102.04,0,0
2020-02-24,0,6.1000000000000005,2.2,77.29410334624389,NA,105.42,8,-1
2020-02-25,0,6.925,3.6,80.47977960529377,NA,103.52,2,-1
2020-02-26,0,8.6,5.3,80.80775784367952,NA,105.72,2,-1
2020-02-27,0,9,6.65,85.91347059594796,NA,109.81,2,0
2020-02-28,0,6.95,5.425,90.19321453194017,NA,121.21,8,0
2020-02-29,0,7.5,5.025,84.81328338994203,NA,125.08,3,-1
2020-03-01,0,7.925,1.1,63.50945247776174,NA,104.31,2,0
2020-03-02,0,8.475,-0.14999999999999997,56.8842104382823,NA,104.88,11,-1
2020-03-03,0,7.5,3.75,78.99214181899764,NA,112.08,2,-2
2020-03-04,0,9.175,6.5249999999999995,84.07300600168044,NA,102.81,2,-1
2020-03-05,0,8.120000000000001,6.02,86.92386173649096,NA,106.99,2,0
2020-03-06,0,9.8,6.866666666666666,82.73557540920729,NA,121.05,9,-1
2020-03-07,0,9.025,5.025,76.87184173414093,NA,118.06,2,-1
2020-03-08,0,7.075,3.325,78.27540755935522,NA,102.42,2,-1
2020-03-09,0,9.049999999999999,3.475,69.58611927624163,NA,105.19,7,-1
2020-03-10,0,8.35,3.475,73.47010541565979,NA,106.9,1,-1
2020-03-11,0,9.8,6.3,80.3401121355501,NA,104.42,1,-1
2020-03-12,0,9.725,6.5249999999999995,81.13030708025713,NA,101.63,1,0
2020-03-13,0,11.3,5.166666666666667,67.69404889799148,NA,108.85,2,1
2020-03-14,0,7.25,3.3,76.30805236804383,NA,97.02,-7,3
2020-03-15,0,6.800000000000001,2.2249999999999996,74.21301674729744,NA,82.28,-9,3
2020-03-16,0,5,-0.36666666666666664,71.04372558919488,NA,92.29,-13,5
2020-03-17,0,8.120000000000001,3.32,72.14254089434306,NA,83.55,-25,8
2020-03-18,0,8.166666666666666,5.166666666666667,81.7637103679136,NA,82.54,-27,9
2020-03-19,0,7.225,3.625,79.03358289149904,NA,82.25,-29,10
2020-03-20,0,8.775,4.324999999999999,74.67385261888263,NA,74.83,-35,15
2020-03-21,0,8.35,4.725,78.84022641061901,NA,65.71,-32,11
2020-03-22,1,10.125,7.5,84.05070063791742,NA,56.08,-32,9
2020-03-23,0,9.725,5.975,77.77978593452704,NA,62.08,-36,15
2020-03-24,2,8.75,5.275,79.26082399075653,NA,55.95,-43,17
2020-03-25,1,7.35,3.9,79.51998702626506,NA,56.81,-43,16
2020-03-26,5,6.25,2.05,75.63058324552541,NA,59.71,-44,17
2020-03-27,2,7.225,2.075,71.39078582633768,NA,60.96,-39,18
2020-03-28,2,10.78,6.9,77.42416316372909,NA,51.16,-35,14
2020-03-29,4,11.666666666666666,7.233333333333333,75.11581561057926,NA,45.91,-35,11
2020-03-30,0,11.68,8,78.66423965311729,NA,56.31,-42,17
2020-03-31,3,10.933333333333334,9.6,91.58643367974564,NA,58.46,-50,18
2020-04-01,6,8.2,3.4749999999999996,73.34665664686504,0.5857085872993206,60.57,-47,16
2020-04-02,1,6.975,2.075,72.7655229144402,0.5836033569000808,61.08,-47,17
2020-04-03,9,7.5249999999999995,2.5,71.77530116000126,0.5834795230638155,64.55,-41,18
2020-04-04,7,8.9,5.44,79.64287051018309,0.5854213044237858,51.19,-39,15
2020-04-05,0,9.725,6.8,82.69634473535167,0.5895151529179049,44.69,-38,12
2020-04-06,0,7.766666666666667,3.9,77.09341527795043,0.5958579898123244,64.31,-43,16
2020-04-07,5,9.450000000000001,6.25,81.09314889144387,0.6045645960979755,61.23,-47,17
2020-04-08,1,11,7.625,79.91360799479858,0.6157734141424669,64.36,-47,17
2020-04-09,0,10.85,8.05,83.63751614403577,0.6296500564451417,65.22,-47,18
2020-04-10,0,12.5,9.175,80.37742534065255,0.6463879704726135,70.66,-43,18
2020-04-11,0,11.275,8.475,83.16314958363625,0.6662059166036669,62.4,-35,12
2020-04-12,0,11.125,6.8,75.00085959121728,0.6893421144590097,48.81,-40,10
2020-04-13,0,9.725,5.55,76.49490905868504,0.7160450438027387,72.55,-42,15
2020-04-14,0,11.225000000000001,4.725,67.52835537519223,0.746560901811353,70.14,-45,15
2020-04-15,1,11.1,4.85,68.9780339779722,0.7811175896654275,73.04,-45,15
2020-04-16,1,10.825,8.175,84.0769865432186,0.8199048489820477,73.06,-45,16
2020-04-17,0,10.825,8.875,88.07937273792606,0.8630499075922733,73.16,-41,17
2020-04-18,0,10.4,8.3,87.0962406365679,0.9105879507127507,68.96,-32,12
2020-04-19,0,10.575,8.325000000000001,86.28841275301588,0.9624271872226969,63,-31,9
2020-04-20,0,10.975,7.075,77.29666070791106,1.0183094242191941,72.33,-39,14
2020-04-21,0,11.125,6.925,75.7227083399041,1.0777688410220265,72.58,-43,15
2020-04-22,0,10.275,7.075,81.39931358879268,1.140093687648278,74.72,-45,16
2020-04-23,0,11.95,11.825,99.19192429171689,1.2042973064513673,79.28,-44,16
2020-04-24,1,11.1,9.725,91.5254277873437,1.2691055641897346,84.38,-39,16
2020-04-25,0,12.375,10.975,91.54758632620066,1.3329671132426983,78.58,-31,10
2020-04-26,0,11.55,11.125,97.30908501478656,1.3940909228528728,73.5,-28,8
2020-04-27,0,11.825,9.425,85.60206001930652,1.4505126946155342,80.66,-38,14
2020-04-28,0,13.6,12.225,91.58537575628274,1.5001887791264539,81.64,-42,5
2020-04-29,1,11.675,11.1,96.41368430568376,1.5411136004645147,85.68,-42,14
2020-04-30,0,13.175,11.399999999999999,89.32553765180344,1.5714544548604765,87.21,-42,14
2020-05-01,0,9.725,6.525,81.40393118813977,1.5896953543739276,99.44,-35,14
2020-05-02,0,13.78,10.799999999999999,83.24424141145938,1.5947785484885482,86.87,-29,12
2020-05-03,0,8.5,6.666666666666667,89.463555788878,1.586228265569043,83.08,-23,6
2020-05-04,0,9.45,6.4,82.26415821834915,1.564237298355127,95.6,-35,12
2020-05-05,0,11.675,4.3,64.67935321460524,1.5296960425007269,94.55,-40,13
2020-05-06,1,11.5,8.75,84.31523926327391,1.4841484634444382,98.48,-40,13
2020-05-07,0,10.825000000000001,7.2,80.3845133224032,1.4296713191484471,95.69,-40,13
2020-05-08,0,10.275,8.5,89.2697069091927,1.3686894532487761,109.67,-35,14
2020-05-09,0,11.4,10,91.34537393942786,1.30375564776558,101.85,-25,7
2020-05-10,2,11.95,9.725,86.65380137385533,1.237332303730633,81.66,-24,5
2020-05-11,4,10.975,8.2,83.20254505376609,1.171610533792593,NA,-36,13
2020-05-12,3,14.15,9.575,78.29911091557355,1.1083908958264181,NA,-40,14
2020-05-13,0,11.825,9.175,84.03109036429672,1.0490335638598014,100.07,-39,15
2020-05-14,4,12.625,10.85,89.12907915060613,0.9944701636197731,102.73,-40,14
2020-05-15,0,10.85,8.625,87.00031722792073,0.9452593418821811,121.54,-33,13
2020-05-16,4,13.56,9.86,78.59103611741378,0.9016649988717488,107.63,-27,10
2020-05-17,5,12.225,10.675,91.19792300446812,0.8637388027339091,103.27,-22,8
2020-05-18,0,10.2,8.5,89.35024288498929,0.8313944366880163,115.25,-33,13
2020-05-19,9,11.225000000000001,9.45,89.32038267246574,0.8044672999987735,119.15,-37,12
2020-05-20,2,12.65,9.575,81.97269304664012,0.7827583211605192,122.32,-36,12
2020-05-21,0,12.2,8.75,80.14900212653934,0.7660635147187035,128.03,-37,12
2020-05-22,0,11.65,6.525,71.88099360535409,0.7541921289875422,141.96,-32,12
2020-05-23,5,10.7,6.825,78.32798562106134,0.746976270436164,149.31,-22,6
2020-05-24,0,11.65,8.625,82.54695301292463,0.7442743358680651,133,-21,4
2020-05-25,0,12.1,9.3,83.5987364198545,0.7459698457068461,125.23,-65,14
2020-05-26,1,13.05,11.825,92.50831145136291,0.7519665689669527,128.38,-35,10
2020-05-27,4,12.1,11.25,94.76290885383375,0.7621802566649687,131.23,-34,11
2020-05-28,0,12.775,11.95,94.8378141807695,0.7765269086315507,130.76,-34,11
2020-05-29,0,12.5,11.274999999999999,92.40657745872166,0.7949073578079892,132.52,-29,12
2020-05-30,1,12.139999999999999,11.12,93.84976211303244,0.8171881577181065,119.28,-19,10
2020-05-31,2,11.1,10,93.05491379060372,0.8431793696920364,116.07,-14,5
2020-06-01,0,11.925,9.85,87.37904919394396,0.8726108272094183,126.36,-27,9
2020-06-02,1,11.375,9,86.03018467207659,0.9051095971868323,130.24,-33,9
2020-06-03,1,11.65,9.325,86.20821450647847,0.9401823064399198,135.22,-32,10
2020-06-04,1,11.125,9.175,88.06315015687143,0.9772063793769502,138.37,-33,10
2020-06-05,0,11.125,9.425,89.7336390993598,1.0154338016280142,141.77,-30,11
2020-06-06,0,11.525,9.85,89.75418431911999,1.0540097458825595,138.76,-16,7
2020-06-07,0,11.100000000000001,8.75,85.98686410698161,1.092006361496524,129.35,-17,5
2020-06-08,1,9.975,7.6000000000000005,86.03116281387965,1.1284693979190585,147.64,-28,8
2020-06-09,0,10.95,8.325,84.96214806214927,1.1624724670389315,140.76,-32,8
2020-06-10,0,13.2,10.975,87.2122495526012,1.1931714539409581,150.38,-32,8
2020-06-11,0,15.149999999999999,12.375,84.39314409445572,1.2198510145242256,156.48,-33,9
2020-06-12,0,13.600000000000001,12.5,93.48407950620638,1.2419570739027341,159.27,-29,10
2020-06-13,1,12.925,10.425,85.49638698264062,1.259113370122328,163.71,-13,5
2020-06-14,0,13.2,9.175,77.09213195759713,1.2711245832213671,151.03,-13,2
2020-06-15,0,13.875,11.8,87.85976007680006,1.2779712150263431,159.61,-29,9
2020-06-16,1,12.35,10.825,90.6339583903032,1.279800934415342,163.69,-33,8
2020-06-17,0,12.525,9.3,81.94737983354119,1.2769182104890986,154.66,-33,8
2020-06-18,1,12.225,10.299999999999999,89.35346709581134,1.2697707181709006,164.9,-33,8
2020-06-19,0,11.8,10.575,92.6398154750205,1.2589292527227391,176.98,-29,8
2020-06-20,2,11.825,11.424999999999999,97.47178587840784,1.2450586423466128,172.83,-13,3
2020-06-21,0,14.15,13.175,94.12619583891725,1.2288798704203359,157.27,-9,0
2020-06-22,2,12.1,11.274999999999999,95.06308989162872,1.2111268565482338,180.24,-30,6
2020-06-23,1,13.2,11.675,90.85535236818458,1.1925035886268363,179.57,-34,8
2020-06-24,9,12.475,12.075,97.55104969781115,1.173647675943156,180.09,-32,8
2020-06-25,5,15.95,12.625,81.2535066431414,1.1551049193685237,190.46,-33,8
2020-06-26,2,15.275,11.524999999999999,78.8867142571797,1.1373168767504056,213.36,-29,8
2020-06-27,0,15.85,10.975,73.27658967675501,1.1206206197956194,210.85,-15,4
2020-06-28,0,16.1,9.275,64.99406161613342,1.1052577704015532,194.31,-11,2
2020-06-29,4,15.125,8.45,65.96395189142625,1.0913889150510805,186.83,-29,7
2020-06-30,0,15.4,9.725,70.1610335818531,1.0791096355692558,185.97,-33,7
2020-07-01,0,15.125,9.725,71.0848611474166,1.0684653471522578,197.27,-32,6
2020-07-02,5,14.299999999999999,8.625,70.1927153198055,1.0594634353991177,202.59,-34,7
2020-07-03,6,14.175,9.425,73.66197751424102,1.0520823918107705,216.97,-48,10
2020-07-04,0,13.9,8.9,72.42169839850682,1.046278463884288,182.55,-25,3
2020-07-05,0,14.425,7.925,66.26445618302267,1.0419906539721195,192.75,-16,1
2020-07-06,0,16.1,10.3,69.18784239372933,1.0391447818327795,194.34,-33,7
2020-07-07,10,14.700000000000001,9.75,73.02292865147507,1.037656935565487,193.64,-35,7
2020-07-08,3,15.675,11.25,75.7891265063721,1.037436175663646,194.14,-34,7
2020-07-09,4,14.85,10.55,75.9752144095122,1.0383860129545641,196.12,-34,8
2020-07-10,4,15.55,11.674999999999999,78.06395533615529,1.0404040934549403,220.32,-30,8
2020-07-11,0,16.1,10.85,71.64341082452378,1.0433797617801528,206.74,-16,4
2020-07-12,0,17.316666666666666,10.3,67.75679045257952,1.0471897118864208,196.06,-15,1
2020-07-13,0,16.86,11.7,73.70434172728585,1.0516926268896207,198.44,-30,6
