date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-1.9375,-10.125,57.551962076394446,NA,139.77,-2,NA
2020-02-16,0,4.40625,-3.09375,59.73585667015864,NA,99.95,-2,NA
2020-02-17,0,5.133333333333334,-0.6,68.66268780985126,NA,103.15,-6,2
2020-02-18,0,5.8125,2.625,80.60935698225933,NA,97.53,-2,1
2020-02-19,0,0.5625,-4.75,69.61189261937349,NA,99.45,-1,1
2020-02-20,0,-2.5625,-8.9375,62.45461908458119,NA,110.17,-1,0
2020-02-21,0,-3.375,-13.4375,51.982983870892184,NA,140.34,-2,0
2020-02-22,0,1.84375,-10.875,41.78628879755778,NA,129.88,5,-2
2020-02-23,0,5.75,-6.125,43.060073822525055,NA,96,-2,NA
2020-02-24,0,5.0625,3,88.14596321785834,NA,97.53,0,1
2020-02-25,0,4.9375,4.25,95.41834774525994,NA,96.53,0,0
2020-02-26,0,0.46875,-0.59375,92.78722197966894,NA,93.75,-1,1
2020-02-27,0,-1,-6.75,66.14052031507006,NA,106.99,0,0
2020-02-28,0,-0.8125,-6.1875,68.45267037095353,NA,136.6,-1,1
2020-02-29,0,-1.625,-10.40625,55.52771706043281,NA,128.65,-1,NA
2020-03-01,0,6.9375,-4.0625,47.116889247716095,NA,123.46,-3,NA
2020-03-02,0,10.4375,7.6875,85.61726123573642,NA,94.95,1,0
2020-03-03,0,10.5,3.71875,67.2340286224155,NA,103.62,1,-1
2020-03-04,0,9,-1.3125,50.623167275085734,NA,105.2,1,-1
2020-03-05,0,7.4375,-4.125,50.34388701521549,NA,124.91,2,-1
2020-03-06,0,3,-2.375,69.2142413864413,NA,162.03,-1,1
2020-03-07,0,2.3125,-5.78125,59.07921335954293,NA,146.37,-1,-3
2020-03-08,0,9,-5.294117647058823,41.41621777158788,NA,122.66,-1,NA
2020-03-09,0,13.53125,1.0625,43.18787270672016,NA,107.29,-1,0
2020-03-10,0,9.5625,7.125,85.2805082678511,NA,103.45,-1,0
2020-03-11,0,6.875,4.25,83.93641566020088,NA,112.12,1,0
2020-03-12,0,10.4375,7.25,82.14141024459653,NA,111.27,-2,1
2020-03-13,0,7.8125,-0.375,58.94305875089697,NA,133.23,-2,0
2020-03-14,0,3.0625,0.16666666666666666,81.63691940432007,NA,127.33,-1,NA
2020-03-15,0,3,-1,76.10984724141939,NA,95.4,-7,NA
2020-03-16,0,5.8125,0.75,70.64225827246027,NA,98.4,-17,5
2020-03-17,0,8,1.3125,64.13681612109403,NA,90.78,-19,6
2020-03-18,0,7.4375,6.125,91.6278296595489,NA,89.03,-20,9
2020-03-19,0,13.1875,12.5,95.68684194087497,NA,89.73,-23,10
2020-03-20,0,13.90625,10.5,80.28183296678488,NA,109.47,-25,12
2020-03-21,0,1.4285714285714286,-3.642857142857143,69.6182174450935,NA,101.82,-20,NA
2020-03-22,0,1.7857142857142858,-1.6785714285714286,78.68043585102356,NA,65.75,-27,NA
2020-03-23,0,5.25,1.9375,80.1607134731983,NA,87.51,-40,13
2020-03-24,1,6.5,3.125,79.9986158519687,NA,74.74,-45,16
2020-03-25,0,8.25,3.9375,77.93611776519435,NA,63.08,-53,20
2020-03-26,1,13.21875,9.09375,77.1054634548855,NA,73.02,-54,21
2020-03-27,2,15.78125,13.1875,85.25444818277526,NA,70.22,-53,22
2020-03-28,3,20.65625,16.59375,78.28005825758248,NA,66.33,-42,NA
2020-03-29,0,16.125,6.125,52.6410004975654,NA,52.89,-41,NA
2020-03-30,1,12.21875,-0.8125,41.77127472858358,NA,65.88,-52,18
2020-03-31,0,5.625,0.5625,70.51510522256939,NA,68.9,-54,21
2020-04-01,2,7.5625,2.75,72.75913066665454,0.8992789058341011,67.57,-54,21
2020-04-02,9,9.71875,2.0625,63.54126997640539,0.9004436854230069,74.54,-54,20
2020-04-03,6,13.6875,3.3125,53.26439572736607,0.9037083101655733,76.17,-54,21
2020-04-04,3,13.625,7.71875,68.4428839294649,0.9093490175980454,63.93,-40,NA
2020-04-05,8,9.03125,6.59375,85.02460105234228,0.9176164179212137,49.46,-45,NA
2020-04-06,1,13.625,8.25,72.61139781682117,0.9287199463441308,68.02,-54,18
2020-04-07,3,20.4375,12.40625,62.337665259557845,0.9428127743361527,70.55,-54,19
2020-04-08,6,22.84375,12.6875,57.3038687196138,0.9599771361647375,67.92,-54,18
2020-04-09,7,9.96875,-1.1875,47.63796992969903,0.980209884645578,75.24,-55,21
2020-04-10,4,5.8125,-3.5,55.60665053968389,1.0034081564140138,81.01,-62,25
2020-04-11,7,11.25,-2.90625,40.313879865655984,1.029355306269814,68.7,-44,NA
2020-04-12,6,13,6.5625,67.24155012613659,1.0577077404879414,38.52,-50,NA
2020-04-13,0,6.979166666666667,1.9583333333333333,72.28589124927996,1.0879838878744315,68.77,-52,20
2020-04-14,0,5.25,-7.625,42.640687877965235,1.1195572046620361,74.12,-52,20
2020-04-15,4,5.1875,-5.5,48.61635051800782,1.1516556835618261,78.19,-52,20
2020-04-16,3,4.75,-6.375,47.242942495146636,1.1833706602121554,81.94,-54,20
2020-04-17,0,7.3125,3.4375,78.03556841561975,1.2136775963205195,77.37,-54,24
2020-04-18,7,7.5625,-0.03125,62.27704567504304,1.2414708030161945,78.94,-37,NA
2020-04-19,6,10,2.5,61.22578237078393,1.2656126612174285,61.1,-40,NA
2020-04-20,-1,11.933333333333334,-0.4666666666666667,48.93890457888538,1.284995847133339,87.06,-48,15
2020-04-21,9,11.71875,-3.96875,36.778279707638276,1.298614616385816,92.28,-50,17
2020-04-22,-1,14,-1.9375,37.968490132601076,1.3056387714949629,97.25,-51,17
2020-04-23,3,12.25,9.25,85.3339158075869,1.3054821060239046,80.41,-52,22
2020-04-24,1,14.125,8.8,74.34300387393192,1.2978564654757019,102.22,-52,19
2020-04-25,7,14.25,9.6875,75.5996759147007,1.2828034986202264,83.04,-41,NA
2020-04-26,6,10.8,5.1875,71.38530122022284,1.2606987527816331,77.59,-41,NA
2020-04-27,4,13.5,1.625,48.42601572788325,1.2322266097760637,89.93,-47,16
2020-04-28,7,19.375,8.625,51.57359636158445,1.1983288929589744,92.96,-48,10
2020-04-29,3,15.1875,10,72.36679228670069,1.1601338429615127,89.03,-47,19
2020-04-30,10,8.125,5.375,83.1097884493391,1.118874708176165,93.01,-49,19
2020-05-01,19,12.5,4.4375,61.13165036956335,1.0758079379108418,119.46,-48,17
2020-05-02,6,21.5,10.5625,51.626594219888545,1.0321399010642132,100.75,-36,NA
2020-05-03,2,17.40625,13.21875,77.8086093216539,0.9889686192970168,79.07,-38,NA
2020-05-04,1,14.59375,7,62.97880825893495,0.9472438958873924,99.05,-44,13
2020-05-05,17,8.866666666666667,3.888888888888889,71.8825321495093,0.9077461639302709,96.68,-46,18
2020-05-06,5,10.46875,0.5,54.78266896649483,0.871081934324386,108.69,-45,16
2020-05-07,31,14.375,2.5625,48.19603399257607,0.8376921969196235,109.24,-46,15
2020-05-08,32,10.3125,3.6875,66.28262003331302,0.8078695498509695,120.78,-47,20
2020-05-09,23,7.133333333333334,-5.1875,44.85939024920175,0.7817800309924889,125.33,-33,NA
2020-05-10,4,11.75,1.5,50.761851916170464,0.7594863259064311,95.9,-36,NA
2020-05-11,4,7.78125,-0.59375,56.64569243953606,0.7409699453368107,NA,-38,14
2020-05-12,3,11,-0.875,47.847626666153964,0.7261508783445667,NA,-37,13
2020-05-13,14,11.875,5.3125,65.16484133343121,0.7149039979591826,116.76,-39,15
2020-05-14,5,18.625,13.125,73.24044154879883,0.7070720697343179,136.35,-40,12
2020-05-15,9,21.125,14.8125,68.26885359421605,0.7024755922290578,137.05,-41,16
2020-05-16,7,21.625,16.09375,72.33432858999568,0.700919914215349,129.15,-29,NA
2020-05-17,7,21.5,17.09375,76.52847534170917,0.7022001669102348,100.15,-30,NA
2020-05-18,5,16.625,13.6875,83.50855164843813,0.7061045587869865,111.57,-34,12
2020-05-19,4,16.15625,14.4375,89.9518145235331,0.7124165379120879,115.39,-33,12
2020-05-20,2,13.1875,9.625,79.37714899931231,0.720916259263507,121.51,-33,12
2020-05-21,7,14.84375,11.3125,79.71858100016047,0.7313817230555526,149.79,-35,12
