date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.2625,4.838888888888889,75.16442168432889,NA,175.39,6,NA
2020-02-16,0,15.916666666666666,14.025,89.33526091608543,NA,121.58,5,NA
2020-02-17,0,17.209722222222222,16.45277777777778,95.43228690267695,NA,145.39,-15,3
2020-02-18,0,22.615277777777777,20.716666666666665,89.51284111753479,NA,137.15,-6,1
2020-02-19,0,12.997222222222222,11.86111111111111,92.92718924732098,NA,135.92,-7,2
2020-02-20,0,8.738888888888889,7.511111111111111,92.30752302678926,NA,137.39,-9,5
2020-02-21,0,6.819444444444445,0.8125,67.80508663513817,NA,197.07,-6,3
2020-02-22,0,5.995833333333334,-0.175,71.32728828347493,NA,180.55,14,NA
2020-02-23,0,11.525,8.266666666666666,81.5882860752975,NA,125.41,10,NA
2020-02-24,0,17.77916666666667,15.319444444444445,86.47144495449236,NA,128.44,4,1
2020-02-25,0,13.609722222222222,9.3375,78.99646892027167,NA,150.97,5,-1
2020-02-26,0,11.6,2.709722222222222,55.09261266351221,NA,125.7,5,-2
2020-02-27,0,5.483333333333333,-1.9180555555555556,65.08413403680784,NA,143.16,6,-2
2020-02-28,0,8.691666666666666,0.7722222222222223,67.00854253651313,NA,185.85,5,-2
2020-02-29,0,11.668055555555556,3.5722222222222224,65.467615505369,NA,177.99,8,NA
2020-03-01,0,16.604166666666668,13.094444444444445,80.95104990165521,NA,122.76,10,NA
2020-03-02,0,20.28472222222222,18.211111111111112,88.47757243416355,NA,140.04,9,-2
2020-03-03,0,22.04722222222222,19.745833333333334,87.79093609858097,NA,133.18,4,-2
2020-03-04,0,19.55138888888889,17.9625,90.84570147260435,NA,118.74,5,0
2020-03-05,0,15.448611111111111,9.848611111111111,73.17632141901312,NA,149.88,5,-2
2020-03-06,0,13.549999999999999,2.0152777777777775,54.77606694427298,NA,184.95,5,-1
2020-03-07,0,10.213888888888889,2.698611111111111,64.07676189412845,NA,194.51,8,NA
2020-03-08,0,13.262500000000001,6.9375,68.55965160793954,NA,125.6,12,NA
2020-03-09,0,18.676388888888887,15.645833333333334,83.08596604355562,NA,155.23,5,-1
2020-03-10,0,21.58888888888889,18.59861111111111,85.41438898260049,NA,162.14,2,-1
2020-03-11,0,20.981944444444444,18.331944444444446,86.48209311434096,NA,173.64,4,-3
2020-03-12,0,22.72222222222222,18.379166666666666,78.02307046860962,NA,170.99,3,-3
2020-03-13,0,23.13888888888889,19.225,80.47242718164993,NA,217.98,-1,-1
2020-03-14,0,22.863888888888887,20.434722222222224,86.62532665452456,NA,199.76,4,NA
2020-03-15,0,22.658333333333335,20.080555555555556,87.03862594225501,NA,143.16,4,NA
2020-03-16,0,19.566666666666666,16.086111111111112,81.17649891338633,NA,134.83,-4,1
2020-03-17,0,21.381944444444443,18.883333333333333,86.81591773175109,NA,130.05,-12,5
2020-03-18,0,23.48611111111111,20.380555555555556,84.10790765358624,NA,123.99,-13,6
2020-03-19,0,24.802777777777777,20.744444444444444,79.5408291136252,NA,126.12,-16,6
2020-03-20,0,21.677777777777777,20.631944444444443,93.91483990682403,NA,140.32,-24,NA
2020-03-21,0,14.627083333333333,13.651388888888889,93.96767083883823,NA,114.1,-15,NA
2020-03-22,0,15.555555555555555,14.636111111111111,94.37777481137478,NA,98.2,-23,NA
2020-03-23,0,23.4875,21.227777777777778,88.19405186291078,NA,109.99,-20,NA
2020-03-24,0,24.0375,21.301388888888887,85.51741351116746,NA,108.19,-24,NA
2020-03-25,0,24.851388888888888,20.194444444444443,79.48152078662129,NA,114.01,-26,NA
2020-03-26,0,24.613888888888887,19.804166666666667,77.06585882643326,NA,110.51,-28,NA
2020-03-27,0,25.8375,20.445833333333333,75.08410307201221,NA,130.24,-32,NA
2020-03-28,0,24.545833333333334,21.554166666666667,84.02744041062354,NA,88.41,-22,NA
2020-03-29,0,17.92608695652174,12.74927536231884,77.21036324086471,NA,80.12,-30,NA
2020-03-30,1,18.884722222222223,14.426388888888889,75.82571774515853,NA,103.03,-30,NA
2020-03-31,0,19.84722222222222,16.468055555555555,81.98031002752617,NA,93.42,-36,NA
2020-04-01,0,14.995833333333334,9.563888888888888,75.97156822220839,NA,91.81,-34,NA
2020-04-02,1,18.080555555555556,13.240277777777777,74.39096728478174,0.9667158762869716,93.75,-36,NA
2020-04-03,1,20.82777777777778,17.058333333333334,80.11139634665405,0.970162918805499,100.38,-37,NA
2020-04-04,0,19.45,18.1125,92.22038743383675,0.9745091044668627,80.97,-23,NA
2020-04-05,0,18.433333333333334,16.518055555555556,89.78780655687953,0.9797377576950397,86.28,-27,NA
2020-04-06,0,20.71527777777778,18.261111111111113,87.50791430270593,0.9858020068954468,91.34,-32,NA
2020-04-07,0,24.009722222222223,22.583333333333332,92.26672425488609,0.9926195582433018,96.4,-35,NA
2020-04-08,0,25.3,23.08888888888889,88.23581430341333,1.0000678525394184,89.59,-37,NA
2020-04-09,0,24.991666666666667,22.7125,88.31154093289203,1.0079808664999779,111.26,-37,NA
2020-04-10,3,19.828333333333333,9.371666666666666,51.57290982309524,1.0161490394225834,103.5,-48,NA
2020-04-11,1,17.459722222222222,12.795833333333333,75.69115473522041,1.0243236835361933,97.54,-21,NA
2020-04-12,0,24.102777777777778,21.01527777777778,83.6893193564151,1.0322267020534384,65.69,-33,NA
2020-04-13,0,15.04861111111111,9.85763888888889,71.82185190070386,1.0395655450076955,115.48,-30,NA
2020-04-14,0,12.42361111111111,7.480555555555556,74.71691137573222,1.0460522636654737,103.88,-31,NA
2020-04-15,0,12.948611111111111,5.072222222222222,62.362699478984254,1.0514245530346533,108.19,-29,NA
2020-04-16,0,14.393055555555556,6.115277777777778,64.71633530372979,1.0554660734893218,123.99,-31,NA
2020-04-17,0,18.9875,14.76388888888889,77.68958565184391,1.0580232953662092,146.81,-35,NA
2020-04-18,2,19.506944444444443,17.913888888888888,90.80674486410831,1.059016633097785,121.86,-16,NA
2020-04-19,0,21.54722222222222,20.31111111111111,92.83270746230731,1.058444584958846,77.38,-29,NA
2020-04-20,0,20.47361111111111,16.92361111111111,82.77533798038317,1.056380724303325,133.27,-26,NA
2020-04-21,4,22.34166666666667,17.929166666666667,78.8021811594215,1.0529644357291215,118.55,-31,NA
2020-04-22,0,22.619444444444444,20.444444444444443,87.98283546962533,1.0483870537875855,125.98,-29,NA
2020-04-23,1,25.438194444444445,20.245833333333334,75.6956101751532,1.0428754437219048,155.32,-30,NA
2020-04-24,0,20.84027777777778,15.815277777777778,76.78432419219551,1.0366750667547147,148.6,-32,NA
2020-04-25,0,21.12638888888889,16.355555555555554,76.53717804886499,1.0300342751843363,154.33,-17,NA
2020-04-26,0,20.168055555555554,12.009722222222223,66.51111769430032,1.023191101445601,113.87,-23,NA
2020-04-27,0,20.23472222222222,13.683333333333334,69.13119132132098,1.016363260792841,155.94,-22,NA
2020-04-28,7,21.31111111111111,18.668055555555554,85.81603396685465,1.0097415791396231,140.09,-29,NA
2020-04-29,0,20.983333333333334,15.453968253968254,76.78923540795839,1.003486651123695,138.76,-28,NA
2020-04-30,1,19.09722222222222,10.265277777777778,61.787897253624834,0.9977282562518008,172.65,-24,NA
2020-05-01,-6,19.680555555555557,14.241666666666667,74.84015409315045,0.9925669089096445,203.69,-28,NA
2020-05-02,2,23.070833333333333,17.65972222222222,73.75202756096942,0.988076867443135,204.54,-20,NA
2020-05-03,0,23.930555555555557,19.4375,77.83022405778767,0.9843099491271052,151.96,-19,NA
2020-05-04,0,24.804166666666667,20.47222222222222,78.96376506442344,0.981299567651257,154.33,-18,NA
2020-05-05,0,25.617391304347827,22.030434782608694,81.47456827068306,0.979064513823939,158.68,-23,NA
2020-05-06,0,22.488888888888887,13.813888888888888,63.890577163848256,0.9776121324372365,171.42,-22,NA
2020-05-07,0,20.393055555555556,13.922222222222222,70.32432009385477,0.9769407036228015,179.32,-21,7
2020-05-08,1,23.15277777777778,19.627777777777776,81.04637268251261,0.9770410044638282,203.08,-25,NA
2020-05-09,0,18.520833333333332,11.908333333333333,67.59450634872624,0.9778971858899372,192.33,-7,NA
