date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-3.5625,-9.725,62.7975442408581,NA,181.97,6,-2
2020-02-16,0,-0.7437499999999999,-4,79.55009551483549,NA,134.68,7,-2
2020-02-17,0,2.1233333333333335,-0.9454166666666666,80.53835189025256,NA,121.4,-1,2
2020-02-18,0,0.26111111111111107,-4.190625,73.29014368881975,NA,120.63,1,0
2020-02-19,0,-5.685416666666667,-12.193055555555556,60.98222866330767,NA,122.02,2,0
2020-02-20,0,-9.104166666666666,-18.075,49.44383956322436,NA,143.5,1,0
2020-02-21,0,-5.095833333333333,-12.795833333333334,58.206737116705874,NA,170.75,14,-4
2020-02-22,0,3.1666666666666665,-6.154166666666667,51.9459605009142,NA,176.51,10,-2
2020-02-23,0,5.733333333333333,-1.4833333333333334,62.48527382119501,NA,145.09,8,-3
2020-02-24,0,4.6125,-2.3874999999999997,61.21471068480449,NA,115.12,8,0
2020-02-25,0,3.0125,-4.154166666666667,59.885306836961675,NA,113.97,1,0
2020-02-26,0,0.9958333333333333,-7.591666666666667,53.453452245799845,NA,121.97,1,-1
2020-02-27,0,-1.6124999999999998,-8.1,62.73374739645601,NA,133.96,3,-1
2020-02-28,0,-2.10375,-7.3012500000000005,68.48333575005606,NA,178.37,16,-4
2020-02-29,0,-2.5125,-9.166666666666666,62.6110368133128,NA,200.74,9,-3
2020-03-01,0,7.5874999999999995,-0.5041666666666667,59.13206599914207,NA,149.06,9,-3
2020-03-02,0,3.3333333333333335,-2.060416666666667,68.49872534070401,NA,123.84,1,1
2020-03-03,0,4.108333333333333,-2.8,64.48853569234882,NA,136.52,1,-1
2020-03-04,0,5.55,-3.0375,57.23010861091432,NA,129.31,2,-2
2020-03-05,0,5.766666666666667,-2.595833333333333,56.17045737915523,NA,138.91,3,0
2020-03-06,0,4.070833333333334,-6.216666666666667,50.25547021002652,NA,181.43,17,-4
2020-03-07,0,5.116666666666667,-6.4125,47.71737376735381,NA,194.02,11,-3
2020-03-08,0,12.845833333333333,-2.4541666666666666,36.97672797588229,NA,143.14,7,-3
2020-03-09,3,11.497222222222222,5.082936507936508,71.61873787673817,NA,118.84,6,1
2020-03-10,4,4.977083333333334,0.6124999999999999,74.65104271315894,NA,127.08,1,0
2020-03-11,5,7.319444444444445,3.279166666666667,76.38503181802766,NA,128.47,1,0
2020-03-12,1,8.23263888888889,4.829166666666667,80.64992247745434,NA,138.88,-1,1
2020-03-13,1,5.3375,-4.65,51.52854754944106,NA,161.39,9,-2
2020-03-14,0,3.184375,-3.77718253968254,62.48562431155752,NA,114.05,3,3
2020-03-15,0,1.1208333333333333,-3.78125,70.59039033972591,NA,85.32,-7,3
2020-03-16,1,3.5256944444444445,-1.4083333333333334,70.81902439517252,NA,85.52,-24,9
2020-03-17,0,5.166666666666667,-2.4166666666666665,59.79172719161518,NA,79.76,-33,12
2020-03-18,6,7,2.7416666666666667,75.49652858792389,NA,73.59,-39,16
2020-03-19,1,9.593333333333334,8.538432539682539,93.23074814350993,NA,79.18,-41,19
2020-03-20,0,4.512407407407407,0.414212962962963,75.90581718389186,NA,86.78,-36,16
2020-03-21,5,1.925,-5.595833333333333,58.11281180994954,NA,77.77,-24,11
2020-03-22,5,0.5385416666666667,-3.94375,72.65359991605197,NA,62.54,-32,11
2020-03-23,3,2.2352777777777777,0.06750000000000003,85.9825081887359,NA,72.28,-43,20
2020-03-24,2,5.466666666666667,1.667361111111111,77.32486268499675,NA,71.4,-49,22
2020-03-25,6,6.114236111111111,3.46875,83.97328577227212,NA,71.88,-50,21
2020-03-26,6,10.260416666666666,6.685416666666667,79.07833666224471,NA,72.76,-51,23
2020-03-27,9,9.197222222222223,5.683333333333334,78.93974981126514,NA,80.43,-43,21
2020-03-28,3,12.798090277777778,10.665277777777778,87.4853274644433,NA,70.86,-33,14
2020-03-29,4,10.155555555555555,3.067460317460317,60.061056503742954,NA,62.86,-36,13
2020-03-30,5,8.6625,-0.41666666666666663,58.19450260595347,NA,73.25,-49,21
2020-03-31,3,9.329166666666667,0.2375,54.50193107501055,NA,72.43,-53,22
2020-04-01,3,7.01875,0.9291666666666667,67.21971002710958,1.073690527186888,72.46,-53,22
2020-04-02,4,11.841666666666667,3.475,57.61852550865423,1.0903451899847159,75.71,-53,24
2020-04-03,3,9.335416666666667,4.525,72.82875904885984,1.1097198667752841,76.56,-46,22
2020-04-04,13,3.3763888888888887,-3.0180555555555557,66.92082790072442,1.1300745194033122,74.7,-35,14
2020-04-05,10,9.783333333333333,-1.3958333333333333,46.8434983676823,1.1494783136417235,66.43,-38,11
2020-04-06,12,11.275,4.065972222222222,62.331804178894906,1.165925512720393,69.53,-52,23
2020-04-07,16,17.895833333333336,13.669791666666667,78.43860074289476,1.177485738975187,80.71,-55,22
2020-04-08,13,15.441319444444444,10.540972222222223,75.2681842373901,1.1824726704847162,73.57,-55,23
2020-04-09,24,6.979166666666667,-3.6375,48.56101018804158,1.1796071203947227,73.4,-55,25
2020-04-10,14,4.925,-6.1375,47.29718445458216,1.1681471968953379,87.83,-51,22
2020-04-11,9,9.621527777777779,1.3173611111111112,58.158820273938886,1.1479617860662041,72.98,-37,15
2020-04-12,9,12.598214285714285,9.23373015873016,81.31014922536409,1.1195336788895462,48.28,-45,13
2020-04-13,7,2.5458333333333334,-5.188194444444445,59.39392719621628,1.0838925691662307,73.3,-51,24
2020-04-14,6,1.2291666666666667,-8.258333333333333,52.437443838096456,1.0424916865389873,74.7,-54,25
2020-04-15,10,0.7635416666666666,-5.314375,66.08215422311883,0.9970510952657371,75.44,-53,24
2020-04-16,8,1.5999999999999999,-7.095833333333333,54.72316562201645,0.9493936479381001,79.27,-53,25
2020-04-17,12,3.447986111111111,-0.9343055555555556,74.82630601821485,0.9012965667653107,86.76,-46,23
2020-04-18,19,7.795833333333333,-0.13750000000000004,59.94049184007197,0.8543746762666237,86.98,-33,13
2020-04-19,20,12.341666666666667,0.13749999999999996,47.08572161273087,0.8100029923335486,76.91,-34,10
2020-04-20,18,9.904166666666667,-0.8541666666666666,50.009075913647784,0.7692787909134772,84.55,-50,22
2020-04-21,69,10.725,-3.720833333333333,38.0754923243475,0.7330176736347498,88.35,-54,23
2020-04-22,16,12.758333333333333,2.502083333333333,53.51986441489943,0.7017749306289114,88.67,-54,23
2020-04-23,3,16.064583333333335,10.240416666666667,70.02893051240382,0.675882496678964,93.2,-53,23
2020-04-24,19,11.662847222222222,8.588194444444445,81.7869984174212,0.6554924898424113,98.07,-46,22
2020-04-25,8,12.166666666666666,5.841666666666667,66.7044812648681,0.6406200619663326,95.02,-31,12
2020-04-26,8,12.19375,3.2583333333333333,60.60128765979685,0.6311804542374623,84.16,-34,9
2020-04-27,11,16.591666666666665,6.091666666666667,50.555798475147554,0.6270172521811078,87.24,-51,22
2020-04-28,11,18.32638888888889,12.708333333333332,70.75043967824904,0.6279205806992447,86.96,-53,17
2020-04-29,5,12.385416666666666,6.714583333333334,68.97922179160147,0.6336352715182562,87.24,-54,23
2020-04-30,8,14.720833333333333,2.4499999999999997,47.03093232936038,0.6438599252110684,102.62,-52,22
2020-05-01,14,14.575,4.3999999999999995,54.12346570017142,0.6582384175617243,125.21,-44,18
2020-05-02,12,18.845833333333335,8.291666666666666,52.36163788148575,0.6763459238014585,109.66,-30,10
2020-05-03,11,17.404166666666665,5.220833333333333,47.221321663306064,0.6976720746597318,87.84,-31,8
2020-05-04,7,13.608333333333334,3.1041666666666665,49.806032894840286,0.7216044675142288,98.97,-48,21
2020-05-05,13,7.996875,5.007986111111111,82.26424067134221,0.7474164136013522,94.08,-51,23
2020-05-06,12,11.322916666666666,5.25625,70.2545539308871,0.7742634115397412,102.61,-50,21
2020-05-07,13,13.083333333333334,4.375,59.30113360766492,0.8011931897572337,107.21,-50,21
2020-05-08,3,10.9875,-2.075,43.13811547216846,0.8271738734994347,125.77,-41,18
2020-05-09,3,9.383333333333333,-4.2875,42.11319760895262,0.851143353165732,117.32,-25,9
2020-05-10,2,9.99375,2.7868055555555555,63.068113076536065,0.8720797446983715,81.26,-31,9
2020-05-11,4,9.270833333333334,-0.625,51.849367088762385,0.8890879143347986,NA,-46,20
2020-05-12,4,9.516666666666666,-1.4625000000000001,52.51695789592382,0.9014913302467682,NA,-49,20
2020-05-13,-1,12.075,4.329166666666667,60.56240180401583,0.9089139708024518,108.25,-48,20
2020-05-14,4,16.006722883597885,13.710294312169312,86.70862497206988,0.9113359724455234,114.4,-48,22
2020-05-15,3,18.966041666666666,11.922777777777778,68.22711889884042,0.9091105372436212,155.48,-40,15
2020-05-16,2,17.55625,12.170833333333334,72.00247350356408,0.9029377649430639,134.22,-24,9
2020-05-17,2,16.675833333333333,12.930565476190477,79.21274960820517,0.8938009308963091,112.69,-26,8
2020-05-18,5,13.816180555555556,11.104444444444445,83.96177438550735,0.8828788465700805,121.86,-43,19
2020-05-19,0,14.018055555555556,10.470833333333333,79.4568940880452,0.8714516875371155,130.25,-46,19
2020-05-20,5,15.47913043478261,12.411014492753623,82.32107179095823,0.860816398656491,131.12,-46,17
2020-05-21,6,14.892708333333333,11.935416666666667,83.0158845923732,0.8522227819454179,143.12,-45,18
2020-05-22,6,16.73229166666667,12.902777777777777,79.14402740613806,0.8468349167717376,165.76,-37,13
