date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,NA,NA,NA,NA,132.37,-2,NA
2020-02-16,0,NA,NA,NA,NA,102.43,5,NA
2020-02-17,0,NA,NA,NA,NA,109.05,-24,6
2020-02-18,0,NA,NA,NA,NA,107.74,2,-1
2020-02-19,0,NA,NA,NA,NA,106.46,7,-2
2020-02-20,0,NA,NA,NA,NA,113.94,2,1
2020-02-21,0,NA,NA,NA,NA,125.35,28,-2
2020-02-22,0,NA,NA,NA,NA,146.43,5,NA
2020-02-23,0,NA,NA,NA,NA,97.67,12,NA
2020-02-24,0,NA,NA,NA,NA,95.51,6,1
2020-02-25,0,NA,NA,NA,NA,107.52,1,1
2020-02-26,0,NA,NA,NA,NA,110,5,-2
2020-02-27,0,NA,NA,NA,NA,113.24,4,1
2020-02-28,0,NA,NA,NA,NA,133.72,26,-3
2020-02-29,0,NA,NA,NA,NA,136.83,7,NA
2020-03-01,0,NA,NA,NA,NA,104.51,12,NA
2020-03-02,0,NA,NA,NA,NA,102.01,8,-2
2020-03-03,0,NA,NA,NA,NA,119.92,4,-2
2020-03-04,0,NA,NA,NA,NA,113.62,7,-3
2020-03-05,0,NA,NA,NA,NA,119.35,3,-1
2020-03-06,0,NA,NA,NA,NA,139.19,30,-3
2020-03-07,0,NA,NA,NA,NA,149.14,11,-3
2020-03-08,0,20.166666666666664,-2.5,21.663539564431403,NA,103.48,13,NA
2020-03-09,0,11.76388888888889,7.138888888888889,79.48496481259642,NA,103.32,5,1
2020-03-10,0,4.444444444444445,1.6944444444444444,83.32401596761548,NA,110.7,2,-1
2020-03-11,0,8.065217391304348,4.2898550724637685,79.77261404364829,NA,111.87,5,-3
2020-03-12,0,11.318840579710145,8.68840579710145,84.94740053500678,NA,113,2,0
2020-03-13,0,6.194444444444445,-0.08333333333333327,64.97366318103559,NA,126.59,24,-1
