date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.045833333333334,NA,NA,NA,133.84,5,NA
2020-02-16,0,-3.8083333333333336,NA,NA,NA,103.91,2,NA
2020-02-17,0,-3.9695652173913043,NA,NA,NA,93.99,2,NA
2020-02-18,0,-0.9458333333333333,NA,NA,NA,93.71,0,NA
2020-02-19,0,-10.675,NA,NA,NA,91.52,5,NA
2020-02-20,0,-13.9,NA,NA,NA,104,1,NA
2020-02-21,0,-8.2625,NA,NA,NA,139.47,3,NA
2020-02-22,0,-0.3375,NA,NA,NA,146.04,4,NA
2020-02-23,0,3.0666666666666664,NA,NA,NA,113.54,4,NA
2020-02-24,0,2.2625,NA,NA,NA,106.29,6,NA
2020-02-25,0,0.15000000000000002,NA,NA,NA,106.39,4,NA
2020-02-26,0,-3.408333333333333,NA,NA,NA,86.75,7,NA
2020-02-27,0,-7.452173913043478,NA,NA,NA,100.95,4,NA
2020-02-28,0,-8.375,NA,NA,NA,130.22,6,NA
2020-02-29,0,-6.35,NA,NA,NA,176.17,4,NA
2020-03-01,0,0.5125,NA,NA,NA,109.72,2,NA
2020-03-02,0,3.525,NA,NA,NA,84.27,5,NA
2020-03-03,0,0.22916666666666666,NA,NA,NA,99.81,4,NA
2020-03-04,0,1.3958333333333333,NA,NA,NA,113.16,5,NA
2020-03-05,0,1.8083333333333333,NA,NA,NA,109.63,-2,NA
2020-03-06,0,-0.5666666666666667,NA,NA,NA,124.79,-4,NA
2020-03-07,0,-1.7208333333333332,NA,NA,NA,143.09,4,NA
2020-03-08,0,3.15,NA,NA,NA,129.27,2,NA
2020-03-09,0,4.654166666666667,NA,NA,NA,102.29,-2,NA
2020-03-10,0,-0.725,NA,NA,NA,101.05,0,NA
2020-03-11,0,0.8052631578947369,NA,NA,NA,103.72,5,NA
2020-03-12,0,2.466666666666667,NA,NA,NA,105.72,4,NA
2020-03-13,0,3.2222222222222223,NA,NA,NA,108.48,-2,NA
2020-03-14,0,-1.2307692307692308,NA,NA,NA,123.07,4,NA
2020-03-15,0,-1.3125,NA,NA,NA,99.71,4,NA
2020-03-16,0,1.2166666666666666,NA,NA,NA,84.56,-2,NA
2020-03-17,0,2.5125,NA,NA,NA,84.08,-4,NA
2020-03-18,0,1.9125,NA,NA,NA,69.4,-12,NA
2020-03-19,0,2.7958333333333334,NA,NA,NA,76.07,-21,NA
2020-03-20,0,0.7041666666666667,NA,NA,NA,90.18,-25,NA
2020-03-21,0,-4.45,NA,NA,NA,77.88,-13,NA
2020-03-22,0,-2.8,NA,NA,NA,67.4,-12,NA
2020-03-23,0,0.5458333333333334,NA,NA,NA,82.27,-24,NA
2020-03-24,0,2.475,NA,NA,NA,84.75,-30,NA
2020-03-25,0,2.1083333333333334,NA,NA,NA,68.64,-33,NA
2020-03-26,0,3.3125,NA,NA,NA,78.46,-31,NA
2020-03-27,0,1.7333333333333334,NA,NA,NA,92.47,-31,NA
2020-03-28,0,2.7291666666666665,NA,NA,NA,72.93,-20,NA
2020-03-29,0,5.554166666666666,NA,NA,NA,63.39,-23,NA
2020-03-30,0,3.908333333333333,NA,NA,NA,95.61,-31,NA
