date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-9.392348484848485,-14.205378787878788,68.78895848144559,NA,125.12,-4,NA
2020-02-16,0,0.2013194444444444,-3.115902777777778,79.55135317436765,NA,99.53,-5,NA
2020-02-17,0,-0.9550000000000001,-5.432857142857142,72.66722749540592,NA,131.02,-5,1
2020-02-18,0,1.4721527777777779,-0.2849305555555555,88.69561685552269,NA,115.92,1,-1
2020-02-19,0,-3.049097222222222,-8.342777777777778,68.1620611945924,NA,111.61,2,-1
2020-02-20,0,-6.4475,-12.319242424242423,64.07733860264317,NA,123.76,-5,1
2020-02-21,0,-6.001875,-12.62375,63.24805412449098,NA,141.38,-4,1
2020-02-22,0,0.1320833333333334,-7.327361111111111,58.663868670323524,NA,147.86,12,NA
2020-02-23,0,3.591875,-3.1234722222222224,62.481565104296664,NA,98.84,-5,NA
2020-02-24,0,3.294652777777778,1.5340972222222222,88.6561847574112,NA,111.3,9,-3
2020-02-25,0,1.9518055555555556,1.1964583333333334,94.83128956554668,NA,111.68,4,0
2020-02-26,0,-1.71625,-2.7271527777777775,92.93088363567529,NA,91.54,-10,9
2020-02-27,0,-4.280555555555556,-7.613888888888889,78.14427012751582,NA,108.42,-4,5
2020-02-28,0,-5.229513888888889,-9.647638888888888,72.67296270586571,NA,152.52,1,0
2020-02-29,0,-4.214710144927536,-11.349347826086957,58.98158477069597,NA,140.53,9,NA
2020-03-01,0,-0.9303472222222222,-7.096666666666667,63.923878269479246,NA,101.4,4,NA
2020-03-02,0,7.158333333333333,3.9424305555555557,81.99690889267468,NA,115.8,9,-3
2020-03-03,0,3.4215277777777775,-0.5071527777777778,77.87017368853692,NA,124.65,8,-1
2020-03-04,0,3.158263888888889,-2.1677083333333336,70.69715153246874,NA,122.4,8,0
2020-03-05,0,2.322638888888889,-4.614027777777777,63.229406863031834,NA,127.06,7,-2
2020-03-06,0,2.0660416666666666,-0.5063888888888889,83.8937848236018,NA,160.91,7,1
2020-03-07,0,0.08069444444444449,-5.013958333333333,72.43229419992167,NA,148.56,13,NA
2020-03-08,0,6.965416666666667,-3.9633333333333334,48.425058618215,NA,101.75,4,NA
2020-03-09,0,11.310694444444444,1.516875,51.89597667344344,NA,122.71,10,-2
2020-03-10,0,7.255277777777778,5.370416666666666,88.76813505638198,NA,123.49,6,0
2020-03-11,0,2.3672916666666666,1.1155555555555556,91.87722999930764,NA,118.56,4,1
2020-03-12,0,6.662986111111111,4,83.82811291102439,NA,126.44,7,0
2020-03-13,0,6.731527777777778,-0.6979166666666666,62.77173405196715,NA,142.2,6,-1
2020-03-14,0,2.305,-5.2432638888888885,58.13821913442254,NA,120.77,7,NA
2020-03-15,0,2.3600694444444446,-3.960138888888889,66.10744109113101,NA,94.33,-4,NA
2020-03-16,0,1.338125,-2.840763888888889,75.26757612239292,NA,115.37,9,0
2020-03-17,0,4.217083333333333,-0.3230555555555555,76.94067280151106,NA,115.61,1,4
2020-03-18,0,2.3045833333333334,-1.8094444444444444,75.35136975353248,NA,115.88,-7,8
2020-03-19,0,5.382847222222222,4.976388888888889,97.25204194160361,NA,103.45,-9,9
2020-03-20,0,9.388541666666667,7.310208333333334,87.19813410205664,NA,112.34,-15,NA
2020-03-21,0,-2.1591666666666667,-7.257916666666667,68.48772274682285,NA,92.93,-15,NA
2020-03-22,0,-2.1586805555555557,-5.8025,78.0359043131367,NA,53.73,-25,NA
2020-03-23,0,1.4361805555555556,-0.08708333333333333,90.45221554074718,NA,80.86,-13,9
2020-03-24,0,2.695972222222222,0.33993055555555557,85.11346064236716,NA,80.94,-31,NA
2020-03-25,0,5.090902777777778,1.8480555555555556,81.11869561627186,NA,67.59,-54,NA
2020-03-26,0,10.779027777777777,7.087569444444444,78.573366834625,NA,73.25,-55,NA
2020-03-27,2,8.712916666666667,7.6582638888888885,93.37115333805876,NA,77.6,-53,NA
2020-03-28,0,9.2872916666666665,8.604444444444445,95.64952098653332,NA,59.01,-32,NA
2020-03-29,0,11.52625,7.722291666666667,78.8130516737195,NA,43.67,-36,NA
2020-03-30,0,5.602222222222222,1.950625,78.11794179923271,NA,71.2,-56,NA
2020-03-31,0,3.4742361111111113,1.6991666666666667,88.46576702369978,NA,71.16,-59,NA
2020-04-01,0,5.329305555555555,3.8441666666666667,90.6333380316416,NA,69.06,-58,NA
2020-04-02,0,7.020902777777778,1.372986111111111,73.7847121023269,NA,81.91,-61,NA
2020-04-03,2,10.288124999999999,1.6269444444444445,59.914368486002715,1.0124323679131355,84.7,-56,NA
2020-04-04,0,8.33013888888889,3.6755555555555555,74.61658830094107,1.0005435224776225,58.89,-29,NA
2020-04-05,0,7.060138888888889,0.9762500000000001,71.58835971626284,0.9905610301346517,53.61,-38,NA
2020-04-06,2,9.202222222222222,-1.427361111111111,53.81821697881769,0.9827048728923913,77.8,-56,NA
2020-04-07,0,15.167361111111111,9.57826388888889,71.34399410536246,0.9771582969461581,79.15,-56,NA
2020-04-08,0,16.794583333333332,10.326944444444445,70.3349744251313,0.9740623383025311,81.21,-57,NA
2020-04-09,1,7.112777777777778,1.4404166666666667,69.98496473070344,0.9735094467826614,75.31,-58,NA
2020-04-10,2,2.9634722222222223,-3.0522916666666666,66.31919296234216,0.975537316353588,69.33,-68,NA
2020-04-11,1,5.979583333333333,-2.165625,59.35809755945136,0.9801236798463207,71.58,-25,NA
2020-04-12,2,11.989236111111111,5.845138888888889,68.90663693978182,0.987182311221206,39.25,-38,NA
2020-04-13,1,7.295277777777778,4.308958333333333,83.18254193570458,0.9965599981838522,69.6,-51,NA
2020-04-14,0,1.0898611111111112,-6.745902777777777,57.94408654866605,1.0080339861220924,91.69,-54,NA
2020-04-15,1,-0.47625,-4.7278472222222225,74.67529261065972,1.021309478770254,77.76,-54,NA
2020-04-16,1,0.0038194444444444144,-8.245208333333334,58.00707858576309,1.0360172500921512,79.77,-53,NA
2020-04-17,1,1.233125,-3.317986111111111,75.37981907090305,1.0517122046443426,77.6,-53,NA
2020-04-18,-1,3.0631944444444446,-0.4661111111111111,81.75518664437806,1.0678746349332342,86.3,-17,NA
2020-04-19,1,9.246458333333333,0.7353472222222223,57.799456832456364,1.0839166781991674,55.36,-29,NA
2020-04-20,1,7.588819444444445,-2.073541666666667,53.40662063274855,1.0991967296267167,97.2,-49,NA
2020-04-21,1,5.595208333333333,-2.996111111111111,57.03233604917444,1.1130440171951554,92.47,-50,NA
2020-04-22,0,2.4336805555555556,-4.338333333333333,62.662831324374686,1.1247940475394558,94.72,-51,NA
2020-04-23,1,6.845297619047619,4.359960317460318,85.02259326366385,1.1338333535356648,101.44,-51,NA
2020-04-24,0,8.9030555555555555,6.7693055555555555,87.02078772221799,1.139649415344351,110.44,-48,NA
2020-04-25,2,7.674930555555555,5.996458333333333,89.61347057668081,1.1418795213612387,94.25,-21,NA
2020-04-26,1,10.192847222222222,0.21527777777777773,56.901318763973535,1.1403514025478674,67.47,-20,NA
2020-04-27,1,9.770763888888888,-0.4511111111111112,51.56831080165342,1.1351091361806112,98.56,-45,NA
2020-04-28,1,13.956319444444444,10.29125,79.84551696047333,1.1264200214906093,99.18,-47,NA
2020-04-29,0,14.790486111111111,12.744166666666667,87.98739913369425,1.1147613556553748,92,-48,NA
2020-04-30,1,6.936180555555556,5.975,93.71891252810293,1.1007894627873271,98.49,-47,NA
2020-05-01,0,10.678888888888888,3.625763888888889,66.90676315500433,1.0852961035422453,125.39,-44,NA
2020-05-02,2,17.41263888888889,8.649722222222222,57.10404273321631,1.0691589079723327,112.93,-18,NA
