date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.8625,3.4083333333333337,65.24948813882183,NA,160.51,0,-2
2020-02-16,0,16.225694444444443,12.747222222222222,80.76347051339476,NA,94.11,0,0
2020-02-17,0,15.937152777777778,14.603472222222223,91.99959638460498,NA,106.43,2,1
2020-02-18,0,21.553472222222222,19.423055555555557,88.1831542754941,NA,113.78,1,0
2020-02-19,0,15.883680555555555,13.92361111111111,88.26165244661337,NA,113.75,1,0
2020-02-20,0,11.221388888888889,9.600972222222222,89.86822423019922,NA,117.4,-1,2
2020-02-21,0,7.122916666666667,0.375,64.36347110188046,NA,154.58,1,0
2020-02-22,0,6.808333333333334,-1.1458333333333333,60.1618699768747,NA,152.87,-1,-2
2020-02-23,0,12.641666666666666,7.4875,72.28778663240645,NA,93.79,0,-2
2020-02-24,0,16.677777777777777,13.526388888888889,82.03316948421353,NA,117.95,-19,4
2020-02-25,0,15.300535714285715,12.58529761904762,84.907262820172,NA,113.22,-53,9
2020-02-26,0,12.425,5.045833333333333,63.443569102039014,NA,122.91,-13,1
2020-02-27,0,6.641666666666667,-2.75,53.08050368687112,NA,123.9,-5,0
2020-02-28,0,9.929166666666667,1.6875,61.401143401943216,NA,154.8,0,-1
2020-02-29,0,12.911507936507936,4.041547619047619,61.7200621777166,NA,136.13,6,-1
2020-03-01,0,15.520833333333334,9.416666666666666,68.5813736969941,NA,89.58,4,-2
2020-03-02,0,19.81875,16.09166666666667,79.54064824146003,NA,113.95,6,-1
2020-03-03,0,22.02777777777778,18.683333333333334,82.28308122090309,NA,119.29,2,-1
2020-03-04,0,21.710069444444443,19.708680555555556,88.59614820203026,NA,114.42,2,1
2020-03-05,0,14.60138888888889,10.815972222222221,79.913206835932,NA,144.9,2,-2
2020-03-06,0,14.870833333333334,1.9958333333333333,46.551260497484364,NA,155.16,2,-1
2020-03-07,0,11.6625,-0.32916666666666666,45.765963742950674,NA,159.09,5,-1
2020-03-08,0,14.675,6.970833333333333,61.62149231434486,NA,107.31,4,-1
