date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,3.295138888888889,-5.034722222222222,55.06147073104128,NA,142.54,1,NA
2020-02-16,0,6.194444444444445,0.3194444444444444,67.37416136674297,NA,106.29,3,NA
2020-02-17,0,10.38888888888889,7.444444444444445,83.13753717887677,NA,155.6,-15,4
2020-02-18,0,4.736111111111111,2.625,86.98135483966418,NA,97.65,-2,1
2020-02-19,0,1.8194444444444444,-4.819444444444445,64.84916811177695,NA,106.32,6,-2
2020-02-20,0,1.0555555555555556,-3.8333333333333335,73.1489108636406,NA,112.13,2,0
2020-02-21,0,-2.7222222222222223,-12.208333333333334,53.36500699573532,NA,144.78,13,-2
2020-02-22,0,3.486111111111111,-8.097222222222221,43.822708030825694,NA,139.25,1,NA
2020-02-23,0,7.041666666666667,0.7777777777777778,66.39478808517264,NA,97.68,4,NA
2020-02-24,0,7.458333333333333,7.388888888888889,99.56272924121932,NA,107.98,3,2
2020-02-25,0,3.3055555555555554,2.9027777777777777,97.36118655887825,NA,96.89,2,1
2020-02-26,0,0.4444444444444444,-1.8055555555555556,86.12257963212375,NA,95.34,3,-2
2020-02-27,0,0.18055555555555558,-5.097222222222222,70.00094931163034,NA,114.72,4,-2
2020-02-28,0,4.916666666666667,-0.11111111111111112,75.08668125110347,NA,137.53,12,-4
2020-02-29,0,8.208333333333334,-1.8611111111111112,53.09114571314204,NA,140.64,1,NA
2020-03-01,0,13.083333333333334,4.611111111111112,57.541826930553235,NA,112.27,1,NA
2020-03-02,0,11.125,8.5,84.52872539785714,NA,107.67,2,0
2020-03-03,0,7.791666666666667,0.8611111111111112,70.56259782911754,NA,107.95,3,-2
2020-03-04,0,8.38888888888889,-1.8888888888888888,49.336405519658086,NA,105.6,4,-3
2020-03-05,0,7.583333333333333,-0.8194444444444444,59.650679905891366,NA,115.48,3,-3
2020-03-06,0,5.819444444444445,-5.611111111111111,47.10032148306377,NA,145.78,11,-4
2020-03-07,0,8.319444444444445,-4.944444444444445,41.18067401804507,NA,137.87,1,NA
2020-03-08,0,11.194444444444445,-2.4722222222222223,41.459037656126164,NA,114.51,4,NA
2020-03-09,0,12.569444444444445,6.458333333333333,73.51906303144243,NA,105.94,0,1
2020-03-10,0,6.583333333333333,4.791666666666667,90.24935757337352,NA,109.4,1,-1
2020-03-11,0,12.73611111111111,8.444444444444445,77.07009971758337,NA,116.55,4,-4
2020-03-12,0,16.375,12.347222222222221,78.94806461488636,NA,116.28,-3,-2
2020-03-13,0,8.472222222222221,1.6111111111111112,64.05331139054283,NA,153.01,-1,-1
2020-03-14,0,4.666666666666667,1.7083333333333333,84.25764379133871,NA,138.56,-4,NA
2020-03-15,0,3.5555555555555554,3.013888888888889,96.49237977867126,NA,110.3,-1,NA
2020-03-16,0,4.611111111111111,4.416666666666667,98.70808910622196,NA,100.35,-8,4
2020-03-17,0,7.75,7.138888888888889,96.2942782806939,NA,108.4,-15,6
2020-03-18,0,12.680555555555555,11.38888888888889,92.72732290153292,NA,102.14,-15,5
2020-03-19,0,16.97222222222222,16.194444444444443,95.4739737702305,NA,93.02,-20,9
2020-03-20,0,9.541666666666666,6.888888888888889,84.76446825440725,NA,101.52,-15,8
2020-03-21,0,2.0416666666666665,-1.5277777777777777,79.68353786923737,NA,91.98,-11,NA
2020-03-22,0,6.069444444444445,3.5416666666666665,85.54115105360042,NA,67.24,-23,NA
2020-03-23,0,9.5,7.472222222222222,88.8905558317521,NA,76.19,-21,9
2020-03-24,0,10.833333333333334,9.347222222222221,91.06133600025964,NA,73.01,-28,12
2020-03-25,0,12.430555555555555,8.416666666666666,81.82229296220564,NA,80.75,-26,8
2020-03-26,0,19.916666666666668,12.819444444444445,65.56241245427819,NA,82.27,-29,9
2020-03-27,0,21.791666666666668,17.055555555555557,75.50216909059321,NA,86.35,-25,11
2020-03-28,0,20.15277777777778,13.597222222222221,71.03297121993872,NA,70.01,-19,NA
2020-03-29,0,12.625,2.0277777777777777,51.87925100659185,NA,60.44,-25,NA
2020-03-30,0,12.76388888888889,2.7916666666666665,51.70246147655893,NA,70.77,-28,11
2020-03-31,0,10.875,7.763888888888889,84.51334320105487,NA,78.2,-30,11
2020-04-01,0,12.944444444444445,6.013888888888889,65.87537618028168,NA,70.28,-31,8
2020-04-02,0,15.930555555555555,6.277777777777778,53.65956156089822,NA,81.69,-32,9
2020-04-03,0,10.125,7.138888888888888,84.72393318509114,NA,74.43,-27,12
2020-04-04,0,1.3472222222222223,1.3472222222222223,100,NA,67.86,-21,NA
2020-04-05,0,7.625,7.013888888888889,96.36272882714343,NA,56.36,-22,NA
2020-04-06,0,15.13888888888889,12.73611111111111,87.173188923809093,NA,67.69,-29,11
2020-04-07,0,19.944444444444443,16.27777777777778,80.96860961604241,NA,70.35,-32,10
2020-04-08,0,22.180555555555557,16.77777777777778,75.31277843632745,NA,77.06,-32,8
2020-04-09,0,13.902777777777779,3.8055555555555554,53.19905783272619,NA,75.57,-33,10
2020-04-10,0,6.986111111111111,-3.5972222222222223,48.5993694370407,NA,88.94,-39,12
2020-04-11,0,11.63888888888889,2.6527777777777777,54.9505236585275,NA,77.92,-29,NA
2020-04-12,0,13.38888888888889,11.5,89.68707159191014,NA,44.26,-33,NA
2020-04-13,0,1.7777777777777777,-2.7083333333333335,75.31668271726915,NA,79.37,-33,13
2020-04-14,0,3.4722222222222223,-2.4305555555555554,69.05729609741768,NA,76.61,-32,12
2020-04-15,0,6.263888888888889,-1.2916666666666667,61.74556550624959,NA,83.48,-30,9
2020-04-16,0,10.916666666666666,-0.055555555555555546,50.48924654355516,NA,79.85,-29,9
2020-04-17,0,8.444444444444445,3.4166666666666665,74.91533710900565,NA,96.06,-26,12
2020-04-18,0,6.611111111111111,-0.5833333333333334,67.01140010806571,NA,90.7,-13,NA
2020-04-19,0,12.61111111111111,7,72.75424215679674,NA,75.16,-23,NA
2020-04-20,0,13.847222222222221,9.527777777777779,79.08843927055594,NA,82.34,-29,10
2020-04-21,0,14.979166666666666,5.631944444444445,58.27406583251066,NA,89.46,-31,8
2020-04-22,0,13.743055555555555,7.111111111111112,68.269233935409,NA,78.23,-32,12
2020-04-23,0,13.305555555555555,11.708333333333334,91.50703997955827,NA,86.97,-28,9
2020-04-24,0,15.666666666666666,12.652777777777779,84.11466032588316,NA,100.1,-26,11
2020-04-25,0,13.319444444444445,9.694444444444445,82.220838182304675,NA,103.42,-13,NA
2020-04-26,0,13.027777777777779,6.152777777777778,68.09643302095947,NA,77.78,-22,NA
2020-04-27,0,15.152777777777779,7.888888888888889,62.99941705965512,NA,90.36,-26,11
2020-04-28,0,18.458333333333332,13.791666666666666,74.66046230806924,NA,87.15,-30,4
2020-04-29,0,12.652777777777779,8.958333333333334,80.87338107505087,NA,97.03,-27,8
2020-04-30,0,14.527777777777779,6.097222222222222,59.62934528340226,NA,110.68,-28,7
2020-05-01,0,17.5,8.583333333333334,58.54319994031342,NA,127.75,-24,5
2020-05-02,0,21.98611111111111,13.347222222222221,59.25568887520905,NA,121.94,-15,NA
2020-05-03,0,19.65277777777778,16.541666666666668,83.34663315726227,NA,88.6,-19,NA
2020-05-04,0,17.22222222222222,16.02777777777778,92.85468902725432,NA,96.3,-22,10
2020-05-05,1,16.014492753623188,10.434782608695652,75.62214084532054,0.6343917062699802,109.26,-25,6
2020-05-06,0,13.125,4.777777777777778,58.30021365968652,0.6387801945395337,116.45,-24,5
2020-05-07,1,11.847222222222221,6.930555555555555,73.82663913737935,0.6443338165239452,120.15,-24,7
2020-05-08,5,12.243055555555555,8.17361111111111,80.25926773302852,0.6510600473435868,148.27,-20,6
2020-05-09,0,9.875,1.3194444444444444,59.79618501823311,0.6589747380228205,154.32,-14,NA
2020-05-10,0,11.26388888888889,3.7916666666666665,62.8145134397052,0.6681079395637128,93.02,-15,NA
2020-05-11,0,7.097222222222222,2.2777777777777777,73.10072678062127,0.6785085328318609,NA,-22,8
2020-05-12,0,6.027777777777778,5.972222222222222,99.63916244444265,0.6902468400698796,NA,-24,11
2020-05-13,0,12.25,11.86111111111111,97.72371909678118,0.7034146850379465,118.04,-24,7
2020-05-14,0,20.958333333333332,17.041666666666668,79.35096833713355,0.7181228240416128,136.8,-22,5
2020-05-15,0,17.61111111111111,16.09722222222222,91.82229271202492,0.7344961475949368,146.86,-20,8
2020-05-16,0,18.375,17.194444444444443,93.53810062100716,0.752667418002561,149.65,-5,NA
2020-05-17,0,18.041666666666668,15.930555555555555,88.69008156956164,0.7727704834890169,126.36,-8,NA
