date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,6.75,-3.786363636363636,50.15976809477061,NA,147.8,2,-1
2020-02-16,0,9.51875,5.4125,78.29205517767811,NA,111.11,-2,1
2020-02-17,0,10.475347222222222,9.925347222222221,96.53784718565417,NA,111.54,-17,4
2020-02-18,0,14.5525,14.531666666666666,99.86932317065022,NA,106.59,1,2
2020-02-19,0,15.343125,14.603541666666667,95.4976607065515,NA,108.33,1,1
2020-02-20,0,8.938888888888888,8.045833333333334,94.28945902999224,NA,115.44,0,3
2020-02-21,0,4.95,0.7022727272727273,75.98976445007243,NA,159.54,3,0
2020-02-22,0,5.0625,-3.4791666666666665,59.45196506593493,NA,143.31,8,-2
2020-02-23,0,7.404347826086957,-1.9782608695652173,53.915498228423395,NA,106.01,2,-1
2020-02-24,0,10.258695652173913,5.202898550724638,73.68901309588158,NA,101.84,2,2
2020-02-25,0,16.06597222222222,13.821527777777778,87.93625765909043,NA,109.54,4,0
2020-02-26,0,10.425,7.726388888888889,84.28152084199189,NA,114.28,3,-1
2020-02-27,0,5.1375,-3.4291666666666667,55.96680839595053,NA,124.84,3,-1
2020-02-28,0,6.116666666666667,-3.0791666666666666,54.31937861706952,NA,163.57,2,-2
2020-02-29,0,9.304347826086957,-1.5739130434782609,48.926180637048475,NA,161.86,7,-3
2020-03-01,0,10.775,-0.4125,47.35225416097902,NA,118.41,5,-2
2020-03-02,0,12.5125,7.252777777777777,72.120943894212,NA,107.65,3,0
2020-03-03,0,17.086805555555557,16.56041666666667,96.78110126969388,NA,109.46,1,1
2020-03-04,0,14.550386904761904,14.170178571428572,97.61675838419333,NA,110.59,1,2
2020-03-05,0,11.398148148148149,10.456944444444444,94.05754461477198,NA,125.75,0,2
2020-03-06,0,10.806060606060607,3.6,67.45632489242765,NA,161.99,1,-1
2020-03-07,0,8.1,-3.0541666666666667,48.32345906264765,NA,132.8,7,-3
2020-03-08,0,10.9875,-1.3125,44.24900352370404,NA,83.86,-4,-2
2020-03-09,0,14.495652173913044,6.882608695652174,62.370874606015086,NA,89.26,-7,0
2020-03-10,0,16.04652777777778,10.947222222222223,72.18339435907477,NA,86.27,-9,1
2020-03-11,0,16.288055555555555,14.867222222222223,91.8550412289493,NA,86.46,-8,0
2020-03-12,0,18.069444444444443,15.068055555555556,85.46677960184127,NA,89.86,-10,0
2020-03-13,0,19.83125,15.867361111111112,78.89729449453753,NA,104.58,-9,1
2020-03-14,0,20.854545454545455,15.254545454545454,74.13399338618026,NA,102.51,-1,-1
2020-03-15,0,20.945833333333333,14.158333333333333,66.34176656281916,NA,85.65,-10,1
2020-03-16,1,18.9125,15.625,82.02492276586008,NA,86.81,-19,7
2020-03-17,2,18.803260869565218,15.210144927536232,81.40825848552127,NA,79.36,-24,10
2020-03-18,5,20.342916666666667,16.40527777777778,80.24819659999962,NA,74.49,-26,11
2020-03-19,2,20.97222222222222,16.468055555555555,77.07520240376986,NA,74.36,-31,13
2020-03-20,1,21.29611111111111,17.071805555555557,78.88039346867868,NA,78.11,-35,15
2020-03-21,1,20.241666666666667,15.2,73.49394229571375,NA,67.18,-19,8
2020-03-22,4,13.897222222222222,10.861805555555556,82.66187366471269,NA,47.96,-33,10
2020-03-23,3,17.658333333333335,16.606597222222224,93.93071383843038,NA,57.82,-35,15
2020-03-24,7,20.828869047619047,18.157341269841268,86.71791198228176,NA,62.67,-36,16
2020-03-25,14,22.173188405797102,16.23840579710145,72.99292449087828,NA,62.76,-39,16
