date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,7.766666666666667,0.2458333333333333,59.973957490575316,NA,139.97,0,NA
2020-02-16,0,7.2531944444444445,3.9,80.74103964486427,NA,108.79,-5,NA
2020-02-17,0,12.041666666666666,9.838194444444444,87.15330644907533,NA,114.45,-20,4
2020-02-18,0,7.429166666666667,-0.17916666666666664,60.50297946525537,NA,104.8,1,0
2020-02-19,0,4.883333333333334,-5.079166666666667,53.679825371509764,NA,106.24,3,-1
2020-02-20,0,3.7416666666666667,-3.6375,60.644166844119916,NA,122.53,2,0
2020-02-21,0,-1.5041666666666667,-9.166666666666666,62.08910259514539,NA,151.44,4,0
2020-02-22,0,6.854166666666667,-3.875,47.284888256905084,NA,147.57,4,NA
2020-02-23,0,10.286111111111111,4.76875,70.22095708302054,NA,98.03,1,NA
2020-02-24,0,9.859027777777778,7.686111111111111,86.74106406098663,NA,104.99,2,2
2020-02-25,0,6.158333333333333,1.7604166666666667,75.13976943441016,NA,100.85,2,0
2020-02-26,0,1.6861111111111111,-3.338888888888889,72.14630934611648,NA,103.87,5,-2
2020-02-27,0,2.6416666666666666,-6.741666666666667,56.24489158489735,NA,119.44,2,-2
2020-02-28,0,7.779166666666667,-1.4125,59.538843461978,NA,151.07,2,-3
2020-02-29,0,10.4375,-2.2708333333333335,49.54284871339407,NA,150.91,1,NA
2020-03-01,0,17.545833333333334,3.783333333333333,43.329452245794386,NA,109.24,-1,NA
2020-03-02,0,9.445833333333333,2.7916666666666665,64.8506839464995,NA,104.64,4,-1
2020-03-03,0,9.491666666666667,2.3333333333333335,66.32204036736402,NA,117.41,3,-1
2020-03-04,0,9.95,0.5833333333333334,54.8162380918947,NA,107.88,4,-2
2020-03-05,0,8.266666666666667,-1.3416666666666666,57.98499994096241,NA,120.31,2,-2
2020-03-06,0,7.145833333333334,-5.7124999999999995,46.64591111138345,NA,160.63,4,-2
2020-03-07,0,11.708333333333332,-5.904166666666667,30.600376904778663,NA,156.91,6,NA
2020-03-08,0,12.0125,3.2541666666666664,57.897911343620194,NA,111.27,1,NA
2020-03-09,0,14.65625,10.895833333333334,79.20702249653797,NA,107.69,1,1
2020-03-10,0,8.244940476190477,4.007440476190476,78.68005240237797,NA,115.67,1,-1
2020-03-11,0,19.03333333333333,11.420833333333333,63.090901216941525,NA,122.48,4,-3
2020-03-12,0,20.3,9.275,53.09661063580406,NA,131.47,1,-2
2020-03-13,0,10.1875,3.4541666666666666,64.02267007496053,NA,152.59,-4,1
2020-03-14,0,6.590208333333333,5.104583333333333,90.57816007313208,NA,139.51,1,NA
2020-03-15,0,5.921180555555556,4.179166666666666,88.9127642224034,NA,104.06,-8,NA
2020-03-16,0,7.975119047619048,6.894404761904762,93.02141696877182,NA,93.08,-22,7
2020-03-17,0,10.166666666666666,9.065972222222221,93.21386434390863,NA,90.6,-23,9
2020-03-18,0,15.987499999999999,13.470833333333333,86.84439475702028,NA,86.97,-26,8
2020-03-19,1,20.136631944444446,13.794270833333334,73.51402376755252,NA,90.12,-27,10
2020-03-20,0,9.216666666666667,0.7395833333333333,58.760984674750055,NA,94.45,-27,14
2020-03-21,0,4.475,-3.3291666666666666,59.13388178164741,NA,83.32,-14,NA
2020-03-22,0,8.94,6.937083333333334,88.09027669688311,NA,60.98,-26,NA
2020-03-23,0,12.853125,11.257291666666667,90.56290332600368,NA,80.83,-29,14
2020-03-24,0,15.32013888888889,12.274305555555555,83.898071048606,NA,78.7,-33,14
2020-03-25,2,17.808333333333334,9.420833333333333,65.31507485586789,NA,82.03,-33,13
2020-03-26,0,24.45,10.583333333333334,44.84694942874415,NA,81.07,-36,15
2020-03-27,0,24.1,18.23611111111111,71.40101562342309,NA,86.97,-37,17
2020-03-28,0,19.620833333333334,9.031944444444445,56.052129635987185,NA,77.6,-22,NA
2020-03-29,0,12.429166666666667,2.3625,56.397314294041216,NA,64.74,-26,NA
2020-03-30,1,12.95,5.227083333333333,62.13369221279723,NA,75.44,-39,18
2020-03-31,0,12.649652777777778,8.550694444444444,80.03029971694998,NA,79.34,-41,17
2020-04-01,0,14.679166666666667,7.516666666666667,64.9062497096913,NA,81.93,-40,15
2020-04-02,1,16.94375,10.820833333333333,67.65368298956851,1.1205648852317713,86.1,-40,16
2020-04-03,0,3.7173611111111113,1.8395833333333333,88.0718418702086,1.1171207957260172,73.7,-39,20
2020-04-04,1,3.1791666666666667,0.4791666666666667,82.78837939911125,1.1132162086120814,65.54,-25,NA
2020-04-05,0,8.747916666666667,4.954166666666667,78.84215721353125,1.108772329233907,63.37,-32,NA
2020-04-06,0,17.945833333333333,13.8,77.26859549644195,1.1037208947324726,73.23,-38,15
2020-04-07,0,22.122916666666665,14.792361111111111,69.53971447120651,1.0980082744416593,73.81,-45,17
2020-04-08,0,21.829166666666666,10.725,53.8977188026615,1.0915988259225646,79.07,-40,15
2020-04-09,1,17.5,4.320833333333333,44.01601402921675,1.084477059111199,84.17,-43,17
2020-04-10,0,12.041666666666666,-1.5458333333333332,41.69500437528546,1.0766483377836324,92.56,-44,17
2020-04-11,0,17.352083333333333,8.73125,58.11669589232715,1.0681381073759553,83.11,-25,NA
2020-04-12,0,14.268333333333333,10.200416666666667,78.5906029105856,1.0589899135158165,50.05,-38,NA
2020-04-13,0,3.404166666666667,-5.579166666666667,53.40317468937805,1.0492626901637376,75.84,-40,18
2020-04-14,0,4.198958333333334,-1.034375,71.66299175978841,1.0390278908156079,80.35,-42,19
2020-04-15,0,6.8125,-1.1416666666666666,63.997862310331314,1.028366987808387,82.81,-40,14
2020-04-16,1,14.183333333333334,3.7041666666666666,50.98107724422403,1.0173696923469513,94.1,-39,15
2020-04-17,0,9.033333333333333,3.701388888888889,71.97500980180241,1.0061330037527507,94.04,-40,18
2020-04-18,0,8.6,1,66.61950708929196,0.9947609482768651,87.35,-19,NA
2020-04-19,1,16.402430555555554,10.268749999999999,68.70894987295803,0.9833646782192111,70.08,-30,NA
2020-04-20,0,15.228125,10.548263888888888,77.29640676706632,0.9720625123042544,84.27,-40,16
2020-04-21,1,17.304861111111112,11.436111111111112,75.24993886570715,0.9609795199302055,95.43,-39,16
2020-04-22,0,17.010833333333334,14.169444444444444,85.35831485501656,0.9502463678837219,78.64,-42,18
2020-04-23,1,17.772569444444443,12.22048611111111,76.03745951886403,0.9399973207902517,96.16,-37,14
2020-04-24,1,19.433680555555554,12.290625,64.68267046072879,0.9303674704291358,107.53,-37,16
2020-04-25,0,15.458333333333334,8.058333333333334,65.24010102706646,0.9214894232902524,99.62,-21,NA
2020-04-26,1,15.966666666666667,6.875,61.907233114507115,0.9134897734938454,82.94,-28,NA
2020-04-27,0,20.989583333333332,9.675,49.201250428466096,0.9064857201142582,96.77,-36,15
2020-04-28,0,23.3125,16.27916666666667,65.923598816362,0.9005821604209865,91.65,-39,10
2020-04-29,1,17.0375,6.695833333333333,52.85091082887882,0.8958695199335744,105.79,-36,13
2020-04-30,1,15.8375,7.120833333333334,63.64558153596623,0.8924224858065335,111.26,-36,13
2020-05-01,1,23.166666666666668,10.745833333333334,47.025373640876325,0.890299708431915,125.39,-32,11
2020-05-02,0,24.770833333333332,15.341666666666667,56.54205084977221,0.889544438055993,116.42,-13,NA
2020-05-03,0,22.243402777777778,19.338194444444444,84.45605709088534,0.890185973971022,92.21,-20,NA
2020-05-04,0,24.475,19.7625,77.97639581044393,0.8922417258200597,102.69,-34,12
2020-05-05,1,19.2625,8.8875,55.29557753340716,0.8957196222113388,106.27,-33,12
2020-05-06,0,16.4125,5.708333333333333,53.56307418621267,0.9006205557549709,114.82,-32,11
2020-05-07,1,17.5125,8.591666666666667,56.851568795636894,0.9069405324883334,109.91,-32,12
2020-05-08,0,15.83313492063492,9.36359126984127,70.10023824700488,0.9146722043598787,132.99,-29,11
2020-05-09,0,12.345833333333333,3.5625,59.790665045064934,0.9238055104414855,128.89,-4,NA
2020-05-10,0,13.55,6.191666666666666,63.76126394977482,0.9343272356790264,90.2,-14,NA
2020-05-11,0,12.641666666666667,5.141666666666667,61.500919163409286,0.9462194099633279,NA,-31,12
2020-05-12,0,9.420833333333334,7.345833333333333,87.41977868283996,0.9594566058522103,NA,-32,13
2020-05-13,0,14.755555555555556,13.575,93.34950328814827,0.974002339263345,116.73,-29,11
2020-05-14,0,24.202083333333334,17.451041666666665,67.47528527826262,0.9898049223472483,123.49,-30,10
2020-05-15,0,21.831944444444446,18.858333333333334,83.72189311657674,1.0067932492182579,132.97,-29,12
2020-05-16,0,17.65486111111111,16.09861111111111,91.13665496154468,1.0248730978351484,135.02,-7,NA
2020-05-17,0,20.004166666666666,14.404166666666667,75.1744902746557,1.0439245838744082,108.76,-12,NA
2020-05-18,0,19.304166666666667,11.604166666666666,64.26704691234409,1.0638013780223694,134.94,-27,8
2020-05-19,0,20.35,13.275,65.76355351730494,1.0843321700184667,134.43,-29,9
2020-05-20,0,19.145833333333332,13.5875,72.66201818444162,1.1053246169598978,139.49,-28,7
2020-05-21,0,21.202083333333334,16.697916666666668,75.8938891294328,1.126571663764893,148.59,-30,8
2020-05-22,0,22.608333333333334,18.374305555555555,79.28024831084521,1.1478597222658928,167.44,-29,8
2020-05-23,0,24.4,19.108333333333334,75.40658589004515,1.1689778278738865,160.91,-9,NA
2020-05-24,1,23.59548611111111,19.356597222222224,78.53623690087862,1.1897266560353055,125.55,-16,NA
2020-05-25,0,20.093333333333334,17.132083333333334,83.60921142098573,1.209926248553896,111.59,-71,NA
2020-05-26,0,17.869583333333335,15.76125,88.74329194051019,1.2294214923141984,135.42,-29,10
2020-05-27,0,19.003055555555555,14.873888888888889,80.37550769668181,1.2480847660893715,135.96,-25,8
2020-05-28,0,19.64902777777778,17.88340277777778,90.40338787812927,1.2658156335550619,140.2,-26,10
2020-05-29,0,21.004761904761903,15.363095238095237,75.83168853710484,1.282537908050311,167.7,-23,7
2020-05-30,0,22.383333333333333,12.570833333333333,56.42164283580004,1.2981947638619913,162.6,1,NA
