date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,0.7,-2.6416666666666666,78.74447588839445,NA,141.96,5,NA
2020-02-16,0,1.7457986111111112,-0.05243055555555554,89.38912919726623,NA,115.51,1,NA
2020-02-17,0,8.8875,5.3388888888888895,80.75417526873191,NA,116.07,-5,0
2020-02-18,0,3.3083333333333336,-3.0083333333333333,64.8432753263507,NA,96.45,1,-1
2020-02-19,0,0.6625,-4.75,69.65998294429149,NA,106.49,3,-1
2020-02-20,0,-2.4967361111111113,-6.3990277777777775,77.0230040996659,NA,104.51,0,1
2020-02-21,0,-3.279166666666667,-8.9125,67.63629132660823,NA,144.56,2,1
2020-02-22,0,3.533333333333333,-4.145833333333333,58.61949906424981,NA,152.37,3,NA
2020-02-23,0,8.891666666666667,3.5583333333333336,69.99346106588806,NA,123.35,1,NA
2020-02-24,0,6.926111111111111,5.911527777777778,93.68927134093443,NA,99.27,4,0
2020-02-25,0,2.930902777777778,0.09652777777777774,82.38049705954191,NA,89.34,1,1
2020-02-26,0,0.7597222222222222,-5.404166666666667,65.58342759192611,NA,95.09,2,-2
2020-02-27,0,1.3166666666666667,-4.879166666666666,65.0359422574293,NA,114.38,-4,1
2020-02-28,0,4.65,-0.4395833333333333,75.87681012210705,NA,148.25,6,-2
2020-02-29,0,7.5874999999999995,-1.65,57.33204364602489,NA,158.26,1,NA
2020-03-01,0,13.120833333333334,4.008333333333334,54.76900996761279,NA,125.47,21,NA
2020-03-02,0,7.366666666666666,-0.008333333333333331,61.45957933954888,NA,104.29,7,-2
2020-03-03,0,7.466666666666667,-1.975,58.326679637184604,NA,104.79,1,-3
2020-03-04,0,9.191666666666666,-1.7833333333333334,49.828580795819114,NA,115.6,4,-3
2020-03-05,0,7.8625,-4.254166666666666,48.44274927118715,NA,125.21,2,-1
2020-03-06,0,5.229166666666667,-6.808333333333334,47.828377754393514,NA,173.94,12,-4
2020-03-07,0,9.279166666666667,-5.008333333333334,40.76216347802624,NA,152.62,7,NA
2020-03-08,0,12.591666666666667,1.4583333333333333,47.475110867876886,NA,127.33,-4,NA
2020-03-09,0,10.046041666666667,9.059583333333332,94.00264977969405,NA,102.74,-17,3
2020-03-10,0,3.8220833333333335,2.5116666666666667,91.70305783881577,NA,109.59,-21,2
2020-03-11,0,9.884732142857143,7.415089285714285,87.00531972938998,NA,153.92,-17,0
2020-03-12,0,13.48125,9.477083333333333,78.91201010094402,NA,141.34,-19,2
2020-03-13,0,6.020833333333333,-0.325,64.80294024803344,NA,143.2,-13,2
2020-03-14,0,3.3854166666666665,1.4347222222222222,88.27312744124339,NA,126.14,-4,NA
2020-03-15,0,2.2225694444444444,1.0916666666666668,92.49844373061958,NA,103.47,-3,NA
2020-03-16,0,4.223194444444444,3.7730555555555556,97.024797827037645,NA,98.62,-19,6
2020-03-17,0,6.517916666666666,5.354722222222222,92.71407746745122,NA,93.99,-21,7
2020-03-18,0,11.456180555555555,10.773541666666667,95.82235874545177,NA,92.1,-20,8
2020-03-19,0,17.794097222222224,14.923263888888888,86.26899946778778,NA,91.6,-24,10
2020-03-20,0,5.415277777777778,-1.3923611111111112,65.03768908887105,NA,101.38,-18,11
2020-03-21,0,1.0208333333333333,-5.904166666666667,63.270166284391415,NA,103.86,-13,NA
2020-03-22,0,5.814801587301587,4.293968253968254,90.99371883139736,NA,75.97,-23,NA
2020-03-23,2,8.731805555555555,7.833194444444445,94.54916115528991,NA,67.63,-26,11
2020-03-24,0,10.395138888888889,9.293055555555556,93.23128781531393,NA,67.91,-31,13
2020-03-25,2,12.802777777777777,9.625694444444445,84.97822133326514,NA,67.51,-31,13
2020-03-26,0,14.621875,11.217708333333333,81.38252608335283,NA,61.48,-34,15
2020-03-27,0,14.576041666666667,12.461805555555555,87.56736631787156,NA,76.2,-26,15
2020-03-28,0,15.411458333333334,9.563541666666667,73.64034797826521,NA,60.01,-16,NA
2020-03-29,3,11.939583333333333,1.5041666666666667,55.651073350596356,NA,48.76,-23,NA
2020-03-30,2,13.779166666666667,1.8625,48.12353296842073,NA,53.98,-36,13
2020-03-31,2,12.594166666666666,7.610833333333334,76.02696497730025,NA,57.22,-37,14
2020-04-01,1,13.5625,6.4625,67.08726557531786,1.8943557021636193,60.15,-35,13
2020-04-02,4,16.633333333333333,8.55,59.853523454898344,1.8810618789450706,55.75,-38,16
2020-04-03,1,0.7662037037037037,-1.1359953703703705,87.89800478187003,1.863657545110314,66.19,-33,18
2020-04-04,2,1.445138888888889,-1.5840277777777778,81.21584578369955,1.841728733580963,56.88,-22,NA
2020-04-05,5,7.448611111111111,4.415625,82.50482880302086,1.8149365085439093,45.88,-25,NA
2020-04-06,-1,15.202777777777778,12.375347222222222,84.02953390913216,1.7830359011559007,56.99,-37,13
2020-04-07,2,20.147222222222222,15.271527777777779,76.73265319038362,1.745902716969569,60.89,-40,13
2020-04-08,1,21.272916666666667,9.38888888888889,57.309912423360544,1.7035651537319096,61.76,-39,13
2020-04-09,1,12.141666666666667,-0.47500000000000003,45.380893709258196,1.6562336172359635,62.15,-40,16
2020-04-10,0,6.780434782608696,-6.628260869565217,40.76944320454171,1.6043203475178367,68.5,-36,16
2020-04-11,0,15.504166666666666,4.197916666666666,47.98334996404574,1.5484414419730874,65.09,-28,NA
2020-04-12,0,11.911458333333334,9.957986111111111,88.41228284400431,1.4893973884297684,40.38,-35,NA
2020-04-13,3,1.7208333333333332,-7.754166666666666,54.911837683350086,1.4281330188170016,61.68,-38,16
2020-04-14,2,4.9125,-8.25,40.710065164509096,1.3656821733389388,58.32,-39,15
2020-04-15,0,7.054166666666667,-3.466666666666667,50.349248761949084,1.303105036009532,64.38,-37,13
2020-04-16,16,7.477777777777778,2.7041666666666666,73.70399752536918,1.2414266270639436,63.06,-39,18
2020-04-17,-1,3.636111111111111,1.3079166666666666,86.27502868863965,1.1815836629256824,74.31,-32,17
2020-04-18,10,7.575,0.7000000000000001,68.08819897257497,1.1243846633401093,74.42,-22,NA
2020-04-19,20,13.955555555555556,5.045833333333333,57.50802412080974,1.0704855469346466,57.13,-27,NA
2020-04-20,0,14.89375,5.229166666666667,57.220103423008176,1.0203805586871926,66.5,-38,14
2020-04-21,34,16.0625,2.591666666666667,43.4697531288605,0.9744065330458537,69.85,-41,14
2020-04-22,-1,14.906597222222222,7.923958333333333,66.44946043540737,0.9327573501716311,63.25,-41,17
2020-04-23,48,15.743840579710145,11.793840579710144,83.2645412870955,0.8955049915049355,74.48,-40,16
2020-04-24,16,15.664166666666667,11.417916666666667,77.35796222546276,0.8626237432332955,83.14,-36,18
2020-04-25,2,13.95875,8.590833333333334,74.01836204552713,0.834014658349447,76.62,-16,NA
2020-04-26,0,14.020833333333334,6.175,66.49333185153995,0.8095281647372083,70.42,-30,NA
2020-04-27,1,17.170833333333334,9.329166666666666,61.30859438221449,0.7889835078532557,74.42,-39,14
2020-04-28,16,17.756521739130434,13.282608695652174,76.67871361078511,0.7721844025355198,76.59,-44,11
2020-04-29,8,15.3,5.533333333333333,53.8243016261714,0.7589307664726065,77.64,-42,16
2020-04-30,17,16.683333333333334,5.895833333333333,52.47107622662183,0.7490267085757801,76.54,-41,15
2020-05-01,12,20.516666666666666,10.629166666666666,55.686328804315004,0.7422850871323727,99.07,-35,14
2020-05-02,15,22.133333333333333,15.279166666666667,66.82458201829205,0.7385289998893857,87.85,-25,NA
2020-05-03,3,20.083333333333332,10.092708333333333,54.15574471946666,0.7375905910021818,73.91,-27,NA
2020-05-04,7,15.622569444444444,11.265104166666667,76.54763640055997,0.739307614399929,77.16,-39,15
2020-05-05,10,15.771180555555555,7.837152777777778,66.16344511329284,0.7435183079165736,84.21,-39,13
2020-05-06,6,14.716666666666667,5.483333333333333,56.78619595645591,0.7500552995942218,90.61,-37,13
2020-05-07,11,11.535833333333333,7.304166666666666,76.72673492719032,0.7587394423264132,90.58,-36,16
2020-05-08,12,12.254861111111111,5.615625,69.92545974134063,0.7693745836900084,120.5,-29,12
2020-05-09,4,10.704166666666667,1.6708333333333334,57.48322759103836,0.7817442458704887,99.89,-17,NA
2020-05-10,4,11.091666666666667,1.3333333333333333,54.08727851053804,0.7956109607732346,87.14,-18,NA
2020-05-11,1,7.854166666666667,1.2636363636363637,65.3202082181352,0.8107185778180687,NA,-36,14
2020-05-12,0,6.675,5.777777777777778,94.09678291401866,0.8267973105884187,NA,-37,15
2020-05-13,2,11.952083333333334,11.103472222222223,94.96497238592463,0.8435707496527011,90.47,-34,14
2020-05-14,3,21.58375,18.775,85.03664581999361,0.860763693780042,113.82,-35,13
2020-05-15,2,19.301041666666666,16.93611111111111,86.71412503664307,0.8781095436503217,122.05,-30,12
2020-05-16,0,18.840833333333332,16.172916666666666,85.43567505659486,0.8953561739983126,108.74,-20,NA
2020-05-17,0,17.803472222222222,13.249305555555555,77.0178419778886,0.9122695819598061,105.61,-18,NA
2020-05-18,2,15.616666666666667,9.8875,69.91126439254344,0.928635097919706,111.65,-30,9
2020-05-19,5,14.595833333333333,10.74375,79.44950247699975,0.9442564545459347,105.89,-33,10
2020-05-20,0,16.36777777777778,12.901666666666667,81.12432540190406,0.9589534821205022,111.36,-31,10
2020-05-21,4,17.760555555555555,15.398888888888889,86.75650682728926,0.9725595717762736,116.95,-34,12
2020-05-22,7,19.981666666666666,16.314305555555556,81.34291350099886,0.9849202229574606,150.68,-29,9
2020-05-23,0,20.258333333333333,15.241666666666667,74.03978136330561,0.9958938442462003,136.52,-11,NA
