date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-10.180555555555555,-15.577083333333334,65.36455015799608,NA,149.97,-1,0
2020-02-16,0,-7.170833333333333,-13.975,60.815968153287116,NA,115.7,0,-1
2020-02-17,0,-5.570833333333334,-12.5625,58.4181346105955,NA,102.01,-1,2
2020-02-18,0,-4.150138888888889,-7.283541666666666,79.7278708301379,NA,94.23,1,0
2020-02-19,0,-14.804166666666667,-21.1625,59.20058631431533,NA,96.77,2,1
2020-02-20,0,-17.15833333333333,-23.454166666666666,59.63002082354194,NA,109.85,1,0
2020-02-21,0,-9.8375,-17.425,55.52332306727673,NA,148.85,-5,2
2020-02-22,0,-2.1375,-6.8,72.80510473191885,NA,159.47,1,-2
2020-02-23,0,1.1666666666666667,-3.825,71.80199355842846,NA,109.98,4,-2
2020-02-24,0,0.08750000000000001,-5.704166666666667,67.2245978678276,NA,93.12,2,0
2020-02-25,0,-0.8895833333333333,-7.054166666666666,64.20438672745202,NA,98.36,1,0
2020-02-26,0,-4.991666666666666,-11.291666666666666,62.05182313950596,NA,99.71,2,0
2020-02-27,0,-8.454166666666667,-14.975,60.015171027662625,NA,112.15,1,0
2020-02-28,0,-10.979166666666666,-18.304166666666667,57.94046156515221,NA,147.06,-3,1
2020-02-29,0,-8.516666666666667,-17.35,50.23383307042268,NA,152.41,1,-3
2020-03-01,0,-0.3874999999999999,-6.133333333333334,66.07425619370406,NA,108.88,-1,-2
2020-03-02,0,1.08125,-4.591666666666667,66.59611798842997,NA,98.5,3,0
2020-03-03,0,-2.021875,-5.6715277777777775,77.72481976551995,NA,102.46,-1,1
2020-03-04,0,-1.0833333333333333,-6.93125,65.89234550789877,NA,101.38,2,-1
2020-03-05,0,0.5380555555555555,-3.720138888888889,74.42019320215329,NA,108.33,2,0
2020-03-06,0,-2.4525,-8.549722222222222,64.9853272332438,NA,155.76,2,0
2020-03-07,0,-1.2208333333333334,-8.129166666666666,61.45797914347694,NA,158.76,3,-2
2020-03-08,0,5.908333333333333,-2.2333333333333334,56.80021120110381,NA,112.96,5,-2
2020-03-09,0,6.575,0.6604166666666667,67.50541739689471,NA,94.38,3,0
2020-03-10,0,-1.1958333333333333,-7.442361111111111,65.07749460430009,NA,99.82,1,0
2020-03-11,0,0.9956521739130435,-0.937536231884058,87.94086499199972,NA,95.35,2,0
2020-03-12,0,2.169375,1.4881944444444444,95.36370599619232,NA,96.78,1,1
2020-03-13,0,-0.0625,-6.440277777777778,63.2946369806829,NA,119.32,0,2
2020-03-14,0,-3.029166666666667,-9.1625,63.117391854005405,NA,114.57,-1,1
2020-03-15,0,-2.7958333333333334,-8.454166666666667,66.15706174373948,NA,83.57,-1,2
2020-03-16,0,-1.6381944444444445,-4.8381944444444445,79.30584924581035,NA,79.04,-10,5
2020-03-17,0,-0.7395833333333333,-6.78125,65.94677931614997,NA,76.48,-17,9
2020-03-18,0,1.3854166666666667,-3.435416666666667,71.21216510970315,NA,69.26,-21,11
2020-03-19,0,1.5405555555555557,0.5301388888888889,93.26261411798887,NA,66.92,-25,14
2020-03-20,1,-1.1266666666666665,-6.156875,71.10698685255845,NA,71.77,-27,17
