date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-2.210144927536232,-9.210144927536232,59.36779676792808,NA,134.84,3,NA
2020-02-16,0,1.6527777777777777,-2.5416666666666665,76.37127976031302,NA,131.17,3,NA
2020-02-17,0,4.298611111111111,0.25,75.40004636204884,NA,127.55,-12,5
2020-02-18,0,3.4375,-1,75.25799223480007,NA,111.25,2,0
2020-02-19,0,-0.5,-6.215277777777778,67.25502770939197,NA,113.38,4,-1
2020-02-20,0,-3.25,-12.20138888888889,51.60557625440565,NA,123.29,2,0
2020-02-21,0,-3.6666666666666665,-13.17361111111111,51.45683509318473,NA,147.18,19,-2
2020-02-22,0,2.826388888888889,-9.229166666666666,42.3855420159582,NA,140.04,5,NA
2020-02-23,0,7.597222222222222,-3.701388888888889,45.53287397280937,NA,114.27,6,NA
2020-02-24,0,7.291666666666667,3.513888888888889,79.55105742452562,NA,110.01,8,0
2020-02-25,0,2.4305555555555554,0.8472222222222222,89.53534048859954,NA,109.86,-1,2
2020-02-26,0,0.6805555555555556,-3.0416666666666665,78.13279420671334,NA,108.62,-1,1
2020-02-27,0,0.29166666666666663,-6.541666666666667,61.49832546649591,NA,130.23,1,-1
2020-02-28,0,1.7753623188405798,-5.028985507246377,61.519242041763164,NA,161.69,17,-3
2020-02-29,0,0.638888888888889,-5.138888888888889,67.45395200660485,NA,138.01,4,NA
2020-03-01,0,10.194444444444445,0.375,52.139024630391496,NA,134.34,6,NA
2020-03-02,0,8.222222222222221,0.9305555555555556,61.538148674126134,NA,119.77,4,1
2020-03-03,0,7.305555555555555,-2.75,55.64250733270455,NA,113.23,0,-1
2020-03-04,0,8.305555555555555,-4.138888888888888,43.18395287553331,NA,133.25,1,-3
2020-03-05,0,8.027777777777779,-4.986111111111111,44.47253340020398,NA,139.2,2,-1
2020-03-06,0,6.396825396825397,-7.396825396825397,40.39528857860225,NA,178.59,17,-2
2020-03-07,0,7.333333333333333,-10.833333333333334,28.682708222988538,NA,157.63,5,NA
2020-03-08,0,12.75,-7.041666666666667,28.573993056506026,NA,138.95,-1,NA
2020-03-09,0,13.13888888888889,3.1666666666666665,61.33024043992299,NA,123.39,7,1
2020-03-10,0,5.078431372549019,3.127450980392157,87.37957689800645,NA,131.02,-1,0
2020-03-11,0,NA,NA,NA,NA,125.32,0,-2
2020-03-12,0,NA,NA,NA,NA,138.95,0,0
2020-03-13,0,NA,NA,NA,NA,199.06,6,1
2020-03-14,0,NA,NA,NA,NA,157.73,-6,NA
2020-03-15,0,NA,NA,NA,NA,135.18,2,NA
2020-03-16,0,NA,NA,NA,NA,113.28,-2,4
2020-03-17,0,NA,NA,NA,NA,114.57,-10,5
2020-03-18,0,NA,NA,NA,NA,106.44,-12,6
2020-03-19,0,NA,NA,NA,NA,106.19,-17,8
2020-03-20,0,2,-3.083333333333333,69.50044522933928,NA,128.1,-6,NA
2020-03-21,0,2.5,-5.388888888888889,57.79570300419846,NA,122.2,-8,NA
2020-03-22,0,0.7222222222222222,-2.5416666666666665,79.98770370748849,NA,78.39,-19,NA
2020-03-23,0,2.196969696969697,1.0757575757575757,93.06577347823014,NA,99.85,-19,10
2020-03-24,0,4.305555555555555,2.4583333333333335,88.218256257404,NA,76.07,-30,13
2020-03-25,0,8,5.041666666666667,83.92538568792253,NA,77.11,-31,12
2020-03-26,0,11.319444444444445,7.430555555555555,77.60480668915926,NA,85.58,-30,13
2020-03-27,0,11.708333333333334,10.180555555555555,90.63226394454152,NA,79.68,-21,NA
2020-03-28,0,16.916666666666668,14.305555555555555,86.2763426239272,NA,78.3,-28,NA
2020-03-29,0,13.458333333333334,-1.0416666666666667,41.96011521386144,NA,68.73,-26,NA
2020-03-30,0,11.791666666666666,-5.5,33.219441980588144,NA,78.69,-24,NA
2020-03-31,0,12.041666666666666,-1.2638888888888888,42.25147702116386,NA,78.64,-33,12
2020-04-01,0,8.944444444444445,0.2361111111111111,58.151505055443316,NA,83.45,-34,11
2020-04-02,0,14.115942028985508,0.9855072463768116,41.88616458162282,NA,71.8,-32,NA
2020-04-03,0,13.819444444444445,5.625,59.09466162451681,NA,88.85,-20,NA
2020-04-04,0,2.0833333333333335,-0.2638888888888889,85.68623970226493,NA,79.58,-20,NA
2020-04-05,0,7.652777777777778,0.3611111111111111,65.74938311804019,NA,64.27,-22,NA
2020-04-06,0,13.01388888888889,6.486111111111112,66.17219236437043,NA,74.48,-25,NA
2020-04-07,0,20.51388888888889,12.48611111111111,61.319665806678415,NA,79.34,-34,NA
2020-04-08,0,21.51388888888889,11.305555555555555,58.791775454193456,NA,75.92,-32,13
2020-04-09,0,10.36111111111111,-3.5277777777777777,41.23770966779425,NA,81.32,-33,NA
2020-04-10,0,5.375,-8.23611111111111,39.78460735689949,NA,90.29,-36,NA
2020-04-11,0,11.416666666666666,-0.5138888888888888,45.4878756853395,NA,72.15,-29,NA
2020-04-12,0,15.722222222222223,7.791666666666667,60.270805280940884,NA,55.1,-37,NA
2020-04-13,0,3.8472222222222223,-4.097222222222222,61.24841900919484,NA,81.27,-27,NA
2020-04-14,0,4.125,-8.958333333333334,41.15979249851457,NA,85.68,-31,13
2020-04-15,0,4.675438596491228,-7.7894736842105265,44.13367667057344,NA,86.57,-30,11
2020-04-16,0,3.263888888888889,-3.125,65.90438102435543,NA,80.53,-32,NA
2020-04-17,0,2.8333333333333335,1.1527777777777777,89.3431713423281,NA,97.72,-21,NA
2020-04-18,0,6.430555555555555,-1.5,63.690562640336054,NA,93.76,-20,NA
2020-04-19,0,12.402777777777779,-1,42.409131772840624,NA,70.52,-24,NA
2020-04-20,0,12.289855072463768,-0.7101449275362319,42.631162961405586,NA,90.73,-24,NA
2020-04-21,3,12.88888888888889,-2.361111111111111,37.287112921443295,0.7398591275654616,94.85,-32,11
2020-04-22,1,15.26086956521739,-0.2173913043478261,36.437483407012934,0.7394341006603972,89.2,-33,10
2020-04-23,0,15.097222222222221,10.75,78.35448875992779,0.7394993853916618,91.28,-33,NA
2020-04-24,0,14.694444444444445,10.26388888888889,76.38918112197757,0.740121521934381,100.84,-23,NA
2020-04-25,0,11.13888888888889,9.055555555555555,87.7168106239332,0.7413665154054311,96.18,-26,NA
2020-04-26,1,11.597222222222221,2.1805555555555554,59.416539493671294,0.7432970493449482,87.07,-25,NA
2020-04-27,0,15.819444444444445,3.611111111111111,45.07701068399009,0.7459701893084321,94.8,-25,NA
2020-04-28,0,18.79861111111111,10.944444444444445,61.696931384648636,0.7494359332833211,94.65,-34,5
2020-04-29,0,12.041666666666666,7.569444444444445,75.02933241455806,0.753736783528716,91.53,-32,12
2020-04-30,0,14.027777777777779,2.805555555555556,50.885582345800415,0.7589083101084663,115.06,-33,NA
2020-05-01,0,16.48611111111111,3.0833333333333335,44.0119407735924,0.7649805062229259,130.33,-18,NA
2020-05-02,0,21.59722222222222,7.722222222222222,42.99969298838313,0.7719796344615087,127.9,-20,NA
2020-05-03,0,19.76388888888889,3.0972222222222223,35.258415160690376,0.7799302387442637,100.64,-17,NA
2020-05-04,0,13.805555555555555,4.708333333333333,56.49880346455171,0.788857034774314,107.73,-21,8
2020-05-05,-1,11.159420289855072,8.173913043478262,83.23695446123621,0.79878646753121485,111.25,-29,10
2020-05-06,1,10.76388888888889,5.111111111111111,72.55207566496298,0.8097478119379442,125.17,-27,8
