date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,1.8225694444444445,NA,NA,NA,163.31,5,NA
2020-02-16,0,9.511111111111111,NA,NA,NA,115.47,4,NA
2020-02-17,0,7.971527777777777,NA,NA,NA,116.47,-13,NA
2020-02-18,0,13.470138888888888,NA,NA,NA,100.34,2,2
2020-02-19,0,6.330208333333333,NA,NA,NA,101.86,5,-2
2020-02-20,0,4.856944444444444,NA,NA,NA,105.46,2,2
2020-02-21,0,0.4236111111111111,NA,NA,NA,137.18,5,1
2020-02-22,0,0.18611111111111103,NA,NA,NA,145.93,1,NA
2020-02-23,0,5.3812500000000005,NA,NA,NA,107.04,5,NA
2020-02-24,0,8.921527777777778,NA,NA,NA,101.88,3,3
2020-02-25,0,9.894444444444444,NA,NA,NA,114.01,4,-1
2020-02-26,0,5.84375,NA,NA,NA,105.71,3,-2
2020-02-27,0,2.1131944444444444,NA,NA,NA,121.05,-1,-2
2020-02-28,0,6.40625,NA,NA,NA,160.7,2,-2
2020-02-29,0,6.9125,NA,NA,NA,172.61,6,NA
2020-03-01,0,10.264236111111112,NA,NA,NA,129.95,5,NA
2020-03-02,0,16.57673611111111,NA,NA,NA,106.78,5,0
2020-03-03,0,17.246180555555554,NA,NA,NA,115.02,3,-2
2020-03-04,0,11.706597222222221,NA,NA,NA,112.56,4,-2
2020-03-05,0,11.819791666666667,NA,NA,NA,130.57,5,-3
2020-03-06,0,10.305902777777778,NA,NA,NA,167.03,-3,-1
2020-03-07,0,4.340972222222222,NA,NA,NA,175.16,2,NA
2020-03-08,0,7.9534722222222225,NA,NA,NA,132.48,1,NA
2020-03-09,0,15.066319444444444,NA,NA,NA,115.47,-9,2
2020-03-10,0,17.005208333333332,NA,NA,NA,121.89,-8,-1
2020-03-11,0,10.313888888888888,NA,NA,NA,123.45,-9,2
2020-03-12,0,18.188194444444445,NA,NA,NA,137.06,-11,0
2020-03-13,0,16.135416666666668,NA,NA,NA,158.26,-12,3
2020-03-14,0,12.691319444444444,NA,NA,NA,152.85,6,NA
2020-03-15,0,8.430902777777778,NA,NA,NA,120.58,0,NA
2020-03-16,0,7.163541666666666,NA,NA,NA,116.43,-10,5
2020-03-17,0,11.989236111111111,NA,NA,NA,114.7,-11,3
2020-03-18,0,15.93611111111111,NA,NA,NA,107.57,-11,5
2020-03-19,0,20.705208333333335,NA,NA,NA,109.26,-13,5
2020-03-20,1,20.731944444444444,NA,NA,NA,120.75,-17,NA
2020-03-21,0,9.110069444444445,NA,NA,NA,105.26,-8,NA
2020-03-22,2,7.581597222222222,NA,NA,NA,71.48,-27,NA
2020-03-23,0,12.86875,NA,NA,NA,76.98,-18,NA
2020-03-24,0,16.16076388888889,NA,NA,NA,76.57,-25,NA
2020-03-25,1,13.153819444444444,NA,NA,NA,78.28,-28,NA
2020-03-26,3,16.913888888888888,NA,NA,NA,85.94,-30,NA
2020-03-27,2,23.116319444444443,NA,NA,NA,99.02,-28,NA
2020-03-28,2,23.879166666666666,NA,NA,NA,80.7,-14,NA
2020-03-29,2,18.556944444444444,NA,NA,NA,71.12,-22,NA
2020-03-30,0,11.504513888888889,NA,NA,NA,73.81,-26,NA
2020-03-31,1,11.273958333333333,NA,NA,NA,73.23,-29,NA
2020-04-01,1,9.833333333333334,NA,NA,0.9015314248833295,81.11,-29,NA
2020-04-02,3,12.53923611111111,NA,NA,0.9011507693963612,85.82,-31,NA
2020-04-03,1,14.703125,NA,NA,0.9012078449321775,91.06,-32,NA
2020-04-04,1,15.403819444444444,NA,NA,0.9017317643548155,73.41,-24,NA
2020-04-05,0,17.168055555555554,NA,NA,0.9027455046387552,65.77,-35,NA
2020-04-06,3,17.804861111111112,NA,NA,0.9042665679119813,80.55,-30,NA
2020-04-07,1,18.85798611111111,NA,NA,0.9063074987086001,78.35,-31,NA
2020-04-08,0,21.948611111111113,NA,NA,0.9088760977196954,83.14,-31,NA
2020-04-09,2,18.906597222222224,NA,NA,0.9119752242881528,84.3,-33,NA
2020-04-10,2,11.244097222222223,NA,NA,0.9156021511864562,98.07,-45,NA
2020-04-11,2,9.405555555555555,NA,NA,0.9197475170406503,91.16,-33,NA
2020-04-12,3,13.401041666666666,NA,NA,0.9243940043513301,47.95,-46,NA
2020-04-13,1,10.912847222222222,NA,NA,0.9295149441844645,82.63,-30,NA
2020-04-14,0,6.051041666666666,NA,NA,0.9350731016606305,82.88,-29,NA
2020-04-15,1,5.8649305555555555,NA,NA,0.941019918802067,89.99,-27,NA
2020-04-16,2,9.162152777777777,NA,NA,0.9472954740247075,94.76,-30,NA
2020-04-17,0,14.991319444444445,NA,NA,0.95382935560654325,105.82,-31,NA
2020-04-18,2,11.219444444444445,NA,NA,0.9605425420445457,97.18,-13,NA
2020-04-19,-1,11.281944444444445,NA,NA,0.9673502469494294,64.12,-29,NA
2020-04-20,0,15.305902777777778,NA,NA,0.9741655408365579,99.36,-26,NA
2020-04-21,1,17.39375,NA,NA,0.9809034334589309,96.36,-28,NA
2020-04-22,0,12.513194444444444,NA,NA,0.9874850144779065,94.01,-28,NA
2020-04-23,1,15.35798611111111,NA,NA,0.9938412262287383,98.91,-30,NA
2020-04-24,0,15.323611111111111,NA,NA,0.9999158862820505,111.62,-30,NA
2020-04-25,1,16.15659722222222,NA,NA,1.005667680975261,93.07,-16,NA
2020-04-26,0,13.956944444444444,NA,NA,1.0110709934305695,88.72,-22,NA
2020-04-27,0,13.411458333333334,NA,NA,1.0161155836214197,108.07,-27,NA
2020-04-28,1,17.428472222222222,NA,NA,1.0208052769713452,96.51,-29,NA
2020-04-29,0,17.78125,NA,NA,1.0251559210182408,106.42,-29,NA
2020-04-30,1,15.425,NA,NA,1.0291929253301817,110.27,-28,NA
2020-05-01,1,15.192013888888889,NA,NA,1.0329487061251328,128.5,-30,NA
2020-05-02,1,18.885416666666668,NA,NA,1.036460319687103,130.81,-19,NA
2020-05-03,2,21.062152777777776,NA,NA,1.0397674985275862,100.09,-20,NA
2020-05-04,1,22.327083333333334,NA,NA,1.0429112146999615,108.96,-25,NA
2020-05-05,0,21.25034722222222,NA,NA,1.0459327997463934,106.5,-27,NA
