date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.273913043478261,-12.895652173913044,69.65742705206601,NA,134.11,6,-1
2020-02-16,0,-3.6125,-7.7,76.44336106122554,NA,108.78,3,-2
2020-02-17,0,-1.1942028985507247,-4.57536231884058,78.60611391315916,NA,108.56,-21,5
2020-02-18,0,0.23055555555555554,-2.752083333333333,81.76579640150167,NA,108.64,2,0
2020-02-19,0,-8.19513888888889,-14.75763888888889,60.66383511193745,NA,106.46,1,0
2020-02-20,0,-12.45138888888889,-19.868055555555557,54.86031912103245,NA,112.13,1,0
2020-02-21,0,-8.461594202898551,-15.12536231884058,59.27037174316143,NA,134.11,3,-1
2020-02-22,0,0.14930555555555552,-6.477083333333334,61.541808126953526,NA,150.49,9,-3
2020-02-23,0,3.571527777777778,-2.2694444444444444,66.62918523173495,NA,109.79,4,-2
2020-02-24,0,2.1638888888888888,-2.2222222222222223,73.43158559500064,NA,103.97,2,0
2020-02-25,0,0.9701388888888889,-2.14375,80.03957895942845,NA,102.87,0,2
2020-02-26,0,-2.3444444444444446,-6.343055555555556,74.60535745705273,NA,104.65,-1,1
2020-02-27,0,-4.183333333333334,-10.641666666666666,61.351203117732204,NA,114.52,2,0
2020-02-28,0,-6.997826086956522,-13.939130434782609,58.94845449725728,NA,138.9,1,-1
2020-02-29,0,-5.543055555555555,-14.845833333333333,49.54431109068949,NA,148.42,8,-3
2020-03-01,0,3.425,-2.7527777777777778,65.20768036718387,NA,110.55,4,-3
2020-03-02,0,2.9472222222222224,-0.8736111111111111,76.47699235717066,NA,109.28,2,0
2020-03-03,0,0.7055555555555556,-1.6583333333333334,85.2152870783872,NA,110.48,3,0
2020-03-04,0,2.8222222222222224,-2.536111111111111,70.07393849785802,NA,111.43,2,-1
2020-03-05,0,1.8208333333333333,-2.658333333333333,73.85270329316683,NA,112.42,3,0
2020-03-06,0,0.7361111111111112,-4.368055555555555,70.06824511460498,NA,140.25,3,-2
2020-03-07,0,-0.036805555555555466,-5.125,72.60740271505628,NA,160.07,10,-3
2020-03-08,0,7.673611111111111,-1.4986111111111111,53.983597337638386,NA,113.95,2,-2
2020-03-09,0,9.99861111111111,4.4222222222222225,71.77052048988418,NA,108.89,0,1
2020-03-10,0,5.358333333333333,1.3138888888888889,78.86810541008865,NA,115.64,1,0
2020-03-11,1,3.1958333333333333,0.9930555555555556,85.97667839393269,NA,111.72,1,0
2020-03-12,1,5.865277777777778,3.8249999999999997,87.88335653278776,NA,107.11,0,1
2020-03-13,0,4.576388888888889,-2.967361111111111,60.44335092859437,NA,120.68,0,0
2020-03-14,0,1.1722222222222223,-5.229166666666667,63.30186329396627,NA,113.07,4,3
2020-03-15,0,0.7993055555555555,-4.465972222222222,69.33874205125821,NA,84.81,-6,3
2020-03-16,0,-0.386111111111111,-2.5208333333333335,86.24841606445555,NA,88.74,-20,9
2020-03-17,0,3.042028985507246,-3.4782608695652173,66.51641451393635,NA,88.16,-29,12
2020-03-18,2,2.8312500000000003,-2.165277777777778,71.10822052467299,NA,78.42,-33,16
2020-03-19,2,5.238541666666666,4.758333333333333,96.75871679092641,NA,76.04,-35,17
2020-03-20,0,3.7618055555555556,0.9493055555555555,83.1582837228899,NA,86.03,-36,17
2020-03-21,5,-1.9319444444444445,-7.736111111111112,65.18153634899144,NA,66.75,-22,13
2020-03-22,1,-2.0375,-5.711111111111111,76.95497001161297,NA,43.05,-37,13
2020-03-23,0,0.40530303030303033,-1.0257575757575756,90.86421733720147,NA,56.46,-51,23
2020-03-24,2,4.272222222222222,1.3958333333333333,82.96312630320305,NA,62.05,-51,23
2020-03-25,5,4.423611111111111,1.7722222222222221,85.40674663365097,NA,68.63,-52,22
2020-03-26,0,6.936111111111111,5.206944444444445,89.10208581127273,NA,64.61,-51,24
2020-03-27,26,3.8430555555555554,3.0791666666666666,94.91019312390365,NA,71.27,-51,24
2020-03-28,2,5.881944444444445,5.638888888888889,98.35955371464894,NA,62.16,-34,16
2020-03-29,5,8.025,5.791666666666667,86.28251061429495,NA,49.96,-38,13
2020-03-30,0,5.652777777777778,1.1694444444444445,73.83861393775825,NA,64.74,-51,21
2020-03-31,11,2.5416666666666665,0.1,84.24884898159219,NA,66.14,-52,23
2020-04-01,6,4.759722222222222,1.225,79.06089639787277,1.09799424161105,68.35,-51,22
2020-04-02,12,5.629166666666666,0.8111111111111111,76.15450862458142,1.099652521991867,73.31,-51,23
2020-04-03,21,10.025694444444444,3.120833333333333,64.43551321601427,1.1018307363050601,82.47,-51,23
2020-04-04,20,5.918055555555555,1.4416666666666667,75.66532591105636,1.1045277509923517,70.23,-33,15
2020-04-05,11,4.826388888888889,-0.6124999999999999,73.43556860693778,1.1077181493571686,59.72,-37,11
2020-04-06,11,5.779166666666667,0.02361111111111112,70.54600462400649,1.1113516706553603,66.05,-51,21
2020-04-07,12,13.82638888888889,9.070833333333333,75.31870397030491,1.1153534851017055,75.14,-52,22
2020-04-08,24,12.929166666666667,10.593055555555555,86.84456453421127,1.1196252970165945,73.58,-52,23
2020-04-09,18,5.6194444444444445,-1.8069444444444445,61.10835532325381,1.124047277380833,74.63,-52,23
2020-04-10,8,3.1013888888888888,-5.1722222222222225,56.28059542078794,1.1284808341143182,86.79,-58,25
2020-04-11,14,7.8875,-0.8472222222222222,58.5694392762635,1.132772226733903,80.79,-37,14
2020-04-12,15,10.679166666666667,7.916666666666667,84.43434648534276,1.1367570159620153,48.07,-47,12
2020-04-13,10,3.208333333333333,-1.3805555555555555,75.29983077965811,1.1402653042539808,71.62,-51,22
2020-04-14,12,0.04513888888888885,-7.563194444444444,57.9964553119141,1.1431276684672789,75.59,-51,23
2020-04-15,7,-1.011111111111111,-8.434722222222222,59.2617647147302,1.1451816129915182,80.59,-51,23
2020-04-16,15,0.5888888888888889,-9.404166666666667,50.28281060897158,1.1462782872920987,85,-50,23
2020-04-17,27,3,-3.125,66.96265160960107,1.146289127895187,89.52,-50,25
2020-04-18,34,5.625,-0.20606060606060606,69.84950008805365,1.1451120175725749,94.97,-31,13
2020-04-19,0,10.286111111111111,0.45208333333333334,52.40161793975343,1.1426765216555084,77.33,-34,10
2020-04-20,11,6.623611111111111,-2.3743055555555554,60.73778408498984,1.1389477779929573,85.95,-49,20
2020-04-21,17,5.263888888888889,-6.468055555555556,46.431384257020454,1.1339286903775367,87.68,-50,21
2020-04-22,31,4.445833333333334,-2.4763888888888888,62.43308792122517,1.1276602013450001,86.64,-50,22
2020-04-23,20,4.958333333333333,4.141666666666667,94.61377904234618,1.1202195832762811,91.33,-49,22
2020-04-24,40,5.426388888888889,3.8097222222222222,90.13065232114504,1.1117168619732518,104.21,-48,22
2020-04-25,43,5.611805555555556,1.38125,75.29530501767272,1.102289646621025,94.27,-30,15
2020-04-26,11,9.734722222222222,-1.1125,49.19516057109978,1.0920967603951461,87.13,-32,9
2020-04-27,25,8.104166666666666,2.598611111111111,71.42525392242509,1.0813111323102678,87.79,-48,21
2020-04-28,14,9.598611111111111,8.73611111111111,94.9276754552429,1.0701124203636292,90.54,-49,16
2020-04-29,36,10.661111111111111,10.144444444444444,96.66201928710191,1.0586797965154242,85.43,-50,23
2020-04-30,33,9.206944444444444,3.6680555555555556,72.35993414964321,1.047185250739723,100.07,-49,21
2020-05-01,45,9.1375,2.1013888888888888,66.90867589723838,1.035787682088337,123.49,-46,20
2020-05-02,27,16.043055555555554,6.655555555555556,56.323926370154325,1.024627955688427,116.61,-25,10
2020-05-03,45,17.319444444444443,2.8319444444444444,40.17345004474923,1.0138250277196683,94.94,-27,7
2020-05-04,52,6.293055555555555,0.2916666666666667,66.93212740361325,1.0034731820599008,96.41,-46,18
2020-05-05,12,6.165217391304347,-0.8427536231884059,61.80915012249428,0.9936403835864117,98.91,-47,21
2020-05-06,12,9.133333333333333,-3.5166666666666666,45.25812976659908,0.9843677310719086,112.64,-46,19
2020-05-07,43,12.45138888888889,-1.6069444444444445,41.84599609484022,0.9756699814439309,118.75,-46,19
2020-05-08,40,4.398611111111111,-5.620833333333334,51.628036392213104,0.9675371096431229,134.44,-45,20
2020-05-09,39,4.608333333333333,-6.308333333333334,53.920751644273224,0.9599368569338125,141.17,-20,9
2020-05-10,9,7.477777777777778,1.9847222222222223,72.62742135949607,0.9528181988341005,88.75,-28,9
2020-05-11,13,5.429166666666666,-0.4722222222222222,67.68311289180511,0.9461156278574852,NA,-46,18
2020-05-12,68,8.136111111111111,-2.2527777777777778,52.353877713495166,0.9397540959675551,NA,-45,18
2020-05-13,23,8.2375,-1.9048611111111111,55.130084657336454,0.9336544020693066,123.32,-46,18
2020-05-14,34,13.831944444444444,10.88888888888889,84.84871017464138,0.9277387511346895,114.7,-47,21
2020-05-15,40,17.940277777777776,13.83611111111111,81.16316699804129,0.9219361673964473,151.39,-44,17
2020-05-16,33,13.009722222222223,8.952777777777778,77.63778599086699,0.9161874284972326,144.19,-20,8
2020-05-17,23,11.556944444444444,9.984722222222222,90.80145621211702,0.9104492106937885,96.65,-28,10
