date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.255555555555556,NA,NA,NA,146.26,-4,-1
2020-02-16,0,11.255934343434344,NA,NA,NA,117.29,-2,-1
2020-02-17,0,12.225694444444445,NA,NA,NA,137.29,-42,8
2020-02-18,0,11.202430555555555,NA,NA,NA,111.46,-10,1
2020-02-19,0,8.736805555555556,NA,NA,NA,111.38,-10,1
2020-02-20,0,9.736805555555556,NA,NA,NA,118.88,-9,1
2020-02-21,0,11.055555555555555,NA,NA,NA,145.99,-11,1
2020-02-22,0,15.506944444444445,NA,NA,NA,145.85,-2,-1
2020-02-23,0,10.68923611111111,NA,NA,NA,126.09,1,-1
2020-02-24,0,11.175694444444444,NA,NA,NA,113.04,3,0
2020-02-25,0,11.376388888888888,NA,NA,NA,108.3,2,-1
2020-02-26,0,12.365625,NA,NA,NA,108.83,2,-2
2020-02-27,0,13.340277777777779,NA,NA,NA,115.39,3,-2
2020-02-28,0,14.565972222222223,NA,NA,NA,151.44,3,-2
2020-02-29,0,15.795486111111112,NA,NA,NA,145.4,3,-2
2020-03-01,0,10.74375,NA,NA,NA,121.83,2,-1
2020-03-02,0,11.016319444444445,NA,NA,NA,112.08,5,-1
2020-03-03,0,10.394097222222221,NA,NA,NA,112.56,6,-2
2020-03-04,0,12.559027777777779,NA,NA,NA,108.3,6,-2
2020-03-05,0,13.885511363636363,NA,NA,NA,119.75,6,-2
2020-03-06,0,12.636458333333334,NA,NA,NA,152.41,4,-1
2020-03-07,0,12.230902777777779,NA,NA,NA,140.63,2,-1
2020-03-08,0,10.311458333333334,NA,NA,NA,127.59,2,0
2020-03-09,0,11.92361111111111,NA,NA,NA,106.28,7,-1
2020-03-10,0,12.895138888888889,NA,NA,NA,105.22,6,-1
2020-03-11,0,13.970833333333333,NA,NA,NA,102.55,5,-1
2020-03-12,0,14.509027777777778,NA,NA,NA,111.55,3,-1
2020-03-13,0,14.617708333333333,NA,NA,NA,138,2,0
2020-03-14,0,13.28125,NA,NA,NA,119.47,1,2
2020-03-15,0,11.135069444444444,NA,NA,NA,93.12,-4,4
2020-03-16,0,7.677083333333333,NA,NA,NA,105.24,-7,6
2020-03-17,0,6.854166666666667,NA,NA,NA,99.74,-12,7
2020-03-18,0,7.8701704545454545,NA,NA,NA,106.15,-17,7
2020-03-19,0,10.042708333333334,NA,NA,NA,90.69,-26,10
2020-03-20,0,9.478125,NA,NA,NA,94.92,-33,13
2020-03-21,0,11.172569444444445,NA,NA,NA,76.74,-21,12
2020-03-22,0,11.50173611111111,NA,NA,NA,58.51,-25,10
2020-03-23,1,13.690277777777778,NA,NA,NA,66.82,-36,15
2020-03-24,0,11.784722222222221,NA,NA,NA,68.61,-38,15
2020-03-25,1,10.48125,NA,NA,NA,67.1,-39,16
2020-03-26,0,7.5569444444444445,NA,NA,NA,69.53,-39,15
2020-03-27,2,8.716666666666667,NA,NA,NA,77.95,-38,17
2020-03-28,3,9.630208333333334,NA,NA,NA,68.54,-25,13
2020-03-29,1,11.69548611111111,NA,NA,NA,58.5,-26,11
2020-03-30,1,11.957133838383838,NA,NA,NA,67.81,-37,14
2020-03-31,1,12.936111111111112,NA,NA,NA,70.96,-39,15
2020-04-01,0,12.956597222222221,NA,NA,NA,67.11,-40,14
2020-04-02,2,11.384375,NA,NA,0.9924404373468756,69.84,-40,15
2020-04-03,4,10.47673611111111,NA,NA,0.9877792273658039,77.99,-39,16
2020-04-04,0,11.012500000000001,NA,NA,0.9834117145607417,65.68,-27,13
2020-04-05,11,12.301736111111111,NA,NA,0.9794439383881004,49.82,-31,13
2020-04-06,2,8.708333333333334,NA,NA,0.9759652462335227,62.62,-41,18
2020-04-07,0,9.096875,NA,NA,0.9730466261889948,65.36,-40,16
2020-04-08,5,13.550347222222221,NA,NA,0.9707406100592995,67.5,-41,16
2020-04-09,6,12.37673611111111,NA,NA,0.9690824433588774,66.81,-43,17
2020-04-10,12,12.816319444444444,NA,NA,0.96809211442859,76.76,-45,19
2020-04-11,7,14.01701388888889,NA,NA,0.9677767943347181,68.67,-29,13
2020-04-12,6,13.555555555555555,NA,NA,0.9681332581259615,51.05,-31,12
2020-04-13,0,14.4125,NA,NA,0.9691499269721819,72.31,-40,16
2020-04-14,9,14.692708333333334,NA,NA,0.97080827739516,73.62,-40,15
2020-04-15,2,15.580934343434343,NA,NA,0.9730834939219766,77.23,-39,14
2020-04-16,3,17.053472222222222,NA,NA,0.975944379402819,79.15,-39,15
2020-04-17,3,15.012152777777779,NA,NA,0.9793526667610164,87.95,-40,17
2020-04-18,4,14.781597222222222,NA,NA,0.9832619815898013,80,-21,12
2020-04-19,4,14.67013888888889,NA,NA,0.9876167736108407,69.28,-23,10
2020-04-20,0,14.335763888888888,NA,NA,0.9923515575232016,78.92,-38,14
2020-04-21,2,14.815277777777778,NA,NA,0.9973907767725659,77.25,-38,14
2020-04-22,1,16.381944444444443,NA,NA,1.0026495302110638,79.45,-38,14
2020-04-23,7,20.644791666666666,NA,NA,1.008035290689662,85.11,-39,15
2020-04-24,2,21.010416666666668,NA,NA,1.0134506108160461,93.17,-39,15
2020-04-25,0,21.498958333333334,NA,NA,1.0187966726525652,87.07,-22,10
2020-04-26,1,21.01354166666667,NA,NA,1.0239774149246803,76.22,-22,9
2020-04-27,5,19.24652777777778,NA,NA,1.0289038823164005,84.29,-36,13
2020-04-28,8,21.247916666666665,NA,NA,1.0334984015325772,84.8,-37,6
2020-04-29,2,22.183333333333334,NA,NA,1.0376982056284563,88.25,-37,13
2020-04-30,7,19.54548611111111,NA,NA,1.041458199603734,93.82,-38,12
2020-05-01,9,18.280555555555555,NA,NA,1.04475267419328,108.4,-36,13
2020-05-02,6,17.351041666666667,NA,NA,1.0475759106953957,98.96,-18,8
2020-05-03,0,17.389583333333334,NA,NA,1.0499417531235122,87.75,-16,8
2020-05-04,3,15.800694444444444,NA,NA,1.0518823319240092,96.64,-33,11
2020-05-05,4,17.957291666666666,NA,NA,1.0534461892761233,96.02,-35,11
2020-05-06,5,18.175694444444446,NA,NA,1.05469607230998,98.3,-35,11
2020-05-07,3,19.25347222222222,NA,NA,1.0557066302926248,107.67,-35,11
2020-05-08,2,21.623958333333334,NA,NA,1.0565621864202444,117.92,-34,12
2020-05-09,6,23.770833333333332,NA,NA,1.057354671467458,116.59,-16,6
2020-05-10,0,21.370486111111113,NA,NA,1.0581817242792273,94.52,-11,4
2020-05-11,10,18.10763888888889,NA,NA,1.0591449000862776,NA,-32,11
2020-05-12,4,18.724305555555556,NA,NA,1.0603478935158686,NA,-33,11
2020-05-13,3,15.130902777777777,NA,NA,1.0618946826250393,104.82,-33,11
2020-05-14,9,16.84409722222222,NA,NA,1.0638875284636669,108.36,-34,11
2020-05-15,0,17.879513888888887,NA,NA,1.0664248101333555,139.2,-33,12
2020-05-16,11,18.77777777777778,NA,NA,1.0695987240008493,125.44,-14,6
2020-05-17,0,20.444444444444443,NA,NA,1.0734929157514257,105.56,-13,7
2020-05-18,16,17.052777777777777,NA,NA,1.0781801391149566,108.09,-32,11
