date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.055555555555555,-13.055555555555555,71.05377074128069,NA,128.33,-7,NA
2020-02-16,0,1.875,-4,66.17107034192266,NA,107.43,2,NA
2020-02-17,0,-0.18055555555555558,-3.4305555555555554,81.51038795487574,NA,118.4,-14,4
2020-02-18,0,3.9444444444444446,1.4444444444444444,84.90766094800831,NA,116.95,3,0
2020-02-19,0,-0.75,-3.8194444444444446,81.17261284256368,NA,122.8,2,-1
2020-02-20,0,-3.555555555555556,-9.402777777777779,64.80191097935837,NA,118.08,2,1
2020-02-21,0,-5,-11.583333333333334,62.8895047113211,NA,133.94,3,-1
2020-02-22,0,0.06944444444444442,-11.63888888888889,42.98729212999435,NA,141.93,6,NA
2020-02-23,0,2.6805555555555554,-7.958333333333333,46.443070011039595,NA,104.44,10,NA
2020-02-24,0,2.6527777777777777,-1.5,76.309412504712,NA,101.9,1,1
2020-02-25,0,2.6944444444444446,2.6944444444444446,100,NA,112.39,1,0
2020-02-26,0,-0.05555555555555556,-0.05555555555555556,100,NA,101.65,2,1
2020-02-27,0,-3.111111111111111,-7.041666666666667,76.0956410436081,NA,111.74,-11,5
2020-02-28,0,-3.9305555555555554,-7.777777777777778,75.89896940066347,NA,138.54,0,-1
2020-02-29,0,-4.805555555555555,-10.958333333333334,64.04482993379746,NA,135.03,-3,NA
2020-03-01,0,0.625,-7.125,57.7025476337226,NA,100.97,4,NA
2020-03-02,0,9.13888888888889,4.416666666666667,75.92583383757598,NA,101.65,0,0
2020-03-03,0,7.819444444444445,5.111111111111111,85.92157032462529,NA,116.59,2,0
2020-03-04,0,4.763888888888889,-2.0277777777777777,62.472293951178706,NA,121.75,2,0
2020-03-05,0,3.3472222222222223,-4.375,63.700721110145274,NA,121.75,0,0
2020-03-06,0,2.2083333333333335,-1.2083333333333333,79.86510030947407,NA,144.43,-1,0
2020-03-07,0,1.6388888888888888,-5.666666666666667,61.6800230802384,NA,143.66,-2,NA
2020-03-08,0,6.166666666666667,-7.652777777777778,41.85662965767524,NA,97.46,11,NA
2020-03-09,0,11.88888888888889,-3.0972222222222223,35.63955802113563,NA,110.57,1,0
2020-03-10,0,9.944444444444445,6.708333333333333,82.24144430643122,NA,115.01,1,0
2020-03-11,0,4.458333333333333,3.013888888888889,91.23599996551826,NA,106.01,2,0
