date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,1.7958333333333334,-7.375,52.73267058442743,NA,159.31,1,-1
2020-02-16,0,4.710416666666667,-4.570833333333333,52.5712713000232,NA,122.7,0,0
2020-02-17,0,4.395833333333333,-5.358333333333333,52.88437352204214,NA,124.62,-20,3
2020-02-18,0,-0.19305555555555554,-11.171527777777778,46.521884144551805,NA,111.81,3,-1
2020-02-19,0,-1.1604166666666667,-12.302083333333334,47.172188494704926,NA,115.48,3,0
2020-02-20,0,-1.7833333333333334,-18.775,28.265958902700522,NA,126.16,3,-1
2020-02-21,0,-1.3270833333333334,-15.775,37.67925249777233,NA,145.61,3,-1
2020-02-22,0,2.064583333333333,-10.3875,42.651517364653834,NA,147.86,1,0
2020-02-23,0,5.1625,-2.1041666666666665,61.925057802110054,NA,103.82,0,0
2020-02-24,0,2.08125,-8.1125,56.175932507459486,NA,115.37,3,-1
2020-02-25,0,-1.7895833333333333,-13.9,43.38888146965401,NA,115.25,3,-1
2020-02-26,0,-3.8604166666666666,-17.48125,36.622204206069824,NA,118.57,3,-1
2020-02-27,0,-0.9895833333333334,-14.545833333333334,39.16879073621282,NA,124.89,3,-2
2020-02-28,0,3.45625,-11.575,35.37583890026534,NA,153.99,3,-2
2020-02-29,0,4.8875,-9.864583333333334,36.57419662746191,NA,158.69,3,-3
2020-03-01,0,7.860416666666667,-8.520833333333334,31.642056263817974,NA,120.81,2,-1
2020-03-02,0,5.7375,-3.342361111111111,55.06606455036692,NA,123.38,5,-2
2020-03-03,0,3.2489583333333334,-7.113541666666666,50.51732770163087,NA,131.67,3,-2
2020-03-04,0,5.870833333333334,-7.741666666666667,40.699336643430584,NA,122.03,3,-2
2020-03-05,0,6.4125,-9.69375,34.906170667757216,NA,130.31,3,-2
2020-03-06,0,8.191666666666666,-9.539583333333333,30.19538686728339,NA,158.41,3,-2
2020-03-07,0,11.825,-6.795833333333333,27.614848442782904,NA,174.56,4,-2
2020-03-08,0,13.175,-2.9520833333333334,33.13010642729498,NA,122.06,-1,0
2020-03-09,0,8.039583333333333,-1.6541666666666668,53.72798288938425,NA,128.42,4,-2
2020-03-10,0,9.122916666666667,-4.166666666666667,40.00980356951359,NA,121.57,2,-1
2020-03-11,0,7.563888888888889,-0.6340277777777777,57.65772270427044,NA,124.64,2,-1
2020-03-12,0,8.214583333333334,3.2395833333333335,75.25745406709234,NA,138.83,-8,0
2020-03-13,0,8.560416666666667,0.09166666666666667,57.46584477645602,NA,149.49,-11,2
2020-03-14,1,7.936111111111111,0.07638888888888888,59.17161108823384,NA,139.58,-4,0
2020-03-15,0,10.65,-2.0770833333333334,43.338298324383466,NA,118.97,-9,0
2020-03-16,0,9.735416666666666,-3.7666666666666666,41.41125886629186,NA,125.56,-17,2
2020-03-17,0,11.489583333333334,-5.725,31.95601774923865,NA,116.2,-24,5
2020-03-18,0,11.019444444444444,-6.035416666666666,30.61465467936907,NA,114.36,-28,8
2020-03-19,0,4.615972222222222,1.4541666666666666,81.62615848642889,NA,92.47,-32,12
2020-03-20,0,5.222916666666666,1.2989583333333332,76.94455394405094,NA,99.42,-31,12
2020-03-21,0,3.902083333333333,-0.9069444444444444,73.48231887738172,NA,93.24,-25,8
2020-03-22,3,6.602083333333333,0.4072916666666667,67.59220091471863,NA,79.66,-28,6
2020-03-23,1,5.971527777777777,-0.275,65.71185930058205,NA,82.13,-28,10
2020-03-24,0,6.633333333333333,1.238888888888889,71.88308101256655,NA,92.1,-33,10
2020-03-25,1,10.512500000000001,-1.5416666666666667,46.953227086724425,NA,90.83,-36,11
2020-03-26,0,10.2625,-6.520833333333333,33.0997096036587,NA,74.91,-41,14
2020-03-27,1,4.43712962962963,-2.923587962962963,63.68078821981633,NA,76.09,-43,18
2020-03-28,2,1.928125,-4.425,67.51991873290727,NA,76.43,-34,11
2020-03-29,3,4.783333333333333,-4.770833333333333,52.7147601460526,NA,62.44,-35,9
2020-03-30,0,7.741666666666667,0.24583333333333335,62.642009379298884,NA,70.07,-39,12
2020-03-31,2,9.585416666666667,-1.3395833333333333,50.453973698049026,NA,78.51,-42,12
2020-04-01,0,13.90625,-3.470833333333333,33.04878394793576,NA,80.46,-41,14
2020-04-02,3,9.860069444444445,-3.64375,45.33745067759621,0.7738881109028787,71.04,-43,16
2020-04-03,3,2.6416666666666666,-6.93125,54.08601587606725,0.7757793925096835,85.69,-42,15
2020-04-04,0,8.933333333333334,-6.641666666666667,35.615709298938086,0.7782100769339761,81.66,-34,10
2020-04-05,0,13.002083333333333,-5.010416666666667,29.2978573677649,0.7811869144700453,68.13,-33,7
2020-04-06,5,14.543750000000001,-6.95625,24.138345751601406,0.7847052790775709,82.37,-39,12
2020-04-07,2,13.279166666666667,-9.209027777777779,22.668306496301295,0.7887493193173236,79.75,-42,13
2020-04-08,5,12.5125,-10.4875,22.41740936873927,0.7932923415652732,81.76,-42,14
