date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-9.721818181818183,-14.55659090909091,68.46096896328508,NA,140.4,5,-1
2020-02-16,0,-0.40770833333333334,-5.806666666666667,69.65853296136737,NA,117.28,3,-2
2020-02-17,0,-5.482222222222222,-10.828650793650795,68.49586034737932,NA,117.31,-5,2
2020-02-18,0,0.2881547619047619,-2.3433531746031746,83.58790982250308,NA,106.93,-4,3
2020-02-19,0,-4.916388888888889,-12.151875,58.02945815788745,NA,116.85,2,0
2020-02-20,0,-10.015,-16.66310606060606,61.10977512760826,NA,120.18,1,0
2020-02-21,0,-6.877986111111111,-12.448263888888889,65.981110849462965,NA,146.79,3,1
2020-02-22,0,-0.1227777777777778,-6.180416666666667,64.56987093204569,NA,139.31,12,-2
2020-02-23,0,2.0875,-3.4749999999999996,67.01612275073484,NA,106.69,6,-3
2020-02-24,0,4.035666666666667,-2.5593333333333335,62.58600348974129,NA,110.57,4,0
2020-02-25,0,0.9673611111111111,-2.7949305555555557,76.59791878720493,NA,113.2,2,0
2020-02-26,0,-1.812361111111111,-7.1085416666666665,67.96393307599219,NA,106.82,0,1
2020-02-27,0,-5.088472222222222,-11.634375,60.774786297476275,NA,120.32,0,1
2020-02-28,0,-5.907152777777778,-12.013333333333334,62.55559743031203,NA,145.34,1,1
2020-02-29,0,-3.637826086956522,-11.552536231884059,56.026015857087266,NA,144.09,5,-3
2020-03-01,0,0.26006944444444446,-7.560833333333333,57.249300078645696,NA,104.64,2,-3
2020-03-02,0,5.2219444444444445,-0.22034722222222222,69.77926270666765,NA,115.38,2,-1
2020-03-03,0,0.28124999999999994,-2.9113194444444446,80.52507449781736,NA,116.03,0,-1
2020-03-04,0,1.8441666666666667,-3.1800694444444444,71.21592616746193,NA,125.51,-1,-1
2020-03-05,0,-0.2543055555555555,-5.645347222222222,70.110159157521025,NA,124.25,0,0
2020-03-06,0,0.6077083333333333,-1.7886805555555556,84.91059741281822,NA,141.14,0,1
2020-03-07,0,-1.9195138888888887,-6.671388888888889,73.45665848830191,NA,141.32,11,-3
2020-03-08,0,5.9411805555555555,-4.143888888888889,52.015763356866316,NA,102.31,8,-3
2020-03-09,0,10.793055555555556,1.2105555555555556,52.83413087431055,NA,111.73,3,0
2020-03-10,0,6.945763888888889,2.098263888888889,74.99070551266908,NA,121.56,0,-1
2020-03-11,0,1.6169444444444443,-1.62125,79.67336982158656,NA,109.5,0,0
2020-03-12,0,6.1004861111111115,1.1465972222222223,71.59893831285775,NA,104.05,1,0
2020-03-13,1,5.740694444444444,-2.069027777777778,58.818655207129225,NA,110.19,-3,4
2020-03-14,1,0.40465277777777775,-6.087430555555556,62.51633653397039,NA,98.03,4,3
2020-03-15,0,-0.4575694444444445,-5.909722222222222,67.30842914307607,NA,73.41,-6,3
2020-03-16,0,-0.7731944444444444,-6.633958333333333,68.05871392906592,NA,82.82,-24,10
2020-03-17,0,5.149583333333333,-3.359513888888889,59.46464070089443,NA,80.57,-32,13
2020-03-18,0,2.2602777777777776,-5.2323611111111115,59.43545021856367,NA,76.29,-34,14
2020-03-19,1,3.403611111111111,-0.046527777777777786,79.13370323012386,NA,71.35,-36,15
2020-03-20,3,5.931805555555555,2.6367361111111114,80.04952458401608,NA,82.94,-37,18
2020-03-21,0,-3.5491666666666664,-9.698333333333334,62.959656538851355,NA,70.6,-22,10
2020-03-22,2,-3.0327083333333333,-8.544097222222222,68.39980398233173,NA,54.08,-30,NA
2020-03-23,1,1.6993055555555556,-2.2114583333333333,76.730515755350993,NA,70.19,-41,16
2020-03-24,0,2.7241666666666666,-0.8170833333333334,78.47313896427661,NA,52.47,-56,24
2020-03-25,2,4.966388888888889,0.3554861111111111,74.34932815404241,NA,52.44,-57,23
2020-03-26,0,8.850277777777778,3.630138888888889,70.30569829228996,NA,51.82,-58,25
2020-03-27,2,4.252986111111111,0.400625,77.27499427793576,NA,58.14,-56,27
2020-03-28,0,4.770347222222222,2.1661111111111113,83.58776679198584,NA,45.89,-35,NA
2020-03-29,0,8.40048611111111,5.041736111111111,80.80951968562358,NA,41.73,-40,NA
2020-03-30,1,5.662916666666667,1.418125,74.72581713165853,NA,53.66,-58,23
2020-03-31,1,3.950902777777778,0.7423611111111111,80.0230150711722,NA,53.71,-61,25
2020-04-01,2,5.867152777777778,2.359652777777778,79.61584342397072,0.9477163127072746,55.1,-61,24
2020-04-02,3,7.124375,-2.459722222222222,62.37132840021634,0.9472273623644625,59.7,-60,23
2020-04-03,1,5.806597222222222,-2.1845833333333333,59.80094614116148,0.9464701875267298,64.9,-59,26
2020-04-04,1,5.405833333333334,1.5719444444444444,77.25201622663181,0.9454562750088186,49.21,-38,NA
2020-04-05,2,4.134027777777778,-2.44125,67.26845750157852,0.9442050887757311,51.59,-38,NA
2020-04-06,6,6.371041666666667,-2.5155555555555558,58.78489060784242,0.9427432311243854,60.02,-58,23
2020-04-07,3,9.903958333333334,3.032361111111111,65.2785896908501,0.9411034072565051,52.95,-60,25
2020-04-08,2,11.903194444444445,5.583263888888889,71.46703108549494,0.9393232524359161,58.46,-61,23
2020-04-09,4,5.177291666666666,1.2340277777777777,76.53202832825673,0.93744408117122,59,-60,26
2020-04-10,0,2.7423611111111112,-4.849444444444444,59.23469566723519,0.9355096164647595,64.49,-64,30
2020-04-11,3,5.234444444444445,-4.688888888888889,54.03739761901043,0.9335647533296301,59.53,-38,NA
2020-04-12,2,10.69326388888889,3.075277777777778,60.674544538210846,0.9316544038248731,36.27,-47,NA
2020-04-13,3,8.277847222222222,3.868402777777778,74.9775458629968,0.9298224609019612,58.85,-59,25
2020-04-14,1,0.7230555555555556,-8.21888888888889,53.31018544975005,0.9281109064184775,57.58,-59,26
2020-04-15,4,-0.17291666666666666,-9.026458333333334,54.74302157403634,0.9265590763140449,64.7,-59,24
2020-04-16,5,0.21291666666666667,-10.704027777777778,46.44749500068293,0.9252030846054663,70.07,-58,26
2020-04-17,2,1.580486111111111,-5.391805555555556,60.947416396055395,0.9240753983534071,72.89,-58,28
2020-04-18,3,4.962430555555556,-3.6326388888888888,60.66175079092006,0.923204548124798,71.94,-33,NA
2020-04-19,3,9.642291666666667,-1.4033333333333333,47.64010058758832,0.9226149523137572,60.76,-38,NA
2020-04-20,3,5.261458333333334,-5.910625,48.845818230862506,0.9223268287054214,70.91,-57,22
2020-04-21,1,3.484375,-5.203541666666666,56.72627790689304,0.9223561632314711,62.43,-58,25
2020-04-22,-1,-0.8118055555555556,-8.19763888888889,59.905943325704214,0.9227147051235578,63.76,-58,24
2020-04-23,6,3.925763888888889,-1.6711805555555557,68.35049713921235,0.9234099611908054,69.05,-57,25
2020-04-24,0,6.190625,-1.075763888888889,61.210796907190065,0.9244451709271344,80.83,-56,26
2020-04-25,3,5.575208333333333,-1.906388888888889,63.31338261464278,0.9258192585259181,79.62,-35,NA
2020-04-26,2,11.040694444444444,-8.981041666666666,24.06218425896233,0.92752677573892,72.11,-36,NA
2020-04-27,4,7.677638888888889,-3.345625,52.18124647827715,0.929557867204252,82.87,-54,21
2020-04-28,1,13.145486111111111,5.952916666666667,65.58895120997289,0.9318983027936653,81.61,-56,14
2020-04-29,3,13.827708333333334,10.530069444444445,81.47276649794918,0.934529625508453,77.2,-58,24
2020-04-30,3,10.956597222222221,7.935069444444444,82.03867635468762,0.9374294560958498,85.82,-55,23
2020-05-01,-1,10.596458333333333,2.0697916666666667,60.238579578564284,0.9405719771986804,113.69,-53,21
