date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,NA,NA,NA,NA,160.56,-1,0
2020-02-16,0,NA,NA,NA,NA,147.28,0,-1
2020-02-17,0,NA,NA,NA,NA,135.03,-18,2
2020-02-18,0,NA,NA,NA,NA,124.9,-1,1
2020-02-19,0,NA,NA,NA,NA,120.82,-2,0
2020-02-20,0,NA,NA,NA,NA,120,-2,0
2020-02-21,0,NA,NA,NA,NA,136.21,-1,1
2020-02-22,0,NA,NA,NA,NA,157.74,-2,1
2020-02-23,0,NA,NA,NA,NA,138.82,-1,0
2020-02-24,0,NA,NA,NA,NA,121.14,2,0
2020-02-25,0,NA,NA,NA,NA,112.77,1,1
2020-02-26,0,NA,NA,NA,NA,107.93,2,1
2020-02-27,0,NA,NA,NA,NA,119.76,-1,1
2020-02-28,0,NA,NA,NA,NA,124.33,0,2
2020-02-29,0,NA,NA,NA,NA,129.71,-1,0
2020-03-01,0,NA,NA,NA,NA,125.71,2,0
2020-03-02,0,NA,NA,NA,NA,115.71,2,0
2020-03-03,0,NA,NA,NA,NA,111.72,1,0
2020-03-04,0,NA,NA,NA,NA,112.88,2,0
2020-03-05,0,NA,NA,NA,NA,112.9,0,-1
2020-03-06,0,NA,NA,NA,NA,123.72,1,1
2020-03-07,0,NA,NA,NA,NA,145.15,-1,1
2020-03-08,0,NA,NA,NA,NA,129.09,-3,2
2020-03-09,0,NA,NA,NA,NA,129.39,0,1
2020-03-10,0,NA,NA,NA,NA,125.64,0,1
2020-03-11,0,NA,NA,NA,NA,121.68,2,0
2020-03-12,0,NA,NA,NA,NA,125.31,-1,-1
2020-03-13,0,NA,NA,NA,NA,128.68,-6,2
2020-03-14,0,NA,NA,NA,NA,164.5,-3,0
2020-03-15,0,NA,NA,NA,NA,140.49,-1,1
2020-03-16,0,NA,NA,NA,NA,119.83,-9,3
2020-03-17,0,NA,NA,NA,NA,105.38,-13,5
2020-03-18,0,NA,NA,NA,NA,91.16,-20,7
2020-03-19,0,NA,NA,NA,NA,82.89,-24,10
2020-03-20,1,NA,NA,NA,NA,71.54,-27,12
2020-03-21,0,NA,NA,NA,NA,57.5,-34,11
2020-03-22,0,NA,NA,NA,NA,34.54,-40,11
2020-03-23,1,NA,NA,NA,NA,28.39,-38,14
2020-03-24,1,NA,NA,NA,NA,28.95,-42,16
2020-03-25,5,NA,NA,NA,NA,27.65,-43,15
2020-03-26,4,NA,NA,NA,NA,27.3,-45,15
2020-03-27,4,NA,NA,NA,NA,26.09,-47,18
2020-03-28,4,NA,NA,NA,NA,23.29,-52,16
2020-03-29,2,NA,NA,NA,NA,20.77,-55,15
2020-03-30,2,NA,NA,NA,NA,23.8,-43,16
2020-03-31,3,NA,NA,NA,NA,22.45,-46,16
2020-04-01,0,NA,NA,NA,NA,23.06,-46,18
2020-04-02,11,NA,NA,NA,0.7904778630854726,21.9,-48,18
2020-04-03,2,NA,NA,NA,0.7901951585831197,22.41,-50,21
2020-04-04,2,NA,NA,NA,0.7906186324280181,20.11,-53,17
2020-04-05,2,NA,NA,NA,0.7918046021091076,16.83,-57,16
2020-04-06,1,NA,NA,NA,0.7938013836652653,21.82,-47,18
2020-04-07,4,NA,NA,NA,0.7966509734892199,21.71,-48,19
2020-04-08,2,NA,NA,NA,0.8003911141667271,21.23,-49,18
2020-04-09,1,NA,NA,NA,0.8050569580004495,22.97,-50,19
2020-04-10,3,NA,NA,NA,0.8106816658621375,23.77,-54,22
2020-04-11,3,NA,NA,NA,0.817295541601092,21.27,-53,17
2020-04-12,1,NA,NA,NA,0.8249236060163353,17.28,-63,18
2020-04-13,5,NA,NA,NA,0.8335817746365903,24.07,-46,18
2020-04-14,0,NA,NA,NA,0.8432719768896892,24.75,-46,19
2020-04-15,2,NA,NA,NA,0.85397664244255,25.5,-47,18
2020-04-16,0,NA,NA,NA,0.8656530139296358,24.77,-48,17
2020-04-17,2,NA,NA,NA,0.8782277592450698,28.04,-49,20
2020-04-18,5,NA,NA,NA,0.8915923725440408,24.21,-54,16
2020-04-19,0,NA,NA,NA,0.9055998711895883,19.17,-55,14
2020-04-20,0,NA,NA,NA,0.9200632982114518,25.44,-45,17
2020-04-21,0,NA,NA,NA,0.9347565011513757,27.03,-45,18
2020-04-22,0,NA,NA,NA,0.9494175584888503,25.17,-46,17
2020-04-23,1,NA,NA,NA,0.9637550592131752,27.74,-48,19
2020-04-24,3,NA,NA,NA,0.977457222527327,29.35,-47,19
2020-04-25,0,NA,NA,NA,0.9902035992206673,25.78,-52,16
2020-04-26,1,NA,NA,NA,1.0016788531525151,21.58,-57,16
2020-04-27,1,NA,NA,NA,1.0115879036567,26.23,-42,16
2020-04-28,0,NA,NA,NA,1.019671531681577,28.03,-44,11
2020-04-29,-1,NA,NA,NA,1.0257214245114326,28.6,-43,16
2020-04-30,1,NA,NA,NA,1.0295935711185331,29.02,-46,17
2020-05-01,0,NA,NA,NA,1.0312189461701111,32.79,-45,16
2020-05-02,1,NA,NA,NA,1.0306105605923523,26.99,-49,13
2020-05-03,0,NA,NA,NA,1.0278662212844372,23.57,-51,12
2020-05-04,0,NA,NA,NA,1.0231667134399114,30.02,-39,12
2020-05-05,0,NA,NA,NA,1.0167695437455417,29.38,-40,13
2020-05-06,0,NA,NA,NA,1.00899878801668,29.44,-40,14
2020-05-07,0,NA,NA,NA,1.0002319020422799,33.91,-42,15
2020-05-08,0,NA,NA,NA,0.9908845360529193,37.08,-41,15
2020-05-09,9,NA,NA,NA,0.9813944366010653,31.19,-46,11
2020-05-10,-1,NA,NA,NA,0.9722054528064765,25.79,-53,15
2020-05-11,4,NA,NA,NA,0.9637525284862893,NA,-38,14
2020-05-12,3,NA,NA,NA,0.9564483923450968,NA,-37,14
2020-05-13,1,NA,NA,NA,0.9506724723544325,33.63,-39,14
2020-05-14,-1,NA,NA,NA,0.9467623605755225,30.76,-46,20
2020-05-15,0,NA,NA,NA,0.9450079411285004,37.81,-40,15
2020-05-16,0,NA,NA,NA,0.9456480748773614,33.96,-41,11
2020-05-17,5,NA,NA,NA,0.9488695285386914,31.52,-45,9
2020-05-18,-1,NA,NA,NA,0.9548076675190929,38.15,-35,12
2020-05-19,0,NA,NA,NA,0.9635483214767316,38.21,-34,13
2020-05-20,1,NA,NA,NA,0.9751301899551631,39.67,-35,12
2020-05-21,0,NA,NA,NA,0.9895471818551905,40.62,-37,12
2020-05-22,1,NA,NA,NA,1.006750168848884,49.23,-37,13
2020-05-23,6,NA,NA,NA,1.026647768754475,44.37,-41,11
2020-05-24,1,NA,NA,NA,1.0491059518192418,36.13,-47,13
2020-05-25,-1,NA,NA,NA,1.0739464748660748,38.8,-60,19
2020-05-26,0,NA,NA,NA,1.1009443895729532,41.91,-31,12
2020-05-27,0,NA,NA,NA,1.1298251314064829,43.65,-31,10
2020-05-28,0,NA,NA,NA,1.1602619547536037,43.78,-32,10
2020-05-29,1,NA,NA,NA,1.1918747041797535,47.2,-31,11
2020-05-30,0,NA,NA,NA,1.2242310552345315,44.36,-32,8
2020-05-31,0,NA,NA,NA,1.2568513670989065,40.19,-38,7
2020-06-01,1,NA,NA,NA,1.2892181124129205,69.02,-27,7
2020-06-02,0,NA,NA,NA,1.3207904513809456,72.42,-27,9
2020-06-03,0,NA,NA,NA,1.3510238930783784,72.64,-29,10
2020-06-04,1,NA,NA,NA,1.3793941785760186,80.48,-32,10
2020-06-05,0,NA,NA,NA,1.405423629286542,100.86,-29,9
2020-06-06,0,NA,NA,NA,1.4287073929786827,138.38,-27,7
2020-06-07,1,NA,NA,NA,1.448936494707553,138.55,-28,6
2020-06-08,3,NA,NA,NA,1.4659145590968443,98.49,-25,6
2020-06-09,0,NA,NA,NA,1.479565634144416,99.85,-27,7
2020-06-10,2,NA,NA,NA,1.4899316895337058,103.55,-27,6
2020-06-11,4,NA,NA,NA,1.4971598867046119,108.74,-28,7
2020-06-12,1,NA,NA,NA,1.5014812925789902,139.7,-27,6
2020-06-13,7,NA,NA,NA,1.5031839670702516,188.8,-25,4
2020-06-14,1,NA,NA,NA,1.502584012768339,178.96,-27,4
2020-06-15,1,NA,NA,NA,1.4999981221667924,113.61,-26,5
2020-06-16,1,NA,NA,NA,1.4957204772077488,108.89,-28,7
2020-06-17,6,NA,NA,NA,1.4900057794536865,112.4,-27,6
2020-06-18,9,NA,NA,NA,1.4830590072230627,114.01,-29,6
2020-06-19,4,NA,NA,NA,1.4750314668714097,143.29,-29,5
2020-06-20,8,NA,NA,NA,1.4660219956110039,194.84,-25,4
2020-06-21,4,NA,NA,NA,1.4560818405854874,172.93,-25,3
2020-06-22,3,NA,NA,NA,1.4452217497021667,143.69,-27,4
2020-06-23,1,NA,NA,NA,1.4334200727089048,120.11,-28,6
2020-06-24,8,NA,NA,NA,1.4206310708785792,126.81,-26,5
2020-06-25,14,NA,NA,NA,1.4067930560515682,134.98,-27,6
2020-06-26,14,NA,NA,NA,1.3918363274242505,161.35,-28,7
2020-06-27,2,NA,NA,NA,1.375691078311281,210.21,-26,5
2020-06-28,15,NA,NA,NA,1.358295472765739,193.67,-24,5
2020-06-29,17,NA,NA,NA,1.3396039523975878,123.94,-26,5
