date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,9.075,3.0343750000000003,66.78620636399859,NA,155.88,-3,NA
2020-02-16,0,16.34513888888889,11.367708333333333,75.17006187432206,NA,135.37,3,NA
2020-02-17,0,18.785763888888887,15.650347222222223,83.03140897959945,NA,131.13,-16,4
2020-02-18,0,17.311805555555555,14.853055555555557,85.65537013294752,NA,101.29,4,0
2020-02-19,0,8.79686507936508,5.87297619047619,82.36751520947347,NA,97.24,2,1
2020-02-20,0,7.526736111111111,4.185416666666667,81.15474176643454,NA,115.17,2,0
2020-02-21,0,5.075,-1.1708333333333334,65.62412545573383,NA,173.45,4,-1
2020-02-22,0,7.733333333333333,0.9083333333333333,63.694076883564,NA,153.66,2,NA
2020-02-23,0,10.581597222222223,7.017361111111111,79.69431010345832,NA,141.14,-1,NA
2020-02-24,0,16.9375,10.441666666666666,69.40416223126162,NA,107.14,2,-1
2020-02-25,0,11.4625,4.706944444444445,65.16892814766987,NA,111.77,3,-2
2020-02-26,0,8.18576388888889,-2.2777777777777777,49.364658335556896,NA,102.57,4,-3
2020-02-27,0,5.483333333333333,-3.9916666666666667,55.070963590577406,NA,128.95,6,-4
2020-02-28,0,10.140972222222222,-1.5583333333333333,46.776099412863616,NA,190.63,5,-3
2020-02-29,0,14.286111111111111,0.7777777777777778,43.41185232966006,NA,156.89,3,NA
2020-03-01,0,17.652083333333334,11.710416666666667,69.28893076044024,NA,140.47,2,NA
2020-03-02,0,19.979166666666668,16.460416666666667,80.4070786840093,NA,114.74,3,-2
2020-03-03,0,19.078125,16.914583333333333,87.65347894781043,NA,109.26,5,-3
2020-03-04,0,15.78332671957672,12.695492724867725,82.49045616353477,NA,104.65,-1,2
2020-03-05,0,13.836805555555555,7.021527777777778,69.5857940304394,NA,134.03,3,-3
2020-03-06,0,13.595833333333333,0.5864583333333333,45.013098450269716,NA,199.34,2,-1
2020-03-07,0,12.170833333333334,0.05,44.23418732072028,NA,181.85,3,NA
2020-03-08,0,13.333333333333334,6.875,66.63354909496564,NA,158.8,8,NA
2020-03-09,0,17.832291666666666,14.405555555555555,81.16928489861628,NA,130.02,-19,4
2020-03-10,0,20.581805555555555,17.350694444444443,83.05270839483141,NA,134.39,-18,1
2020-03-11,0,21.593055555555555,17.47986111111111,78.53055957197145,NA,134.59,-18,0
2020-03-12,0,22.561805555555555,17.575,74.68770150302778,NA,144.64,-19,0
2020-03-13,0,22.26388888888889,17.421527777777776,75.34130470749068,NA,171.23,-21,3
2020-03-14,0,21.993055555555557,18.311805555555555,80.21219360987612,NA,147.57,-6,NA
2020-03-15,0,14.879166666666666,12.878472222222221,88.20566757208047,NA,137.98,-8,NA
2020-03-16,0,14.303611111111111,12.401805555555555,88.61199110960214,NA,108.07,-19,5
2020-03-17,0,18.968402777777776,16.92013888888889,88.27384273334253,NA,98.82,-19,7
2020-03-18,0,21.8,19.108333333333334,85.30670944882708,NA,94.24,-19,6
2020-03-19,0,22.933333333333334,19.260416666666668,80.23911986626823,NA,89.56,-22,9
2020-03-20,0,16.725347222222222,13.948611111111111,83.93103547611082,NA,101.59,-28,13
2020-03-21,0,9.545833333333334,6.202083333333333,80.0160217058602,NA,90.11,-16,NA
2020-03-22,0,13.20625,12.097048611111111,93.10567956766153,NA,76.21,-22,NA
2020-03-23,0,17.56875,16.643055555555556,94.42212468977766,NA,77.65,-30,11
2020-03-24,0,23.077083333333334,17.197916666666668,74.33006290205846,NA,77.12,-32,10
2020-03-25,0,21.520833333333332,11.345833333333333,55.78995222570559,NA,73.13,-33,9
2020-03-26,0,22.957638888888887,18.4625,76.72560318342843,NA,64.84,-36,14
2020-03-27,1,24.130208333333332,19.333333333333332,75.46787371550118,NA,78,-37,16
2020-03-28,0,22.066111111111113,15.501944444444444,69.71925364389587,NA,69.4,-28,NA
2020-03-29,0,15.858333333333334,8.820833333333333,64.6473415978888,NA,62.54,-32,NA
2020-03-30,2,16.679513888888888,11.871527777777777,74.03131298828333,NA,59.14,-38,15
2020-03-31,0,14.967361111111112,11.229166666666666,80.10077638507136,NA,67.93,-37,14
2020-04-01,1,15.568055555555555,10.159027777777778,73.13208818346713,0.9786956054035428,71.33,-38,13
2020-04-02,0,17.68402777777778,13.026388888888889,74.68773029335709,0.976502899994156,68.6,-39,15
2020-04-03,1,17.071180555555557,15.075,88.17862943743128,0.9741806989985363,74.9,-37,18
2020-04-04,0,7.621527777777778,5.823611111111111,88.5775052889391,0.9717307158347938,66.76,-25,NA
2020-04-05,1,11.960069444444445,10.219444444444445,89.49986441260545,0.9691614144026521,54.27,-32,NA
2020-04-06,-2,18.362152777777776,15.877777777777778,86.09513918915263,0.9664886852743457,66.47,-38,14
2020-04-07,0,23.675694444444446,20.308333333333334,82.6503864297998,0.9637366317248319,72.92,-40,15
2020-04-08,0,26.190625,21.816666666666666,78.27758872545256,0.9609383662129057,71.74,-40,14
2020-04-09,6,24.2875,21.109027777777776,82.82510307429926,0.9581366478112038,74.55,-41,16
2020-04-10,1,18.008333333333333,10.308333333333334,63.330007746547935,0.9553841548188405,88.41,-50,19
2020-04-11,1,17.202083333333334,11.944444444444445,71.68761891618676,0.9527431946185384,68.86,-34,NA
2020-04-12,0,22.460416666666667,17.348263888888887,75.6316449156905,0.9502847059821797,64.37,-40,NA
2020-04-13,0,11.516666666666667,3.3895833333333334,58.38274575539061,0.948086499048195,74.55,-38,15
2020-04-14,4,10.620833333333334,3.0708333333333333,60.59116355930251,0.9462307884041344,73.47,-36,15
2020-04-15,0,10.784027777777778,4.273611111111111,66.71839487864216,0.9448011835921188,78.96,-36,13
2020-04-16,2,15.4375,6.2875,56.661180245102315,0.9438793873629172,87.24,-36,12
2020-04-17,2,16.055208333333333,12.265972222222222,79.10792062357865,0.9435418985023579,94.24,-38,17
2020-04-18,0,13.485416666666666,8.5,72.64307328670412,0.9438570150118826,93.14,-23,NA
2020-04-19,0,19.71027777777778,17.723194444444445,88.91455238510713,0.9448823867787279,75.13,-32,NA
2020-04-20,0,19.95625,16.444097222222222,81.51839888232564,0.946663285308611,82.52,-36,12
2020-04-21,3,22.116666666666667,17.245833333333334,75.6969057172323,0.9492316579060635,84.03,-36,13
2020-04-22,1,22.172519841269843,18.909623015873017,82.3002331672166,0.9526059328548676,84.32,-36,14
2020-04-23,1,21.81875,15.161111111111111,69.89009019973011,0.9567914568235971,95.42,-36,12
2020-04-24,1,22.22083333333333,14.445833333333333,63.372470275376735,0.961781387802541,119.59,-36,14
2020-04-25,2,19.654166666666665,10.65,57.15615321079444,0.9675578428360063,111.51,-23,NA
2020-04-26,0,19.675,10.8875,61.58849683963686,0.9740931104419462,99.3,-29,NA
2020-04-27,0,21.825,13.095833333333333,59.545293173511205,0.9813507783809826,95.46,-35,11
2020-04-28,0,24.523611111111112,19.0675,72.6684550371528,0.9892866892572092,83.19,-36,6
2020-04-29,2,22.535416666666666,13.293055555555556,61.975422751147114,0.9978497068699524,92.29,-35,10
