date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,13.116666666666667,5.004166666666666,58.84065386784094,NA,106.46,2,-1
2020-02-16,0,15.583472222222223,12.482777777777779,82.33594053663957,NA,69.69,-2,1
2020-02-17,0,15.66625,13.119166666666667,85.05509484257323,NA,60.39,-1,2
2020-02-18,0,21.531944444444445,18.917708333333334,85.44596280546713,NA,62.21,2,0
2020-02-19,0,20.225277777777777,17.64280753968254,85.41060944338638,NA,76.89,1,-3
2020-02-20,0,15.408779761904762,13.078720238095238,86.14750988567731,NA,69.9,-4,3
2020-02-21,0,9.3625,1.9916666666666667,62.624934662096656,NA,140.15,-7,0
2020-02-22,0,10.316666666666666,1.3333333333333333,54.303869125287584,NA,196.26,-5,-3
2020-02-23,0,13.4875,7.375,68.37122862016716,NA,156.14,3,-5
2020-02-24,0,17.77916666666667,12.9875,73.96914191132981,NA,105.56,-26,4
2020-02-25,0,17.11861111111111,14.988472222222223,87.50774451756403,NA,143.07,-63,6
2020-02-26,0,14.661111111111111,9.015277777777778,70.80149654833883,NA,71.03,-21,4
2020-02-27,0,9.279166666666667,0.35416666666666663,54.65396497396481,NA,61.4,-11,3
2020-02-28,0,12.225,2.7958333333333334,53.32386889557362,NA,74.46,-10,2
2020-02-29,0,15.1625,3.7083333333333335,50.26630011291139,NA,81.66,-1,-1
2020-03-01,0,15.6125,7.595833333333333,60.45447601735755,NA,63.09,4,-2
2020-03-02,0,20.559722222222224,14.777777777777779,70.07252353614206,NA,56.06,3,-1
2020-03-03,0,22.100694444444443,18.429861111111112,80.38709851296018,NA,57.71,2,-1
2020-03-04,0,23.865555555555556,20.767916666666668,83.3072565630637,NA,54.93,0,0
2020-03-05,0,15.852777777777778,12.619097222222223,81.66774542986944,NA,62.81,1,-1
2020-03-06,0,16.829166666666666,6.158333333333333,51.620684383988724,NA,82.01,2,-1
2020-03-07,0,14.375,1.8416666666666666,43.53308893133339,NA,91.22,1,-1
2020-03-08,0,16.295833333333334,7.158333333333333,55.98602997651945,NA,70.42,2,-1
2020-03-09,0,19.566666666666666,13.804166666666667,70.8201578500546,NA,62.95,2,0
2020-03-10,0,20.389285714285712,16.469940476190477,78.63370743732254,NA,60.9,0,1
2020-03-11,5,20.951041666666665,17.203125,80.38205555303179,NA,62.45,0,-1
2020-03-12,9,21.492013888888888,16.12847222222222,73.08829022117747,NA,62.08,-2,1
2020-03-13,12,21.947222222222223,18.275347222222223,80.64439700305546,NA,68.41,-4,2
2020-03-14,27,23.234722222222224,17.677083333333332,72.76121344127208,NA,66.38,-6,4
2020-03-15,13,22.284027777777776,17.895833333333332,77.6849719932891,NA,45.29,-9,4
2020-03-16,13,22.204166666666666,16.972916666666666,73.14892146985522,NA,38.01,-23,9
2020-03-17,57,23.225,18.995833333333334,77.77527503765522,NA,30.65,-35,15
2020-03-18,51,23.660416666666666,19.25208333333333,77.21836103666311,NA,28.15,-39,15
2020-03-19,44,24.822916666666668,20.33125,76.86828543873465,NA,25.92,-42,17
2020-03-20,95,25.015,20.41388888888889,76.63829561628052,NA,26.95,-45,20
2020-03-21,92,22.174305555555556,18.03090277777778,77.72017516086561,NA,19.81,-46,18
2020-03-22,33,20.686805555555555,16.179861111111112,75.77679095901192,NA,15.89,-48,14
2020-03-23,116,23.821527777777778,19.207638888888887,76.9369896109522,NA,18.35,-52,21
2020-03-24,108,24.7875,18.779166666666665,71.00833393095535,NA,17.86,-57,24
2020-03-25,152,25.07638888888889,19.718055555555555,73.5568266157036,NA,19.16,-57,23
2020-03-26,170,24.724652777777777,18.39548611111111,70.13703907771342,NA,19.31,-58,24
2020-03-27,173,24.6,18.85,70.64413959269852,NA,20.63,-58,26
2020-03-28,128,24.45,21.075000000000003,81.59376482619385,NA,18.07,-52,20
2020-03-29,52,24.6625,15.0125,56.249360825419714,NA,15.42,-54,16
2020-03-30,130,23.633333333333333,15.966666666666667,62.3636496527127,NA,18.38,-57,22
2020-03-31,354,22.833333333333332,15.333333333333334,63.156946259788974,NA,19.11,-59,24
2020-04-01,436,20,10,52.938807727683766,0.5386798179736743,19.91,-59,22
2020-04-02,878,22,11.483333333333334,51.50970225855614,0.5400675243201524,19.37,-60,24
2020-04-03,328,21,12,56.560400048640226,0.5426075853386233,21.25,-59,26
2020-04-04,490,NA,NA,NA,0.5463584852336156,17.98,-53,20
2020-04-05,100,NA,NA,NA,0.5513621991060356,15.6,-54,16
2020-04-06,499,26.1,17.8,60.30673221323338,0.5576446993846117,19.04,-58,23
2020-04-07,377,NA,NA,NA,0.5652168816181562,19.59,-59,24
2020-04-08,128,26.714285714285715,23.285714285714285,82.24782349438242,0.5740757704052558,20.2,-59,23
2020-04-09,172,26.333333333333332,22.272727272727273,77.33253812491665,0.5842058377711338,21.14,-60,24
2020-04-10,174,21.666666666666668,12.88888888888889,58.646612615982605,0.5955802349486422,22.22,-66,28
2020-04-11,119,20,12.166666666666666,61.52829399365563,0.6081617173520364,20,-53,19
2020-04-12,65,26.333333333333332,23.333333333333332,84.11061557810797,0.6219030508557087,13.63,-57,18
2020-04-13,51,NA,NA,NA,0.6367467435065987,20.9,-56,22
2020-04-14,67,NA,NA,NA,0.6526240575787865,21.13,-57,23
2020-04-15,51,NA,NA,NA,0.6694534103944414,23.12,-56,21
2020-04-16,78,NA,NA,NA,0.6871384368003651,23.41,-57,23
2020-04-17,59,NA,NA,NA,0.7055661189589839,25.55,-56,25
2020-04-18,47,21.6,21.3,98.26489012035452,0.7246054521200643,21.33,-51,20
2020-04-19,47,26.9,23,80.26883935479552,0.7441070895080655,18.56,-51,15
2020-04-20,148,21.6,18.2,81.17342991235913,0.7639043024979062,25.97,-55,21
2020-04-21,21,24.73,15.21111111111111,57.46153241958413,0.7838154322082239,24.76,-55,21
2020-04-22,40,24.3125,17.091666666666665,65.1919577815746,0.8036478320726166,24.66,-56,21
2020-04-23,54,25.544305555555557,20.635,74.77841151324338,0.8232031380956644,23.76,-58,25
2020-04-24,23,24.120833333333334,15.295833333333334,60.43094195313327,0.8422835692750098,29.46,-55,23
2020-04-25,11,23.922916666666666,18.083333333333332,70.8055358100913,0.8606988548091796,25.62,-48,17
2020-04-26,45,23.725,13.108333333333334,53.01353599030891,0.8782733000228503,21.58,-49,13
2020-04-27,23,22.445833333333333,9.004166666666666,43.13847314185743,0.8948524368735888,25.2,-53,20
2020-04-28,15,22.433333333333334,14.254166666666666,60.96583401146299,0.9103086682564533,26.21,-55,14
2020-04-29,40,21.005555555555556,17.517916666666668,80.92198886987204,0.9245453331695326,24.61,-58,23
2020-04-30,32,22.075,11.720833333333333,52.26747056240186,0.9374987227823784,29.26,-54,20
2020-05-01,43,22.65833333333333,10.316666666666666,47.44770866729291,0.949137785590687,32.73,-53,21
2020-05-02,29,23.025,13.133333333333333,55.01277169956825,0.9594615649931225,30.39,-46,15
2020-05-03,14,23.825,16.21666666666667,63.60937897862507,0.9684947679909194,24.76,-46,12
2020-05-04,19,24.541666666666668,17.791666666666664,67.07089130981986,0.9762821882709825,28.68,-51,19
2020-05-05,18,25.058333333333334,18.304166666666667,66.93611478111877,0.9828829073851152,31.94,-52,19
2020-05-06,33,26.098550724637683,14.711594202898551,51.55316919233171,0.9883652019822413,31.02,-52,18
2020-05-07,18,22.016666666666666,8.8625,43.84795691029125,0.9928028736225317,31.83,-53,19
2020-05-08,19,22.055654761904762,15.072916666666666,65.42707851080344,0.9962733379553635,33.15,-53,23
2020-05-09,29,18.94375,11.269444444444444,62.663256408963335,0.9988573646156097,33.34,-45,14
2020-05-10,8,20.90416666666667,9.804166666666667,49.51110540240221,1.0006399721596186,27.14,-43,9
2020-05-11,11,23.579166666666666,11.695833333333333,47.79752491566746,1.0017117568954226,NA,-50,19
2020-05-12,25,23.09375,15.091666666666667,61.32270794813403,1.0021699192988822,NA,-50,19
2020-05-13,35,25.1875,18.920833333333334,69.35840730186781,1.0021184290394818,34.68,-50,18
2020-05-14,15,25.09784722222222,20.690694444444446,76.77879692644245,1.0016670672685117,33.01,-52,21
2020-05-15,19,25.186954365079366,21.041349206349206,78.21280381158849,1.0009294055549292,37.82,-51,22
2020-05-16,-6,25.805208333333333,21.721041666666665,78.69233104313696,1.0000200362830625,37.73,-41,14
2020-05-17,28,27.125694444444445,21.052083333333332,70.70225728230365,0.9990515052878572,31.15,-40,11
2020-05-18,13,25.204722222222223,19.138055555555557,70.00267906308358,0.9981314036888139,37.87,-44,16
2020-05-19,47,26.670833333333334,18.933333333333334,63.52288209544683,0.997359979386928,39.53,-45,16
2020-05-20,15,26.328472222222224,21.065277777777776,73.46168864915639,0.9968284772334154,40.93,-46,16
2020-05-21,20,27.679166666666667,19.48402777777778,64.0621598206677,0.9966182598374245,42.48,-46,16
2020-05-22,40,28.240972222222222,22.454464285714288,71.58760008057604,0.9968006349440804,51.08,-46,18
2020-05-23,0,28.648611111111112,23.055902777777778,72.55773730063723,0.9974372374923803,44.17,-38,12
2020-05-24,9,27.343287037037037,21.469166666666666,71.47331812375809,0.9985807836491383,37.38,-40,9
2020-05-25,52,27.078125,21.99125,73.96966156348698,1.0002760167844422,34.28,-64,21
2020-05-26,16,26.360515873015874,22.33422619047619,78.74190821201425,1.0025606838203103,37.47,-45,18
2020-05-27,24,27.151944444444446,21.954166666666666,73.86470800690266,1.00546640038558,42.3,-44,16
