date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,18.897222222222222,13.420833333333333,71.16030308348333,NA,164.75,1,-1
2020-02-16,0,21.51111111111111,17.831944444444446,81.31099146212892,NA,134.29,-1,-1
2020-02-17,0,21.893055555555556,18.59722222222222,83.53188008150626,NA,142.42,-5,1
2020-02-18,0,23.302777777777777,19.711111111111112,82.50307009152462,NA,126.59,2,0
2020-02-19,0,24.117013888888888,20.789930555555557,83.10359277023504,NA,125.96,2,0
2020-02-20,0,23.493750000000002,20.309722222222224,83.92342983130214,NA,134.33,0,-1
2020-02-21,0,14.891666666666667,12.401388888888889,85.54514853888128,NA,156.09,-14,4
2020-02-22,0,12.677083333333334,7.014583333333333,69.5099577502536,NA,155.44,1,-1
2020-02-23,0,16.433333333333334,11.029166666666667,74.18060252059607,NA,121.48,-1,-1
2020-02-24,0,19.045833333333334,12.541666666666666,68.04192631149867,NA,116.46,2,-1
2020-02-25,0,22.15833333333333,16.864583333333332,74.24870580349668,NA,116.06,2,0
2020-02-26,0,20.8825,18.094166666666666,84.43397068594145,NA,128.86,1,0
2020-02-27,0,14.44375,7.582638888888889,67.23076617264768,NA,134.81,2,-1
2020-02-28,0,11.039583333333333,3.064583333333333,62.526449169470396,NA,163.16,2,-1
2020-02-29,0,12.566666666666666,2.8291666666666666,58.46125358332326,NA,157.5,2,-2
2020-03-01,0,13.2,4.341666666666667,60.13184449273864,NA,136.53,1,-1
2020-03-02,0,17.53125,11.04375,68.7363745335422,NA,120.05,2,-1
2020-03-03,0,20.84166666666667,14.854166666666668,71.2834833062942,NA,119.69,2,-1
2020-03-04,0,23.093015873015872,18.415238095238095,78.12439661379327,NA,125.42,1,-1
2020-03-05,0,24.759722222222223,20.360416666666666,78.97909691925331,NA,138.76,1,-1
2020-03-06,0,21.822916666666668,15.438888888888888,70.25564917889828,NA,158.86,2,0
2020-03-07,0,14.933333333333334,1.5999999999999999,41.34845115244146,NA,166.07,2,-1
2020-03-08,0,15.433333333333334,7.825,62.219805050222114,NA,139.79,0,0
2020-03-09,0,18.535416666666666,12.579166666666666,69.1164865558512,NA,130.9,0,0
2020-03-10,0,20.182608695652174,15.447826086956521,76.0034391192023,NA,125.8,0,0
2020-03-11,0,21.333333333333332,15.4375,72.50577217638019,NA,126.89,-1,0
2020-03-12,0,22.391666666666666,16.779166666666665,73.36724070355436,NA,125.54,-2,0
2020-03-13,0,22.9625,16.775,71.48185523196246,NA,135.63,-13,4
2020-03-14,1,23.003125,17.279166666666665,73.1375673473352,NA,123.47,-3,2
2020-03-15,0,23.483333333333334,18.410416666666666,76.35826049710481,NA,93.02,-9,3
2020-03-16,0,22.723958333333332,18.585416666666667,78.36823715023121,NA,91.5,-25,8
2020-03-17,5,23.316666666666666,18.633333333333333,77.64246579477897,NA,80.56,-29,10
2020-03-18,2,23.464583333333334,18.504166666666666,76.47501681245028,NA,73.64,-32,12
2020-03-19,5,23.81875,18.866666666666667,76.22829032973603,NA,68.73,-35,14
2020-03-20,0,24.02986111111111,18.544444444444444,74.6239644747712,NA,70.36,-38,17
2020-03-21,8,24.099305555555556,18.426388888888887,73.16332581109225,NA,58.03,-34,14
2020-03-22,3,24.65138888888889,18.708333333333332,71.68751974212384,NA,43.19,-42,13
2020-03-23,1,24.74375,18.941666666666666,72.75139841587672,NA,50,-40,17
2020-03-24,1,24.65,17.858333333333334,69.05308147491911,NA,47.88,-44,19
2020-03-25,9,24.4075,18.41027777777778,72.2442277036906,NA,48.58,-45,19
2020-03-26,7,24.737152777777776,19.877083333333335,77.1360268755797,NA,49.44,-46,19
2020-03-27,11,25.708333333333332,20.633333333333333,77.00007396376132,NA,42.88,-52,27
2020-03-28,13,25.525,18.691666666666666,69.60812957179553,NA,39.59,-49,20
2020-03-29,17,25.022916666666667,19.44375,73.94002435062376,NA,31.76,-54,18
2020-03-30,11,25.905208333333334,20.15625,73.3233706989727,NA,40.24,-53,22
2020-03-31,16,25.59861111111111,19.377777777777776,70.40516681808306,NA,39.74,-53,23
2020-04-01,5,21.567708333333332,13.721875,65.00907065795961,0.8543177666822941,41.66,-53,23
2020-04-02,55,19.054166666666667,9.799999999999999,60.301424303213274,0.8515855869252537,41.8,-54,24
2020-04-03,31,20.479166666666668,11.997916666666667,62.74509027631127,0.8494058006886777,40.63,-55,27
2020-04-04,15,22.783333333333335,14.383333333333333,62.879186006698106,0.8478872042102726,34.36,-53,21
2020-04-05,13,20.259722222222223,15.108333333333334,73.87825930030054,0.8471296133435218,27.34,-58,19
2020-04-06,10,21.2375,16.731944444444444,77.41382995779264,0.847219463257692,37.73,-54,23
2020-04-07,15,23.25625,17.36875,71.99163241782848,0.8482256801749213,38.07,-55,24
2020-04-08,18,25.00625,19.958333333333332,75.78849840291913,0.8501960196130933,38.59,-56,24
2020-04-09,23,25.939583333333335,21.125347222222224,76.95218168372897,0.853154018490493,40.63,-56,24
2020-04-10,5,25.08888888888889,20.818402777777777,79.10715678368895,0.8570966699072554,43.27,-59,28
2020-04-11,17,21.816666666666666,14.65,64.69781388260948,0.8619929086335628,39.79,-51,19
2020-04-12,6,26.363194444444446,21.08888888888889,74.63720552412852,0.8677829919481428,30.07,-59,18
2020-04-13,10,28.64097222222222,22.3125,71.248274201435,0.8743788651690932,41.48,-54,22
2020-04-14,16,27.166666666666668,22.054166666666667,76.22546624055,0.8816655992970279,40.68,-54,24
2020-04-15,12,26.87152777777778,22.993055555555557,80.96658129557186,0.8895039649957005,44.28,-54,23
2020-04-16,23,19.606597222222224,18.20798611111111,91.7978809106215,0.8977341538158432,43.3,-54,25
2020-04-17,8,22.375694444444445,17.84027777777778,75.80696637963898,0.9061805753601186,49.72,-53,25
2020-04-18,11,23.588695652173914,21.756086956521738,90.08503986907682,0.9146575605286057,44.36,-50,20
2020-04-19,6,25.852083333333333,20.547916666666666,75.42858276068382,0.9229757070889226,40.07,-52,16
2020-04-20,1,26.178472222222222,22.29201388888889,79.89212025125317,0.9309485375181594,45.08,-53,22
2020-04-21,7,22.880902777777777,16.40798611111111,72.31396660214773,0.93839911692337,46.06,-53,23
2020-04-22,6,22.447916666666668,13.060416666666667,61.21767437948408,0.9451663043115653,47.11,-52,22
2020-04-23,26,25.34166666666667,17.958333333333332,65.22777934001266,0.9511103720200151,48.61,-53,23
2020-04-24,12,23.490277777777777,20.788194444444443,85.34937477333642,0.9561178036923758,47.88,-55,28
2020-04-25,2,23.329166666666666,21.23472222222222,89.06672568361613,0.9601051474750237,51.68,-48,17
2020-04-26,0,26.150555555555556,21.34034722222222,77.29707763138614,0.9630218433452018,43.06,-53,15
2020-04-27,7,21.297916666666666,10.827083333333334,54.67619800394646,0.9648519612021381,50.03,-51,20
2020-04-28,4,20.925,13.895833333333334,66.40886359639892,0.9656147923554552,51.92,-52,16
2020-04-29,5,23.516666666666666,16.71666666666667,67.69519842129957,0.9653642503266611,53.27,-51,21
2020-04-30,-1,23.290277777777778,19.237152777777776,79.84710421711686,0.9641870731323123,52.87,-53,23
