date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-8.439444444444444,-12.97625,70.39572529500161,NA,136.03,5,0
2020-02-16,0,0.0785714285714286,-3.3794642857142856,78.38688710192679,NA,97.28,4,-2
2020-02-17,0,-2.7816666666666667,-7.184523809523809,72.66959062863108,NA,108.75,-6,2
2020-02-18,0,1.146875,-1.1272916666666666,85.57074268142031,NA,109.09,1,1
2020-02-19,0,-4.025347222222222,-10.002083333333333,63.651907017475345,NA,110.44,1,0
2020-02-20,0,-6.572222222222222,-12.282638888888888,64.37191091566378,NA,117.48,1,0
2020-02-21,0,-4.120833333333334,-9.979166666666666,64.35598393492573,NA,146.1,1,0
2020-02-22,0,1.8791666666666667,-4.095833333333333,65.34517345394445,NA,149.39,10,-2
2020-02-23,0,5.091666666666667,-2.5875,58.07459572488551,NA,98.26,8,-2
2020-02-24,0,4.354166666666667,-0.37916666666666665,72.66503893702615,NA,104.81,4,0
2020-02-25,0,3.1819444444444445,-1.621527777777778,71.26475886964643,NA,111.32,3,0
2020-02-26,0,-0.5806944444444445,-4.915763888888889,73.21563270275945,NA,108.71,2,0
2020-02-27,0,-3.6458333333333335,-10.317708333333334,60.49392924622453,NA,119.35,2,0
2020-02-28,0,-4.435416666666667,-10.9625,60.88179847352004,NA,144.36,1,0
2020-02-29,0,-2.1875,-9.8125,56.36333328723903,NA,139.94,6,-2
2020-03-01,0,2.441666666666667,-4.416666666666667,62.21379694148101,NA,95.63,6,-3
2020-03-02,0,5.695833333333333,1.8625,77.04686222075605,NA,105.07,2,0
2020-03-03,0,1.3825,-0.7236111111111111,86.29744937503374,NA,106.07,0,0
2020-03-04,0,3.091666666666667,-1.2249999999999999,73.89194006831741,NA,112.13,0,0
2020-03-05,0,1.5847222222222224,-3.1902777777777778,73.92981588700978,NA,114.73,-1,0
2020-03-06,0,2.2729166666666667,-1.1118055555555555,79.3078891658551,NA,134.47,-2,1
2020-03-07,0,0.06666666666666675,-5.8125,68.74496759044736,NA,142.3,5,-3
2020-03-08,0,8.725,-3.9333333333333336,42.89736339394294,NA,103.7,3,-3
2020-03-09,0,12.308333333333334,3.2375,57.636575637282675,NA,110.27,3,0
2020-03-10,0,5.407291666666667,3.642361111111111,88.92942806933031,NA,121.79,1,-1
2020-03-11,0,2.129166666666667,0.9527777777777777,92.2443218581715,NA,112.79,1,0
2020-03-12,0,5.279097222222222,2.903263888888889,86.68947865353736,NA,113.85,-2,0
2020-03-13,0,5.128819444444444,0.2211805555555555,71.78223710142048,NA,117.24,-3,3
2020-03-14,0,1.8625,-4.1625,64.8682433497926,NA,102.33,4,4
2020-03-15,0,1.95,-4.758333333333333,63.89029319861848,NA,75.19,-8,2
2020-03-16,1,0.9569444444444444,-2.859027777777778,77.03311473684235,NA,80.03,-16,9
2020-03-17,1,3.1885416666666666,-0.46666666666666673,78.52250351645651,NA,80.24,-24,12
2020-03-18,0,2.4916666666666667,-2.1458333333333335,72.30090254874587,NA,74.18,-27,14
2020-03-19,0,5.289980158730159,4.183035714285714,92.84157646181028,NA,75.73,-28,15
2020-03-20,1,5.786706349206349,3.5123015873015873,86.21724820626231,NA,81.42,-30,18
