date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-7.304166666666666,NA,NA,NA,122.12,4,0
2020-02-16,0,-1.925,NA,NA,NA,95.74,-1,NA
2020-02-17,0,0.1625,NA,NA,NA,96.84,-6,2
2020-02-18,0,0.6958333333333333,NA,NA,NA,101.66,-1,0
2020-02-19,0,-8.133333333333333,NA,NA,NA,100.14,0,0
2020-02-20,0,-12.120833333333334,NA,NA,NA,106.9,0,0
2020-02-21,0,-7.275,NA,NA,NA,134.96,-3,1
2020-02-22,0,1.6875,NA,NA,NA,128.91,8,-3
2020-02-23,0,4.995833333333334,NA,NA,NA,92.74,3,NA
2020-02-24,0,3.1708333333333334,NA,NA,NA,93.07,1,0
2020-02-25,0,1.6625,NA,NA,NA,94.38,0,1
2020-02-26,0,-2.15,NA,NA,NA,97.96,0,0
2020-02-27,0,-4.975,NA,NA,NA,107.49,1,0
2020-02-28,0,-7.320833333333334,NA,NA,NA,126.56,-1,1
2020-02-29,0,-4.879166666666666,NA,NA,NA,127.98,11,-2
2020-03-01,0,3.5375,NA,NA,NA,101.34,7,NA
2020-03-02,0,5.3,NA,NA,NA,96.26,3,0
2020-03-03,0,2.1,NA,NA,NA,100.08,1,0
2020-03-04,0,3.2125,NA,NA,NA,102.63,2,-1
2020-03-05,0,3.6458333333333335,NA,NA,NA,105.46,2,-1
2020-03-06,0,1.2333333333333334,NA,NA,NA,133.72,3,0
2020-03-07,0,0.2541666666666666,NA,NA,NA,131.02,8,-2
2020-03-08,0,6.816666666666666,NA,NA,NA,100.52,5,NA
2020-03-09,0,10.879166666666666,NA,NA,NA,91.8,1,1
2020-03-10,0,2.325,NA,NA,NA,103.2,0,0
2020-03-11,0,2.668421052631579,NA,NA,NA,101.1,0,0
2020-03-12,0,3.6625,NA,NA,NA,100.78,-1,1
2020-03-13,0,4.394444444444445,NA,NA,NA,117.42,-2,3
2020-03-14,0,1.18125,NA,NA,NA,90.4,3,4
2020-03-15,0,0.35833333333333334,NA,NA,NA,67.42,-4,NA
2020-03-16,0,2.6875,NA,NA,NA,74.63,-18,9
2020-03-17,0,3.5541666666666667,NA,NA,NA,74.05,-27,13
2020-03-18,0,3.029166666666667,NA,NA,NA,61.35,-34,17
2020-03-19,3,3.8791666666666664,NA,NA,NA,63.89,-38,20
2020-03-20,4,2.8958333333333335,NA,NA,NA,67.59,-40,22
2020-03-21,4,-2.5083333333333333,NA,NA,NA,58.24,-20,NA
2020-03-22,2,0.2625,NA,NA,NA,42.56,-31,NA
2020-03-23,1,1.25,NA,NA,NA,58.46,-46,20
2020-03-24,2,4.004166666666666,NA,NA,NA,50.78,-51,24
2020-03-25,4,3.2958333333333334,NA,NA,NA,54.86,-52,23
2020-03-26,2,4.741666666666666,NA,NA,NA,47.61,-53,26
2020-03-27,8,2.9333333333333336,NA,NA,NA,56.67,-52,27
2020-03-28,3,4.483333333333333,NA,NA,NA,45.85,-30,NA
2020-03-29,1,6.658333333333333,NA,NA,NA,37.43,-37,NA
2020-03-30,2,5.2,NA,NA,NA,51.47,-52,22
2020-03-31,7,2.8958333333333335,NA,NA,NA,54.2,-52,25
2020-04-01,3,3.7666666666666666,NA,NA,0.7699840814172998,54.1,-52,23
2020-04-02,1,3.36,NA,NA,0.7724864133576861,60.28,-53,24
2020-04-03,3,5.420833333333333,NA,NA,0.7760375591784173,65.53,-52,26
2020-04-04,0,5.391666666666667,NA,NA,0.7807250629318544,59.18,-32,NA
2020-04-05,6,2.658333333333333,NA,NA,0.7866201370128858,54.61,-39,NA
2020-04-06,6,2.7291666666666665,NA,NA,0.7937770917728096,56.54,-52,23
2020-04-07,4,7.456521739130435,NA,NA,0.80223287201799,61.68,-54,23
2020-04-08,4,8.204347826086957,NA,NA,0.8120064100432729,58.95,-54,24
2020-04-09,1,6.408333333333333,NA,NA,0.8230976062663988,61.36,-54,24
2020-04-10,0,3.5166666666666666,NA,NA,0.8354858750806545,73.57,-60,28
2020-04-11,1,4.770833333333333,NA,NA,0.8491283302874828,68.9,-37,NA
2020-04-12,0,5.95,NA,NA,0.8639578171717168,35.85,-52,NA
2020-04-13,0,2.5083333333333333,NA,NA,0.8798811112044215,57.36,-53,24
2020-04-14,1,0.5208333333333334,NA,NA,0.8967776784286997,59.24,-52,25
2020-04-15,4,-1.325,NA,NA,0.9144994112001698,62.07,-52,25
2020-04-16,0,1.05,NA,NA,0.9328717006671933,66.35,-51,24
2020-04-17,1,3.8041666666666667,NA,NA,0.9516960802477357,76.1,-51,26
2020-04-18,1,7.595833333333333,NA,NA,0.9707544845188055,79.18,-29,NA
2020-04-19,0,9.820833333333333,NA,NA,0.9898149454126287,63.62,-39,NA
2020-04-20,1,7.775,NA,NA,1.008638336347339,69.34,-49,22
2020-04-21,0,4.658333333333333,NA,NA,1.0269856227167924,72.08,-52,23
2020-04-22,0,4.379166666666666,NA,NA,1.044625021846621,71.2,-51,24
2020-04-23,0,4.241666666666666,NA,NA,1.06133853161072,73.3,-50,24
2020-04-24,0,4.480952380952381,NA,NA,1.076927438222038,82.96,-50,25
2020-04-25,2,5.7625,NA,NA,1.091216616264662,78.87,-28,NA
2020-04-26,3,7.9125,NA,NA,1.1040576297435951,72.61,-36,NA
2020-04-27,1,7.858333333333333,NA,NA,1.1153307796990364,68.97,-48,22
2020-04-28,0,6.091666666666667,NA,NA,1.1249462936178256,75.27,-50,17
2020-04-29,0,8.316666666666666,NA,NA,1.132844818224724,66.94,-50,25
2020-04-30,2,7.1375,NA,NA,1.13899729092713,79.45,-49,23
2020-05-01,0,8.479166666666666,NA,NA,1.1434041695632031,99.4,-48,22
2020-05-02,1,13.7125,NA,NA,1.1460939350338701,101.43,-28,NA
2020-05-03,3,18.11304347826087,NA,NA,1.147120771827076,85.82,-32,NA
2020-05-04,2,4.947826086956522,NA,NA,1.146561383257449,79.21,-47,20
2020-05-05,1,5.608333333333333,NA,NA,1.1445110002285115,84.91,-48,22
2020-05-06,0,7.370833333333334,NA,NA,1.1410787713043393,88.86,-46,20
2020-05-07,4,9.175,NA,NA,1.1363828487842504,98.28,-47,21
2020-05-08,2,3.475,NA,NA,1.1305455812925909,103.5,-47,23
2020-05-09,3,5.558333333333334,NA,NA,1.1236892646394385,109.8,-26,NA
2020-05-10,1,6.175,NA,NA,1.115932875851469,64.12,-32,NA
2020-05-11,2,4.666666666666667,NA,NA,1.107390119193617,NA,-46,19
2020-05-12,0,5.65,NA,NA,1.0981689587115029,NA,-47,20
2020-05-13,3,6.466666666666667,NA,NA,1.0883726197384225,101.38,-45,20
2020-05-14,3,8.9125,NA,NA,1.0781018379652636,96.02,-47,21
2020-05-15,6,15.470833333333333,NA,NA,1.0674579475596266,131.5,-46,18
2020-05-16,1,9.8375,NA,NA,1.0565462584734469,116.51,-21,NA
2020-05-17,2,9.804166666666667,NA,NA,1.0454791051772288,67.91,-27,NA
2020-05-18,0,9.533333333333333,NA,NA,1.0343779768087795,91.77,-44,19
2020-05-19,3,10.816666666666666,NA,NA,1.023374271439469,102.21,-45,20
2020-05-20,5,11.679166666666667,NA,NA,1.0126084427804996,119.24,-42,17
2020-05-21,1,12.266666666666666,NA,NA,1.00222758845558,132.48,-43,16
2020-05-22,2,12.2875,NA,NA,0.9923818066339463,144.1,-45,17
2020-05-23,1,12.270833333333334,NA,NA,0.9832198586543069,111.85,-16,NA
2020-05-24,3,15.320833333333333,NA,NA,0.9748847703240597,107.42,-21,NA
2020-05-25,1,14.795652173913043,NA,NA,0.9675099657428299,95.95,-82,22
2020-05-26,0,16.795833333333334,NA,NA,0.961216372314634,125.88,-41,17
2020-05-27,6,18.191666666666666,NA,NA,0.9561107092655785,130.05,-39,16
2020-05-28,12,17.241666666666667,NA,NA,0.952284931083951,121.97,-40,18
2020-05-29,3,17.520833333333332,NA,NA,0.949816592795734,155.47,-41,16
2020-05-30,1,15.9625,NA,NA,0.9487697693113559,134.94,-1,5
2020-05-31,2,10.945833333333333,NA,NA,0.9491961080529515,122.74,-9,NA
2020-06-01,3,12.295833333333334,NA,NA,0.9511356157461911,126.07,-39,14
2020-06-02,0,21.536363636363635,NA,NA,0.95461685792447,135.2,-38,15
2020-06-03,5,23.5875,NA,NA,0.9596563609339057,133.93,-38,14
2020-06-04,4,16.230434782608697,NA,NA,0.9662571314725754,147.2,-38,14
2020-06-05,3,16.720833333333335,NA,NA,0.974406334647437,157.87,-37,14
2020-06-06,3,16.970833333333335,NA,NA,0.9840722910984624,149.52,-2,3
2020-06-07,3,13.158333333333333,NA,NA,0.9952010632583665,117.84,-8,NA
2020-06-08,1,15.808333333333334,NA,NA,1.007712996160102,140.64,-38,12
2020-06-09,0,17.691666666666666,NA,NA,1.0214996516556354,132.59,-38,15
2020-06-10,1,20.204166666666666,NA,NA,1.0364216142793468,133.92,-37,15
2020-06-11,0,19.154166666666665,NA,NA,1.0523076375968483,155.94,-36,12
2020-06-12,3,13.141666666666666,NA,NA,1.0689555289947454,168.03,-36,12
2020-06-13,2,11.070833333333333,NA,NA,1.086135033323171,151.29,1,3
2020-06-14,3,12.366666666666667,NA,NA,1.1035927789507614,131.11,-7,NA
2020-06-15,0,13.745833333333334,NA,NA,1.1210591158826648,145.64,-37,11
2020-06-16,6,14.754166666666666,NA,NA,1.1382564401702595,159.23,-36,12
2020-06-17,0,17.71666666666667,NA,NA,1.154908404658639,164.59,-37,11
2020-06-18,0,18.970833333333335,NA,NA,1.170749303363502,172.63,-37,11
2020-06-19,2,20.604166666666668,NA,NA,1.1855329117521656,178.63,-37,11
2020-06-20,3,19.958333333333332,NA,NA,1.1990401707724778,160.8,-2,4
2020-06-21,3,20.379166666666666,NA,NA,1.2110852939329235,135.46,-1,NA
2020-06-22,2,18.058333333333334,NA,NA,1.2215201062436982,141.86,-38,13
2020-06-23,-1,18.933333333333334,NA,NA,1.2302366337389319,162.46,-38,13
2020-06-24,2,16.729166666666668,NA,NA,1.2371681040601403,164.01,-36,12
2020-06-25,2,18.383333333333333,NA,NA,1.2422885700990944,177.82,-36,10
2020-06-26,2,19.6875,NA,NA,1.2456113421779667,173.48,-37,14
2020-06-27,3,22.329166666666666,NA,NA,1.2471863497490114,186.96,0,0
2020-06-28,5,19.941666666666666,NA,NA,1.2470965003553127,153.13,-3,NA
2020-06-29,1,21.291666666666668,NA,NA,1.245453097692067,156.22,-38,12
2020-06-30,6,21.825,NA,NA,1.2423904300001047,168.67,-36,11
2020-07-01,9,22.866666666666667,NA,NA,1.2380597239703788,176.74,-38,10
2020-07-02,3,23.979166666666668,NA,NA,1.232622741426791,181.7,-42,9
2020-07-03,1,24.554166666666667,NA,NA,1.2262453429268234,165.99,-64,16
2020-07-04,11,24.645833333333332,NA,NA,1.2190913383188178,121.12,-26,NA
2020-07-05,7,24.995833333333334,NA,NA,1.2113168952003914,144.15,-14,NA
