date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-5.641666666666667,-10.95,68.35724419249684,NA,120.52,-1,NA
2020-02-16,0,2.35,-4.35,61.83434897596044,NA,97.47,-1,NA
2020-02-17,0,1.0291666666666668,-3.8875,74.59284658412625,NA,104.13,-21,5
2020-02-18,0,7.647916666666666,3.3604166666666666,75.59224914967916,NA,100.95,2,0
2020-02-19,0,0.45,-5.391666666666667,67.56697406684447,NA,107.09,2,-1
2020-02-20,0,-2.3958333333333335,-10.133333333333333,56.57230043162572,NA,127.52,1,0
2020-02-21,0,-5.304166666666667,-12.004166666666666,61.85172611428068,NA,125.75,2,0
2020-02-22,0,-0.3125,-9.645833333333334,52.603892904913884,NA,133,5,NA
2020-02-23,0,3.1916666666666664,-7.883333333333334,44.92937661979111,NA,96.91,-1,NA
2020-02-24,0,4.9,-1.0333333333333332,66.55682893188059,NA,103.83,3,0
2020-02-25,0,5.31875,5.04375,98.15149590162467,NA,103.66,1,0
2020-02-26,0,2.6125,2.5,99.21845069738453,NA,103.52,2,-1
2020-02-27,0,-2.5541666666666667,-7.175,71.7268548007197,NA,105.45,-9,4
2020-02-28,0,-3.716666666666667,-6.5625,82.09820599028885,NA,132.17,-6,3
2020-02-29,0,-4.0875,-9.758333333333333,66.08193403697982,NA,123.86,8,NA
2020-03-01,0,0.19166666666666668,-7.3625,59.88832586849482,NA,99.04,1,NA
2020-03-02,0,8.770833333333334,3.45,72.17646744935345,NA,99.08,3,0
2020-03-03,0,10.24375,8.06875,88.19581434372947,NA,105.45,2,-1
2020-03-04,0,6.608333333333333,-0.4166666666666667,62.850936212886694,NA,108.87,3,-2
2020-03-05,0,4.341666666666667,-3.35,61.38332631814232,NA,112.1,3,-2
2020-03-06,0,3.816666666666667,-1.0041666666666667,71.73748335182704,NA,131.23,3,0
2020-03-07,0,1.5708333333333333,-6.1,58.22286737764372,NA,148.31,9,NA
2020-03-08,0,5.341666666666667,-4.716666666666667,53.483274342335775,NA,110.95,-3,NA
2020-03-09,0,12.495833333333334,-0.5875,41.190899113785825,NA,105.12,3,-1
2020-03-10,0,12.6,7.533333333333333,73.32837646240976,NA,101.02,1,0
2020-03-11,0,7.066666666666666,5.104166666666667,88.06281850111584,NA,101.3,2,-1
2020-03-12,0,10.616666666666667,6.3875,77.05248707652903,NA,100.43,0,-1
2020-03-13,0,10.85,4.391666666666667,68.3696713048777,NA,108.44,-5,3
2020-03-14,0,1.9625,-2.2708333333333335,76.78201894939774,NA,92.69,3,NA
2020-03-15,0,2.4916666666666667,-0.8083333333333333,80.71727160368094,NA,72.08,-8,NA
2020-03-16,0,2.9916666666666667,-1.8375,70.95503050142884,NA,87.54,-15,6
2020-03-17,0,5.733333333333333,3.4,86.0824867781458,NA,84.67,-21,8
2020-03-18,0,4.108333333333333,2.458333333333333,89.6266692634645,NA,78.99,-23,10
2020-03-19,0,11.558333333333334,11.266666666666666,98.20165919811407,NA,77.49,-28,12
2020-03-20,0,16.616666666666667,14.120833333333334,85.9072003202275,NA,99.38,-31,14
2020-03-21,0,2.245833333333333,-3.1125,68.1967954372829,NA,67.22,-16,NA
2020-03-22,0,1.2916666666666667,-3.9583333333333335,69.50844390239958,NA,54.48,-28,NA
2020-03-23,0,6.272916666666666,3.6333333333333333,83.97233990439547,NA,68.8,-32,13
2020-03-24,0,6.258333333333334,1.7458333333333333,73.35265448624233,NA,63.39,-41,18
2020-03-25,1,8.795833333333333,3.0458333333333334,70.04279577753324,NA,65.7,-41,16
2020-03-26,1,11.954166666666667,6.075,69.33525008860319,NA,74.53,-43,17
2020-03-27,0,12.166666666666666,10.375,88.99340176382118,NA,72.22,-41,20
2020-03-28,2,16.05,14.672916666666667,92.31896295025462,NA,63.17,-23,NA
2020-03-29,0,18.295833333333334,11.7875,69.47766951707095,NA,59.11,-28,NA
2020-03-30,1,9.404166666666667,1.4000000000000001,57.80167885230491,NA,65.78,-43,17
2020-03-31,7,5.908333333333333,0.5125,68.98281965475438,NA,69.38,-44,18
2020-04-01,0,6.283333333333333,2.9583333333333335,80.41128214369222,NA,70.28,-43,17
2020-04-02,-1,8.279166666666667,2.05,68.50021109791702,NA,75.88,-45,17
2020-04-03,2,9.8,0.5166666666666666,58.77798754509507,2.5422914322513877,87.9,-43,17
2020-04-04,7,11.591666666666667,0.16666666666666663,47.473278915322815,2.511690264658086,80.69,-28,NA
