date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-7.974652777777778,NA,NA,NA,180.14,-1,NA
2020-02-16,0,-10.697222222222223,NA,NA,NA,172.36,2,NA
2020-02-17,0,-5.707638888888889,NA,NA,NA,155.2,-24,4
2020-02-18,0,-8.178819444444445,NA,NA,NA,96.27,1,0
2020-02-19,0,-17.680208333333333,NA,NA,NA,100.2,1,1
2020-02-20,0,-19.723263888888887,NA,NA,NA,119.7,3,1
2020-02-21,0,-9.776041666666666,NA,NA,NA,194.72,4,-1
2020-02-22,0,-3.599652777777778,NA,NA,NA,189.31,6,NA
2020-02-23,0,0.6645833333333333,NA,NA,NA,171.91,8,NA
2020-02-24,0,-1.0184027777777778,NA,NA,NA,105.08,3,0
2020-02-25,0,-2.024652777777778,NA,NA,NA,88.37,3,-1
2020-02-26,0,-5.835069444444445,NA,NA,NA,94.47,4,-2
2020-02-27,0,-8.636111111111111,NA,NA,NA,119.12,0,-1
2020-02-28,0,-10.362152777777778,NA,NA,NA,167.28,-9,0
2020-02-29,0,-9.616666666666667,NA,NA,NA,166.58,4,NA
2020-03-01,0,-0.15868055555555555,NA,NA,NA,163.8,4,NA
2020-03-02,0,-0.26979166666666665,NA,NA,NA,96.36,0,0
2020-03-03,0,-0.2625,NA,NA,NA,88.57,0,-1
2020-03-04,0,-2.573263888888889,NA,NA,NA,100.45,1,-1
2020-03-05,0,0.4076388888888889,NA,NA,NA,134.68,0,-1
2020-03-06,0,-3.526388888888889,NA,NA,NA,202.83,1,-1
2020-03-07,0,1.457638888888889,NA,NA,NA,192.51,6,NA
2020-03-08,0,7.272222222222222,NA,NA,NA,150.9,6,NA
2020-03-09,0,2.2732638888888888,NA,NA,NA,101.52,0,0
2020-03-10,0,-2.2086805555555555,NA,NA,NA,106.06,1,0
2020-03-11,0,-1.1555555555555554,NA,NA,NA,111.26,1,-2
2020-03-12,0,2.142361111111111,NA,NA,NA,120.31,-2,1
2020-03-13,0,-1.6809027777777779,NA,NA,NA,148.2,-2,0
2020-03-14,0,-6.066319444444445,NA,NA,NA,132.64,2,NA
2020-03-15,0,-4.9944444444444445,NA,NA,NA,129.28,-7,NA
2020-03-16,0,0.10034722222222224,NA,NA,NA,86,-3,4
2020-03-17,0,-2.5614583333333334,NA,NA,NA,80.06,-13,5
2020-03-18,0,1.0100694444444445,NA,NA,NA,76.82,-27,10
2020-03-19,0,0.9767361111111111,NA,NA,NA,73.34,-30,NA
2020-03-20,0,-3.9506944444444443,NA,NA,NA,94.59,-30,NA
2020-03-21,0,-6.376388888888889,NA,NA,NA,88.08,-31,NA
2020-03-22,0,-0.4184027777777778,NA,NA,NA,74.08,-41,NA
2020-03-23,0,2.8875,NA,NA,NA,67.77,-36,NA
2020-03-24,0,1.9819444444444445,NA,NA,NA,67.44,-37,NA
2020-03-25,0,4.202083333333333,NA,NA,NA,62.69,-37,NA
2020-03-26,0,2.082986111111111,NA,NA,NA,62.41,-40,NA
2020-03-27,0,2.71875,NA,NA,NA,98.2,-40,NA
2020-03-28,0,3.8652777777777776,NA,NA,NA,48.08,-46,NA
2020-03-29,0,2.654166666666667,NA,NA,NA,45.82,-53,NA
2020-03-30,0,4.7190972222222225,NA,NA,NA,55.61,-43,NA
2020-03-31,0,2.2465277777777777,NA,NA,NA,58.11,-43,NA
2020-04-01,0,3.4336805555555556,NA,NA,NA,55.49,-43,NA
