date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,6.454166666666667,-3.9166666666666665,48.77603073408599,NA,138.85,-1,0
2020-02-16,0,6.654166666666667,-2.5708333333333333,52.53730484588729,NA,117.77,1,-2
2020-02-17,0,6.911111111111111,-9.35138888888889,38.345492703701716,NA,139.8,-43,7
2020-02-18,0,6.78695652173913,-12.41304347826087,25.4295465816082,NA,111.61,-2,0
2020-02-19,0,5.6375,-3.591666666666667,53.47978829127409,NA,113.68,-2,0
2020-02-20,0,6.595833333333333,-8.45,34.52588675358404,NA,117.41,-2,0
2020-02-21,0,8.520833333333334,-6.6875,34.08714972417382,NA,138.24,-2,1
2020-02-22,0,9.104166666666666,-4.95,37.2197701215101,NA,146.97,1,-1
2020-02-23,0,7.445833333333334,-0.6875,57.20317274581335,NA,125.57,3,-1
2020-02-24,0,7.920833333333333,-10.145833333333334,35.63705737961711,NA,108.2,3,-1
2020-02-25,0,10.0625,-10.25,23.261473586505083,NA,109.08,2,-1
2020-02-26,0,11.129166666666666,-7.35,27.239906612326863,NA,110.3,2,-1
2020-02-27,0,12.066666666666666,-8.241666666666667,26.030021052837327,NA,114.07,2,-1
2020-02-28,0,11.445833333333333,-4.8125,32.391957837247624,NA,135.77,3,0
2020-02-29,0,7.729166666666667,-1.9708333333333332,52.20737085828266,NA,142.6,1,-1
2020-03-01,0,-0.044910714285714345,-4.553214285714286,73.59280886324824,NA,113.65,3,0
2020-03-02,1,2.0708333333333333,-14.245833333333334,30.943268399529202,NA,107.73,2,0
2020-03-03,0,9.975,-4.279166666666667,38.252192131938486,NA,112.19,2,-1
2020-03-04,1,12.554166666666667,-5.208333333333333,29.298180314007016,NA,118.16,1,0
2020-03-05,0,11.3125,-1.6208333333333333,41.35583653094777,NA,113.3,1,-1
2020-03-06,3,10.058333333333334,-0.9,47.954274909528294,NA,130.33,1,1
2020-03-07,0,2.561111111111111,0.7594444444444445,89.33785269422711,NA,127.16,-1,2
2020-03-08,0,-0.10547619047619046,-0.9136706349206349,94.41570578199534,NA,103.34,0,1
2020-03-09,2,2.0869444444444443,-0.3729166666666667,85.13001008591006,NA,101.53,2,0
2020-03-10,0,7.195833333333334,-2.245833333333333,54.456036740554694,NA,103.54,1,0
2020-03-11,0,7.4,1.0958333333333334,65.35603834697933,NA,102.27,-1,1
2020-03-12,0,10.229166666666668,-1.0374999999999999,48.738444241758074,NA,101.71,-2,1
2020-03-13,-3,9.221666666666668,-6.828333333333333,34.40438222708902,NA,115.34,-5,3
2020-03-14,3,0.6128472222222222,-0.41631944444444446,93.27173974305187,NA,98.75,-7,7
2020-03-15,-2,-2.3823015873015874,-3.2828571428571425,93.65504546309877,NA,77.09,-13,6
2020-03-16,0,NA,NA,NA,NA,82.21,-25,10
2020-03-17,0,NA,NA,NA,NA,79.63,-30,12
2020-03-18,4,NA,NA,NA,NA,69.07,-38,16
2020-03-19,0,2.8,-1.9500000000000002,71.26588287782675,NA,70.86,-40,15
2020-03-20,0,0.7478260869565218,-3.3782608695652177,75.40088645889523,NA,63.9,-46,20
2020-03-21,0,3.488888888888889,-2.7034722222222225,65.97223374641376,NA,56,-34,13
2020-03-22,3,3.967361111111111,-2.0041666666666664,66.81365360310248,NA,45.83,-40,11
2020-03-23,0,2.671875,-1.0666666666666667,77.99627704460558,NA,52.99,-50,19
2020-03-24,8,-0.48055555555555557,-1.2118055555555556,94.88696640612953,NA,52.17,-52,21
2020-03-25,10,-1.8876984126984127,-3.2027083333333333,90.88769612170022,NA,54.14,-53,21
2020-03-26,0,-2.7311805555555555,-5.531607142857143,81.73415051991466,NA,58,-53,21
2020-03-27,0,-0.38958333333333334,-7.273611111111111,61.63165240560557,NA,63.41,-51,22
2020-03-28,11,0.19583333333333336,-3.9375,74.49191623269897,NA,51.14,-41,16
2020-03-29,12,0.095,-0.9133333333333333,93.17828537651694,NA,43.27,-44,13
2020-03-30,0,1.9526388888888888,0.619375,91.18148843014252,NA,56.15,-52,19
2020-03-31,4,4.109325396825397,0.7777777777777777,79.4901458394943,NA,59.37,-55,20
2020-04-01,21,4.002847222222222,1.3155555555555556,84.13254209375438,0.7465082201389581,58.92,-53,20
2020-04-02,12,2.0416666666666665,-12.045833333333334,35.90392499225765,0.7488988458960509,59.83,-53,21
2020-04-03,7,3.4125,-10.575,35.724018989761056,0.7520412448425141,67.63,-53,21
2020-04-04,0,1.8930555555555555,-4.278472222222222,66.04243113464102,0.755977412031537,49.54,-43,17
2020-04-05,6,-0.1,-0.8673611111111111,94.6652306449554,0.7607339039151648,37.46,-48,15
2020-04-06,3,-0.9596527777777778,-2.4988888888888887,89.60142148774572,0.7663205217974977,53.49,-55,20
2020-04-07,0,1.6994047619047619,-0.4161805555555556,86.33261403443821,0.7727295968083944,59.31,-55,21
2020-04-08,11,8.772164351851853,-1.1446180555555556,52.95282866981726,0.7799359433541524,59.3,-56,22
2020-04-09,0,5.274652777777778,1.0770833333333334,80.83627408727237,0.7878975369733623,61.36,-56,22
2020-04-10,6,5.488888888888889,1.52,79.19123123104885,0.7965569454496136,69.82,-55,22
2020-04-11,0,8.419652777777777,4.67125,78.55723088601682,0.8058434965133099,63.13,-41,14
2020-04-12,1,7.9674652777777775,5.288263888888889,84.13829483936196,0.8156761051821138,38.82,-50,12
2020-04-13,3,7.941666666666666,-3.7243055555555555,50.11646678139711,0.8259666189057474,61.02,-53,19
2020-04-14,1,7.1761904761904765,-11.766666666666666,25.50735941076519,0.8366234839464304,62.88,-53,20
