date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,1.6812500000000001,-7.664583333333334,51.22573936944695,NA,154.8,-1,NA
2020-02-16,0,6.44375,-0.3,63.55645883107369,NA,105.8,0,NA
2020-02-17,0,10.760416666666666,7.054166666666666,78.98996530823375,NA,118.51,-12,4
2020-02-18,0,5.280208333333333,1.7322916666666668,79.13953891335473,NA,108.39,3,1
2020-02-19,0,1.5833333333333335,-6.295833333333333,60.34322072949239,NA,104.78,5,-4
2020-02-20,0,0.7616666666666667,-5.1322222222222225,68.29439682404153,NA,114.69,4,0
2020-02-21,0,-3.8333333333333335,-12.35,56.56376965312816,NA,151.25,19,-1
2020-02-22,0,2.1062499999999997,-8.639583333333333,47.001399394623476,NA,128.98,4,NA
2020-02-23,0,7.3069444444444445,-0.9361111111111111,57.93803464648088,NA,103.1,1,NA
2020-02-24,0,7.836805555555555,7.1819444444444445,95.77430515468846,NA,99.75,4,1
2020-02-25,0,3.795138888888889,3.076388888888889,95.18992016142423,NA,107.27,0,2
2020-02-26,0,0.19201388888888887,-2.1951388888888888,85.07815345376423,NA,109.71,3,-2
2020-02-27,0,0.056250000000000036,-5.8125,66.89999376438831,NA,125.83,3,0
2020-02-28,0,4.63125,0.10833333333333332,76.92256852079845,NA,165.48,19,-5
2020-02-29,0,5.845833333333333,-1.8145833333333332,63.44475108612796,NA,145.5,5,NA
2020-03-01,0,12.07638888888889,4.172916666666667,59.40293551346939,NA,111.08,3,NA
2020-03-02,0,10.63888888888889,8.405694444444444,86.6436677480167,NA,123.13,5,0
2020-03-03,0,9.006944444444445,1.167361111111111,63.87921042349084,NA,111.18,3,-1
2020-03-04,0,7.7,-0.7041666666666666,56.94564420639688,NA,106.96,4,-5
2020-03-05,0,7.439583333333333,-0.6499999999999999,61.54272825557448,NA,112.61,3,-2
2020-03-06,0,6.0375,-6.075,45.55309118846477,NA,172.95,20,-3
2020-03-07,0,7.233333333333333,-5.266666666666667,43.69176177593931,NA,193.75,7,NA
2020-03-08,0,11.65,-3.2958333333333334,37.894971356760074,NA,114.29,5,NA
2020-03-09,0,13.052083333333334,5.995833333333334,67.92387279932981,NA,103.51,3,2
2020-03-10,0,6.895833333333333,4.913888888888889,88.29993550919407,NA,106.81,2,0
2020-03-11,0,12.735416666666666,8.026041666666666,74.49395307480889,NA,113.27,2,-4
2020-03-12,0,15.324305555555556,11.816666666666666,81.04594392250105,NA,134.37,0,-1
2020-03-13,0,8.61875,0.4937499999999999,59.42743301279438,NA,159.28,15,0
2020-03-14,0,5.2207638888888885,0.1085416666666667,73.53807262203982,NA,138.08,-1,NA
2020-03-15,0,3.240972222222222,1.913888888888889,91.2749317516071,NA,99.9,0,NA
2020-03-16,0,4.103472222222222,2.7,90.79610002583372,NA,104.02,-6,5
2020-03-17,0,7.778392857142857,6.519563492063492,92.2577025435849,NA,84.34,-15,6
2020-03-18,0,12.934375000000001,10.458333333333334,85.83877304067705,NA,83.22,-18,4
2020-03-19,0,17.162152777777777,15.328819444444445,89.37202568751887,NA,89.98,-21,11
2020-03-20,0,9.79375,7.154861111111111,84.23229048935609,NA,93.8,-13,NA
2020-03-21,0,2.2104166666666667,-2.9659722222222222,71.71607965283108,NA,98.53,-13,NA
2020-03-22,0,6.180555555555555,2.5416666666666665,79.27522427220725,NA,63.6,-19,NA
2020-03-23,0,8.481845238095238,6.7121031746031745,89.67942601138736,NA,80.02,-21,10
2020-03-24,0,10.655208333333333,8.106944444444444,84.69139670647499,NA,70.36,-29,13
2020-03-25,0,10.790625,7.500694444444444,82.56625084464392,NA,80.73,-27,7
2020-03-26,0,17.735416666666666,12.291666666666666,72.85455760967251,NA,85.87,-31,10
2020-03-27,0,21.240347222222223,17.038492063492065,77.50578387226741,NA,90.29,-20,NA
2020-03-28,0,20.212152777777778,14.109722222222222,72.4073846188207,NA,76.21,-18,NA
